sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1768750470188200,1768750470190192,1768750470190487,1768750470190487,1768750470258920,1768750470258920,1768750470462799,1768750470462799,1768750470465560,277360,295,68433,203879,203879,284818,17,640,640,yolov5s,PngLossless,T1,Letterbox
1,3,RSU-0000,Offload,1768750470255798,1768750470259039,1768750470259414,1768750470259414,1768750470464381,1768750470464382,1768750470719941,1768750470719942,1768750470725031,469233,375,204967,255561,255559,296754,16,640,640,yolov5s,PngLossless,T1,Letterbox
0,1,RSU-0001,Offload,1768750470188200,1768750470192142,1768750470192413,1768750470192413,1768750470720086,1768750470720086,1768750470981156,1768750470981156,1768750470986786,798586,271,527673,261070,261070,284818,17,640,640,yolov5s,PngLossless,T1,Letterbox
1,3,RSU-0002,Offload,1768750470255798,1768750470253598,1768750470253933,1768750470253933,1768750470981328,1768750470981329,1768750471234327,1768750471234327,1768750471264633,1008835,335,727395,252999,252998,296754,16,640,640,yolov5s,PngLossless,T1,Letterbox
14,29,RSU-0000,Offload,1768750471139197,1768750471139633,1768750471139956,1768750471139956,1768750471234591,1768750471234591,1768750471482193,1768750471482193,1768750471518843,379646,323,94635,247602,247602,259293,18,640,640,yolov5s,PngLossless,T1,Letterbox
14,29,RSU-0001,Offload,1768750471139197,1768750471142370,1768750471142644,1768750471142644,1768750471482408,1768750471482409,1768750471737457,1768750471737457,1768750471740327,601130,274,339764,255049,255048,259293,18,640,640,yolov5s,PngLossless,T1,Letterbox
14,29,RSU-0002,Offload,1768750471139197,1768750471137382,1768750471137682,1768750471137683,1768750471737870,1768750471737870,1768750471986641,1768750471986641,1768750471989900,850703,301,600187,248771,248771,259293,18,640,640,yolov5s,PngLossless,T1,Letterbox
25,51,RSU-0000,Offload,1768750471887585,1768750471886654,1768750471886964,1768750471886964,1768750471987018,1768750471987018,1768750472240986,1768750472240986,1768750472246344,358759,310,100054,253968,253968,262471,17,640,640,yolov5s,PngLossless,T1,Letterbox
25,51,RSU-0001,Offload,1768750471887585,1768750471889764,1768750471890043,1768750471890043,1768750472241630,1768750472241631,1768750472499530,1768750472499530,1768750472502345,614760,279,351587,257900,257899,262471,17,640,640,yolov5s,PngLossless,T1,Letterbox
25,51,RSU-0002,Offload,1768750471887585,1768750471887450,1768750471887772,1768750471887772,1768750472499880,1768750472499880,1768750472760766,1768750472760767,1768750472763520,875935,322,612108,260887,260886,262471,17,640,640,yolov5s,PngLossless,T1,Letterbox
