sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1768635563116339,1768635563119800,1768635563120136,1768635563120137,1768635563271529,1768635563271529,1768635563471555,1768635563471555,1768635563471284,354945,337,151392,200026,200026,284818,17,640,640,yolov5s,PngLossless,T1,Letterbox
0,1,RSU-0000,Offload,1768635563116339,1768635563122183,1768635563122518,1768635563122518,1768635563472209,1768635563472209,1768635563676382,1768635563676383,1768635563675190,558851,335,349691,204174,204173,284818,17,640,640,yolov5s,PngLossless,T1,Letterbox
1,7,RSU-0002,Offload,1768635563317688,1768635563320011,1768635563320341,1768635563320341,1768635563676499,1768635563676500,1768635563880198,1768635563880198,1768635563879111,561423,330,356158,203699,203698,277101,17,640,640,yolov5s,PngLossless,T1,Letterbox
3,19,RSU-0000,Offload,1768635563719695,1768635563724384,1768635563724675,1768635563724676,1768635563880351,1768635563880351,1768635564087685,1768635564087685,1768635564086407,366712,292,155675,207334,207334,259764,18,640,640,yolov5s,PngLossless,T1,Letterbox
3,19,RSU-0001,Offload,1768635563719695,1768635563724869,1768635563725143,1768635563725143,1768635564087830,1768635564087830,1768635564297570,1768635564297570,1768635564298196,578501,274,362687,209740,209740,259764,18,640,640,yolov5s,PngLossless,T1,Letterbox
3,19,RSU-0002,Offload,1768635563719695,1768635563724881,1768635563725188,1768635563725189,1768635564297714,1768635564297714,1768635564517208,1768635564517209,1768635564515751,796056,308,572525,219495,219494,259764,18,640,640,yolov5s,PngLossless,T1,Letterbox
6,37,RSU-0000,Offload,1768635564322975,1768635564327885,1768635564328180,1768635564328180,1768635564517274,1768635564517274,1768635564728486,1768635564728487,1768635564727150,404175,295,189094,211213,211212,259671,18,640,640,yolov5s,PngLossless,T1,Letterbox
6,37,RSU-0001,Offload,1768635564322975,1768635564326456,1768635564326727,1768635564326727,1768635564728647,1768635564728647,1768635564940386,1768635564940386,1768635564939449,616474,271,401920,211739,211739,259671,18,640,640,yolov5s,PngLossless,T1,Letterbox
6,37,RSU-0002,Offload,1768635564322975,1768635564327482,1768635564327815,1768635564327816,1768635564940641,1768635564940641,1768635565155524,1768635565155524,1768635565174547,851572,334,612825,214883,214883,259671,18,640,640,yolov5s,PngLossless,T1,Letterbox
9,55,RSU-0000,Offload,1768635564926813,1768635564933573,1768635564933869,1768635564933870,1768635565155740,1768635565155740,1768635565371503,1768635565371504,1768635565388690,461877,297,221870,215764,215763,262458,18,640,640,yolov5s,PngLossless,T1,Letterbox
9,55,RSU-0001,Offload,1768635564926813,1768635564931258,1768635564931536,1768635564931536,1768635565371649,1768635565371649,1768635565584090,1768635565584090,1768635565589809,662996,278,440113,212441,212441,262458,18,640,640,yolov5s,PngLossless,T1,Letterbox
9,55,RSU-0002,Offload,1768635564926813,1768635564931473,1768635564931791,1768635564931792,1768635565584227,1768635565584227,1768635565805475,1768635565805475,1768635565804330,877517,319,652435,221248,221248,262458,18,640,640,yolov5s,PngLossless,T1,Letterbox
