sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769319385204306,1769319385218757,1769319385219046,1769319385219046,1769319385348855,1769319385348856,1769319385638369,1769319385638369,1769319385639673,435367,289,145541,289514,23,289513,289689,17,yolov5s,PngLossless,T2,Letterbox
0,1,RSU-0001,Offload,1769319385204306,1769319385202070,1769319385202367,1769319385202367,1769319385638888,1769319385638889,1769319385967785,1769319385967785,1769319385991289,786983,297,457710,328897,79,328896,289689,17,yolov5s,PngLossless,T2,Letterbox
10,21,RSU-0000,Offload,1769319385886069,1769319385912416,1769319385912742,1769319385912743,1769319385967838,1769319385967838,1769319386267718,1769319386267718,1769319386278009,391940,327,90403,299880,1330,299880,266229,18,yolov5s,PngLossless,T2,Letterbox
4,9,RSU-0001,Offload,1769319385477430,1769319385473249,1769319385473565,1769319385473566,1769319386267749,1769319386267750,1769319386570135,1769319386570135,1769319386572461,1095031,317,429915,302386,362413,302385,271282,19,yolov5s,PngLossless,T2,Letterbox
7,15,RSU-0002,Offload,1769319385681126,1769319385684768,1769319385685081,1769319385685081,1769319386570169,1769319386570169,1769319386870606,1769319386870606,1769319386890380,1209254,313,256303,300437,652201,300437,265892,18,yolov5s,PngLossless,T2,Letterbox
23,47,RSU-0000,Offload,1769319386770757,1769319386791972,1769319386792315,1769319386792315,1769319386870647,1769319386870647,1769319387180598,1769319387180598,1769319387181962,411205,343,49435,309951,51476,309951,268412,19,yolov5s,PngLossless,T2,Letterbox
21,43,RSU-0001,Offload,1769319386635373,1769319386630884,1769319386631177,1769319386631178,1769319387180629,1769319387180630,1769319387482753,1769319387482753,1769319387497971,862598,294,234436,302124,325744,302123,266266,18,yolov5s,PngLossless,T2,Letterbox
23,47,RSU-0002,Offload,1769319386770774,1769319386774218,1769319386774561,1769319386774561,1769319387482782,1769319387482782,1769319387787840,1769319387787840,1769319387789129,1018355,343,51495,305058,661459,305058,268412,19,yolov5s,PngLossless,T2,Letterbox
37,75,RSU-0000,Offload,1769319387723723,1769319387738797,1769319387739112,1769319387739112,1769319387787877,1769319387787878,1769319388095694,1769319388095694,1769319388097507,373784,315,61111,307817,4541,307816,268312,18,yolov5s,PngLossless,T2,Letterbox
37,75,RSU-0001,Offload,1769319387723738,1769319387716940,1769319387717212,1769319387717212,1769319388095807,1769319388095807,1769319388426437,1769319388426438,1769319388451889,728151,272,75805,330631,321443,330630,268312,18,yolov5s,PngLossless,T2,Letterbox
37,75,RSU-0002,Offload,1769319387723739,1769319387725119,1769319387725417,1769319387725417,1769319388426560,1769319388426560,1769319388771341,1769319388771341,1769319388803314,1079575,298,80502,344781,653994,344781,268312,18,yolov5s,PngLossless,T2,Letterbox
51,103,RSU-0000,Offload,1769319388676796,1769319388689650,1769319388689988,1769319388689988,1769319388771383,1769319388771384,1769319389072759,1769319389072759,1769319389074007,397211,338,49675,301376,45822,301375,271980,18,yolov5s,PngLossless,T2,Letterbox
51,103,RSU-0001,Offload,1769319388676808,1769319388669444,1769319388669775,1769319388669775,1769319389072791,1769319389072792,1769319389372904,1769319389372905,1769319389382726,705918,331,61307,300114,344166,300112,271980,18,yolov5s,PngLossless,T2,Letterbox
51,103,RSU-0002,Offload,1769319388676809,1769319388679811,1769319388680162,1769319388680162,1769319389372935,1769319389372935,1769319389674093,1769319389674093,1769319389677175,1000366,351,54012,301158,644845,301158,271980,18,yolov5s,PngLossless,T2,Letterbox
64,129,RSU-0000,Offload,1769319389562257,1769319389577187,1769319389577521,1769319389577521,1769319389674119,1769319389674119,1769319389972952,1769319389972952,1769319389974311,412054,334,57932,298833,54955,298833,268786,20,yolov5s,PngLossless,T2,Letterbox
65,131,RSU-0001,Offload,1769319389629899,1769319389622261,1769319389622584,1769319389622584,1769319389972981,1769319389972981,1769319390273979,1769319390273979,1769319390281084,651185,323,50363,300998,299501,300998,270370,20,yolov5s,PngLossless,T2,Letterbox
65,131,RSU-0002,Offload,1769319389629900,1769319389632668,1769319389633004,1769319389633004,1769319390274006,1769319390274007,1769319390573692,1769319390573692,1769319390592547,962647,336,54472,299686,608153,299685,270370,20,yolov5s,PngLossless,T2,Letterbox
78,157,RSU-0000,Offload,1769319390514304,1769319390530814,1769319390531151,1769319390531151,1769319390573733,1769319390573733,1769319390876415,1769319390876415,1769319390885977,371673,337,62738,302682,5916,302682,269646,21,yolov5s,PngLossless,T2,Letterbox
78,157,RSU-0001,Offload,1769319390514324,1769319390508828,1769319390509142,1769319390509142,1769319390876447,1769319390876447,1769319391178411,1769319391178411,1769319391181540,667216,314,43245,301964,321693,301964,269646,21,yolov5s,PngLossless,T2,Letterbox
78,157,RSU-0002,Offload,1769319390514326,1769319390518659,1769319390518990,1769319390518990,1769319391178443,1769319391178443,1769319391476633,1769319391476633,1769319391490893,976567,331,70199,298190,607847,298190,269646,21,yolov5s,PngLossless,T2,Letterbox
91,183,RSU-0000,Offload,1769319391397678,1769319391412431,1769319391412753,1769319391412753,1769319391476687,1769319391476687,1769319391775355,1769319391775355,1769319391795718,398040,322,80650,298668,18400,298668,269313,20,yolov5s,PngLossless,T2,Letterbox
91,183,RSU-0001,Offload,1769319391397693,1769319391390051,1769319391390388,1769319391390388,1769319391775385,1769319391775385,1769319392076199,1769319392076199,1769319392077540,679847,337,44606,300814,334090,300814,269313,20,yolov5s,PngLossless,T2,Letterbox
91,183,RSU-0002,Offload,1769319391397694,1769319391399363,1769319391399707,1769319391399707,1769319392076234,1769319392076234,1769319392374817,1769319392374818,1769319392381638,983944,344,52123,298584,632893,298583,269313,20,yolov5s,PngLossless,T2,Letterbox
104,209,RSU-0000,Offload,1769319392284163,1769319392297085,1769319392297402,1769319392297402,1769319392374855,1769319392374855,1769319392675397,1769319392675397,1769319392679007,394844,317,56387,300542,37598,300542,267654,18,yolov5s,PngLossless,T2,Letterbox
104,209,RSU-0001,Offload,1769319392284188,1769319392277691,1769319392277988,1769319392277988,1769319392675454,1769319392675454,1769319392976950,1769319392976950,1769319392983036,698848,297,50619,301496,346436,301496,267654,18,yolov5s,PngLossless,T2,Letterbox
