sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1769305492187377,1769305492193796,1769305492200442,1769305492200443,1769305493292425,1769305493292425,1769305493595157,1769305493595157,1769305493595911,1408534,6647,1098645,302732,510,302732,8296178,17,yolov5s,PngLossless,T3,FHD
1,31,RSU-0002,Offload,1769305493189703,1769305493202728,1769305493209707,1769305493209708,1769305494435599,1769305494435600,1769305494751925,1769305494751925,1769305494755703,1566000,6980,1242163,316326,531,316325,8296178,19,yolov5s,PngLossless,T3,FHD
0,1,RSU-0001,Offload,1769305492187377,1769305492193164,1769305492199320,1769305492199321,1769305494773826,1769305494773827,1769305495105294,1769305495105294,1769305495233800,3046423,6157,2705164,331468,3634,331467,8296178,17,yolov5s,PngLossless,T3,FHD
0,1,RSU-0000,Offload,1769305492187376,1769305492195472,1769305492201758,1769305492201759,1769305495105352,1769305495105352,1769305495428123,1769305495428124,1769305495556392,3369016,6287,2915821,322772,124136,322771,8296178,17,yolov5s,PngLossless,T3,FHD
2,61,RSU-0002,Offload,1769305494191626,1769305494199561,1769305494206326,1769305494206326,1769305495497845,1769305495497845,1769305495804889,1769305495804889,1769305495878636,1687010,6765,1372690,307044,511,307044,8296178,20,yolov5s,PngLossless,T3,FHD
1,31,RSU-0001,Offload,1769305493189702,1769305493202261,1769305493208590,1769305493208590,1769305496474503,1769305496474503,1769305496777876,1769305496777876,1769305496779907,3590205,6329,3279990,303373,513,303373,8296178,19,yolov5s,PngLossless,T3,FHD
3,91,RSU-0002,Offload,1769305495192728,1769305495200850,1769305495207194,1769305495207195,1769305496796327,1769305496796327,1769305497129574,1769305497129575,1769305497385337,2192609,6345,1852016,333248,1000,333247,8296178,22,yolov5s,PngLossless,T3,FHD
4,121,RSU-0002,Offload,1769305496194555,1769305496203413,1769305496210562,1769305496210562,1769305497606006,1769305497606007,1769305497917887,1769305497917887,1769305498151004,1956449,7149,1636891,311881,528,311880,8296178,20,yolov5s,PngLossless,T3,FHD
1,31,RSU-0000,Offload,1769305493189685,1769305493200243,1769305493206237,1769305493206238,1769305497933047,1769305497933047,1769305498254710,1769305498254710,1769305498506055,5316370,5995,4987984,321663,728,321663,8296178,19,yolov5s,PngLossless,T3,FHD
2,61,RSU-0001,Offload,1769305494191625,1769305494200394,1769305494206853,1769305494206854,1769305498417154,1769305498417154,1769305498718655,1769305498718655,1769305498722834,4531209,6460,4222769,301501,479,301501,8296178,20,yolov5s,PngLossless,T3,FHD
5,151,RSU-0002,Offload,1769305497196437,1769305497206642,1769305497212263,1769305497212264,1769305498736003,1769305498736003,1769305499055826,1769305499055827,1769305499232205,2035768,5622,1709783,319824,539,319823,8296178,21,yolov5s,PngLossless,T3,FHD
6,181,RSU-0002,Offload,1769305498198902,1769305498200521,1769305498207405,1769305498207405,1769305499931360,1769305499931361,1769305500251158,1769305500251158,1769305500253103,2054201,6884,1727026,319798,493,319797,8296178,19,yolov5s,PngLossless,T3,FHD
2,61,RSU-0000,Offload,1769305494191610,1769305494204437,1769305494211194,1769305494211195,1769305500572546,1769305500572546,1769305500885290,1769305500885291,1769305501069399,6877789,6758,6557786,312745,500,312744,8296178,20,yolov5s,PngLossless,T3,FHD
3,91,RSU-0001,Offload,1769305495192727,1769305495194110,1769305495200461,1769305495200461,1769305500902661,1769305500902662,1769305501235312,1769305501235312,1769305501638993,6446266,6351,6106500,332651,764,332650,8296178,22,yolov5s,PngLossless,T3,FHD
7,211,RSU-0002,Offload,1769305499200813,1769305499216092,1769305499221409,1769305499221410,1769305501235342,1769305501235342,1769305501556794,1769305501556794,1769305501935925,2735112,5318,2197623,321452,210719,321452,8296178,19,yolov5s,PngLossless,T3,FHD
8,241,RSU-0002,Offload,1769305500201977,1769305500220456,1769305500226803,1769305500226803,1769305502335557,1769305502335558,1769305502644597,1769305502644597,1769305502667092,2465115,6347,2149265,309040,463,309039,8296178,19,yolov5s,PngLossless,T3,FHD
3,91,RSU-0000,Offload,1769305495192708,1769305495199833,1769305495206483,1769305495206484,1769305502810999,1769305502810999,1769305503117062,1769305503117062,1769305503200962,8008254,6651,7695052,306063,488,306063,8296178,22,yolov5s,PngLossless,T3,FHD
4,121,RSU-0001,Offload,1769305496194554,1769305496201903,1769305496208113,1769305496208113,1769305503136147,1769305503136148,1769305503457960,1769305503457960,1769305503685319,7490765,6210,7162198,321813,544,321812,8296178,20,yolov5s,PngLossless,T3,FHD
9,271,RSU-0002,Offload,1769305501203032,1769305501208583,1769305501213951,1769305501213952,1769305503457999,1769305503457999,1769305503775878,1769305503775878,1769305503818521,2615489,5369,2288103,317879,4138,317879,8296178,20,yolov5s,PngLossless,T3,FHD
10,301,RSU-0002,Offload,1769305502203746,1769305502226466,1769305502232905,1769305502232905,1769305504685887,1769305504685887,1769305505035128,1769305505035129,1769305505047789,2844043,6439,2485016,349242,3346,349241,8296178,18,yolov5s,PngLossless,T3,FHD
5,151,RSU-0001,Offload,1769305497196436,1769305497207725,1769305497221085,1769305497221085,1769305505195543,1769305505195543,1769305505494438,1769305505494438,1769305505662717,8466281,13360,8153529,298895,497,298895,8296178,21,yolov5s,PngLossless,T3,FHD
4,121,RSU-0000,Offload,1769305496194537,1769305496201014,1769305496207825,1769305496207825,1769305505509215,1769305505509215,1769305505831569,1769305505831569,1769305506200841,10006304,6811,9676365,322354,774,322354,8296178,20,yolov5s,PngLossless,T3,FHD
11,331,RSU-0002,Offload,1769305503205703,1769305503238731,1769305503244215,1769305503244216,1769305506033835,1769305506033835,1769305506334131,1769305506334131,1769305506355745,3150042,5485,2843772,300296,489,300296,8296178,18,yolov5s,PngLossless,T3,FHD
6,181,RSU-0001,Offload,1769305498198901,1769305498204524,1769305498213205,1769305498213206,1769305506796118,1769305506796118,1769305507096486,1769305507096486,1769305507227406,9028505,8682,8718969,300368,486,300368,8296178,19,yolov5s,PngLossless,T3,FHD
12,361,RSU-0002,Offload,1769305504207355,1769305504226205,1769305504232907,1769305504232907,1769305507271201,1769305507271202,1769305507581775,1769305507581775,1769305507643831,3436476,6702,3115735,310574,3465,310573,8296178,19,yolov5s,PngLossless,T3,FHD
5,151,RSU-0000,Offload,1769305497196421,1769305497203951,1769305497210574,1769305497210575,1769305507599850,1769305507599850,1769305507926359,1769305507926359,1769305508136929,10940508,6624,10606492,326509,883,326509,8296178,21,yolov5s,PngLossless,T3,FHD
7,211,RSU-0001,Offload,1769305499200811,1769305499206965,1769305499221063,1769305499221064,1769305508259290,1769305508259291,1769305508565647,1769305508565647,1769305508879053,9678242,14099,9357326,306357,460,306356,8296178,19,yolov5s,PngLossless,T3,FHD
13,391,RSU-0002,Offload,1769305505207997,1769305505218083,1769305505224028,1769305505224028,1769305508591847,1769305508591847,1769305508895569,1769305508895569,1769305508896857,3688860,5945,3378684,303722,509,303722,8296178,18,yolov5s,PngLossless,T3,FHD
6,181,RSU-0000,Offload,1769305498198889,1769305498200663,1769305498213867,1769305498213867,1769305509453056,1769305509453057,1769305509756285,1769305509756285,1769305510129919,11931030,13204,11614081,303229,516,303228,8296178,19,yolov5s,PngLossless,T3,FHD
14,421,RSU-0002,Offload,1769305506209249,1769305506271779,1769305506277441,1769305506277441,1769305510036952,1769305510036952,1769305510343162,1769305510343162,1769305510625438,4416189,5662,4103826,306210,491,306210,8296178,18,yolov5s,PngLossless,T3,FHD
8,241,RSU-0001,Offload,1769305500201976,1769305500213607,1769305500220176,1769305500220177,1769305510360504,1769305510360505,1769305510678212,1769305510678212,1769305511368721,11166745,6570,10841718,317708,749,317707,8296178,19,yolov5s,PngLossless,T3,FHD
7,211,RSU-0000,Offload,1769305499200795,1769305499217006,1769305499231818,1769305499231819,1769305511211401,1769305511211402,1769305511519396,1769305511519397,1769305511642667,12441872,14813,12116034,307996,3029,307994,8296178,19,yolov5s,PngLossless,T3,FHD
15,451,RSU-0002,Offload,1769305507210278,1769305507216272,1769305507222761,1769305507222761,1769305511609714,1769305511609714,1769305511913185,1769305511913185,1769305512214987,5004709,6489,4694230,303471,519,303471,8296178,16,yolov5s,PngLossless,T3,FHD
9,271,RSU-0001,Offload,1769305501203030,1769305501203939,1769305501217261,1769305501217262,1769305512016024,1769305512016025,1769305512324179,1769305512324180,1769305512348440,11145410,13323,10823430,308156,501,308154,8296178,20,yolov5s,PngLossless,T3,FHD
8,241,RSU-0000,Offload,1769305500201947,1769305500213278,1769305500219433,1769305500219434,1769305512847954,1769305512847954,1769305513147671,1769305513147671,1769305513443082,13241135,6156,12934776,299717,486,299717,8296178,19,yolov5s,PngLossless,T3,FHD
16,481,RSU-0002,Offload,1769305508210456,1769305508224024,1769305508230137,1769305508230138,1769305513236458,1769305513236458,1769305513532614,1769305513532614,1769305514329845,6119389,6114,5816648,296156,471,296156,8296178,16,yolov5s,PngLossless,T3,FHD
10,301,RSU-0001,Offload,1769305502203745,1769305502212687,1769305502225730,1769305502225730,1769305514227163,1769305514227163,1769305514524752,1769305514524752,1769305514674305,12470560,13043,12156829,297589,3099,297589,8296178,18,yolov5s,PngLossless,T3,FHD
