sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1768636115653461,1768636115773142,1768636115776195,1768636115776196,1768636127327710,1768636127327711,1768636127567427,1768636127567428,1768636127920922,12267461,3054,11551514,239718,239716,3687468,17,1280,720,yolov5s,PngLossless,T3,HD
0,1,RSU-0000,Offload,1768636115653461,1768636115752469,1768636115755707,1768636115755708,1768636127573912,1768636127573912,1768636127834339,1768636127834339,1768636128020153,12366692,3239,11818204,260427,260427,3687468,17,1280,720,yolov5s,PngLossless,T3,HD
0,1,RSU-0002,Offload,1768636115653461,1768636115721185,1768636115726787,1768636115726788,1768636127865860,1768636127865860,1768636128100300,1768636128100300,1768636128329735,12676274,5603,12139072,234440,234440,3687468,17,1280,720,yolov5s,PngLossless,T3,HD
1,7,RSU-0001,Offload,1768636115854865,1768636115865047,1768636115867941,1768636115867941,1768636130360077,1768636130360078,1768636130612334,1768636130612335,1768636131122266,15267401,2894,14492136,252258,252256,3687468,20,1280,720,yolov5s,PngLossless,T3,HD
1,7,RSU-0002,Offload,1768636115854865,1768636115859675,1768636115944841,1768636115944841,1768636130706092,1768636130706092,1768636130953759,1768636130953759,1768636131161894,15307029,85166,14761251,247667,247667,3687468,20,1280,720,yolov5s,PngLossless,T3,HD
1,7,RSU-0000,Offload,1768636115854865,1768636115883443,1768636115887644,1768636115887646,1768636130961534,1768636130961535,1768636131223315,1768636131223315,1768636132137809,16282944,4203,15073888,261781,261780,3687468,20,1280,720,yolov5s,PngLossless,T3,HD
2,13,RSU-0001,Offload,1768636116055611,1768636116068487,1768636116071581,1768636116071582,1768636132466992,1768636132466993,1768636132703963,1768636132703964,1768636133273904,17218293,3095,16395410,236972,236970,3687468,17,1280,720,yolov5s,PngLossless,T3,HD
2,13,RSU-0002,Offload,1768636116055611,1768636116127114,1768636116138666,1768636116138666,1768636132710439,1768636132710439,1768636132988630,1768636132988630,1768636133357833,17302222,11552,16571773,278191,278191,3687468,17,1280,720,yolov5s,PngLossless,T3,HD
2,13,RSU-0000,Offload,1768636116055611,1768636116073766,1768636116076372,1768636116076372,1768636132988733,1768636132988733,1768636133255676,1768636133255677,1768636133357859,17302248,2606,16912361,266944,266943,3687468,17,1280,720,yolov5s,PngLossless,T3,HD
3,19,RSU-0002,Offload,1768636116256786,1768636116329460,1768636116403920,1768636116403921,1768636134041567,1768636134041567,1768636134285176,1768636134285176,1768636134732000,18475214,74461,17637646,243609,243609,3687468,18,1280,720,yolov5s,PngLossless,T3,HD
3,19,RSU-0000,Offload,1768636116256786,1768636116264142,1768636116266955,1768636116266955,1768636134298255,1768636134298255,1768636134561797,1768636134561797,1768636134774918,18518132,2813,18031300,263542,263542,3687468,18,1280,720,yolov5s,PngLossless,T3,HD
3,19,RSU-0001,Offload,1768636116256786,1768636116262802,1768636116265855,1768636116265856,1768636134561850,1768636134561850,1768636134810334,1768636134810335,1768636134810551,18553765,3054,18295994,248485,248484,3687468,18,1280,720,yolov5s,PngLossless,T3,HD
4,25,RSU-0001,Offload,1768636116457348,1768636116466354,1768636116468963,1768636116468963,1768636135489095,1768636135489096,1768636135727095,1768636135727095,1768636136219558,19762210,2609,19020132,238000,237999,3687468,18,1280,720,yolov5s,PngLossless,T3,HD
4,25,RSU-0002,Offload,1768636116457348,1768636116462342,1768636116550400,1768636116550401,1768636135740538,1768636135740538,1768636136024556,1768636136024556,1768636136520852,20063504,88059,19190137,284018,284018,3687468,18,1280,720,yolov5s,PngLossless,T3,HD
4,25,RSU-0000,Offload,1768636116457348,1768636116464986,1768636116467127,1768636116467127,1768636136024709,1768636136024709,1768636136286593,1768636136286593,1768636136670575,20213227,2141,19557582,261884,261884,3687468,18,1280,720,yolov5s,PngLossless,T3,HD
5,31,RSU-0000,Offload,1768636116659369,1768636116784747,1768636116787393,1768636116787394,1768636137047033,1768636137047033,1768636137297849,1768636137297850,1768636137297857,20638488,2647,20259639,250817,250816,3687468,20,1280,720,yolov5s,PngLossless,T3,HD
5,31,RSU-0002,Offload,1768636116659369,1768636116776704,1768636116780091,1768636116780092,1768636137304435,1768636137304435,1768636137577127,1768636137577127,1768636137577839,20918470,3388,20524343,272692,272692,3687468,20,1280,720,yolov5s,PngLossless,T3,HD
5,31,RSU-0001,Offload,1768636116659369,1768636116777331,1768636116780832,1768636116780833,1768636137577281,1768636137577281,1768636137843884,1768636137843885,1768636137858853,21199484,3502,20796448,266604,266603,3687468,20,1280,720,yolov5s,PngLossless,T3,HD
6,37,RSU-0000,Offload,1768636116861087,1768636116876369,1768636116878945,1768636116878945,1768636138234981,1768636138234981,1768636138488890,1768636138488891,1768636138856059,21994972,2576,21356036,253910,253909,3687468,19,1280,720,yolov5s,PngLossless,T3,HD
6,37,RSU-0001,Offload,1768636116861087,1768636116863073,1768636116865799,1768636116865800,1768636138680150,1768636138680151,1768636138925966,1768636138925966,1768636138927976,22066889,2727,21814350,245816,245815,3687468,19,1280,720,yolov5s,PngLossless,T3,HD
6,37,RSU-0002,Offload,1768636116861087,1768636116885192,1768636116973144,1768636116973145,1768636138932998,1768636138932998,1768636139202989,1768636139202989,1768636139929974,23068887,87953,21959853,269991,269991,3687468,19,1280,720,yolov5s,PngLossless,T3,HD
7,43,RSU-0000,Offload,1768636117062700,1768636117083161,1768636117086121,1768636117086122,1768636139272017,1768636139272017,1768636139527900,1768636139527900,1768636140209255,23146555,2961,22185895,255883,255883,3687468,20,1280,720,yolov5s,PngLossless,T3,HD
7,43,RSU-0001,Offload,1768636117062700,1768636117126751,1768636117129759,1768636117129760,1768636140028840,1768636140028841,1768636140276413,1768636140276413,1768636140276667,23213967,3009,22899080,247573,247572,3687468,20,1280,720,yolov5s,PngLossless,T3,HD
8,49,RSU-0000,Offload,1768636117263336,1768636117287560,1768636117290357,1768636117290357,1768636140559352,1768636140559352,1768636140808848,1768636140808848,1768636141558311,24294975,2797,23268995,249496,249496,3687468,19,1280,720,yolov5s,PngLossless,T3,HD
7,43,RSU-0002,Offload,1768636117062700,1768636117139585,1768636117227491,1768636117227492,1768636140815910,1768636140815910,1768636141095233,1768636141095233,1768636141679715,24617015,87907,23588418,279323,279323,3687468,20,1280,720,yolov5s,PngLossless,T3,HD
8,49,RSU-0001,Offload,1768636117263336,1768636117273629,1768636117276056,1768636117276056,1768636141561390,1768636141561391,1768636141799462,1768636141799462,1768636142106113,24842777,2427,24285334,238072,238071,3687468,19,1280,720,yolov5s,PngLossless,T3,HD
9,55,RSU-0000,Offload,1768636117465049,1768636117471673,1768636117474394,1768636117474394,1768636141806022,1768636141806023,1768636142082137,1768636142082137,1768636142347276,24882227,2721,24331628,276115,276114,3687468,18,1280,720,yolov5s,PngLossless,T3,HD
8,49,RSU-0002,Offload,1768636117263336,1768636117272122,1768636117359872,1768636117359873,1768636142082176,1768636142082176,1768636142354425,1768636142354426,1768636143585171,26321835,87751,24722303,272250,272249,3687468,19,1280,720,yolov5s,PngLossless,T3,HD
9,55,RSU-0002,Offload,1768636117465049,1768636117470238,1768636117558367,1768636117558367,1768636143028136,1768636143028136,1768636143319819,1768636143319819,1768636143610196,26145147,88129,25469769,291683,291683,3687468,18,1280,720,yolov5s,PngLossless,T3,HD
10,61,RSU-0000,Offload,1768636117666921,1768636117687688,1768636117690669,1768636117690671,1768636143319954,1768636143319954,1768636143597084,1768636143597084,1768636143651957,25985036,2983,25629283,277130,277130,3687468,20,1280,720,yolov5s,PngLossless,T3,HD
9,55,RSU-0001,Offload,1768636117465049,1768636117473665,1768636117478149,1768636117478150,1768636143597235,1768636143597235,1768636143867280,1768636143867280,1768636145086662,27621613,4485,26119085,270045,270045,3687468,18,1280,720,yolov5s,PngLossless,T3,HD
10,61,RSU-0002,Offload,1768636117666921,1768636117678878,1768636117684806,1768636117684807,1768636144401688,1768636144401689,1768636144657728,1768636144657728,1768636145220003,27553082,5929,26716881,256040,256039,3687468,20,1280,720,yolov5s,PngLossless,T3,HD
10,61,RSU-0001,Offload,1768636117666921,1768636117673125,1768636117675874,1768636117675874,1768636144664410,1768636144664411,1768636144955339,1768636144955339,1768636145475616,27808695,2749,26988536,290929,290928,3687468,20,1280,720,yolov5s,PngLossless,T3,HD
11,67,RSU-0000,Offload,1768636117867869,1768636117884631,1768636117887299,1768636117887300,1768636144955538,1768636144955538,1768636145228556,1768636145228556,1768636145511330,27643461,2669,27068238,273018,273018,3687468,19,1280,720,yolov5s,PngLossless,T3,HD
