sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769309823342947,1769309823349188,1769309823352209,1769309823352210,1769309823856238,1769309823856238,1769309824158164,1769309824158164,1769309824159621,816674,3022,511231,301926,495,301926,3687468,17,yolov5s,PngLossless,T3,HD
1,7,RSU-0000,Offload,1769309823543890,1769309823550436,1769309823552692,1769309823552693,1769309824475421,1769309824475421,1769309824793840,1769309824793840,1769309824839332,1295442,2257,974346,318419,420,318419,3687468,20,yolov5s,PngLossless,T3,HD
0,1,RSU-0002,Offload,1769309823342948,1769309823347450,1769309823350435,1769309823350435,1769309824799369,1769309824799370,1769309825113373,1769309825113373,1769309825185320,1842372,2985,1524908,314004,475,314003,3687468,17,yolov5s,PngLossless,T3,HD
2,13,RSU-0000,Offload,1769309823744822,1769309823756396,1769309823758710,1769309823758710,1769309825113440,1769309825113441,1769309825430772,1769309825430773,1769309825531650,1786828,2314,1257587,317333,209594,317331,3687468,17,yolov5s,PngLossless,T3,HD
0,1,RSU-0001,Offload,1769309823342947,1769309823343046,1769309823346037,1769309823346037,1769309825430802,1769309825430802,1769309825746504,1769309825746505,1769309825836870,2493923,2991,1697907,315703,477322,315702,3687468,17,yolov5s,PngLossless,T3,HD
3,19,RSU-0000,Offload,1769309823945752,1769309823956230,1769309823958409,1769309823958410,1769309825746546,1769309825746547,1769309826061830,1769309826061830,1769309826139658,2193906,2180,1499885,315284,376557,315283,3687468,18,yolov5s,PngLossless,T3,HD
1,7,RSU-0002,Offload,1769309823543909,1769309823554551,1769309823558104,1769309823558105,1769309826061856,1769309826061856,1769309826374544,1769309826374545,1769309826482396,2938487,3554,2042892,312689,579352,312688,3687468,20,yolov5s,PngLossless,T3,HD
4,25,RSU-0000,Offload,1769309824147511,1769309824154946,1769309824157351,1769309824157351,1769309826374607,1769309826374607,1769309826685983,1769309826685983,1769309826800882,2653371,2405,1845915,311376,493675,311376,3687468,18,yolov5s,PngLossless,T3,HD
1,7,RSU-0001,Offload,1769309823543908,1769309823548820,1769309823551551,1769309823551552,1769309826686014,1769309826686015,1769309826999625,1769309826999625,1769309827125726,3581818,2732,2834538,313611,430937,313610,3687468,20,yolov5s,PngLossless,T3,HD
2,13,RSU-0002,Offload,1769309823744848,1769309823752920,1769309823755476,1769309823755477,1769309826999680,1769309826999680,1769309827315399,1769309827315399,1769309827367577,3622729,2557,2650913,315719,653540,315719,3687468,17,yolov5s,PngLossless,T3,HD
6,37,RSU-0000,Offload,1769309824549864,1769309824554231,1769309824556798,1769309824556799,1769309827315436,1769309827315436,1769309827629310,1769309827629310,1769309827712253,3162389,2568,2514630,313874,331317,313874,3687468,19,yolov5s,PngLossless,T3,HD
7,43,RSU-0000,Offload,1769309824751078,1769309824764037,1769309824766517,1769309824766517,1769309827629360,1769309827629360,1769309827943988,1769309827943988,1769309827986718,3235640,2480,2869066,314628,49466,314628,3687468,20,yolov5s,PngLossless,T3,HD
2,13,RSU-0001,Offload,1769309823744846,1769309823750761,1769309823753792,1769309823753792,1769309827944022,1769309827944022,1769309828259913,1769309828259913,1769309828294581,4549735,3031,3626594,315891,604219,315891,3687468,17,yolov5s,PngLossless,T3,HD
3,19,RSU-0002,Offload,1769309823945767,1769309823955159,1769309823957683,1769309823957684,1769309828259944,1769309828259944,1769309828573158,1769309828573158,1769309828675956,4730189,2525,3487565,313214,926885,313214,3687468,18,yolov5s,PngLossless,T3,HD
8,49,RSU-0000,Offload,1769309824952258,1769309824964131,1769309824967398,1769309824967399,1769309828573193,1769309828573193,1769309828885093,1769309828885093,1769309828936270,3984012,3268,3219769,311900,449075,311900,3687468,19,yolov5s,PngLossless,T3,HD
3,19,RSU-0001,Offload,1769309823945766,1769309823953266,1769309823956821,1769309823956822,1769309828885124,1769309828885124,1769309829198223,1769309829198223,1769309829499051,5553285,3556,4682663,313099,553967,313099,3687468,18,yolov5s,PngLossless,T3,HD
