sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1768640939249318,1768640939254628,1768640939255230,1768640939255230,1768640939521021,1768640939521021,1768640939788743,1768640939788743,1768640939790064,540746,602,265791,267722,267722,737694,17,1920,1080,yolov5s,WebpLossless,T1,FHD
3,10,RSU-0000,Offload,1768640939554560,1768640939567698,1768640939568188,1768640939568188,1768640939795012,1768640939795012,1768640940105726,1768640940105726,1768640940124758,570198,490,226824,310714,310714,462036,18,1920,1080,yolov5s,WebpLossless,T1,FHD
1,4,RSU-0002,Offload,1768640939351073,1768640939358792,1768640939359661,1768640939359661,1768640940105854,1768640940105854,1768640940401086,1768640940401087,1768640940444836,1093763,869,746193,295233,295232,898538,18,1920,1080,yolov5s,WebpLossless,T1,FHD
10,31,RSU-0000,Offload,1768640940263128,1768640940271332,1768640940271745,1768640940271745,1768640940401304,1768640940401304,1768640940690879,1768640940690879,1768640940737161,474033,413,129559,289575,289575,416108,19,1920,1080,yolov5s,WebpLossless,T1,FHD
1,4,RSU-0001,Offload,1768640939351073,1768640939355806,1768640939356571,1768640939356572,1768640940691037,1768640940691037,1768640940992377,1768640940992377,1768640940994157,1643084,766,1334465,301340,301340,898538,18,1920,1080,yolov5s,WebpLossless,T1,FHD
9,28,RSU-0002,Offload,1768640940162025,1768640940177251,1768640940177717,1768640940177718,1768640940992424,1768640940992424,1768640941282738,1768640941282738,1768640941284012,1121987,467,814706,290314,290314,417286,19,1920,1080,yolov5s,WebpLossless,T1,FHD
19,58,RSU-0000,Offload,1768640941175266,1768640941180906,1768640941181309,1768640941181309,1768640941282863,1768640941282864,1768640941581413,1768640941581413,1768640941582205,406939,403,101554,298550,298549,421286,20,1920,1080,yolov5s,WebpLossless,T1,FHD
14,43,RSU-0001,Offload,1768640940668910,1768640940674252,1768640940674732,1768640940674732,1768640941581566,1768640941581566,1768640941877631,1768640941877631,1768640941881292,1212382,480,906834,296065,296065,417226,19,1920,1080,yolov5s,WebpLossless,T1,FHD
19,58,RSU-0002,Offload,1768640941175266,1768640941186298,1768640941186729,1768640941186730,1768640941877773,1768640941877773,1768640942170953,1768640942170954,1768640942173738,998472,432,691043,293181,293180,421286,20,1920,1080,yolov5s,WebpLossless,T1,FHD
27,82,RSU-0000,Offload,1768640941987250,1768640941991684,1768640941992079,1768640941992079,1768640942171103,1768640942171103,1768640942460254,1768640942460254,1768640942479971,492721,395,179024,289151,289151,424450,19,1920,1080,yolov5s,WebpLossless,T1,FHD
28,85,RSU-0001,Offload,1768640942089178,1768640942092964,1768640942093318,1768640942093318,1768640942460411,1768640942460411,1768640942752669,1768640942752669,1768640942777242,688064,354,367093,292258,292258,426592,19,1920,1080,yolov5s,WebpLossless,T1,FHD
28,85,RSU-0002,Offload,1768640942089178,1768640942099047,1768640942099504,1768640942099505,1768640942752805,1768640942752805,1768640943039065,1768640943039066,1768640943047565,958387,458,653300,286261,286260,426592,19,1920,1080,yolov5s,WebpLossless,T1,FHD
36,109,RSU-0000,Offload,1768640942900118,1768640942905317,1768640942905704,1768640942905705,1768640943039121,1768640943039122,1768640943334443,1768640943334443,1768640943381354,481236,388,133416,295322,295321,431630,19,1920,1080,yolov5s,WebpLossless,T1,FHD
36,109,RSU-0001,Offload,1768640942900118,1768640942904920,1768640942905280,1768640942905280,1768640943334498,1768640943334498,1768640943628614,1768640943628614,1768640943692268,792150,360,429218,294116,294116,431630,19,1920,1080,yolov5s,WebpLossless,T1,FHD
36,109,RSU-0002,Offload,1768640942900118,1768640942912276,1768640942912679,1768640942912680,1768640943628774,1768640943628774,1768640943933217,1768640943933217,1768640943945431,1045313,404,716094,304443,304443,431630,19,1920,1080,yolov5s,WebpLossless,T1,FHD
45,136,RSU-0000,Offload,1768640943810533,1768640943813658,1768640943814075,1768640943814076,1768640943933368,1768640943933368,1768640944248747,1768640944248747,1768640944320656,510123,418,119292,315379,315379,434652,19,1920,1080,yolov5s,WebpLossless,T1,FHD
45,136,RSU-0001,Offload,1768640943810533,1768640943816242,1768640943816614,1768640943816614,1768640944248902,1768640944248902,1768640944547734,1768640944547734,1768640944555749,745216,372,432288,298832,298832,434652,19,1920,1080,yolov5s,WebpLossless,T1,FHD
45,136,RSU-0002,Offload,1768640943810533,1768640943818541,1768640943818968,1768640943818969,1768640944547881,1768640944547881,1768640944842488,1768640944842488,1768640944845852,1035319,428,728912,294607,294607,434652,19,1920,1080,yolov5s,WebpLossless,T1,FHD
54,163,RSU-0000,Offload,1768640944723930,1768640944728104,1768640944728497,1768640944728497,1768640944842651,1768640944842651,1768640945145566,1768640945145566,1768640945149764,425834,393,114154,302915,302915,429320,20,1920,1080,yolov5s,WebpLossless,T1,FHD
54,163,RSU-0001,Offload,1768640944723930,1768640944727095,1768640944727459,1768640944727459,1768640945145734,1768640945145734,1768640945444378,1768640945444379,1768640945449770,725840,364,418275,298645,298644,429320,20,1920,1080,yolov5s,WebpLossless,T1,FHD
54,163,RSU-0002,Offload,1768640944723930,1768640944731897,1768640944732277,1768640944732277,1768640945444542,1768640945444542,1768640945744456,1768640945744456,1768640945745597,1021667,380,712265,299914,299914,429320,20,1920,1080,yolov5s,WebpLossless,T1,FHD
63,190,RSU-0000,Offload,1768640945635841,1768640945639245,1768640945639691,1768640945639692,1768640945744599,1768640945744599,1768640946045295,1768640946045296,1768640946046434,410593,447,104907,300697,300696,431672,19,1920,1080,yolov5s,WebpLossless,T1,FHD
63,190,RSU-0001,Offload,1768640945635841,1768640945640711,1768640945641075,1768640945641075,1768640946045358,1768640946045358,1768640946343798,1768640946343799,1768640946345602,709761,364,404283,298441,298440,431672,19,1920,1080,yolov5s,WebpLossless,T1,FHD
