sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1768641293865689,1768641293873958,1768641293874395,1768641293874395,1768641293979513,1768641293979513,1768641294212755,1768641294212755,1768641294214650,348961,437,105118,233242,233242,519002,17,1280,720,yolov5s,WebpLossless,T2,HD
0,1,RSU-0000,Offload,1768641293865689,1768641293871451,1768641293871928,1768641293871928,1768641294214675,1768641294214675,1768641294463775,1768641294463775,1768641294464493,598804,477,342747,249100,249100,519002,17,1280,720,yolov5s,WebpLossless,T2,HD
1,4,RSU-0001,Offload,1768641293967251,1768641293976458,1768641293977004,1768641293977005,1768641294463900,1768641294463900,1768641294726143,1768641294726144,1768641294739549,772298,547,486895,262244,262243,579662,18,1280,720,yolov5s,WebpLossless,T2,HD
5,16,RSU-0000,Offload,1768641294372978,1768641294380767,1768641294381139,1768641294381139,1768641294726305,1768641294726305,1768641294993506,1768641294993506,1768641295020331,647353,372,345166,267201,267201,385276,18,1280,720,yolov5s,WebpLossless,T2,HD
7,22,RSU-0001,Offload,1768641294574780,1768641294579686,1768641294580086,1768641294580086,1768641294993736,1768641294993736,1768641295270995,1768641295270995,1768641296138309,1563529,400,413650,277259,277259,383184,18,1280,720,yolov5s,WebpLossless,T2,HD
2,7,RSU-0002,Offload,1768641294068878,1768641294083909,1768641294084452,1768641294084453,1768641295271212,1768641295271212,1768641295505623,1768641295505623,1768641296161176,2092298,544,1186759,234411,234411,466216,20,1280,720,yolov5s,WebpLossless,T2,HD
13,40,RSU-0000,Offload,1768641295181631,1768641295184880,1768641295185253,1768641295185253,1768641295505726,1768641295505726,1768641295739912,1768641295739912,1768641296161203,979572,373,320473,234186,234186,385256,18,1280,720,yolov5s,WebpLossless,T2,HD
13,40,RSU-0001,Offload,1768641295181631,1768641295184690,1768641295185078,1768641295185078,1768641295740002,1768641295740002,1768641295976240,1768641295976240,1768641296161240,979609,388,554924,236238,236238,385256,18,1280,720,yolov5s,WebpLossless,T2,HD
9,28,RSU-0002,Offload,1768641294776768,1768641294797180,1768641294797516,1768641294797516,1768641295976333,1768641295976333,1768641296242120,1768641296242121,1768641296284323,1507555,336,1178817,265788,265787,384096,19,1280,720,yolov5s,WebpLossless,T2,HD
14,43,RSU-0000,Offload,1768641295282539,1768641295284891,1768641295285243,1768641295285243,1768641296242246,1768641296242246,1768641296484853,1768641296484854,1768641296748307,1465768,352,957003,242608,242607,384480,20,1280,720,yolov5s,WebpLossless,T2,HD
