sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1768645920307859,1768645920297816,1768645920298076,1768645920298076,1768645920483814,1768645920483814,1768645920688077,1768645920688077,1768645920692891,385032,260,185738,204263,204263,227146,17,640,640,yolov5s,WebpLossless,T3,Letterbox
0,1,RSU-0000,Offload,1768645920307859,1768645920308340,1768645920308572,1768645920308572,1768645920688664,1768645920688664,1768645920916125,1768645920916125,1768645920918582,610723,232,380092,227461,227461,227146,17,640,640,yolov5s,WebpLossless,T3,Letterbox
2,5,RSU-0000,Offload,1768645920444243,1768645920442778,1768645920443058,1768645920443058,1768645920916331,1768645920916331,1768645921170508,1768645921170508,1768645921178642,734399,280,473273,254177,254177,230190,18,640,640,yolov5s,WebpLossless,T3,Letterbox
5,11,RSU-0001,Offload,1768645920648168,1768645920654278,1768645920654531,1768645920654532,1768645921170642,1768645921170642,1768645921415789,1768645921415790,1768645921418468,770300,254,516110,245148,245147,203168,17,640,640,yolov5s,WebpLossless,T3,Letterbox
6,13,RSU-0002,Offload,1768645920716132,1768645920703322,1768645920703604,1768645920703604,1768645921415917,1768645921415917,1768645921657903,1768645921657903,1768645921660253,944121,282,712313,241986,241986,202578,17,640,640,yolov5s,WebpLossless,T3,Letterbox
19,39,RSU-0000,Offload,1768645921599359,1768645921596364,1768645921596627,1768645921596627,1768645921658028,1768645921658028,1768645921898471,1768645921898471,1768645921904654,305295,263,61401,240443,240443,202660,18,640,640,yolov5s,WebpLossless,T3,Letterbox
19,39,RSU-0001,Offload,1768645921599359,1768645921601542,1768645921601786,1768645921601786,1768645921898583,1768645921898583,1768645922143894,1768645922143894,1768645922145922,546563,244,296797,245311,245311,202660,18,640,640,yolov5s,WebpLossless,T3,Letterbox
19,39,RSU-0002,Offload,1768645921599359,1768645921587134,1768645921587411,1768645921587411,1768645922144004,1768645922144004,1768645922395883,1768645922395884,1768645922398080,798721,277,556593,251880,251879,202660,18,640,640,yolov5s,WebpLossless,T3,Letterbox
30,61,RSU-0000,Offload,1768645922348915,1768645922344920,1768645922345171,1768645922345171,1768645922396004,1768645922396004,1768645922640697,1768645922640697,1768645922662513,313598,251,50833,244693,244693,203548,18,640,640,yolov5s,WebpLossless,T3,Letterbox
30,61,RSU-0001,Offload,1768645922348915,1768645922352318,1768645922352549,1768645922352549,1768645922640840,1768645922640840,1768645922885284,1768645922885284,1768645922887581,538666,231,288291,244444,244444,203548,18,640,640,yolov5s,WebpLossless,T3,Letterbox
30,61,RSU-0002,Offload,1768645922348915,1768645922337211,1768645922337472,1768645922337472,1768645922885407,1768645922885407,1768645923131891,1768645923131891,1768645923139860,790945,261,547935,246484,246484,203548,18,640,640,yolov5s,WebpLossless,T3,Letterbox
40,81,RSU-0000,Offload,1768645923029660,1768645923025861,1768645923026110,1768645923026110,1768645923132013,1768645923132013,1768645923376849,1768645923376849,1768645923393965,364305,249,105903,244836,244836,203424,20,640,640,yolov5s,WebpLossless,T3,Letterbox
40,81,RSU-0001,Offload,1768645923029660,1768645923037203,1768645923037456,1768645923037456,1768645923376973,1768645923376974,1768645923625085,1768645923625086,1768645923627398,597738,253,339517,248113,248111,203424,20,640,640,yolov5s,WebpLossless,T3,Letterbox
40,81,RSU-0002,Offload,1768645923029660,1768645923017286,1768645923017552,1768645923017552,1768645923625208,1768645923625208,1768645923873940,1768645923873940,1768645923881111,851451,266,607656,248732,248732,203424,20,640,640,yolov5s,WebpLossless,T3,Letterbox
51,103,RSU-0000,Offload,1768645923780258,1768645923776442,1768645923776683,1768645923776683,1768645923874059,1768645923874060,1768645924117917,1768645924117917,1768645924119961,339703,241,97376,243858,243857,205530,18,640,640,yolov5s,WebpLossless,T3,Letterbox
51,103,RSU-0001,Offload,1768645923780258,1768645923782862,1768645923783109,1768645923783109,1768645924118043,1768645924118043,1768645924367080,1768645924367081,1768645924369583,589325,247,334934,249038,249037,205530,18,640,640,yolov5s,WebpLossless,T3,Letterbox
51,103,RSU-0002,Offload,1768645923780258,1768645923767846,1768645923768110,1768645923768110,1768645924367205,1768645924367205,1768645924611875,1768645924611875,1768645924617993,837735,264,599095,244670,244670,205530,18,640,640,yolov5s,WebpLossless,T3,Letterbox
62,125,RSU-0000,Offload,1768645924528277,1768645924525920,1768645924526163,1768645924526163,1768645924612009,1768645924612009,1768645924861685,1768645924861685,1768645924863925,335648,243,85846,249676,249676,205690,19,640,640,yolov5s,WebpLossless,T3,Letterbox
62,125,RSU-0001,Offload,1768645924528277,1768645924534298,1768645924534559,1768645924534559,1768645924861810,1768645924861811,1768645925113553,1768645925113553,1768645925117181,588904,261,327251,251743,251742,205690,19,640,640,yolov5s,WebpLossless,T3,Letterbox
62,125,RSU-0002,Offload,1768645924528277,1768645924515855,1768645924516115,1768645924516115,1768645925113672,1768645925113672,1768645925362539,1768645925362539,1768645925380260,851983,260,597557,248867,248867,205690,19,640,640,yolov5s,WebpLossless,T3,Letterbox
73,147,RSU-0000,Offload,1768645925278443,1768645925274956,1768645925275196,1768645925275196,1768645925362683,1768645925362684,1768645925615729,1768645925615730,1768645925618765,340322,240,87487,253047,253045,205414,19,640,640,yolov5s,WebpLossless,T3,Letterbox
73,147,RSU-0001,Offload,1768645925278443,1768645925280807,1768645925281069,1768645925281069,1768645925615852,1768645925615852,1768645925872028,1768645925872029,1768645925874266,595823,262,334783,256177,256176,205414,19,640,640,yolov5s,WebpLossless,T3,Letterbox
73,147,RSU-0002,Offload,1768645925278443,1768645925266248,1768645925266530,1768645925266530,1768645925872155,1768645925872155,1768645926122636,1768645926122637,1768645926131775,853332,282,605625,250482,250481,205414,19,640,640,yolov5s,WebpLossless,T3,Letterbox
84,169,RSU-0000,Offload,1768645926028388,1768645926026648,1768645926026884,1768645926026884,1768645926122768,1768645926122768,1768645926383970,1768645926383971,1768645926394621,366233,236,95884,261203,261202,203852,19,640,640,yolov5s,WebpLossless,T3,Letterbox
