sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1768640141754568,1768640141759705,1768640141760305,1768640141760305,1768640142088112,1768640142088112,1768640142350776,1768640142350776,1768640142356524,601956,600,327807,262664,262664,737694,17,1920,1080,yolov5s,WebpLossy,T1,FHD
0,1,RSU-0001,Offload,1768640141754568,1768640141763871,1768640141764522,1768640141764523,1768640142352034,1768640142352034,1768640142665061,1768640142665061,1768640142676418,921850,652,587511,313027,313027,737694,17,1920,1080,yolov5s,WebpLossy,T1,FHD
3,10,RSU-0000,Offload,1768640142059306,1768640142062751,1768640142063194,1768640142063194,1768640142665185,1768640142665185,1768640142970877,1768640142970877,1768640142973293,913987,443,601991,305692,305692,462036,18,1920,1080,yolov5s,WebpLossy,T1,FHD
1,4,RSU-0001,Offload,1768640141855473,1768640141864226,1768640141865002,1768640141865003,1768640142971024,1768640142971024,1768640143296502,1768640143296502,1768640143316730,1461257,777,1106021,325478,325478,898538,18,1920,1080,yolov5s,WebpLossy,T1,FHD
3,10,RSU-0002,Offload,1768640142059306,1768640142057739,1768640142058230,1768640142058230,1768640143296643,1768640143296643,1768640143613860,1768640143613860,1768640143655113,1595807,491,1238413,317217,317217,462036,18,1920,1080,yolov5s,WebpLossy,T1,FHD
16,49,RSU-0000,Offload,1768640143376459,1768640143388293,1768640143388690,1768640143388690,1768640143614005,1768640143614005,1768640143930857,1768640143930857,1768640143962656,586197,397,225315,316852,316852,418450,19,1920,1080,yolov5s,WebpLossy,T1,FHD
8,25,RSU-0001,Offload,1768640142565466,1768640142574592,1768640142574970,1768640142574970,1768640143930999,1768640143930999,1768640144254695,1768640144254695,1768640144291626,1726160,378,1356029,323696,323696,415110,18,1920,1080,yolov5s,WebpLossy,T1,FHD
15,46,RSU-0002,Offload,1768640143275887,1768640143289066,1768640143289515,1768640143289515,1768640144254917,1768640144254917,1768640144577485,1768640144577485,1768640144613914,1338027,449,965402,322568,322568,419020,20,1920,1080,yolov5s,WebpLossy,T1,FHD
26,79,RSU-0000,Offload,1768640144391426,1768640144396141,1768640144396525,1768640144396526,1768640144577624,1768640144577624,1768640144920295,1768640144920295,1768640144973304,581878,385,181098,342671,342671,424682,18,1920,1080,yolov5s,WebpLossy,T1,FHD
22,67,RSU-0001,Offload,1768640143987029,1768640144001845,1768640144002266,1768640144002266,1768640144920442,1768640144920442,1768640145248211,1768640145248212,1768640145280538,1293509,421,918176,327770,327769,425176,19,1920,1080,yolov5s,WebpLossy,T1,FHD
26,79,RSU-0002,Offload,1768640144391426,1768640144391586,1768640144392058,1768640144392058,1768640145248267,1768640145248267,1768640145560634,1768640145560634,1768640145591667,1200241,472,856209,312367,312367,424682,18,1920,1080,yolov5s,WebpLossy,T1,FHD
36,109,RSU-0000,Offload,1768640145407068,1768640145410488,1768640145410878,1768640145410878,1768640145560787,1768640145560787,1768640145887496,1768640145887496,1768640145898117,491049,390,149909,326709,326709,431630,19,1920,1080,yolov5s,WebpLossy,T1,FHD
36,109,RSU-0001,Offload,1768640145407068,1768640145415699,1768640145416066,1768640145416066,1768640145887626,1768640145887626,1768640146215608,1768640146215609,1768640146218579,811511,367,471560,327983,327982,431630,19,1920,1080,yolov5s,WebpLossy,T1,FHD
36,109,RSU-0002,Offload,1768640145407068,1768640145405169,1768640145405581,1768640145405582,1768640146215751,1768640146215751,1768640146537742,1768640146537742,1768640146540123,1133055,413,810169,321991,321991,431630,19,1920,1080,yolov5s,WebpLossy,T1,FHD
46,139,RSU-0000,Offload,1768640146421665,1768640146427283,1768640146427716,1768640146427717,1768640146537803,1768640146537803,1768640146857857,1768640146857857,1768640146865250,443585,434,110086,320054,320054,434250,21,1920,1080,yolov5s,WebpLossy,T1,FHD
46,139,RSU-0001,Offload,1768640146421665,1768640146429683,1768640146430062,1768640146430062,1768640146857981,1768640146857981,1768640147180669,1768640147180669,1768640147190346,768681,379,427919,322688,322688,434250,21,1920,1080,yolov5s,WebpLossy,T1,FHD
46,139,RSU-0002,Offload,1768640146421665,1768640146419096,1768640146419547,1768640146419547,1768640147180813,1768640147180813,1768640147506237,1768640147506237,1768640147511196,1089531,451,761266,325424,325424,434250,21,1920,1080,yolov5s,WebpLossy,T1,FHD
56,169,RSU-0000,Offload,1768640147436548,1768640147440777,1768640147441179,1768640147441179,1768640147506283,1768640147506283,1768640147841857,1768640147841857,1768640147844478,407930,402,65104,335574,335574,426266,20,1920,1080,yolov5s,WebpLossy,T1,FHD
56,169,RSU-0001,Offload,1768640147436548,1768640147445559,1768640147445928,1768640147445928,1768640147841921,1768640147841921,1768640148166169,1768640148166170,1768640148170730,734182,369,395993,324249,324248,426266,20,1920,1080,yolov5s,WebpLossy,T1,FHD
55,166,RSU-0002,Offload,1768640147336037,1768640147335185,1768640147335692,1768640147335692,1768640148166313,1768640148166314,1768640148489029,1768640148489029,1768640148493826,1157789,507,830621,322716,322715,429600,20,1920,1080,yolov5s,WebpLossy,T1,FHD
65,196,RSU-0000,Offload,1768640148349432,1768640148355404,1768640148355840,1768640148355840,1768640148489179,1768640148489179,1768640148813283,1768640148813283,1768640148821423,471991,436,133339,324104,324104,430582,19,1920,1080,yolov5s,WebpLossy,T1,FHD
65,196,RSU-0001,Offload,1768640148349432,1768640148357165,1768640148357661,1768640148357661,1768640148813424,1768640148813425,1768640149139409,1768640149139420,1768640149148884,799452,496,455763,325996,325984,430582,19,1920,1080,yolov5s,WebpLossy,T1,FHD
65,196,RSU-0002,Offload,1768640148349432,1768640148347655,1768640148348093,1768640148348094,1768640149139464,1768640149139464,1768640149468539,1768640149468539,1768640149470561,1121129,439,791370,329075,329075,430582,19,1920,1080,yolov5s,WebpLossy,T1,FHD
75,226,RSU-0000,Offload,1768640149364896,1768640149369574,1768640149369984,1768640149369984,1768640149468703,1768640149468703,1768640149796935,1768640149796935,1768640149807598,442702,410,98719,328232,328232,428364,20,1920,1080,yolov5s,WebpLossy,T1,FHD
75,226,RSU-0001,Offload,1768640149364896,1768640149371844,1768640149372203,1768640149372203,1768640149797086,1768640149797086,1768640150122046,1768640150122047,1768640150124605,759709,359,424883,324961,324960,428364,20,1920,1080,yolov5s,WebpLossy,T1,FHD
75,226,RSU-0002,Offload,1768640149364896,1768640149362320,1768640149362765,1768640149362766,1768640150122193,1768640150122193,1768640150452713,1768640150452713,1768640150455668,1090772,446,759427,330520,330520,428364,20,1920,1080,yolov5s,WebpLossy,T1,FHD
84,253,RSU-0000,Offload,1768640150277940,1768640150282609,1768640150283012,1768640150283012,1768640150452855,1768640150452855,1768640150779873,1768640150779873,1768640150782085,504145,403,169843,327018,327018,433146,18,1920,1080,yolov5s,WebpLossy,T1,FHD
85,256,RSU-0001,Offload,1768640150379359,1768640150386243,1768640150386603,1768640150386603,1768640150780013,1768640150780013,1768640151106095,1768640151106095,1768640151109492,730133,360,393410,326082,326082,433772,18,1920,1080,yolov5s,WebpLossy,T1,FHD
85,256,RSU-0002,Offload,1768640150379359,1768640150377992,1768640150378418,1768640150378418,1768640151106242,1768640151106242,1768640151436463,1768640151436464,1768640151458588,1079229,426,727824,330222,330221,433772,18,1920,1080,yolov5s,WebpLossy,T1,FHD
94,283,RSU-0000,Offload,1768640151291696,1768640151296564,1768640151296969,1768640151296969,1768640151436654,1768640151436654,1768640151769176,1768640151769176,1768640151771370,479674,405,139685,332522,332522,431030,18,1920,1080,yolov5s,WebpLossy,T1,FHD
94,283,RSU-0001,Offload,1768640151291696,1768640151300769,1768640151301135,1768640151301135,1768640151769214,1768640151769214,1768640152107505,1768640152107505,1768640152110768,819072,366,468079,338291,338291,431030,18,1920,1080,yolov5s,WebpLossy,T1,FHD
