sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1769317143339266,1769317143348132,1769317143348596,1769317143348596,1769317143441839,1769317143441839,1769317143757941,1769317143757941,1769317143758343,419077,464,102449,316102,62,316102,509564,17,yolov5s,WebpLossy,T1,HD
0,1,RSU-0000,Offload,1769317143339265,1769317143348935,1769317143349429,1769317143349429,1769317143758975,1769317143758975,1769317144091794,1769317144091794,1769317144102047,762782,494,429325,332819,144,332819,509564,17,yolov5s,WebpLossy,T1,HD
1,3,RSU-0002,Offload,1769317143406807,1769317143416005,1769317143416592,1769317143416592,1769317144091824,1769317144091824,1769317144426788,1769317144426789,1769317144435616,1028809,587,360277,334965,332980,334964,583630,17,yolov5s,WebpLossy,T1,HD
6,13,RSU-0000,Offload,1769317143747610,1769317143750849,1769317143751191,1769317143751191,1769317144426821,1769317144426822,1769317144767816,1769317144767816,1769317144787493,1039883,342,697158,340995,1388,340994,380142,17,yolov5s,WebpLossy,T1,HD
6,13,RSU-0001,Offload,1769317143747624,1769317143747505,1769317143747835,1769317143747836,1769317144767851,1769317144767851,1769317145106147,1769317145106147,1769317145120071,1372447,331,595636,338296,438184,338296,380142,17,yolov5s,WebpLossy,T1,HD
9,19,RSU-0002,Offload,1769317143952500,1769317143967591,1769317143967965,1769317143967965,1769317145106178,1769317145106179,1769317145441670,1769317145441670,1769317145502334,1549834,374,502479,335492,711489,335491,379920,18,yolov5s,WebpLossy,T1,HD
18,37,RSU-0000,Offload,1769317144565739,1769317144569417,1769317144569831,1769317144569832,1769317145441704,1769317145441705,1769317145777893,1769317145777893,1769317145879658,1313919,415,909538,336189,67777,336188,379860,19,yolov5s,WebpLossy,T1,HD
17,35,RSU-0001,Offload,1769317144498054,1769317144505878,1769317144506273,1769317144506273,1769317145777924,1769317145777924,1769317146115277,1769317146115277,1769317146148950,1650896,395,941723,337353,371425,337353,379078,20,yolov5s,WebpLossy,T1,HD
26,53,RSU-0002,Offload,1769317145109067,1769317145118141,1769317145118522,1769317145118522,1769317146115304,1769317146115305,1769317146447913,1769317146447914,1769317146547049,1437982,381,430182,332610,674809,332608,382608,19,yolov5s,WebpLossy,T1,HD
28,57,RSU-0000,Offload,1769317145244474,1769317145250071,1769317145250460,1769317145250460,1769317146447947,1769317146447947,1769317146776415,1769317146776415,1769317146864419,1619945,389,1204013,328468,87075,328468,380762,20,yolov5s,WebpLossy,T1,HD
27,55,RSU-0001,Offload,1769317145176641,1769317145182328,1769317145182686,1769317145182686,1769317146776449,1769317146776449,1769317147114563,1769317147114563,1769317147223262,2046621,358,1304963,338114,403186,338114,384184,18,yolov5s,WebpLossy,T1,HD
41,83,RSU-0002,Offload,1769317146128584,1769317146136140,1769317146136507,1769317146136508,1769317147114603,1769317147114603,1769317147447407,1769317147447407,1769317147571197,1442613,368,393518,332804,715923,332804,385758,20,yolov5s,WebpLossy,T1,HD
38,77,RSU-0000,Offload,1769317145924245,1769317145929775,1769317145930178,1769317145930179,1769317147447445,1769317147447445,1769317147778407,1769317147778407,1769317147933245,2009000,404,1655464,330962,22170,330962,384566,19,yolov5s,WebpLossy,T1,HD
40,81,RSU-0001,Offload,1769317146059917,1769317146069938,1769317146070259,1769317146070259,1769317147778438,1769317147778438,1769317148110907,1769317148110907,1769317148350373,2290456,321,1499483,332469,458183,332469,382640,20,yolov5s,WebpLossy,T1,HD
56,113,RSU-0002,Offload,1769317147150643,1769317147155235,1769317147155625,1769317147155625,1769317148110940,1769317148110940,1769317148445154,1769317148445154,1769317148479028,1328385,390,278948,334214,714833,334214,386768,19,yolov5s,WebpLossy,T1,HD
45,91,RSU-0000,Offload,1769317146399739,1769317146433871,1769317146434286,1769317146434286,1769317148445196,1769317148445196,1769317148780129,1769317148780129,1769317148781754,2382015,415,1912817,334933,133850,334933,388816,21,yolov5s,WebpLossy,T1,HD
51,103,RSU-0001,Offload,1769317146810660,1769317146810037,1769317146810381,1769317146810381,1769317148780160,1769317148780160,1769317149114513,1769317149114513,1769317149214517,2403857,344,1691444,334353,377716,334353,388922,18,yolov5s,WebpLossy,T1,HD
68,137,RSU-0002,Offload,1769317147965769,1769317147969389,1769317147969782,1769317147969782,1769317149114546,1769317149114547,1769317149451070,1769317149451070,1769317149638923,1673154,393,600254,336524,735983,336523,389062,21,yolov5s,WebpLossy,T1,HD
55,111,RSU-0000,Offload,1769317147081999,1769317147091346,1769317147091791,1769317147091792,1769317149451105,1769317149451105,1769317149793353,1769317149793353,1769317150044446,2962447,446,2514026,342248,105727,342248,389628,20,yolov5s,WebpLossy,T1,HD
65,131,RSU-0001,Offload,1769317147763191,1769317147766403,1769317147766800,1769317147766800,1769317149793382,1769317149793382,1769317150134198,1769317150134198,1769317150541093,2777902,397,2075073,340816,361616,340816,388698,20,yolov5s,WebpLossy,T1,HD
84,169,RSU-0002,Offload,1769317149054105,1769317149059479,1769317149059879,1769317149059879,1769317150134230,1769317150134230,1769317150474219,1769317150474220,1769317150606468,1552363,400,494583,339990,717390,339989,382716,20,yolov5s,WebpLossy,T1,HD
61,123,RSU-0000,Offload,1769317147489851,1769317147495320,1769317147495745,1769317147495745,1769317150474263,1769317150474263,1769317150793027,1769317150793027,1769317151193169,3703318,425,3224719,318764,159410,318764,389942,20,yolov5s,WebpLossy,T1,HD
