sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1768636542371807,1768636542373537,1768636542373768,1768636542373768,1768636542513168,1768636542513168,1768636542711411,1768636542711412,1768636542709930,338123,231,139400,198244,198243,187358,17,640,640,yolov5s,WebpLossy,T1,Letterbox
0,1,RSU-0000,Offload,1768636542371807,1768636542377620,1768636542377835,1768636542377836,1768636542711944,1768636542711944,1768636542919915,1768636542919915,1768636542921315,549508,216,334108,207971,207971,187358,17,640,640,yolov5s,WebpLossy,T1,Letterbox
1,7,RSU-0002,Offload,1768636542572797,1768636542575502,1768636542575742,1768636542575742,1768636542920022,1768636542920022,1768636543126225,1768636543126225,1768636543125012,552215,240,344280,206203,206203,179126,17,640,640,yolov5s,WebpLossy,T1,Letterbox
3,19,RSU-0000,Offload,1768636542975143,1768636542983591,1768636542983780,1768636542983780,1768636543126441,1768636543126441,1768636543340048,1768636543340049,1768636543338601,363458,189,142661,213608,213607,165118,18,640,640,yolov5s,WebpLossy,T1,Letterbox
3,19,RSU-0001,Offload,1768636542975143,1768636542981544,1768636542981729,1768636542981730,1768636543340111,1768636543340111,1768636543552174,1768636543552175,1768636543550822,575679,186,358381,212064,212063,165118,18,640,640,yolov5s,WebpLossy,T1,Letterbox
3,19,RSU-0002,Offload,1768636542975143,1768636542978603,1768636542978814,1768636542978815,1768636543552381,1768636543552381,1768636543766452,1768636543766452,1768636543765294,790151,212,573566,214071,214071,165118,18,640,640,yolov5s,WebpLossy,T1,Letterbox
6,37,RSU-0000,Offload,1768636543579425,1768636543588283,1768636543588472,1768636543588472,1768636543766677,1768636543766677,1768636543979776,1768636543979776,1768636543978497,399072,189,178205,213099,213099,165492,18,640,640,yolov5s,WebpLossy,T1,Letterbox
6,37,RSU-0001,Offload,1768636543579425,1768636543585916,1768636543586134,1768636543586134,1768636543979988,1768636543979988,1768636544197337,1768636544197337,1768636544213251,633826,218,393854,217349,217349,165492,18,640,640,yolov5s,WebpLossy,T1,Letterbox
6,37,RSU-0002,Offload,1768636543579425,1768636543582944,1768636543583169,1768636543583169,1768636544197541,1768636544197542,1768636544416517,1768636544416518,1768636544428328,848903,225,614372,218977,218975,165492,18,640,640,yolov5s,WebpLossy,T1,Letterbox
9,55,RSU-0000,Offload,1768636544182520,1768636544189792,1768636544189993,1768636544189994,1768636544416632,1768636544416632,1768636544637571,1768636544637572,1768636544636277,453757,202,226638,220940,220939,166358,18,640,640,yolov5s,WebpLossy,T1,Letterbox
