sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769303864434480,1769303864438462,1769303864439117,1769303864439117,1769303864562245,1769303864562245,1769303864886761,1769303864886761,1769303864889491,455011,655,129833,324516,7,324516,747136,17,yolov5s,WebpLossy,T2,FHD
0,1,RSU-0002,Offload,1769303864434481,1769303864442060,1769303864442721,1769303864442722,1769303864888369,1769303864888369,1769303865205170,1769303865205170,1769303865208192,773711,662,456241,316801,7,316801,747136,17,yolov5s,WebpLossy,T2,FHD
0,1,RSU-0001,Offload,1769303864434481,1769303864435056,1769303864435703,1769303864435703,1769303865205236,1769303865205237,1769303865521180,1769303865521181,1769303865523872,1089391,647,463595,315945,309204,315943,747136,17,yolov5s,WebpLossy,T2,FHD
1,31,RSU-0002,Offload,1769303865435932,1769303865441791,1769303865442210,1769303865442210,1769303865583031,1769303865583031,1769303865904021,1769303865904021,1769303865906674,470742,419,149327,320990,6,320990,414110,19,yolov5s,WebpLossy,T2,FHD
1,31,RSU-0000,Offload,1769303865435914,1769303865442900,1769303865443257,1769303865443257,1769303865904089,1769303865904089,1769303866215215,1769303866215215,1769303866217878,781964,357,171663,311126,298818,311126,414110,19,yolov5s,WebpLossy,T2,FHD
1,31,RSU-0001,Offload,1769303865435930,1769303865442428,1769303865442775,1769303865442776,1769303866215245,1769303866215246,1769303866538694,1769303866538694,1769303866541957,1106027,348,206973,323449,575257,323448,414110,19,yolov5s,WebpLossy,T2,FHD
2,61,RSU-0000,Offload,1769303866437738,1769303866443622,1769303866443998,1769303866443999,1769303866538733,1769303866538733,1769303866855699,1769303866855699,1769303866858144,420406,377,97163,316966,5900,316966,420674,20,yolov5s,WebpLossy,T2,FHD
2,61,RSU-0002,Offload,1769303866437765,1769303866442686,1769303866443063,1769303866443063,1769303866855734,1769303866855734,1769303867175570,1769303867175570,1769303867180019,742254,377,99784,319836,322257,319836,420674,20,yolov5s,WebpLossy,T2,FHD
2,61,RSU-0001,Offload,1769303866437764,1769303866441878,1769303866442230,1769303866442230,1769303867175610,1769303867175610,1769303867501712,1769303867501712,1769303867506085,1068321,352,120282,326102,621585,326102,420674,20,yolov5s,WebpLossy,T2,FHD
3,91,RSU-0000,Offload,1769303867438808,1769303867445868,1769303867446193,1769303867446193,1769303867525277,1769303867525277,1769303867841644,1769303867841644,1769303867844343,405535,325,88837,316367,6,316367,424556,22,yolov5s,WebpLossy,T2,FHD
3,91,RSU-0002,Offload,1769303867438820,1769303867443753,1769303867444125,1769303867444126,1769303867842218,1769303867842218,1769303868162745,1769303868162745,1769303868165294,726474,373,405566,320527,8,320527,424556,22,yolov5s,WebpLossy,T2,FHD
3,91,RSU-0001,Offload,1769303867438819,1769303867442120,1769303867442469,1769303867442470,1769303868162784,1769303868162784,1769303868486164,1769303868486164,1769303868488930,1050111,350,406395,323380,319986,323380,424556,22,yolov5s,WebpLossy,T2,FHD
4,121,RSU-0000,Offload,1769303868440135,1769303868445837,1769303868446182,1769303868446182,1769303868532408,1769303868532408,1769303868852242,1769303868852242,1769303868854782,414647,345,94462,319834,6,319834,426484,20,yolov5s,WebpLossy,T2,FHD
4,121,RSU-0002,Offload,1769303868440151,1769303868444848,1769303868445228,1769303868445229,1769303868852812,1769303868852812,1769303869170991,1769303869170991,1769303869173638,733487,381,414920,318179,7,318179,426484,20,yolov5s,WebpLossy,T2,FHD
4,121,RSU-0001,Offload,1769303868440150,1769303868444116,1769303868444469,1769303868444469,1769303869171029,1769303869171029,1769303869496260,1769303869496260,1769303869511497,1071347,353,428056,325231,317707,325231,426484,20,yolov5s,WebpLossy,T2,FHD
5,151,RSU-0000,Offload,1769303869441520,1769303869447874,1769303869448253,1769303869448253,1769303869544437,1769303869544437,1769303869857690,1769303869857690,1769303869860284,418764,379,105126,313253,6,313253,431688,21,yolov5s,WebpLossy,T2,FHD
5,151,RSU-0002,Offload,1769303869441539,1769303869447223,1769303869447597,1769303869447597,1769303869858224,1769303869858224,1769303870177381,1769303870177381,1769303870180206,738667,374,419129,319157,7,319157,431688,21,yolov5s,WebpLossy,T2,FHD
5,151,RSU-0001,Offload,1769303869441537,1769303869443793,1769303869444205,1769303869444206,1769303870177426,1769303870177426,1769303870503554,1769303870503555,1769303870510286,1068749,413,423626,326129,318581,326128,431688,21,yolov5s,WebpLossy,T2,FHD
6,181,RSU-0000,Offload,1769303870443335,1769303870448162,1769303870448532,1769303870448533,1769303870532546,1769303870532546,1769303870847746,1769303870847746,1769303870850291,406956,371,91378,315200,7,315200,426176,19,yolov5s,WebpLossy,T2,FHD
6,181,RSU-0002,Offload,1769303870443363,1769303870449252,1769303870449691,1769303870449691,1769303870848309,1769303870848309,1769303871169962,1769303871169963,1769303871173677,730314,439,408213,321654,8,321653,426176,19,yolov5s,WebpLossy,T2,FHD
6,181,RSU-0001,Offload,1769303870443362,1769303870447645,1769303870448056,1769303870448056,1769303871170006,1769303871170006,1769303871495900,1769303871495900,1769303871498557,1055195,411,407317,325894,321573,325894,426176,19,yolov5s,WebpLossy,T2,FHD
7,211,RSU-0002,Offload,1769303871444655,1769303871449556,1769303871449928,1769303871449929,1769303871537672,1769303871537672,1769303871854196,1769303871854196,1769303871857021,412366,373,95463,316524,6,316524,428342,19,yolov5s,WebpLossy,T2,FHD
7,211,RSU-0000,Offload,1769303871444638,1769303871450311,1769303871450686,1769303871450686,1769303871854233,1769303871854233,1769303872174769,1769303872174769,1769303872177417,732779,375,95403,320536,316465,320536,428342,19,yolov5s,WebpLossy,T2,FHD
7,211,RSU-0001,Offload,1769303871444654,1769303871449273,1769303871449690,1769303871449691,1769303872174802,1769303872174803,1769303872500216,1769303872500216,1769303872522975,1078321,418,134819,325414,617670,325413,428342,19,yolov5s,WebpLossy,T2,FHD
8,241,RSU-0000,Offload,1769303872445886,1769303872450657,1769303872450988,1769303872450988,1769303872535046,1769303872535046,1769303872851282,1769303872851283,1769303872853964,408078,331,91505,316237,5,316236,428306,19,yolov5s,WebpLossy,T2,FHD
8,241,RSU-0001,Offload,1769303872445897,1769303872450216,1769303872450597,1769303872450597,1769303872851325,1769303872851325,1769303873173323,1769303873173323,1769303873175828,729931,381,110997,321998,296555,321998,428306,19,yolov5s,WebpLossy,T2,FHD
