sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769312248094463,1769312248101388,1769312248101599,1769312248101599,1769312248229501,1769312248229501,1769312248515342,1769312248515342,1769312248515678,421215,211,135132,285841,31,285841,187358,17,yolov5s,WebpLossy,T2,Letterbox
0,1,RSU-0001,Offload,1769312248094464,1769312248093062,1769312248093262,1769312248093262,1769312248515740,1769312248515740,1769312248812809,1769312248812809,1769312248815842,721378,200,424056,297069,53,297069,187358,17,yolov5s,WebpLossy,T2,Letterbox
6,19,RSU-0000,Offload,1769312248703363,1769312248709012,1769312248709231,1769312248709231,1769312248812861,1769312248812862,1769312249097862,1769312249097862,1769312249098135,394772,219,105624,285001,3928,285000,165118,18,yolov5s,WebpLossy,T2,Letterbox
6,19,RSU-0001,Offload,1769312248703377,1769312248705110,1769312248705340,1769312248705340,1769312249097888,1769312249097888,1769312249385480,1769312249385480,1769312249386125,682748,230,103258,287592,291668,287592,165118,18,yolov5s,WebpLossy,T2,Letterbox
5,16,RSU-0002,Offload,1769312248601727,1769312248605166,1769312248605383,1769312248605383,1769312249385507,1769312249385507,1769312249667237,1769312249667237,1769312249668387,1066660,217,72654,281730,712059,281730,165034,17,yolov5s,WebpLossy,T2,Letterbox
15,46,RSU-0000,Offload,1769312249613797,1769312249620101,1769312249620313,1769312249620314,1769312249667262,1769312249667262,1769312249950887,1769312249950887,1769312249951493,337696,213,46663,283625,7195,283625,165644,17,yolov5s,WebpLossy,T2,Letterbox
15,46,RSU-0001,Offload,1769312249613806,1769312249612720,1769312249612914,1769312249612914,1769312249950918,1769312249950919,1769312250235312,1769312250235312,1769312250240892,627086,194,58388,284394,284110,284393,165644,17,yolov5s,WebpLossy,T2,Letterbox
15,46,RSU-0002,Offload,1769312249613807,1769312249622102,1769312249622303,1769312249622303,1769312250235342,1769312250235342,1769312250518802,1769312250518802,1769312250519347,905540,201,53084,283460,568795,283460,165644,17,yolov5s,WebpLossy,T2,Letterbox
23,70,RSU-0000,Offload,1769312250422345,1769312250428156,1769312250428375,1769312250428375,1769312250518837,1769312250518838,1769312250804988,1769312250804988,1769312250805465,383120,219,41957,286151,54793,286150,166548,18,yolov5s,WebpLossy,T2,Letterbox
23,70,RSU-0001,Offload,1769312250422353,1769312250424828,1769312250425060,1769312250425061,1769312250805015,1769312250805016,1769312251093243,1769312251093243,1769312251093750,671397,233,41702,288228,341234,288227,166548,18,yolov5s,WebpLossy,T2,Letterbox
23,70,RSU-0002,Offload,1769312250422354,1769312250426021,1769312250426259,1769312250426259,1769312251093274,1769312251093274,1769312251380257,1769312251380257,1769312251380736,958382,238,37147,286983,634014,286983,166548,18,yolov5s,WebpLossy,T2,Letterbox
32,97,RSU-0000,Offload,1769312251334588,1769312251340298,1769312251340520,1769312251340520,1769312251380300,1769312251380300,1769312251665974,1769312251665975,1769312251678495,343907,222,55353,285675,2657,285674,166524,19,yolov5s,WebpLossy,T2,Letterbox
32,97,RSU-0001,Offload,1769312251334610,1769312251335501,1769312251335725,1769312251335725,1769312251665992,1769312251665992,1769312251953116,1769312251953116,1769312251981904,647294,224,59073,287124,300873,287124,166524,19,yolov5s,WebpLossy,T2,Letterbox
32,97,RSU-0002,Offload,1769312251334612,1769312251339114,1769312251339352,1769312251339352,1769312251953144,1769312251953144,1769312252241797,1769312252241797,1769312252242313,907701,238,37093,288653,581717,288653,166524,19,yolov5s,WebpLossy,T2,Letterbox
40,121,RSU-0000,Offload,1769312252144497,1769312252150891,1769312252151087,1769312252151087,1769312252241828,1769312252241828,1769312252530108,1769312252530108,1769312252530639,386142,196,29045,288280,68621,288280,166836,20,yolov5s,WebpLossy,T2,Letterbox
40,121,RSU-0001,Offload,1769312252144509,1769312252146654,1769312252146835,1769312252146835,1769312252530137,1769312252530137,1769312252818493,1769312252818493,1769312252818943,674434,181,42835,288356,343062,288356,166836,20,yolov5s,WebpLossy,T2,Letterbox
40,121,RSU-0002,Offload,1769312252144510,1769312252149816,1769312252150018,1769312252150018,1769312252818522,1769312252818522,1769312253106692,1769312253106692,1769312253107463,962953,202,42796,288170,631785,288170,166836,20,yolov5s,WebpLossy,T2,Letterbox
49,148,RSU-0000,Offload,1769312253057033,1769312253062662,1769312253062891,1769312253062891,1769312253106728,1769312253106728,1769312253393094,1769312253393095,1769312253400694,343661,229,42324,286367,14741,286366,168286,18,yolov5s,WebpLossy,T2,Letterbox
49,148,RSU-0001,Offload,1769312253057041,1769312253057820,1769312253058044,1769312253058045,1769312253393126,1769312253393126,1769312253683159,1769312253683159,1769312253703057,646016,225,64307,290033,291451,290033,168286,18,yolov5s,WebpLossy,T2,Letterbox
49,148,RSU-0002,Offload,1769312253057042,1769312253061579,1769312253061824,1769312253061824,1769312253683192,1769312253683192,1769312253972521,1769312253972521,1769312253973053,916011,245,34950,289329,591487,289329,168286,18,yolov5s,WebpLossy,T2,Letterbox
57,172,RSU-0000,Offload,1769312253869439,1769312253875522,1769312253875767,1769312253875767,1769312253972560,1769312253972561,1769312254263333,1769312254263334,1769312254263874,394435,245,40789,290774,62627,290772,167158,18,yolov5s,WebpLossy,T2,Letterbox
57,172,RSU-0001,Offload,1769312253869453,1769312253871289,1769312253871502,1769312253871502,1769312254263364,1769312254263364,1769312254552421,1769312254552421,1769312254553355,683902,213,40351,289057,354281,289057,167158,18,yolov5s,WebpLossy,T2,Letterbox
57,172,RSU-0002,Offload,1769312253869454,1769312253872395,1769312253872623,1769312253872623,1769312254552451,1769312254552451,1769312254841956,1769312254841956,1769312254842296,972842,228,41790,289505,641319,289505,167158,18,yolov5s,WebpLossy,T2,Letterbox
66,199,RSU-0000,Offload,1769312254780187,1769312254786436,1769312254786663,1769312254786663,1769312254841993,1769312254841994,1769312255130697,1769312255130697,1769312255131362,351175,227,39422,288704,22822,288703,167812,20,yolov5s,WebpLossy,T2,Letterbox
66,199,RSU-0001,Offload,1769312254780201,1769312254781212,1769312254781445,1769312254781445,1769312255130734,1769312255130734,1769312255419165,1769312255419165,1769312255420428,640227,233,36560,288431,315003,288431,167812,20,yolov5s,WebpLossy,T2,Letterbox
66,199,RSU-0002,Offload,1769312254780202,1769312254784997,1769312254785246,1769312254785246,1769312255419203,1769312255419203,1769312255708093,1769312255708093,1769312255727014,946812,249,54645,288890,603028,288890,167812,20,yolov5s,WebpLossy,T2,Letterbox
74,223,RSU-0000,Offload,1769312255590106,1769312255598801,1769312255599019,1769312255599019,1769312255708135,1769312255708136,1769312255998311,1769312255998311,1769312255998862,408756,218,38931,290176,79431,290175,167912,17,yolov5s,WebpLossy,T2,Letterbox
74,223,RSU-0001,Offload,1769312255590120,1769312255591079,1769312255591274,1769312255591274,1769312255998345,1769312255998345,1769312256290824,1769312256290824,1769312256291430,701310,195,39457,292479,369179,292479,167912,17,yolov5s,WebpLossy,T2,Letterbox
74,223,RSU-0002,Offload,1769312255590121,1769312255593322,1769312255593600,1769312255593600,1769312256290855,1769312256290856,1769312256581847,1769312256581847,1769312256582639,992518,278,41145,290992,660103,290991,167912,17,yolov5s,WebpLossy,T2,Letterbox
83,250,RSU-0000,Offload,1769312256500019,1769312256502819,1769312256503040,1769312256503040,1769312256581881,1769312256581881,1769312256872463,1769312256872463,1769312256872952,372933,221,39821,290582,42309,290582,166402,18,yolov5s,WebpLossy,T2,Letterbox
83,250,RSU-0001,Offload,1769312256500028,1769312256497530,1769312256497751,1769312256497751,1769312256872496,1769312256872496,1769312257163083,1769312257163083,1769312257163485,663457,221,24489,290587,348160,290587,166402,18,yolov5s,WebpLossy,T2,Letterbox
83,250,RSU-0002,Offload,1769312256500029,1769312256501857,1769312256502113,1769312256502113,1769312257163113,1769312257163113,1769312257452387,1769312257452387,1769312257452833,952804,256,31338,289274,631936,289274,166402,18,yolov5s,WebpLossy,T2,Letterbox
92,277,RSU-0000,Offload,1769312257411376,1769312257415203,1769312257415436,1769312257415437,1769312257452430,1769312257452430,1769312257741009,1769312257741010,1769312257751546,340170,234,40779,288580,10577,288579,167364,17,yolov5s,WebpLossy,T2,Letterbox
92,277,RSU-0001,Offload,1769312257411389,1769312257410687,1769312257410898,1769312257410899,1769312257741046,1769312257741046,1769312258031561,1769312258031561,1769312258034109,622720,212,35069,290515,296924,290515,167364,17,yolov5s,WebpLossy,T2,Letterbox
92,277,RSU-0002,Offload,1769312257411391,1769312257411422,1769312257411679,1769312257411679,1769312258031591,1769312258031591,1769312258323098,1769312258323098,1769312258323447,912056,257,40161,291507,580131,291507,167364,17,yolov5s,WebpLossy,T2,Letterbox
100,301,RSU-0000,Offload,1769312258222009,1769312258230123,1769312258230330,1769312258230330,1769312258323143,1769312258323143,1769312258615646,1769312258615646,1769312258616163,394154,207,38578,292503,62866,292503,166452,17,yolov5s,WebpLossy,T2,Letterbox
100,301,RSU-0001,Offload,1769312258222025,1769312258223334,1769312258223539,1769312258223539,1769312258615687,1769312258615687,1769312258907126,1769312258907126,1769312258907698,685673,205,39103,291439,354926,291439,166452,17,yolov5s,WebpLossy,T2,Letterbox
100,301,RSU-0002,Offload,1769312258222027,1769312258225123,1769312258225337,1769312258225337,1769312258907159,1769312258907159,1769312259199048,1769312259199048,1769312259199553,977526,214,35604,291889,649819,291889,166452,17,yolov5s,WebpLossy,T2,Letterbox
