sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1768640762197156,1768640762203206,1768640762203809,1768640762203809,1768640762443419,1768640762443419,1768640762670631,1768640762670631,1768640762674930,477774,603,239610,227212,227212,599474,17,1280,720,yolov5s,WebpLossy,T3,HD
0,1,RSU-0001,Offload,1768640762197156,1768640762206284,1768640762206851,1768640762206852,1768640762671810,1768640762671810,1768640762944201,1768640762944201,1768640762963141,765985,568,464958,272391,272391,599474,17,1280,720,yolov5s,WebpLossy,T3,HD
5,16,RSU-0000,Offload,1768640762703361,1768640762709532,1768640762709998,1768640762709998,1768640762944239,1768640762944239,1768640763211437,1768640763211437,1768640763214592,511231,466,234241,267198,267198,441610,18,1280,720,yolov5s,WebpLossy,T3,HD
1,4,RSU-0001,Offload,1768640762298624,1768640762304040,1768640762304672,1768640762304672,1768640763211487,1768640763211487,1768640763489394,1768640763489395,1768640763494961,1196337,632,906815,277908,277907,671272,18,1280,720,yolov5s,WebpLossy,T3,HD
1,4,RSU-0002,Offload,1768640762298624,1768640762304035,1768640762304751,1768640762304751,1768640763489456,1768640763489456,1768640763765980,1768640763765981,1768640763769676,1471052,716,1184705,276525,276524,671272,18,1280,720,yolov5s,WebpLossy,T3,HD
15,46,RSU-0000,Offload,1768640763720300,1768640763727540,1768640763727950,1768640763727950,1768640763766109,1768640763766109,1768640764034245,1768640764034246,1768640764037724,317424,410,38159,268137,268136,442898,20,1280,720,yolov5s,WebpLossy,T3,HD
10,31,RSU-0001,Offload,1768640763210976,1768640763222566,1768640763223082,1768640763223082,1768640764034372,1768640764034372,1768640764312322,1768640764312322,1768640764345038,1134062,516,811290,277950,277950,440038,20,1280,720,yolov5s,WebpLossy,T3,HD
10,31,RSU-0002,Offload,1768640763210976,1768640763223601,1768640763224094,1768640763224094,1768640764312384,1768640764312384,1768640764597439,1768640764597439,1768640764639464,1428488,493,1088290,285055,285055,440038,20,1280,720,yolov5s,WebpLossy,T3,HD
22,67,RSU-0000,Offload,1768640764432763,1768640764438313,1768640764438732,1768640764438733,1768640764597482,1768640764597482,1768640764869444,1768640764869444,1768640764936580,503817,420,158749,271962,271962,446494,19,1280,720,yolov5s,WebpLossy,T3,HD
21,64,RSU-0001,Offload,1768640764331634,1768640764348577,1768640764349020,1768640764349020,1768640764869585,1768640764869585,1768640765140987,1768640765140988,1768640765145392,813758,443,520565,271403,271402,445844,19,1280,720,yolov5s,WebpLossy,T3,HD
21,64,RSU-0002,Offload,1768640764331634,1768640764348597,1768640764349009,1768640764349009,1768640765141126,1768640765141126,1768640765414011,1768640765414011,1768640765444692,1113058,412,792117,272885,272885,445844,19,1280,720,yolov5s,WebpLossy,T3,HD
30,91,RSU-0000,Offload,1768640765243057,1768640765245659,1768640765246097,1768640765246097,1768640765414154,1768640765414154,1768640765689627,1768640765689627,1768640765746729,503672,438,168057,275473,275473,450314,21,1280,720,yolov5s,WebpLossy,T3,HD
31,94,RSU-0001,Offload,1768640765345054,1768640765352369,1768640765352809,1768640765352809,1768640765689767,1768640765689767,1768640765962782,1768640765962782,1768640766037195,692141,440,336958,273015,273015,449294,21,1280,720,yolov5s,WebpLossy,T3,HD
30,91,RSU-0002,Offload,1768640765243057,1768640765249029,1768640765249492,1768640765249493,1768640765962920,1768640765962920,1768640766242997,1768640766242998,1768640766244647,1001590,464,713427,280078,280077,450314,21,1280,720,yolov5s,WebpLossy,T3,HD
