sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1768750381647542,1768750381651351,1768750381651587,1768750381651587,1768750381705260,1768750381705260,1768750381915841,1768750381915841,1768750381918645,271103,236,53673,210581,210581,227146,17,640,640,yolov5s,WebpLossy,T3,Letterbox
0,1,RSU-0000,Offload,1768750381647542,1768750381650052,1768750381650310,1768750381650310,1768750381916410,1768750381916410,1768750382177317,1768750382177317,1768750382181445,533903,258,266100,260907,260907,227146,17,640,640,yolov5s,WebpLossy,T3,Letterbox
5,11,RSU-0000,Offload,1768750381988053,1768750381993274,1768750381993527,1768750381993527,1768750382177585,1768750382177586,1768750382427946,1768750382427946,1768750382441849,453796,253,184058,250361,250360,203168,17,640,640,yolov5s,WebpLossy,T3,Letterbox
7,15,RSU-0001,Offload,1768750382123681,1768750382129031,1768750382129278,1768750382129278,1768750382428707,1768750382428707,1768750382672840,1768750382672840,1768750382678479,554798,247,299429,244133,244133,202690,18,640,640,yolov5s,WebpLossy,T3,Letterbox
4,9,RSU-0002,Offload,1768750381919944,1768750381917636,1768750381917863,1768750381917863,1768750382673343,1768750382673344,1768750382923109,1768750382923109,1768750382925866,1005922,227,755480,249766,249765,202206,19,640,640,yolov5s,WebpLossy,T3,Letterbox
18,37,RSU-0000,Offload,1768750382873908,1768750382874508,1768750382874775,1768750382874775,1768750382923450,1768750382923450,1768750383173711,1768750383173711,1768750383186501,312593,267,48675,250261,250261,202820,18,640,640,yolov5s,WebpLossy,T3,Letterbox
18,37,RSU-0001,Offload,1768750382873908,1768750382876918,1768750382877159,1768750382877159,1768750383173901,1768750383173901,1768750383425086,1768750383425086,1768750383427712,553804,241,296742,251185,251185,202820,18,640,640,yolov5s,WebpLossy,T3,Letterbox
18,37,RSU-0002,Offload,1768750382873908,1768750382875696,1768750382875941,1768750382875941,1768750383425325,1768750383425326,1768750383680649,1768750383680650,1768750383683208,809300,245,549384,255325,255323,202820,18,640,640,yolov5s,WebpLossy,T3,Letterbox
29,59,RSU-0000,Offload,1768750383623729,1768750383622604,1768750383622853,1768750383622853,1768750383680874,1768750383680874,1768750383946543,1768750383946543,1768750383949472,325743,249,58021,265669,265669,203648,18,640,640,yolov5s,WebpLossy,T3,Letterbox
29,59,RSU-0001,Offload,1768750383623729,1768750383626986,1768750383627213,1768750383627214,1768750383947102,1768750383947102,1768750384208999,1768750384208999,1768750384212564,588835,228,319888,261897,261897,203648,18,640,640,yolov5s,WebpLossy,T3,Letterbox
