sequence_id,frame_number,pi_hostname,pi_capture_start,pi_sent_to_jetson,jetson_received,jetson_sent_result,controller_sent_pulse,controller_received,pi_overhead_us,jetson_overhead_us,network_latency_us,total_latency_us,inference_us,frame_size_bytes,detection_count,image_width,image_height,model_name,experiment_mode
0,1,,1756499431153868,,,,1756499431112577,1756499434994960,0,0,18526,3882383,3863857,129971,23,1920,1080,yolov5m,local
7,211,,1756499435020709,,,,1756499431585684,1756499439018719,0,0,3411716,7433035,4021319,59839,24,1920,1080,yolov5m,local
57,1711,,1756499435032436,,,,1756499434953253,1756499443007324,0,0,4061589,8054071,3992482,59468,21,1920,1080,yolov5m,local
176,5281,,1756499443010683,,,,1756499442974387,1756499447026096,0,0,32664,4051709,4019045,59831,17,1920,1080,yolov5m,local
235,7051,,1756499446989366,,,,1756499446951851,1756499450982324,0,0,78845,4030473,3951628,57219,21,1920,1080,yolov5m,local
294,8821,,1756499450962816,,,,1756499450926416,1756499454948157,0,0,52309,4021741,3969432,58128,21,1920,1080,yolov5m,local
353,10591,,1756499454943845,,,,1756499454907110,1756499458960436,0,0,41839,4053326,4011487,59327,19,1920,1080,yolov5m,local
413,12391,,1756499458986242,,,,1756499458949971,1756499462865726,0,0,14550,3915755,3901205,56954,19,1920,1080,yolov5m,local
470,14101,,1756499462824837,,,,1756499462791109,1756499466844811,0,0,71666,4053702,3982036,58714,23,1920,1080,yolov5m,local
530,15901,,1756499466867479,,,,1756499466831800,1756499470839006,0,0,13589,4007206,3993617,59945,24,1920,1080,yolov5m,local
589,17671,,1756499470843074,,,,1756499470806398,1756499474795294,0,0,32819,3988896,3956077,61356,20,1920,1080,yolov5m,local
648,19441,,1756499474815359,,,,1756499474782023,1756499478773649,0,0,13794,3991626,3977832,58670,19,1920,1080,yolov5m,local
707,21211,,1756499478793984,,,,1756499478757053,1756499482736041,0,0,20420,3978988,3958568,60081,25,1920,1080,yolov5m,local
765,22951,,1756499482707221,,,,1756499482669895,1756499486714297,0,0,66818,4044402,3977584,57366,20,1920,1080,yolov5m,local
824,24721,,1756499486678725,,,,1756499486641613,1756499490681415,0,0,72859,4039802,3966943,57170,17,1920,1080,yolov5m,local
883,26491,,1756499490655595,,,,1756499490617496,1756499494664292,0,0,65338,4046796,3981458,57811,20,1920,1080,yolov5m,local
942,28261,,1756499494632216,,,,1756499494594176,1756499498668617,0,0,66950,4074441,4007491,57755,21,1920,1080,yolov5m,local
1002,61,,1756499498676104,,,,1756499498638699,1756499502629227,0,0,30468,3990528,3960060,59277,25,1920,1080,yolov5m,local
1061,1831,,1756499502651431,,,,1756499502613746,1756499506621429,0,0,15790,4007683,3991893,60233,19,1920,1080,yolov5m,local
1120,3601,,1756499506625370,,,,1756499506588190,1756499510618345,0,0,37615,4030155,3992540,59830,19,1920,1080,yolov5m,local
1179,5371,,1756499510599745,,,,1756499510562979,1756499514570133,0,0,52027,4007154,3955127,58825,16,1920,1080,yolov5m,local
1238,7141,,1756499514576597,,,,1756499514539594,1756499518678006,0,0,161784,4138412,3976628,56515,16,1920,1080,yolov5m,local
1297,8911,,1756499518550413,,,,1756499518516741,1756499522524321,0,0,31042,4007580,3976538,58768,17,1920,1080,yolov5m,local
1356,10681,,1756499522527788,,,,1756499522494180,1756499526513220,0,0,30262,4019040,3988778,59241,23,1920,1080,yolov5m,local
1415,12451,,1756499526507930,,,,1756499526468219,1756499530509690,0,0,49173,4041471,3992298,56965,17,1920,1080,yolov5m,local
1474,14221,,1756499530481807,,,,1756499530442633,1756499534534332,0,0,66050,4091699,4025649,58392,21,1920,1080,yolov5m,local
1534,16021,,1756499534537032,,,,1756499534485347,1756499538535099,0,0,49103,4049752,4000649,58822,23,1920,1080,yolov5m,local
1593,17791,,1756499538494953,,,,1756499538460880,1756499542506763,0,0,76662,4045883,3969221,61348,26,1920,1080,yolov5m,local
1652,19561,,1756499542477355,,,,1756499542438017,1756499546494433,0,0,66905,4056416,3989511,60715,21,1920,1080,yolov5m,local
1712,21361,,1756499546518954,,,,1756499546481669,1756499550475002,0,0,11914,3993333,3981419,59377,25,1920,1080,yolov5m,local
1771,23131,,1756499550491327,,,,1756499550457374,1756499554465391,0,0,18141,4008017,3989876,57854,21,1920,1080,yolov5m,local
1830,24901,,1756499554469445,,,,1756499554435077,1756499558455078,0,0,30769,4020001,3989232,57826,17,1920,1080,yolov5m,local
