sequence_id,frame_number,pi_hostname,pi_capture_start,pi_sent_to_jetson,jetson_received,jetson_sent_result,controller_sent_pulse,controller_received,pi_overhead_us,jetson_overhead_us,network_latency_us,total_latency_us,inference_us,frame_size_bytes,detection_count,image_width,image_height,model_name,experiment_mode
0,1,,1756485414343017,,,,1756485414244582,1756485415115172,0,0,33217,870590,837373,129971,18,1920,1080,yolov5n,local
1,31,,1756485415333188,,,,1756485415245921,1756485416140100,0,0,94105,894179,800074,58702,14,1920,1080,yolov5n,local
2,61,,1756485416340645,,,,1756485416246861,1756485417163560,0,0,108006,916699,808693,59277,15,1920,1080,yolov5n,local
3,91,,1756485417335164,,,,1756485417248257,1756485418085399,0,0,26548,837142,810594,59805,17,1920,1080,yolov5n,local
4,121,,1756485418336444,,,,1756485418250161,1756485419109445,0,0,55331,859284,803953,59874,16,1920,1080,yolov5n,local
5,151,,1756485419340742,,,,1756485419252255,1756485420137920,0,0,87516,885665,798149,60166,17,1920,1080,yolov5n,local
6,181,,1756485420342563,,,,1756485420253629,1756485421157997,0,0,106614,904368,797754,59562,16,1920,1080,yolov5n,local
7,211,,1756485421343062,,,,1756485421254704,1756485422079702,0,0,28161,824998,796837,59839,14,1920,1080,yolov5n,local
8,241,,1756485422341193,,,,1756485422255532,1756485423104419,0,0,50333,848887,798554,59642,17,1920,1080,yolov5n,local
9,271,,1756485423348399,,,,1756485423257171,1756485424128010,0,0,74556,870839,796283,60144,16,1920,1080,yolov5n,local
10,301,,1756485424344557,,,,1756485424258776,1756485425155418,0,0,88633,896642,808009,59327,15,1920,1080,yolov5n,local
11,331,,1756485425345592,,,,1756485425259880,1756485426079116,0,0,13642,819236,805594,59211,17,1920,1080,yolov5n,local
12,361,,1756485426345613,,,,1756485426260896,1756485427098152,0,0,39947,837256,797309,59100,14,1920,1080,yolov5n,local
13,391,,1756485427347182,,,,1756485427261940,1756485428122198,0,0,57262,860258,802996,58963,18,1920,1080,yolov5n,local
14,421,,1756485428349438,,,,1756485428263938,1756485429146692,0,0,83054,882754,799700,59168,14,1920,1080,yolov5n,local
15,451,,1756485429350338,,,,1756485429265427,1756485430172123,0,0,108432,906696,798264,59162,15,1920,1080,yolov5n,local
16,481,,1756485430356602,,,,1756485430266852,1756485431220819,0,0,144988,953967,808979,58983,15,1920,1080,yolov5n,local
17,511,,1756485431363206,,,,1756485431268255,1756485432219490,0,0,128634,951235,822601,59438,14,1920,1080,yolov5n,local
18,541,,1756485432354666,,,,1756485432270184,1756485433140935,0,0,63372,870751,807379,59086,15,1920,1080,yolov5n,local
19,571,,1756485433356039,,,,1756485433271634,1756485434165022,0,0,96125,893388,797263,58911,14,1920,1080,yolov5n,local
20,601,,1756485434356848,,,,1756485434272705,1756485435189681,0,0,118658,916976,798318,60105,11,1920,1080,yolov5n,local
21,631,,1756485435356691,,,,1756485435273373,1756485436111283,0,0,39488,837910,798422,60197,17,1920,1080,yolov5n,local
22,661,,1756485436359828,,,,1756485436275063,1756485437137352,0,0,62383,862289,799906,60507,20,1920,1080,yolov5n,local
23,691,,1756485437364121,,,,1756485437277096,1756485438159573,0,0,78544,882477,803933,60306,21,1920,1080,yolov5n,local
24,721,,1756485438362382,,,,1756485438279309,1756485439183628,0,0,103043,904319,801276,60195,19,1920,1080,yolov5n,local
25,751,,1756485439365949,,,,1756485439280357,1756485440209266,0,0,123700,928909,805209,60760,20,1920,1080,yolov5n,local
26,781,,1756485440365585,,,,1756485440281933,1756485441257944,0,0,177003,976011,799008,61022,21,1920,1080,yolov5n,local
27,811,,1756485441363915,,,,1756485441283411,1756485442154859,0,0,60609,871448,810839,59928,17,1920,1080,yolov5n,local
28,841,,1756485442371924,,,,1756485442284350,1756485443181302,0,0,88869,896952,808083,60352,16,1920,1080,yolov5n,local
