sequence_id,frame_number,pi_hostname,pi_capture_start,pi_sent_to_jetson,jetson_received,jetson_sent_result,controller_sent_pulse,controller_received,pi_overhead_us,jetson_overhead_us,network_latency_us,total_latency_us,inference_us,frame_size_bytes,detection_count,image_width,image_height,model_name,experiment_mode
0,1,,1756490499114408,,,,1756490499069154,1756490500982320,0,0,117092,1913166,1796074,129971,26,1920,1080,yolov5s,local
1,31,,1756490500913068,,,,1756490500070788,1756490502825768,0,0,967866,2754980,1787114,58702,22,1920,1080,yolov5s,local
2,61,,1756490502702846,,,,1756490501072010,1756490504668491,0,0,1813003,3596481,1783478,59277,25,1920,1080,yolov5s,local
5,151,,1756490504055790,,,,1756490504076269,1756490506309546,0,0,458925,2233277,1774352,60166,25,1920,1080,yolov5s,local
7,211,,1756490506058791,,,,1756490506079179,1756490508085598,0,0,225044,2006419,1781375,59839,22,1920,1080,yolov5s,local
8,241,,1756490507063761,,,,1756490507081132,1756490509891083,0,0,1019922,2809951,1790029,59642,24,1920,1080,yolov5s,local
10,301,,1756490509066829,,,,1756490509084188,1756490511734211,0,0,863540,2650023,1786483,59327,25,1920,1080,yolov5s,local
12,361,,1756490511069657,,,,1756490511086809,1756490513439589,0,0,566992,2352780,1785788,59100,19,1920,1080,yolov5s,local
14,421,,1756490513073604,,,,1756490513089792,1756490515318310,0,0,444416,2228518,1784102,59168,19,1920,1080,yolov5s,local
16,481,,1756490515074847,,,,1756490515091531,1756490517059033,0,0,193390,1967502,1774112,58983,17,1920,1080,yolov5s,local
17,511,,1756490516073151,,,,1756490516092687,1756490518800019,0,0,924424,2707332,1782908,59438,20,1920,1080,yolov5s,local
19,571,,1756490518077987,,,,1756490518095121,1756490520643149,0,0,774374,2548028,1773654,58911,19,1920,1080,yolov5s,local
21,631,,1756490520083548,,,,1756490520098765,1756490522383892,0,0,496662,2285127,1788465,60197,23,1920,1080,yolov5s,local
23,691,,1756490522081543,,,,1756490522101918,1756490524128595,0,0,239936,2026677,1786741,60306,25,1920,1080,yolov5s,local
25,751,,1756490524084651,,,,1756490524104940,1756490525916951,0,0,27244,1812011,1784767,60760,26,1920,1080,yolov5s,local
26,781,,1756490525090300,,,,1756490525107190,1756490527810994,0,0,916124,2703804,1787680,61022,24,1920,1080,yolov5s,local
28,841,,1756490527093463,,,,1756490527109365,1756490529476157,0,0,595953,2366792,1770839,60352,22,1920,1080,yolov5s,local
30,901,,1756490529095442,,,,1756490529112594,1756490531292748,0,0,392998,2180154,1787156,60208,24,1920,1080,yolov5s,local
32,961,,1756490531097776,,,,1756490531115024,1756490533124229,0,0,225318,2009205,1783887,58184,18,1920,1080,yolov5s,local
33,991,,1756490532096281,,,,1756490532116423,1756490534876711,0,0,974286,2760288,1786002,58190,20,1920,1080,yolov5s,local
35,1051,,1756490534099404,,,,1756490534119793,1756490536617655,0,0,728384,2497862,1769478,57366,16,1920,1080,yolov5s,local
37,1111,,1756490536101633,,,,1756490536121470,1756490538461563,0,0,562945,2340093,1777148,57896,15,1920,1080,yolov5s,local
39,1171,,1756490538104824,,,,1756490538124234,1756490540159841,0,0,253282,2035607,1782325,57713,14,1920,1080,yolov5s,local
41,1231,,1756490540110616,,,,1756490540126707,1756490541934292,0,0,37364,1807585,1770221,57665,16,1920,1080,yolov5s,local
42,1261,,1756490541111165,,,,1756490541127404,1756490543785612,0,0,882358,2658208,1775850,57769,12,1920,1080,yolov5s,local
44,1321,,1756490543113774,,,,1756490543130747,1756490545526337,0,0,604609,2395590,1790981,58178,18,1920,1080,yolov5s,local
46,1381,,1756490545116477,,,,1756490545132967,1756490547369597,0,0,454654,2236630,1781976,59230,21,1920,1080,yolov5s,local
48,1441,,1756490547119211,,,,1756490547136216,1756490549110303,0,0,185860,1974087,1788227,58266,20,1920,1080,yolov5s,local
49,1471,,1756490548118074,,,,1756490548138171,1756490550953614,0,0,1035334,2815443,1780109,59062,17,1920,1080,yolov5s,local
51,1531,,1756490550120510,,,,1756490550140400,1756490552694328,0,0,762892,2553928,1791036,58738,18,1920,1080,yolov5s,local
53,1591,,1756490552123153,,,,1756490552143293,1756490554537529,0,0,607546,2394236,1786690,58357,13,1920,1080,yolov5s,local
55,1651,,1756490554126179,,,,1756490554146017,1756490556279922,0,0,336359,2133905,1797546,58256,17,1920,1080,yolov5s,local
57,1711,,1756490556130486,,,,1756490556148689,1756490558014304,0,0,77715,1865615,1787900,59468,15,1920,1080,yolov5s,local
58,1741,,1756490557132507,,,,1756490557149357,1756490559813981,0,0,868390,2664624,1796234,59515,18,1920,1080,yolov5s,local
60,1801,,1756490559137824,,,,1756490559152731,1756490561603387,0,0,676352,2450656,1774304,60339,16,1920,1080,yolov5s,local
62,1861,,1756490561139015,,,,1756490561155789,1756490563446398,0,0,504659,2290609,1785950,60742,18,1920,1080,yolov5s,local
64,1921,,1756490563138421,,,,1756490563157933,1756490565165250,0,0,229614,2007317,1777703,60640,26,1920,1080,yolov5s,local
65,1951,,1756490564139909,,,,1756490564159947,1756490567030474,0,0,1091398,2870527,1779129,60710,24,1920,1080,yolov5s,local
67,2011,,1756490566142757,,,,1756490566162823,1756490568771315,0,0,827856,2608492,1780636,60929,23,1920,1080,yolov5s,local
69,2071,,1756490568147017,,,,1756490568165842,1756490570614547,0,0,635852,2448705,1812853,61046,21,1920,1080,yolov5s,local
71,2131,,1756490570148896,,,,1756490570168990,1756490572354901,0,0,396787,2185911,1789124,61219,22,1920,1080,yolov5s,local
73,2191,,1756490572152723,,,,1756490572172329,1756490574178805,0,0,221691,2006476,1784785,61031,22,1920,1080,yolov5s,local
74,2221,,1756490573153630,,,,1756490573173300,1756490575885228,0,0,928334,2711928,1783594,61167,20,1920,1080,yolov5s,local
76,2281,,1756490575159494,,,,1756490575176416,1756490577673321,0,0,709115,2496905,1787790,61284,27,1920,1080,yolov5s,local
78,2341,,1756490577162965,,,,1756490577179963,1756490579463822,0,0,493849,2283859,1790010,61306,27,1920,1080,yolov5s,local
80,2401,,1756490579166998,,,,1756490579183115,1756490581255597,0,0,280212,2072482,1792270,63501,25,1920,1080,yolov5s,local
82,2461,,1756490581170436,,,,1756490581187074,1756490583193037,0,0,224537,2005963,1781426,65163,32,1920,1080,yolov5s,local
83,2491,,1756490582168995,,,,1756490582188880,1756490584848849,0,0,889808,2659969,1770161,65017,29,1920,1080,yolov5s,local
85,2551,,1756490584170972,,,,1756490584190646,1756490586588729,0,0,627449,2398083,1770634,66802,30,1920,1080,yolov5s,local
87,2611,,1756490586172502,,,,1756490586192437,1756490588432196,0,0,468858,2239759,1770901,65000,31,1920,1080,yolov5s,local
