sequence_id,frame_number,pi_hostname,pi_capture_start,pi_sent_to_jetson,jetson_received,jetson_sent_result,controller_sent_pulse,controller_received,pi_overhead_us,jetson_overhead_us,network_latency_us,total_latency_us,inference_us,frame_size_bytes,detection_count,image_width,image_height,model_name,experiment_mode
0,1,,1756486045282766,1756486045282996,1756486045372828,1756486045694480,1756486045126832,1756486045771834,230,321652,323120,645002,321636,129971,21,1920,1080,yolov5n,offload
1,31,,1756486046151522,1756486046151647,1756486046195074,1756486046425268,1756486046127818,1756486046488503,125,230194,130366,360685,230180,58702,18,1920,1080,yolov5n,offload
2,61,,1756486047154342,1756486047154459,1756486047195909,1756486047421731,1756486047128776,1756486047512544,117,225822,157829,383768,225806,59277,22,1920,1080,yolov5n,offload
3,91,,1756486048153387,1756486048153508,1756486048195108,1756486048421414,1756486048129756,1756486048435759,121,226306,79576,306003,226288,59805,23,1920,1080,yolov5n,offload
4,121,,1756486049154791,1756486049154934,1756486049197343,1756486049423907,1756486049131074,1756486049458359,143,226564,100578,327285,226547,59874,23,1920,1080,yolov5n,offload
5,151,,1756486050156517,1756486050156634,1756486050199199,1756486050425654,1756486050132642,1756486050482414,117,226455,123200,349772,226437,60166,23,1920,1080,yolov5n,offload
6,181,,1756486051159931,1756486051160053,1756486051206334,1756486051432989,1756486051133667,1756486051421321,122,226655,60877,287654,226638,59562,21,1920,1080,yolov5n,offload
7,211,,1756486052158248,1756486052158368,1756486052200143,1756486052526523,1756486052134604,1756486052530508,120,326380,69404,395904,326362,59839,23,1920,1080,yolov5n,offload
8,241,,1756486053159003,1756486053159133,1756486053214009,1756486053474429,1756486053135716,1756486053554618,130,260420,158352,418902,260404,59642,23,1920,1080,yolov5n,offload
9,271,,1756486054161545,1756486054161666,1756486054219009,1756486054515173,1756486054136825,1756486054578922,121,296164,145812,442097,296148,60144,22,1920,1080,yolov5n,offload
10,301,,1756486055163148,1756486055163272,1756486055221633,1756486055474297,1756486055138066,1756486055462978,124,252664,72124,324912,252648,59327,20,1920,1080,yolov5n,offload
11,331,,1756486056163316,1756486056163434,1756486056219317,1756486056485846,1756486056140251,1756486056524396,118,266529,117498,384145,266512,59211,20,1920,1080,yolov5n,offload
12,361,,1756486057164750,1756486057164869,1756486057220639,1756486057486570,1756486057141649,1756486057475013,119,265931,67314,333364,265912,59100,22,1920,1080,yolov5n,offload
13,391,,1756486058169189,1756486058169310,1756486058222838,1756486058524639,1756486058143267,1756486058572691,121,301801,127502,429424,301783,58963,21,1920,1080,yolov5n,offload
14,421,,1756486059168012,1756486059168139,1756486059224192,1756486059466870,1756486059144871,1756486059495759,127,242678,108083,350888,242663,59168,20,1920,1080,yolov5n,offload
15,451,,1756486060169392,1756486060169514,1756486060227350,1756486060469498,1756486060146018,1756486060519031,122,242148,130743,373013,242133,59162,20,1920,1080,yolov5n,offload
16,481,,1756486061171315,1756486061171433,1756486061226215,1756486061469918,1756486061148240,1756486061542607,118,243703,150546,394367,243689,58983,19,1920,1080,yolov5n,offload
17,511,,1756486062174951,1756486062175077,1756486062237323,1756486062485690,1756486062149806,1756486062566541,126,248367,168242,416735,248349,59438,21,1920,1080,yolov5n,offload
18,541,,1756486063174220,1756486063174338,1756486063231335,1756486063533668,1756486063151066,1756486063590583,118,302333,137066,439517,302313,59086,22,1920,1080,yolov5n,offload
19,571,,1756486064176696,1756486064176815,1756486064237521,1756486064469735,1756486064152739,1756486064512302,119,232214,127230,359563,232195,58911,23,1920,1080,yolov5n,offload
