sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Local,1769322752905605,1769322752912759,1769322752915878,1769322756501708,,1769322753175653,1769322756501707,,1769322756507482,3601877,3588949,,,,3326054,28714,17,yolov5m,JpgLossy,T1,Letterbox
0,1,RSU-0000,Local,1769322752905605,1769322752899614,1769322752901071,1769322756522252,,1769322753270850,1769322756522251,,1769322756539550,3633945,3622638,,,,3251401,28714,17,yolov5m,JpgLossy,T1,Letterbox
0,1,RSU-0001,Local,1769322752905605,1769322752916708,1769322752918167,1769322756859546,,1769322753170995,1769322756859545,,1769322756859932,3954327,3942838,,,,3688550,28714,17,yolov5m,JpgLossy,T1,Letterbox
3,91,RSU-0000,Local,1769322755910531,1769322755905988,1769322755906236,1769322759788615,,1769322756522406,1769322759788614,,1769322759805037,3894506,3882627,,,,3266208,28009,22,yolov5m,JpgLossy,T1,Letterbox
3,91,RSU-0002,Local,1769322755910549,1769322755915389,1769322755915640,1769322760098511,,1769322756501844,1769322760098510,,1769322760104704,4194155,4183122,,,,3596666,28009,22,yolov5m,JpgLossy,T1,Letterbox
3,91,RSU-0001,Local,1769322755910547,1769322755920437,1769322755920670,1769322760725467,,1769322756859688,1769322760725467,,1769322760723100,4812553,4805030,,,,3865779,28009,22,yolov5m,JpgLossy,T1,Letterbox
6,181,RSU-0000,Local,1769322758914908,1769322758907662,1769322758907925,1769322763044629,,1769322759788755,1769322763044629,,1769322763061446,4146538,4136967,,,,3255874,27944,22,yolov5m,JpgLossy,T1,Letterbox
7,211,RSU-0002,Local,1769322759916508,1769322759921714,1769322759921968,1769322763668658,,1769322760098659,1769322763668656,,1769322763679664,3763156,3746944,,,,3569997,28029,24,yolov5m,JpgLossy,T1,Letterbox
7,211,RSU-0001,Local,1769322759916508,1769322759926527,1769322759926789,1769322764582010,,1769322760725611,1769322764582009,,1769322764582647,4666139,4655483,,,,3856398,28029,24,yolov5m,JpgLossy,T1,Letterbox
10,301,RSU-0000,Local,1769322762920537,1769322762915998,1769322762916259,1769322766301360,,1769322763044767,1769322766301359,,1769322766317816,3397279,3385362,,,,3256592,27769,20,yolov5m,JpgLossy,T1,Letterbox
10,301,RSU-0002,Local,1769322762920553,1769322762925467,1769322762925863,1769322767251548,,1769322763668804,1769322767251547,,1769322767258185,4337632,4326081,,,,3582743,27769,20,yolov5m,JpgLossy,T1,Letterbox
11,331,RSU-0001,Local,1769322763922546,1769322763933293,1769322763933496,1769322768428095,,1769322764582160,1769322768428094,,1769322768428302,4505756,4494802,,,,3845934,27638,20,yolov5m,JpgLossy,T1,Letterbox
