sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
1,7,RSU-0002,Local,1769327209085109,1769327209090472,1769327209093837,1769327212574551,,1769327209150786,1769327212574550,,1769327212581091,3495982,3484079,,,,3423764,96723,18,yolov5m,JpgLossy,T3,FHD
1,7,RSU-0000,Local,1769327209085087,1769327209093611,1769327209102217,1769327212637795,,1769327209247197,1769327212637794,,1769327212640200,3555113,3544184,,,,3390597,96723,18,yolov5m,JpgLossy,T3,FHD
1,7,RSU-0001,Local,1769327209085107,1769327209090338,1769327209094115,1769327212980169,,1769327209161533,1769327212980168,,1769327212985005,3899898,3889831,,,,3818635,96723,18,yolov5m,JpgLossy,T3,FHD
18,109,RSU-0002,Local,1769327212504861,1769327212508411,1769327212511239,1769327216176298,,1769327212574873,1769327216176298,,1769327216183170,3678309,3667887,,,,3601425,61811,23,yolov5m,JpgLossy,T3,FHD
18,109,RSU-0000,Local,1769327212504845,1769327212514664,1769327212517261,1769327216302952,,1769327212637935,1769327216302952,,1769327216304480,3799635,3788288,,,,3665017,61811,23,yolov5m,JpgLossy,T3,FHD
20,121,RSU-0001,Local,1769327212908266,1769327212915180,1769327212915451,1769327216964544,,1769327212980323,1769327216964543,,1769327216966426,4058160,4049364,,,,3984220,61850,21,yolov5m,JpgLossy,T3,FHD
36,217,RSU-0002,Local,1769327216128941,1769327216135991,1769327216141122,1769327219749228,,1769327216176440,1769327219749227,,1769327219756286,3627345,3613237,,,,3572787,61473,23,yolov5m,JpgLossy,T3,FHD
36,217,RSU-0000,Local,1769327216128931,1769327216137599,1769327216140517,1769327219943121,,1769327216303095,1769327219943120,,1769327219945587,3816656,3805522,,,,3640025,61473,23,yolov5m,JpgLossy,T3,FHD
40,241,RSU-0001,Local,1769327216934377,1769327216940195,1769327216940717,1769327220948522,,1769327216964715,1769327220948521,,1769327220953776,4019399,4008327,,,,3983806,61542,23,yolov5m,JpgLossy,T3,FHD
53,319,RSU-0002,Local,1769327219554199,1769327219557661,1769327219560644,1769327223323005,,1769327219749366,1769327223323004,,1769327223329785,3775586,3765344,,,,3573638,61071,20,yolov5m,JpgLossy,T3,FHD
54,325,RSU-0000,Local,1769327219754848,1769327219764474,1769327219772205,1769327223585438,,1769327219943265,1769327223585437,,1769327223587874,3833026,3820964,,,,3642172,60988,18,yolov5m,JpgLossy,T3,FHD
59,355,RSU-0001,Local,1769327220760748,1769327220766904,1769327220769715,1769327224935946,,1769327220948683,1769327224935945,,1769327224940920,4180172,4169042,,,,3987262,60849,19,yolov5m,JpgLossy,T3,FHD
71,427,RSU-0002,Local,1769327223178330,1769327223182569,1769327223185757,1769327226913912,,1769327223323119,1769327226913912,,1769327226920843,3742513,3731343,,,,3590793,60398,19,yolov5m,JpgLossy,T3,FHD
72,433,RSU-0000,Local,1769327223379409,1769327223388127,1769327223390787,1769327227209496,,1769327223585585,1769327227209495,,1769327227212440,3833031,3821369,,,,3623910,60312,19,yolov5m,JpgLossy,T3,FHD
79,475,RSU-0001,Local,1769327224789263,1769327224794704,1769327224797216,1769327228924431,,1769327224936086,1769327228924430,,1769327228929591,4140328,4129727,,,,3988344,60899,17,yolov5m,JpgLossy,T3,FHD
89,535,RSU-0002,Local,1769327226805360,1769327226809903,1769327226813024,1769327230487921,,1769327226914068,1769327230487921,,1769327230494665,3689305,3678018,,,,3573853,61124,22,yolov5m,JpgLossy,T3,FHD
90,541,RSU-0000,Local,1769327227006462,1769327227014884,1769327227015137,1769327230854137,,1769327227209652,1769327230854136,,1769327230853561,3847099,3839253,,,,3644484,60890,22,yolov5m,JpgLossy,T3,FHD
99,595,RSU-0001,Local,1769327228819004,1769327228824489,1769327228830619,1769327232913699,,1769327228924594,1769327232913698,,1769327232918760,4099756,4089210,,,,3989104,61563,21,yolov5m,JpgLossy,T3,FHD
107,643,RSU-0002,Local,1769327230428647,1769327230432196,1769327230435158,1769327234051683,,1769327230488075,1769327234051683,,1769327234058359,3629712,3619487,,,,3563608,62481,23,yolov5m,JpgLossy,T3,FHD
109,655,RSU-0000,Local,1769327230830775,1769327230842836,1769327230847072,1769327234497666,,1769327230854289,1769327234497666,,1769327234500100,3669325,3654830,,,,3643377,62361,25,yolov5m,JpgLossy,T3,FHD
119,715,RSU-0001,Local,1769327232845255,1769327232851438,1769327232854053,1769327236908080,,1769327232913847,1769327236908079,,1769327236913086,4067831,4056642,,,,3994232,61479,25,yolov5m,JpgLossy,T3,FHD
124,745,RSU-0002,Local,1769327233850763,1769327233854202,1769327233857125,1769327237638046,,1769327234051830,1769327237638046,,1769327237645043,3794280,3783844,,,,3586216,63306,25,yolov5m,JpgLossy,T3,FHD
127,763,RSU-0000,Local,1769327234454895,1769327234465000,1769327234470829,1769327238143158,,1769327234497777,1769327238143157,,1769327238145678,3690783,3678158,,,,3645380,62601,24,yolov5m,JpgLossy,T3,FHD
139,835,RSU-0001,Local,1769327236869255,1769327236877935,1769327236881382,1769327240899147,,1769327236908214,1769327240899146,,1769327240904322,4035067,4021212,,,,3990932,62158,22,yolov5m,JpgLossy,T3,FHD
142,853,RSU-0002,Local,1769327237473476,1769327237477134,1769327237480224,1769327241218913,,1769327237638184,1769327241218912,,1769327241225883,3752407,3741779,,,,3580728,62505,23,yolov5m,JpgLossy,T3,FHD
145,871,RSU-0000,Local,1769327238079209,1769327238086909,1769327238087183,1769327241784688,,1769327238143313,1769327241784687,,1769327241787282,3708073,3697779,,,,3641374,63836,21,yolov5m,JpgLossy,T3,FHD
160,961,RSU-0002,Local,1769327241101148,1769327241106576,1769327241106786,1769327244786640,,1769327241219070,1769327244786639,,1769327244793409,3692261,3680064,,,,3567569,59736,19,yolov5m,JpgLossy,T3,FHD
158,949,RSU-0001,Local,1769327240697787,1769327240703030,1769327240705576,1769327244890805,,1769327240899298,1769327244890804,,1769327244895675,4197888,4187775,,,,3991506,59274,19,yolov5m,JpgLossy,T3,FHD
163,979,RSU-0000,Local,1769327241706516,1769327241713944,1769327241718261,1769327245432395,,1769327241784832,1769327245432394,,1769327245434972,3728456,3718451,,,,3647562,59824,20,yolov5m,JpgLossy,T3,FHD
178,1069,RSU-0002,Local,1769327244727095,1769327244730552,1769327244733564,1769327248368036,,1769327244786744,1769327248368035,,1769327248371779,3644684,3637484,,,,3581291,58849,16,yolov5m,JpgLossy,T3,FHD
178,1069,RSU-0001,Local,1769327244727094,1769327244733351,1769327244735901,1769327248885294,,1769327244890948,1769327248885293,,1769327248890135,4163041,4151943,,,,3994345,58849,16,yolov5m,JpgLossy,T3,FHD
181,1087,RSU-0000,Local,1769327245331052,1769327245338527,1769327245341046,1769327249085734,,1769327245432545,1769327249085733,,1769327249088390,3757338,3747207,,,,3653188,59237,17,yolov5m,JpgLossy,T3,FHD
196,1177,RSU-0002,Local,1769327248350876,1769327248358038,1769327248362021,1769327251937582,,1769327248368175,1769327251937581,,1769327251944416,3593540,3579544,,,,3569406,59148,16,yolov5m,JpgLossy,T3,FHD
199,1195,RSU-0000,Local,1769327248955447,1769327248963056,1769327248969107,1769327252729821,,1769327249085837,1769327252729821,,1769327252732386,3776939,3766765,,,,3643984,59029,16,yolov5m,JpgLossy,T3,FHD
198,1189,RSU-0001,Local,1769327248754333,1769327248760056,1769327248762606,1769327252874486,,1769327248885448,1769327252874485,,1769327252879301,4124968,4114430,,,,3989037,59120,16,yolov5m,JpgLossy,T3,FHD
213,1279,RSU-0002,Local,1769327251773576,1769327251777148,1769327251780147,1769327255510473,,1769327251937730,1769327255510473,,1769327255517403,3743827,3733325,,,,3572743,59436,16,yolov5m,JpgLossy,T3,FHD
217,1303,RSU-0000,Local,1769327252578453,1769327252586995,1769327252593080,1769327256375900,,1769327252729961,1769327256375899,,1769327256378071,3799618,3788905,,,,3645938,58828,17,yolov5m,JpgLossy,T3,FHD
218,1309,RSU-0001,Local,1769327252780183,1769327252785536,1769327252788098,1769327256867376,,1769327252874637,1769327256867375,,1769327256872401,4092218,4081840,,,,3992738,59123,19,yolov5m,JpgLossy,T3,FHD
231,1387,RSU-0002,Local,1769327255398743,1769327255402216,1769327255405163,1769327259086897,,1769327255510826,1769327259086896,,1769327259095062,3696319,3684681,,,,3576070,60781,19,yolov5m,JpgLossy,T3,FHD
235,1411,RSU-0000,Local,1769327256204115,1769327256212953,1769327256213251,1769327260024839,,1769327256376041,1769327260024839,,1769327260027265,3823150,3811886,,,,3648798,60619,17,yolov5m,JpgLossy,T3,FHD
238,1429,RSU-0001,Local,1769327256806863,1769327256812270,1769327256817606,1769327260857100,,1769327256867519,1769327260857098,,1769327260858859,4051996,4044830,,,,3989579,59749,17,yolov5m,JpgLossy,T3,FHD
249,1495,RSU-0002,Local,1769327259022411,1769327259025785,1769327259028710,1769327262675922,,1769327259087053,1769327262675921,,1769327262679728,3657317,3650137,,,,3588868,60807,19,yolov5m,JpgLossy,T3,FHD
253,1519,RSU-0000,Local,1769327259827846,1769327259836712,1769327259844393,1769327263669817,,1769327260024984,1769327263669816,,1769327263669273,3841427,3833105,,,,3644832,60501,17,yolov5m,JpgLossy,T3,FHD
