sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
2,7,RSU-0000,Local,1769331917588545,1769331917594037,1769331917598340,1769331921001168,,1769331917653575,1769331921001167,,1769331921006166,3417621,3407131,,,,3347592,59529,16,yolov5m,JpgLossy,T3,HD
2,7,RSU-0002,Local,1769331917588562,1769331917593199,1769331917594436,1769331921057488,,1769331917664957,1769331921057487,,1769331921059387,3470825,3464289,,,,3392530,59529,16,yolov5m,JpgLossy,T3,HD
2,7,RSU-0001,Local,1769331917588561,1769331917591843,1769331917594544,1769331921525043,,1769331917664511,1769331921525043,,1769331921534625,3946064,3933200,,,,3860532,59529,16,yolov5m,JpgLossy,T3,HD
35,106,RSU-0000,Local,1769331920933254,1769331920943320,1769331920949502,1769331924434624,,1769331921001268,1769331924434624,,1769331924440092,3506838,3491304,,,,3433356,57397,24,yolov5m,JpgLossy,T3,HD
36,109,RSU-0002,Local,1769331921034063,1769331921042288,1769331921044729,1769331924600210,,1769331921057647,1769331924600209,,1769331924601850,3567787,3557922,,,,3542562,57328,23,yolov5m,JpgLossy,T3,HD
40,121,RSU-0001,Local,1769331921438437,1769331921442259,1769331921445152,1769331925250612,,1769331921525157,1769331925250612,,1769331925257580,3819143,3808353,,,,3725455,57252,22,yolov5m,JpgLossy,T3,HD
69,208,RSU-0000,Local,1769331924380344,1769331924387783,1769331924390286,1769331927849710,,1769331924434775,1769331927849709,,1769331927851376,3471032,3461927,,,,3414934,57037,22,yolov5m,JpgLossy,T3,HD
71,214,RSU-0002,Local,1769331924583380,1769331924590225,1769331924594331,1769331928125651,,1769331924600353,1769331928125650,,1769331928130788,3547408,3535426,,,,3525297,56738,21,yolov5m,JpgLossy,T3,HD
77,232,RSU-0001,Local,1769331925193109,1769331925196238,1769331925201056,1769331928965415,,1769331925250772,1769331928965414,,1769331928969449,3776340,3769177,,,,3714642,57135,23,yolov5m,JpgLossy,T3,HD
103,310,RSU-0000,Local,1769331927831275,1769331927839330,1769331927846370,1769331931262292,,1769331927849821,1769331931262291,,1769331931267603,3436328,3422962,,,,3412470,56548,21,yolov5m,JpgLossy,T3,HD
105,316,RSU-0002,Local,1769331928032860,1769331928038570,1769331928039520,1769331931630298,,1769331928125787,1769331931630297,,1769331931635477,3602617,3591728,,,,3504510,56452,22,yolov5m,JpgLossy,T3,HD
114,343,RSU-0001,Local,1769331928945923,1769331928951421,1769331928954906,1769331932677730,,1769331928965521,1769331932677729,,1769331932685093,3739170,3726309,,,,3712208,56484,19,yolov5m,JpgLossy,T3,HD
136,409,RSU-0000,Local,1769331931174747,1769331931181963,1769331931185238,1769331934677352,,1769331931262443,1769331934677351,,1769331934681359,3506612,3495389,,,,3414908,55975,19,yolov5m,JpgLossy,T3,HD
140,421,RSU-0002,Local,1769331931580249,1769331931586526,1769331931586809,1769331935152352,,1769331931630455,1769331935152351,,1769331935154125,3573876,3565826,,,,3521896,56275,23,yolov5m,JpgLossy,T3,HD
150,451,RSU-0001,Local,1769331932593683,1769331932598038,1769331932601080,1769331936391122,,1769331932677835,1769331936391121,,1769331936412683,3819000,3793084,,,,3713286,56280,22,yolov5m,JpgLossy,T3,HD
170,511,RSU-0000,Local,1769331934620571,1769331934627815,1769331934628074,1769331938091810,,1769331934677455,1769331938091809,,1769331938093763,3473192,3463995,,,,3414354,56645,18,yolov5m,JpgLossy,T3,HD
175,526,RSU-0002,Local,1769331935127728,1769331935134547,1769331935137998,1769331938653580,,1769331935152496,1769331938653579,,1769331938658842,3531114,3519033,,,,3501083,56517,22,yolov5m,JpgLossy,T3,HD
186,559,RSU-0001,Local,1769331936242592,1769331936246378,1769331936252291,1769331940099990,,1769331936391263,1769331940099989,,1769331940104464,3861872,3853612,,,,3708726,55891,19,yolov5m,JpgLossy,T3,HD
204,613,RSU-0000,Local,1769331938068625,1769331938074355,1769331938077697,1769331941505667,,1769331938091936,1769331941505666,,1769331941510428,3441803,3431312,,,,3413730,57519,24,yolov5m,JpgLossy,T3,HD
209,628,RSU-0002,Local,1769331938575453,1769331938582045,1769331938583182,1769331942168463,,1769331938653713,1769331942168463,,1769331942170283,3594830,3586418,,,,3514750,57406,24,yolov5m,JpgLossy,T3,HD
223,670,RSU-0001,Local,1769331939995730,1769331939998950,1769331940001550,1769331943813712,,1769331940100137,1769331943813711,,1769331943821010,3825280,3814762,,,,3713574,58347,23,yolov5m,JpgLossy,T3,HD
237,712,RSU-0000,Local,1769331941415418,1769331941423275,1769331941429930,1769331944920264,,1769331941505760,1769331944920263,,1769331944925693,3510275,3496989,,,,3414503,57143,26,yolov5m,JpgLossy,T3,HD
244,733,RSU-0002,Local,1769331942125253,1769331942134504,1769331942136574,1769331945680500,,1769331942168609,1769331945680499,,1769331945682174,3556921,3545996,,,,3511890,58048,24,yolov5m,JpgLossy,T3,HD
260,781,RSU-0001,Local,1769331943744259,1769331943747472,1769331943747716,1769331947522941,,1769331943813859,1769331947522940,,1769331947527140,3782881,3775469,,,,3709081,58616,23,yolov5m,JpgLossy,T3,HD
271,814,RSU-0000,Local,1769331944858964,1769331944866835,1769331944869388,1769331948334722,,1769331944920398,1769331948334721,,1769331948336493,3477529,3467887,,,,3414323,57742,21,yolov5m,JpgLossy,T3,HD
279,838,RSU-0002,Local,1769331945668951,1769331945675392,1769331945677305,1769331949199651,,1769331945680646,1769331949199651,,1769331949204909,3535958,3524259,,,,3519005,58444,21,yolov5m,JpgLossy,T3,HD
297,892,RSU-0001,Local,1769331947496611,1769331947501751,1769331947510239,1769331951234197,,1769331947523289,1769331951234196,,1769331951241570,3744959,3732446,,,,3710907,58755,22,yolov5m,JpgLossy,T3,HD
305,916,RSU-0000,Local,1769331948307486,1769331948313143,1769331948321275,1769331951746827,,1769331948334872,1769331951746826,,1769331951751375,3443889,3433684,,,,3411954,56538,23,yolov5m,JpgLossy,T3,HD
313,940,RSU-0002,Local,1769331949120274,1769331949126077,1769331949127167,1769331952706520,,1769331949199798,1769331952706519,,1769331952711603,3591329,3580443,,,,3506721,54908,21,yolov5m,JpgLossy,T3,HD
333,1000,RSU-0001,Local,1769331951145702,1769331951148653,1769331951152107,1769331954957023,,1769331951234344,1769331954957022,,1769331954964516,3818814,3808370,,,,3722678,55109,18,yolov5m,JpgLossy,T3,HD
338,1015,RSU-0000,Local,1769331951652756,1769331951657897,1769331951663909,1769331955163871,,1769331951746966,1769331955163870,,1769331955169156,3516400,3505974,,,,3416904,55110,16,yolov5m,JpgLossy,T3,HD
348,1045,RSU-0002,Local,1769331952666268,1769331952673078,1769331952675001,1769331956216488,,1769331952706659,1769331956216487,,1769331956221721,3555453,3543410,,,,3509828,55056,18,yolov5m,JpgLossy,T3,HD
372,1117,RSU-0000,Local,1769331955098029,1769331955104537,1769331955110438,1769331958579276,,1769331955164014,1769331958579276,,1769331958582738,3484709,3474739,,,,3415262,54604,17,yolov5m,JpgLossy,T3,HD
370,1111,RSU-0001,Local,1769331954896114,1769331954896914,1769331954899349,1769331958669757,,1769331954957172,1769331958669756,,1769331958674150,3778036,3772843,,,,3712584,54887,16,yolov5m,JpgLossy,T3,HD
