sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1769325169050147,1769325169058171,1769325169061250,1769325172719480,,1769325169377694,1769325172719479,,1769325172722714,3672567,3661309,,,,3341785,839782,17,yolov5m,PngLossless,T1,HD
0,1,RSU-0002,Local,1769325169050148,1769325169061798,1769325169064473,1769325172726131,,1769325169319761,1769325172726131,,1769325172731088,3680940,3664333,,,,3406370,839782,17,yolov5m,PngLossless,T1,HD
0,1,RSU-0001,Local,1769325169050148,1769325169059313,1769325169062123,1769325173054838,,1769325169278613,1769325173054837,,1769325173060304,4010156,3995525,,,,3776224,839782,17,yolov5m,PngLossless,T1,HD
3,91,RSU-0000,Local,1769325172053489,1769325172064098,1769325172065621,1769325176051119,,1769325172719619,1769325176051118,,1769325176054846,4001357,3987021,,,,3331499,645522,23,yolov5m,PngLossless,T1,HD
3,91,RSU-0002,Local,1769325172053506,1769325172061278,1769325172062692,1769325176381336,,1769325172726278,1769325176381335,,1769325176386293,4332787,4320058,,,,3655057,645522,23,yolov5m,PngLossless,T1,HD
3,91,RSU-0001,Local,1769325172053505,1769325172060126,1769325172061446,1769325176992984,,1769325173055004,1769325176992983,,1769325176998397,4944892,4932858,,,,3937979,645522,23,yolov5m,PngLossless,T1,HD
6,181,RSU-0000,Local,1769325175057857,1769325175066511,1769325175067348,1769325179360103,,1769325176051270,1769325179360102,,1769325179362682,4304825,4293592,,,,3308832,642266,24,yolov5m,PngLossless,T1,HD
7,211,RSU-0002,Local,1769325176059206,1769325176069142,1769325176069975,1769325180027967,,1769325176381477,1769325180027966,,1769325180033242,3974036,3958825,,,,3646489,643300,23,yolov5m,PngLossless,T1,HD
7,211,RSU-0001,Local,1769325176059205,1769325176064182,1769325176081285,1769325180930168,,1769325176993136,1769325180930168,,1769325180935500,4876295,4865986,,,,3937032,643300,23,yolov5m,PngLossless,T1,HD
10,301,RSU-0000,Local,1769325179063378,1769325179072541,1769325179073235,1769325182670048,,1769325179360240,1769325182670047,,1769325182673725,3610347,3597507,,,,3309807,636629,19,yolov5m,PngLossless,T1,HD
10,301,RSU-0002,Local,1769325179063394,1769325179070211,1769325179071440,1769325183672149,,1769325180028109,1769325183672149,,1769325183677286,4613892,4601938,,,,3644040,636629,19,yolov5m,PngLossless,T1,HD
11,331,RSU-0001,Local,1769325180065654,1769325180070524,1769325180071124,1769325184866475,,1769325180930317,1769325184866474,,1769325184871623,4805969,4795951,,,,3936157,634364,20,yolov5m,PngLossless,T1,HD
13,391,RSU-0000,Local,1769325182067601,1769325182074503,1769325182075364,1769325185978703,,1769325182670205,1769325185978703,,1769325185981412,3913811,3904200,,,,3308498,633376,20,yolov5m,PngLossless,T1,HD
14,421,RSU-0002,Local,1769325183069666,1769325183076063,1769325183076844,1769325187317904,,1769325183672292,1769325187317904,,1769325187323144,4253478,4241841,,,,3645612,634215,20,yolov5m,PngLossless,T1,HD
15,451,RSU-0001,Local,1769325184071317,1769325184076311,1769325184081940,1769325188797604,,1769325184866620,1769325188797603,,1769325188802781,4731464,4721293,,,,3930983,632564,21,yolov5m,PngLossless,T1,HD
16,481,RSU-0000,Local,1769325185072610,1769325185080857,1769325185082278,1769325189289889,,1769325185978846,1769325189289889,,1769325189292411,4219801,4209032,,,,3311043,630564,18,yolov5m,PngLossless,T1,HD
18,541,RSU-0002,Local,1769325187074987,1769325187081237,1769325187082050,1769325190954611,,1769325187318044,1769325190954610,,1769325190959748,3884761,3873374,,,,3636566,636020,22,yolov5m,PngLossless,T1,HD
20,601,RSU-0000,Local,1769325189077662,1769325189086892,1769325189087833,1769325192599543,,1769325189290029,1769325192599542,,1769325192603611,3525949,3512651,,,,3309513,647963,21,yolov5m,PngLossless,T1,HD
19,571,RSU-0001,Local,1769325188076097,1769325188081005,1769325188081651,1769325192734315,,1769325188797707,1769325192734314,,1769325192739655,4663558,4653310,,,,3936607,634351,21,yolov5m,PngLossless,T1,HD
21,631,RSU-0002,Local,1769325190079702,1769325190086090,1769325190086947,1769325194588953,,1769325190954756,1769325194588952,,1769325194590942,4511240,4502863,,,,3634196,649826,23,yolov5m,PngLossless,T1,HD
23,691,RSU-0000,Local,1769325192081807,1769325192090681,1769325192091516,1769325195917650,,1769325192599682,1769325195917649,,1769325195921080,3839273,3826969,,,,3317967,655414,24,yolov5m,PngLossless,T1,HD
23,691,RSU-0001,Local,1769325192081820,1769325192086741,1769325192104105,1769325196669007,,1769325192734464,1769325196669006,,1769325196674403,4592583,4582266,,,,3934542,655414,24,yolov5m,PngLossless,T1,HD
25,751,RSU-0002,Local,1769325194085476,1769325194093415,1769325194094271,1769325198223223,,1769325194589102,1769325198223223,,1769325198228010,4142534,4129808,,,,3634121,663886,24,yolov5m,PngLossless,T1,HD
26,781,RSU-0000,Local,1769325195087484,1769325195096571,1769325195097246,1769325199229200,,1769325195917792,1769325199229199,,1769325199232878,4145394,4132629,,,,3311407,665888,23,yolov5m,PngLossless,T1,HD
27,811,RSU-0001,Local,1769325196088922,1769325196094748,1769325196110945,1769325200604290,,1769325196669169,1769325200604289,,1769325200609551,4520629,4509542,,,,3935120,655274,21,yolov5m,PngLossless,T1,HD
29,871,RSU-0002,Local,1769325198092274,1769325198101670,1769325198102507,1769325201854215,,1769325198223327,1769325201854214,,1769325201859025,3766751,3752545,,,,3630887,689885,22,yolov5m,PngLossless,T1,HD
30,901,RSU-0000,Local,1769325199093671,1769325199102931,1769325199103893,1769325202536843,,1769325199229346,1769325202536842,,1769325202540343,3446672,3433912,,,,3307496,657013,23,yolov5m,PngLossless,T1,HD
31,931,RSU-0001,Local,1769325200095603,1769325200101404,1769325200102125,1769325204539740,,1769325200604438,1769325204539739,,1769325204545137,4449534,4438336,,,,3935301,627083,22,yolov5m,PngLossless,T1,HD
32,961,RSU-0002,Local,1769325201097779,1769325201103015,1769325201103949,1769325205501260,,1769325201854357,1769325205501259,,1769325205506082,4408303,4398245,,,,3646902,625584,18,yolov5m,PngLossless,T1,HD
33,991,RSU-0000,Local,1769325202098551,1769325202106246,1769325202106979,1769325205845826,,1769325202536985,1769325205845825,,1769325205849389,3750838,3739580,,,,3308840,626194,19,yolov5m,PngLossless,T1,HD
35,1051,RSU-0001,Local,1769325204100660,1769325204105695,1769325204106369,1769325208476029,,1769325204539907,1769325208476028,,1769325208481125,4380465,4370334,,,,3936121,615863,17,yolov5m,PngLossless,T1,HD
36,1081,RSU-0000,Local,1769325205102336,1769325205110627,1769325205112553,1769325209153827,,1769325205845980,1769325209153826,,1769325209157181,4054845,4043200,,,,3307846,623377,17,yolov5m,PngLossless,T1,HD
36,1081,RSU-0002,Local,1769325205102356,1769325205107696,1769325205108476,1769325209157742,,1769325205501399,1769325209157741,,1769325209162485,4060129,4050046,,,,3656342,623377,17,yolov5m,PngLossless,T1,HD
39,1171,RSU-0001,Local,1769325208107497,1769325208113280,1769325208113974,1769325212412049,,1769325208476186,1769325212412048,,1769325212417182,4309685,4298769,,,,3935862,622996,16,yolov5m,PngLossless,T1,HD
40,1201,RSU-0000,Local,1769325209109441,1769325209118200,1769325209119670,1769325212464863,,1769325209153979,1769325212464862,,1769325212468135,3358694,3346663,,,,3310883,620835,15,yolov5m,PngLossless,T1,HD
40,1201,RSU-0002,Local,1769325209109455,1769325209116587,1769325209119087,1769325212779660,,1769325209157875,1769325212779659,,1769325212784726,3675271,3663073,,,,3621784,620835,15,yolov5m,PngLossless,T1,HD
43,1291,RSU-0000,Local,1769325212114279,1769325212123340,1769325212124344,1769325215771946,,1769325212465021,1769325215771946,,1769325215775552,3661273,3648606,,,,3306925,620407,17,yolov5m,PngLossless,T1,HD
43,1291,RSU-0001,Local,1769325212114292,1769325212119273,1769325212119938,1769325216349643,,1769325212412187,1769325216349642,,1769325216355086,4240794,4230370,,,,3937455,620407,17,yolov5m,PngLossless,T1,HD
43,1291,RSU-0002,Local,1769325212114294,1769325212125692,1769325212126517,1769325216397849,,1769325212779801,1769325216397848,,1769325216402132,4287838,4272157,,,,3618047,620407,17,yolov5m,PngLossless,T1,HD
46,1381,RSU-0000,Local,1769325215117660,1769325215126645,1769325215127323,1769325219079881,,1769325215772080,1769325219079880,,1769325219083625,3965965,3953236,,,,3307800,637919,20,yolov5m,PngLossless,T1,HD
47,1411,RSU-0002,Local,1769325216119509,1769325216125074,1769325216125853,1769325220013039,,1769325216397991,1769325220013038,,1769325220017583,3898074,3887965,,,,3615047,633866,18,yolov5m,PngLossless,T1,HD
47,1411,RSU-0001,Local,1769325216119508,1769325216125440,1769325216126093,1769325220286199,,1769325216349747,1769325220286198,,1769325220291331,4171823,4160759,,,,3936451,633866,18,yolov5m,PngLossless,T1,HD
49,1471,RSU-0000,Local,1769325218123441,1769325218132436,1769325218133111,1769325222385018,,1769325219080012,1769325222385017,,1769325222388316,4264875,4252582,,,,3305005,639688,20,yolov5m,PngLossless,T1,HD
50,1501,RSU-0002,Local,1769325219125502,1769325219132163,1769325219133405,1769325223624289,,1769325220013184,1769325223624288,,1769325223629267,4503765,4492126,,,,3611104,632876,19,yolov5m,PngLossless,T1,HD
51,1531,RSU-0001,Local,1769325220127360,1769325220132275,1769325220132893,1769325224223403,,1769325220286359,1769325224223402,,1769325224228395,4101035,4091128,,,,3937043,626985,16,yolov5m,PngLossless,T1,HD
53,1591,RSU-0000,Local,1769325222129251,1769325222138398,1769325222139135,1769325225688680,,1769325222385172,1769325225688679,,1769325225692257,3563006,3550282,,,,3303507,623948,12,yolov5m,PngLossless,T1,HD
54,1621,RSU-0002,Local,1769325223130683,1769325223136092,1769325223136930,1769325227267709,,1769325223624445,1769325227267708,,1769325227272635,4141952,4131617,,,,3643263,625512,12,yolov5m,PngLossless,T1,HD
55,1651,RSU-0001,Local,1769325224132110,1769325224137500,1769325224138212,1769325228156585,,1769325224223549,1769325228156584,,1769325228158831,4026721,4019085,,,,3933035,620612,15,yolov5m,PngLossless,T1,HD
56,1681,RSU-0000,Local,1769325225132933,1769325225140756,1769325225141376,1769325228996467,,1769325225688836,1769325228996466,,1769325228999674,3866741,3855711,,,,3307630,631495,18,yolov5m,PngLossless,T1,HD
58,1741,RSU-0002,Local,1769325227134735,1769325227141743,1769325227142549,1769325230918947,,1769325227267855,1769325230918946,,1769325230924630,3789895,3777204,,,,3651091,640997,17,yolov5m,PngLossless,T1,HD
