sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1769325454445885,1769325454459279,1769325454465662,1769325458104958,,1769325454719198,1769325458104957,,1769325458107778,3661893,3645679,,,,3385759,1352865,17,yolov5m,PngLossless,T2,FHD
0,1,RSU-0002,Local,1769325454445885,1769325454458097,1769325454470771,1769325458160083,,1769325454735238,1769325458160082,,1769325458165867,3719982,3701986,,,,3424844,1352865,17,yolov5m,PngLossless,T2,FHD
0,1,RSU-0001,Local,1769325454445885,1769325454456374,1769325454537906,1769325458647894,,1769325454722624,1769325458647893,,1769325458653015,4207130,4191520,,,,3925269,1352865,17,yolov5m,PngLossless,T2,FHD
3,91,RSU-0000,Local,1769325457450379,1769325457460960,1769325457464909,1769325461672085,,1769325458105103,1769325461672084,,1769325461675001,4224622,4211125,,,,3566981,815037,24,yolov5m,PngLossless,T2,FHD
3,91,RSU-0002,Local,1769325457450407,1769325457456643,1769325457464486,1769325461726153,,1769325458160164,1769325461726153,,1769325461731274,4280867,4269510,,,,3565989,815037,24,yolov5m,PngLossless,T2,FHD
4,121,RSU-0001,Local,1769325458452276,1769325458456313,1769325458457134,1769325462755424,,1769325458648028,1769325462755423,,1769325462760851,4308575,4299111,,,,4107395,817754,22,yolov5m,PngLossless,T2,FHD
7,211,RSU-0000,Local,1769325461456287,1769325461465791,1769325461466671,1769325465214230,,1769325461672222,1769325465214229,,1769325465217485,3761198,3748439,,,,3542007,821040,23,yolov5m,PngLossless,T2,FHD
7,211,RSU-0002,Local,1769325461456302,1769325461462704,1769325461469194,1769325465290045,,1769325461726311,1769325465290044,,1769325465295448,3839146,3827341,,,,3563733,821040,23,yolov5m,PngLossless,T2,FHD
8,241,RSU-0001,Local,1769325462457581,1769325462462505,1769325462493911,1769325466860814,,1769325462755572,1769325466860813,,1769325466866049,4408468,4398309,,,,4105241,817944,24,yolov5m,PngLossless,T2,FHD
10,301,RSU-0000,Local,1769325464460174,1769325464469600,1769325464470531,1769325468772992,,1769325465214369,1769325468772991,,1769325468775868,4315694,4303392,,,,3558622,811407,19,yolov5m,PngLossless,T2,FHD
10,301,RSU-0002,Local,1769325464460191,1769325464466632,1769325464473609,1769325468864090,,1769325465290186,1769325468864089,,1769325468869006,4408815,4397458,,,,3573903,811407,19,yolov5m,PngLossless,T2,FHD
12,361,RSU-0001,Local,1769325466462582,1769325466467608,1769325466549484,1769325470943721,,1769325466860960,1769325470943720,,1769325470948924,4486342,4476113,,,,4082760,807660,20,yolov5m,PngLossless,T2,FHD
14,421,RSU-0000,Local,1769325468464908,1769325468474350,1769325468475286,1769325472328153,,1769325468773133,1769325472328152,,1769325472331234,3866326,3853803,,,,3555019,806879,19,yolov5m,PngLossless,T2,FHD
14,421,RSU-0002,Local,1769325468464923,1769325468473135,1769325468481252,1769325472427150,,1769325468864248,1769325472427149,,1769325472429120,3964197,3954015,,,,3562901,806879,19,yolov5m,PngLossless,T2,FHD
16,481,RSU-0001,Local,1769325470466734,1769325470471674,1769325470472540,1769325475035448,,1769325470943920,1769325475035447,,1769325475040644,4573910,4563774,,,,4091527,799057,18,yolov5m,PngLossless,T2,FHD
17,511,RSU-0000,Local,1769325471467832,1769325471476120,1769325471476907,1769325475877578,,1769325472328293,1769325475877577,,1769325475881618,4413786,4401458,,,,3549284,809844,22,yolov5m,PngLossless,T2,FHD
17,511,RSU-0002,Local,1769325471467851,1769325471473736,1769325471480291,1769325475985614,,1769325472427654,1769325475985614,,1769325475990482,4522631,4511878,,,,3557960,809844,22,yolov5m,PngLossless,T2,FHD
20,601,RSU-0001,Local,1769325474472690,1769325474479828,1769325474480894,1769325479114102,,1769325475035596,1769325479114101,,1769325479119539,4646849,4634274,,,,4078505,824765,22,yolov5m,PngLossless,T2,FHD
21,631,RSU-0000,Local,1769325475474673,1769325475482879,1769325475483771,1769325479440366,,1769325475877720,1769325479440365,,1769325479443522,3968849,3957487,,,,3562645,821076,23,yolov5m,PngLossless,T2,FHD
21,631,RSU-0002,Local,1769325475474693,1769325475480071,1769325475486704,1769325479554411,,1769325475985958,1769325479554410,,1769325479559259,4084566,4074340,,,,3568452,821076,23,yolov5m,PngLossless,T2,FHD
24,721,RSU-0000,Local,1769325478480246,1769325478488693,1769325478490200,1769325483001680,,1769325479440508,1769325483001679,,1769325483004670,4524424,4512987,,,,3561171,832801,26,yolov5m,PngLossless,T2,FHD
25,751,RSU-0002,Local,1769325479481161,1769325479486654,1769325479493635,1769325483112486,,1769325479554777,1769325483112485,,1769325483117097,3635936,3625832,,,,3557708,843833,24,yolov5m,PngLossless,T2,FHD
24,721,RSU-0001,Local,1769325478480260,1769325478485183,1769325478485981,1769325483192136,,1769325479114254,1769325483192135,,1769325483197479,4717219,4706953,,,,4077881,832801,26,yolov5m,PngLossless,T2,FHD
28,841,RSU-0000,Local,1769325482485467,1769325482494962,1769325482496068,1769325486557876,,1769325483001824,1769325486557875,,1769325486560635,4075168,4062914,,,,3556051,851330,21,yolov5m,PngLossless,T2,FHD
28,841,RSU-0002,Local,1769325482485477,1769325482491260,1769325482498293,1769325486663742,,1769325483112635,1769325486663741,,1769325486668658,4183181,4172482,,,,3551106,851330,21,yolov5m,PngLossless,T2,FHD
28,841,RSU-0001,Local,1769325482485475,1769325482490365,1769325482491207,1769325487290004,,1769325483192285,1769325487290003,,1769325487295334,4809859,4799639,,,,4097718,851330,21,yolov5m,PngLossless,T2,FHD
32,961,RSU-0000,Local,1769325486491495,1769325486500630,1769325486501608,1769325490112843,,1769325486558014,1769325490112842,,1769325490116029,3624534,3612213,,,,3554828,780900,19,yolov5m,PngLossless,T2,FHD
32,961,RSU-0002,Local,1769325486491514,1769325486497580,1769325486504219,1769325490230515,,1769325486663901,1769325490230513,,1769325490235612,3744098,3732935,,,,3566612,780900,19,yolov5m,PngLossless,T2,FHD
32,961,RSU-0001,Local,1769325486491513,1769325486496496,1769325486497361,1769325491371590,,1769325487290157,1769325491371589,,1769325491376773,4885260,4875094,,,,4081432,780900,19,yolov5m,PngLossless,T2,FHD
35,1051,RSU-0000,Local,1769325489495503,1769325489506623,1769325489507516,1769325493664790,,1769325490112985,1769325493664789,,1769325493667711,4172208,4158167,,,,3551804,770095,17,yolov5m,PngLossless,T2,FHD
35,1051,RSU-0002,Local,1769325489495524,1769325489503277,1769325489509823,1769325493785040,,1769325490230674,1769325493785039,,1769325493790028,4294504,4281763,,,,3554365,770095,17,yolov5m,PngLossless,T2,FHD
36,1081,RSU-0001,Local,1769325490497466,1769325490502773,1769325490503700,1769325495443848,,1769325491371754,1769325495443847,,1769325495449302,4951836,4941075,,,,4072093,781231,17,yolov5m,PngLossless,T2,FHD
39,1171,RSU-0000,Local,1769325493503175,1769325493512446,1769325493513457,1769325497223816,,1769325493664890,1769325497223815,,1769325497226631,3723456,3711370,,,,3558925,782312,17,yolov5m,PngLossless,T2,FHD
39,1171,RSU-0002,Local,1769325493503200,1769325493508711,1769325493515207,1769325497339625,,1769325493785200,1769325497339624,,1769325497344872,3841672,3830914,,,,3554424,782312,17,yolov5m,PngLossless,T2,FHD
40,1201,RSU-0001,Local,1769325494504699,1769325494509822,1769325494510750,1769325499517185,,1769325495444030,1769325499517184,,1769325499539568,5034869,5007363,,,,4073154,784667,16,yolov5m,PngLossless,T2,FHD
42,1261,RSU-0000,Local,1769325496507330,1769325496516935,1769325496517893,1769325500773450,,1769325497223949,1769325500773449,,1769325500772838,4265508,4256515,,,,3549500,780515,17,yolov5m,PngLossless,T2,FHD
42,1261,RSU-0002,Local,1769325496507345,1769325496513770,1769325496520296,1769325500890310,,1769325497340143,1769325500890310,,1769325500894861,4387516,4376540,,,,3550167,780515,17,yolov5m,PngLossless,T2,FHD
44,1321,RSU-0001,Local,1769325498510474,1769325498515497,1769325498530416,1769325503585901,,1769325499517290,1769325503585900,,1769325503591093,5080619,5070404,,,,4068610,787542,20,yolov5m,PngLossless,T2,FHD
