sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1769326211796815,1769326211807038,1769326211811191,1769326215350863,,1769326212063815,1769326215350863,,1769326215352193,3555378,3543825,,,,3287048,1323972,17,yolov5m,PngLossless,T3,Letterbox
0,1,RSU-0002,Local,1769326211796815,1769326211803539,1769326211815643,1769326215427294,,1769326212105639,1769326215427293,,1769326215429824,3633009,3623755,,,,3321654,1323972,17,yolov5m,PngLossless,T3,Letterbox
0,1,RSU-0001,Local,1769326211796815,1769326211808123,1769326211870088,1769326215811076,,1769326212075156,1769326215811075,,1769326215847718,4050903,4002953,,,,3735919,1323972,17,yolov5m,PngLossless,T3,Letterbox
3,91,RSU-0000,Local,1769326214800680,1769326214811288,1769326214812594,1769326218776269,,1769326215351002,1769326218776268,,1769326218778111,3977431,3964981,,,,3425266,1323922,21,yolov5m,PngLossless,T3,Letterbox
3,91,RSU-0002,Local,1769326214800704,1769326214807315,1769326214816725,1769326219008514,,1769326215427783,1769326219008513,,1769326219013252,4212548,4201199,,,,3580730,1323922,21,yolov5m,PngLossless,T3,Letterbox
3,91,RSU-0001,Local,1769326214800703,1769326214805858,1769326214841265,1769326219468627,,1769326215811542,1769326219468626,,1769326219473699,4672996,4662769,,,,3657084,1323922,21,yolov5m,PngLossless,T3,Letterbox
6,181,RSU-0000,Local,1769326217804010,1769326217814596,1769326217817430,1769326222197014,,1769326218776407,1769326222197013,,1769326222199074,4395064,4382418,,,,3420606,1324096,23,yolov5m,PngLossless,T3,Letterbox
7,211,RSU-0002,Local,1769326218804933,1769326218811165,1769326218820700,1769326222573632,,1769326219008661,1769326222573631,,1769326222578310,3773377,3762467,,,,3564970,1324115,22,yolov5m,PngLossless,T3,Letterbox
7,211,RSU-0001,Local,1769326218804932,1769326218811526,1769326219411018,1769326223100947,,1769326219468771,1769326223100946,,1769326223106295,4301363,4289421,,,,3632175,1324115,22,yolov5m,PngLossless,T3,Letterbox
10,301,RSU-0000,Local,1769326221809501,1769326221821443,1769326221824741,1769326225614723,,1769326222197127,1769326225614722,,1769326225616098,3806597,3793280,,,,3417595,1324155,19,yolov5m,PngLossless,T3,Letterbox
10,301,RSU-0002,Local,1769326221809518,1769326221815825,1769326221825395,1769326226149788,,1769326222573763,1769326226149787,,1769326226154375,4344857,4333963,,,,3576024,1324155,19,yolov5m,PngLossless,T3,Letterbox
11,331,RSU-0001,Local,1769326222811115,1769326222817153,1769326222850756,1769326226722038,,1769326223101330,1769326226722037,,1769326226727570,3916455,3904885,,,,3620707,1324165,19,yolov5m,PngLossless,T3,Letterbox
13,391,RSU-0000,Local,1769326224814267,1769326224823497,1769326224825364,1769326229035211,,1769326225614864,1769326229035210,,1769326229037308,4223041,4211714,,,,3420346,1324167,19,yolov5m,PngLossless,T3,Letterbox
14,421,RSU-0002,Local,1769326225814921,1769326225820444,1769326225822250,1769326229711859,,1769326226149938,1769326229711858,,1769326229716525,3901604,3891415,,,,3561920,1324190,18,yolov5m,PngLossless,T3,Letterbox
14,421,RSU-0001,Local,1769326225814920,1769326225820681,1769326225854481,1769326230348592,,1769326226722563,1769326230348591,,1769326230353935,4539015,4527911,,,,3626028,1324190,18,yolov5m,PngLossless,T3,Letterbox
17,511,RSU-0000,Local,1769326228819932,1769326228830868,1769326228832791,1769326232452346,,1769326229035358,1769326232452345,,1769326232451360,3631428,3621478,,,,3416987,1324132,21,yolov5m,PngLossless,T3,Letterbox
17,511,RSU-0002,Local,1769326228819949,1769326228826273,1769326228827636,1769326233291994,,1769326229712001,1769326233291993,,1769326233296640,4476691,4465721,,,,3579992,1324132,21,yolov5m,PngLossless,T3,Letterbox
18,541,RSU-0001,Local,1769326229821017,1769326229826034,1769326229860189,1769326233973960,,1769326230348974,1769326233973959,,1769326233979152,4158135,4147926,,,,3624985,1324125,22,yolov5m,PngLossless,T3,Letterbox
20,601,RSU-0000,Local,1769326231823107,1769326231833478,1769326231834959,1769326235874135,,1769326232452483,1769326235874134,,1769326235876356,4053249,4040657,,,,3421651,1324050,22,yolov5m,PngLossless,T3,Letterbox
21,631,RSU-0002,Local,1769326232824325,1769326232826820,1769326232828103,1769326236848158,,1769326233292139,1769326236848158,,1769326236849770,4025445,4021338,,,,3556019,1323920,23,yolov5m,PngLossless,T3,Letterbox
22,661,RSU-0001,Local,1769326233824959,1769326233830166,1769326233864347,1769326237609082,,1769326233974111,1769326237609082,,1769326237614166,3789207,3778916,,,,3634971,1323613,22,yolov5m,PngLossless,T3,Letterbox
24,721,RSU-0000,Local,1769326235827453,1769326235838981,1769326235841642,1769326239293563,,1769326235874274,1769326239293563,,1769326239295379,3467926,3454582,,,,3419289,1323552,24,yolov5m,PngLossless,T3,Letterbox
25,751,RSU-0002,Local,1769326236828769,1769326236836006,1769326236838687,1769326240403059,,1769326236848282,1769326240403059,,1769326240408155,3579386,3567053,,,,3554777,1323678,23,yolov5m,PngLossless,T3,Letterbox
25,751,RSU-0001,Local,1769326236828768,1769326236834885,1769326236862985,1769326241249156,,1769326237609189,1769326241249155,,1769326241253585,4424817,4414271,,,,3639966,1323678,23,yolov5m,PngLossless,T3,Letterbox
27,811,RSU-0000,Local,1769326238831123,1769326238841720,1769326238843169,1769326242705355,,1769326239293665,1769326242705354,,1769326242708986,3877863,3863635,,,,3411689,1323580,20,yolov5m,PngLossless,T3,Letterbox
28,841,RSU-0002,Local,1769326239832278,1769326239837866,1769326239839156,1769326243974737,,1769326240403206,1769326243974736,,1769326243979467,4147189,4136871,,,,3571530,1323394,21,yolov5m,PngLossless,T3,Letterbox
29,871,RSU-0001,Local,1769326240833153,1769326240840190,1769326240869716,1769326244887395,,1769326241249306,1769326244887394,,1769326245504929,4671776,4047205,,,,3638088,1322968,22,yolov5m,PngLossless,T3,Letterbox
30,901,RSU-0000,Local,1769326241834846,1769326241844123,1769326241845903,1769326246113180,,1769326242705678,1769326246113180,,1769326246114315,4279469,4269057,,,,3407502,1323588,23,yolov5m,PngLossless,T3,Letterbox
32,961,RSU-0002,Local,1769326243837813,1769326243844742,1769326243846263,1769326247551726,,1769326243974881,1769326247551725,,1769326247556507,3718694,3706984,,,,3576844,1324145,18,yolov5m,PngLossless,T3,Letterbox
32,961,RSU-0001,Local,1769326243837812,1769326243842801,1769326243876271,1769326248515174,,1769326244887936,1769326248515173,,1769326248517516,4679704,4672373,,,,3627237,1324145,18,yolov5m,PngLossless,T3,Letterbox
