sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1769323891711797,1769323891719291,1769323891721200,1769323895423736,,1769323892020722,1769323895423735,,1769323895427284,3715487,3704445,,,,3403013,509564,17,yolov5m,WebpLossy,T1,HD
0,1,RSU-0002,Local,1769323891711798,1769323891718835,1769323891719338,1769323895456118,,1769323892048068,1769323895456117,,1769323895460013,3748215,3737283,,,,3408049,509564,17,yolov5m,WebpLossy,T1,HD
0,1,RSU-0001,Local,1769323891711798,1769323891720871,1769323891722981,1769323895796847,,1769323891973590,1769323895796846,,1769323895799624,4087826,4075976,,,,3823256,509564,17,yolov5m,WebpLossy,T1,HD
3,91,RSU-0002,Local,1769323894715764,1769323894723176,1769323894724171,1769323898977976,,1769323895456278,1769323898977976,,1769323898981120,4265356,4254800,,,,3521698,388816,23,yolov5m,WebpLossy,T1,HD
3,91,RSU-0000,Local,1769323894715752,1769323894722600,1769323894723111,1769323899059406,,1769323895423862,1769323899059406,,1769323899062563,4346811,4336806,,,,3635544,388816,23,yolov5m,WebpLossy,T1,HD
4,121,RSU-0001,Local,1769323895716674,1769323895724052,1769323895724523,1769323899796601,,1769323895796998,1769323899796600,,1769323899799365,4082691,4072549,,,,3999602,387380,22,yolov5m,WebpLossy,T1,HD
7,211,RSU-0002,Local,1769323898720669,1769323898729234,1769323898729913,1769323902489453,,1769323898978134,1769323902489453,,1769323902492533,3771864,3760219,,,,3511319,386754,23,yolov5m,WebpLossy,T1,HD
7,211,RSU-0000,Local,1769323898720649,1769323898728327,1769323898728774,1769323902682132,,1769323899059547,1769323902682132,,1769323902685422,3964773,3953805,,,,3622585,386754,23,yolov5m,WebpLossy,T1,HD
8,241,RSU-0001,Local,1769323899721785,1769323899729339,1769323899729876,1769323903769031,,1769323899796765,1769323903769030,,1769323903771978,4050193,4039692,,,,3972265,385004,24,yolov5m,WebpLossy,T1,HD
10,301,RSU-0002,Local,1769323901724461,1769323901732172,1769323901732706,1769323906004046,,1769323902489619,1769323906004045,,1769323906007816,4283355,4271874,,,,3514426,383638,19,yolov5m,WebpLossy,T1,HD
10,301,RSU-0000,Local,1769323901724443,1769323901733622,1769323901734007,1769323906311105,,1769323902682295,1769323906311104,,1769323906314527,4590084,4577483,,,,3628809,383638,19,yolov5m,WebpLossy,T1,HD
12,361,RSU-0001,Local,1769323903726720,1769323903735398,1769323903737014,1769323907748747,,1769323903769133,1769323907748746,,1769323907748140,4021420,4013349,,,,3979613,381188,21,yolov5m,WebpLossy,T1,HD
14,421,RSU-0002,Local,1769323905729269,1769323905737724,1769323905738354,1769323909521224,,1769323906004198,1769323909521223,,1769323909524632,3795363,3783500,,,,3517025,382676,20,yolov5m,WebpLossy,T1,HD
14,421,RSU-0000,Local,1769323905729255,1769323905736267,1769323905736710,1769323909924466,,1769323906311248,1769323909924465,,1769323909927626,4198371,4188199,,,,3613217,382676,20,yolov5m,WebpLossy,T1,HD
16,481,RSU-0001,Local,1769323907732272,1769323907741110,1769323907742402,1769323911724484,,1769323907748907,1769323911724483,,1769323911727067,3994795,3983374,,,,3975576,379170,18,yolov5m,WebpLossy,T1,HD
17,511,RSU-0002,Local,1769323908733069,1769323908739709,1769323908740594,1769323913033885,,1769323909521377,1769323913033884,,1769323913037645,4304576,4294176,,,,3512507,384674,21,yolov5m,WebpLossy,T1,HD
18,541,RSU-0000,Local,1769323909734440,1769323909742237,1769323909742723,1769323913545586,,1769323909924604,1769323913545585,,1769323913548896,3814456,3803349,,,,3620981,382918,22,yolov5m,WebpLossy,T1,HD
19,571,RSU-0001,Local,1769323910736030,1769323910744516,1769323910745013,1769323915698377,,1769323911724643,1769323915698377,,1769323915701102,4965072,4953861,,,,3973734,383020,21,yolov5m,WebpLossy,T1,HD
21,631,RSU-0002,Local,1769323912738356,1769323912746683,1769323912747220,1769323916540603,,1769323913034027,1769323916540602,,1769323916544513,3806157,3793920,,,,3506575,391668,23,yolov5m,WebpLossy,T1,HD
21,631,RSU-0000,Local,1769323912738343,1769323912746166,1769323912746717,1769323917161773,,1769323913545689,1769323917161772,,1769323917164994,4426651,4415607,,,,3616083,391668,23,yolov5m,WebpLossy,T1,HD
23,691,RSU-0001,Local,1769323914740079,1769323914748504,1769323914748978,1769323919675691,,1769323915698523,1769323919675690,,1769323919678837,4938758,4927187,,,,3977167,395512,24,yolov5m,WebpLossy,T1,HD
24,721,RSU-0002,Local,1769323915741657,1769323915748922,1769323915749582,1769323920060313,,1769323916540764,1769323920060313,,1769323920064060,4322403,4311391,,,,3519549,393780,26,yolov5m,WebpLossy,T1,HD
25,751,RSU-0000,Local,1769323916743473,1769323916751855,1769323916752355,1769323920752328,,1769323917161915,1769323920752327,,1769323920755854,4012381,4000473,,,,3590412,398720,24,yolov5m,WebpLossy,T1,HD
28,841,RSU-0002,Local,1769323919748528,1769323919755111,1769323919755620,1769323923575793,,1769323920060459,1769323923575792,,1769323923579727,3831199,3820682,,,,3515333,401944,21,yolov5m,WebpLossy,T1,HD
27,811,RSU-0001,Local,1769323918746411,1769323918754053,1769323918754601,1769323923645845,,1769323919675835,1769323923645844,,1769323923649294,4902883,4891792,,,,3970009,395514,21,yolov5m,WebpLossy,T1,HD
28,841,RSU-0000,Local,1769323919748512,1769323919756381,1769323919756966,1769323924357804,,1769323920752469,1769323924357803,,1769323924360904,4612392,4601423,,,,3605334,401944,21,yolov5m,WebpLossy,T1,HD
31,931,RSU-0002,Local,1769323922752501,1769323922760055,1769323922760520,1769323927090139,,1769323923576260,1769323927090138,,1769323927094024,4341523,4330084,,,,3513878,377090,22,yolov5m,WebpLossy,T1,HD
31,931,RSU-0001,Local,1769323922752500,1769323922760133,1769323922760655,1769323927632557,,1769323923645997,1769323927632556,,1769323927635427,4882927,4872424,,,,3986559,377090,22,yolov5m,WebpLossy,T1,HD
32,961,RSU-0000,Local,1769323923753970,1769323923760857,1769323923761401,1769323927984551,,1769323924357956,1769323927984550,,1769323927987316,4233346,4223694,,,,3626594,375842,18,yolov5m,WebpLossy,T1,HD
35,1051,RSU-0002,Local,1769323926757744,1769323926765292,1769323926765869,1769323930611306,,1769323927090299,1769323930611305,,1769323930616845,3859101,3846014,,,,3521006,370024,17,yolov5m,WebpLossy,T1,HD
35,1051,RSU-0001,Local,1769323926757743,1769323926765187,1769323926765596,1769323931611297,,1769323927632707,1769323931611296,,1769323931614242,4856499,4846110,,,,3978589,370024,17,yolov5m,WebpLossy,T1,HD
36,1081,RSU-0000,Local,1769323927758982,1769323927765873,1769323927766343,1769323931617143,,1769323927984688,1769323931617142,,1769323931620441,3861459,3851270,,,,3632454,373878,17,yolov5m,WebpLossy,T1,HD
38,1141,RSU-0002,Local,1769323929761527,1769323929768439,1769323929768992,1769323934126724,,1769323930611764,1769323934126723,,1769323934129528,4368001,4358285,,,,3514959,376492,16,yolov5m,WebpLossy,T1,HD
39,1171,RSU-0000,Local,1769323930763722,1769323930772085,1769323930772584,1769323935244625,,1769323931617283,1769323935244624,,1769323935247705,4483983,4472540,,,,3627341,374876,16,yolov5m,WebpLossy,T1,HD
39,1171,RSU-0001,Local,1769323930763736,1769323930771385,1769323930771971,1769323935589520,,1769323931611445,1769323935589519,,1769323935592132,4828396,4818135,,,,3978074,374876,16,yolov5m,WebpLossy,T1,HD
42,1261,RSU-0002,Local,1769323933767131,1769323933774776,1769323933775337,1769323937641519,,1769323934126876,1769323937641497,,1769323937642188,3875057,3866743,,,,3514621,374904,17,yolov5m,WebpLossy,T1,HD
43,1291,RSU-0000,Local,1769323934768520,1769323934774183,1769323934775187,1769323938878748,,1769323935244776,1769323938878747,,1769323938881851,4113331,4104565,,,,3633971,375024,17,yolov5m,WebpLossy,T1,HD
43,1291,RSU-0001,Local,1769323934768532,1769323934776109,1769323934776621,1769323939567200,,1769323935589624,1769323939567199,,1769323939569892,4801360,4791091,,,,3977575,375024,17,yolov5m,WebpLossy,T1,HD
45,1351,RSU-0002,Local,1769323936771570,1769323936779361,1769323936780190,1769323941161634,,1769323937641644,1769323941161633,,1769323941165147,4393577,4382273,,,,3519989,382238,19,yolov5m,WebpLossy,T1,HD
47,1411,RSU-0000,Local,1769323938774485,1769323938783587,1769323938784165,1769323942516365,,1769323938878893,1769323942516364,,1769323942519567,3745082,3732778,,,,3637471,384236,18,yolov5m,WebpLossy,T1,HD
47,1411,RSU-0001,Local,1769323938774497,1769323938781878,1769323938782409,1769323943547928,,1769323939567346,1769323943547927,,1769323943550637,4776140,4766050,,,,3980581,384236,18,yolov5m,WebpLossy,T1,HD
49,1471,RSU-0002,Local,1769323940778326,1769323940786041,1769323940786536,1769323944678284,,1769323941161780,1769323944678283,,1769323944681782,3903456,3892243,,,,3516503,386398,20,yolov5m,WebpLossy,T1,HD
50,1501,RSU-0000,Local,1769323941779633,1769323941787770,1769323941788307,1769323946151896,,1769323942516505,1769323946151895,,1769323946155739,4376106,4364126,,,,3635390,382544,19,yolov5m,WebpLossy,T1,HD
51,1531,RSU-0001,Local,1769323942781515,1769323942789903,1769323942790398,1769323947524147,,1769323943548058,1769323947524146,,1769323947526929,4745414,4734244,,,,3976088,379638,16,yolov5m,WebpLossy,T1,HD
52,1561,RSU-0002,Local,1769323943783563,1769323943790257,1769323943790725,1769323948194990,,1769323944678422,1769323948194990,,1769323948198561,4414998,4404733,,,,3516568,382742,14,yolov5m,WebpLossy,T1,HD
54,1621,RSU-0000,Local,1769323945787304,1769323945796281,1769323945796749,1769323949788357,,1769323946152043,1769323949788356,,1769323949791200,4003896,3992076,,,,3636313,378088,12,yolov5m,WebpLossy,T1,HD
