sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
3,7,RSU-0000,Local,1769338390755187,1769338390761529,1769338390785543,1769338394222889,,1769338390798550,1769338394222888,,1769338394227454,3472267,3461360,,,,3424338,633352,18,yolov5m,WebpLossy,T2,FHD
4,9,RSU-0002,Local,1769338390823033,1769338390828557,1769338390832232,1769338394321693,,1769338390854547,1769338394321692,,1769338394324500,3501467,3493136,,,,3467145,504156,19,yolov5m,WebpLossy,T2,FHD
4,9,RSU-0001,Local,1769338390823032,1769338390829349,1769338390843324,1769338394761853,,1769338390869233,1769338394761852,,1769338394769075,3946043,3932504,,,,3892619,504156,19,yolov5m,WebpLossy,T2,FHD
53,107,RSU-0000,Local,1769338394157085,1769338394166278,1769338394208471,1769338397644802,,1769338394223034,1769338397644800,,1769338397647313,3490228,3478524,,,,3421766,428152,24,yolov5m,WebpLossy,T2,FHD
55,111,RSU-0002,Local,1769338394293283,1769338394298644,1769338394303359,1769338397975547,,1769338394321844,1769338397975546,,1769338397978012,3684729,3676903,,,,3653702,429354,24,yolov5m,WebpLossy,T2,FHD
61,123,RSU-0001,Local,1769338394700430,1769338394704907,1769338394716585,1769338398764702,,1769338394762004,1769338398764701,,1769338398770341,4069911,4059795,,,,4002697,429228,23,yolov5m,WebpLossy,T2,FHD
103,207,RSU-0000,Local,1769338397555664,1769338397562502,1769338397592478,1769338401039109,,1769338397644933,1769338401039108,,1769338401047030,3491366,3476607,,,,3394175,428522,22,yolov5m,WebpLossy,T2,FHD
109,219,RSU-0002,Local,1769338397962952,1769338397969164,1769338397973216,1769338401624502,,1769338397975693,1769338401624501,,1769338401630093,3667141,3655338,,,,3648808,427014,21,yolov5m,WebpLossy,T2,FHD
120,241,RSU-0001,Local,1769338398712657,1769338398718026,1769338398718527,1769338402746502,,1769338398764849,1769338402746502,,1769338402749163,4036506,4028476,,,,3981653,428306,24,yolov5m,WebpLossy,T2,FHD
153,307,RSU-0000,Local,1769338400958876,1769338400963478,1769338401006924,1769338404434978,,1769338401039227,1769338404434977,,1769338404437745,3478869,3471500,,,,3395750,421728,21,yolov5m,WebpLossy,T2,FHD
162,325,RSU-0002,Local,1769338401570877,1769338401575563,1769338401578444,1769338405275541,,1769338401624665,1769338405275540,,1769338405277826,3706949,3699978,,,,3650875,422822,20,yolov5m,WebpLossy,T2,FHD
179,359,RSU-0001,Local,1769338402726748,1769338402731836,1769338402745620,1769338406730771,,1769338402746615,1769338406730770,,1769338406736436,4009688,3998935,,,,3984155,423822,18,yolov5m,WebpLossy,T2,FHD
203,407,RSU-0000,Local,1769338404361492,1769338404367021,1769338404411063,1769338407839550,,1769338404435120,1769338407839550,,1769338407854903,3493411,3472529,,,,3404430,420506,21,yolov5m,WebpLossy,T2,FHD
216,433,RSU-0002,Local,1769338405245796,1769338405252360,1769338405256394,1769338408928145,,1769338405275653,1769338408928144,,1769338408930521,3684725,3675785,,,,3652491,414866,18,yolov5m,WebpLossy,T2,FHD
237,475,RSU-0001,Local,1769338406675340,1769338406679834,1769338406692494,1769338410718790,,1769338406730921,1769338410718789,,1769338410729030,4053690,4038956,,,,3987868,420128,17,yolov5m,WebpLossy,T2,FHD
253,507,RSU-0000,Local,1769338407764250,1769338407769876,1769338407808820,1769338411228706,,1769338407839614,1769338411228706,,1769338411233475,3469225,3458830,,,,3389092,420348,21,yolov5m,WebpLossy,T2,FHD
270,541,RSU-0002,Local,1769338408921298,1769338408926995,1769338408927709,1769338412585119,,1769338408928231,1769338412585118,,1769338412590634,3669336,3658124,,,,3656887,418784,22,yolov5m,WebpLossy,T2,FHD
303,607,RSU-0000,Local,1769338411165664,1769338411170871,1769338411189009,1769338414628834,,1769338411228842,1769338414628833,,1769338414633593,3467929,3457963,,,,3399991,428848,22,yolov5m,WebpLossy,T2,FHD
295,591,RSU-0001,Local,1769338410621761,1769338410625327,1769338410713635,1769338414700533,,1769338410718942,1769338414700533,,1769338414706320,4084559,4075206,,,,3981591,423692,20,yolov5m,WebpLossy,T2,FHD
323,647,RSU-0002,Local,1769338412526616,1769338412531883,1769338412535081,1769338416236801,,1769338412585264,1769338416236800,,1769338416242126,3715510,3704918,,,,3651536,434842,23,yolov5m,WebpLossy,T2,FHD
353,707,RSU-0000,Local,1769338414566394,1769338414571741,1769338414616555,1769338418021676,,1769338414629179,1769338418021675,,1769338418024065,3457671,3449935,,,,3392496,427734,24,yolov5m,WebpLossy,T2,FHD
