sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
1,7,RSU-0000,Local,1769328361308691,1769328361314785,1769328361329196,1769328364695874,,1769328361402841,1769328364695873,,1769328364699786,3391095,3381089,,,,3293032,179126,17,yolov5m,WebpLossy,T2,Letterbox
1,7,RSU-0002,Local,1769328361308708,1769328361312527,1769328361316407,1769328364710109,,1769328361384989,1769328364710108,,1769328364717300,3408592,3397582,,,,3325119,179126,17,yolov5m,WebpLossy,T2,Letterbox
1,7,RSU-0001,Local,1769328361308707,1769328361314044,1769328361319911,1769328365122988,,1769328361393729,1769328365122987,,1769328365131469,3822762,3808944,,,,3729258,179126,17,yolov5m,WebpLossy,T2,Letterbox
17,103,RSU-0002,Local,1769328364529437,1769328364533256,1769328364536815,1769328368190127,,1769328364710259,1769328368190127,,1769328368197354,3667917,3656871,,,,3479868,167518,22,yolov5m,WebpLossy,T2,Letterbox
17,103,RSU-0000,Local,1769328364529419,1769328364537358,1769328364542421,1769328368297219,,1769328364696005,1769328368297218,,1769328368301174,3771755,3759861,,,,3601213,167518,22,yolov5m,WebpLossy,T2,Letterbox
19,115,RSU-0001,Local,1769328364932033,1769328364934962,1769328364940317,1769328368940409,,1769328365123136,1769328368940408,,1769328368946737,4014704,4005447,,,,3817272,168308,23,yolov5m,WebpLossy,T2,Letterbox
35,211,RSU-0002,Local,1769328368149930,1769328368156204,1769328368156860,1769328371640914,,1769328368190489,1769328371640913,,1769328371648014,3498084,3484710,,,,3450424,168094,22,yolov5m,WebpLossy,T2,Letterbox
35,211,RSU-0000,Local,1769328368149912,1769328368156816,1769328368157053,1769328371877099,,1769328368297376,1769328371877098,,1769328371881159,3731247,3720283,,,,3579722,168094,22,yolov5m,WebpLossy,T2,Letterbox
38,229,RSU-0001,Local,1769328368752952,1769328368756665,1769328368761882,1769328372740966,,1769328368940548,1769328372740965,,1769328372747550,3994598,3984301,,,,3800417,167834,20,yolov5m,WebpLossy,T2,Letterbox
52,313,RSU-0002,Local,1769328371571514,1769328371574551,1769328371578177,1769328375106566,,1769328371641058,1769328375106565,,1769328375113459,3541945,3532015,,,,3465507,165340,18,yolov5m,WebpLossy,T2,Letterbox
