sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1769291377613037,1769291377617621,1769291377617998,1769291378252879,,1769291377664184,1769291378252878,,1769291378255521,642484,635258,,,,588694,137185,16,yolov5n,JpgLossy,T1,FHD
0,1,RSU-0002,Local,1769291377613037,1769291377615119,1769291377615614,1769291378267731,,1769291377663746,1769291378267730,,1769291378281638,668601,652612,,,,603984,137185,16,yolov5n,JpgLossy,T1,FHD
0,1,RSU-0001,Local,1769291377613037,1769291377614087,1769291377614591,1769291378333798,,1769291377680955,1769291378333797,,1769291378342320,729283,719711,,,,652842,137185,16,yolov5n,JpgLossy,T1,FHD
6,19,RSU-0000,Local,1769291378221020,1769291378226231,1769291378226971,1769291378812211,,1769291378253029,1769291378812210,,1769291378816888,595868,585980,,,,559181,65642,17,yolov5n,JpgLossy,T1,FHD
6,19,RSU-0002,Local,1769291378221040,1769291378219630,1769291378220163,1769291378834959,,1769291378267870,1769291378834958,,1769291378845854,624814,615329,,,,567088,65642,17,yolov5n,JpgLossy,T1,FHD
7,22,RSU-0001,Local,1769291378322337,1769291378321659,1769291378324357,1769291378948479,,1769291378333950,1769291378948478,,1769291378956963,634626,626820,,,,614528,65534,16,yolov5n,JpgLossy,T1,FHD
11,34,RSU-0000,Local,1769291378726108,1769291378730629,1769291378733343,1769291379362294,,1769291378812368,1769291379362293,,1769291379364883,638775,631665,,,,549925,65599,17,yolov5n,JpgLossy,T1,FHD
12,37,RSU-0002,Local,1769291378827065,1769291378820773,1769291378821465,1769291379385752,,1769291378835083,1769291379385751,,1769291379400316,573251,564979,,,,550668,65600,16,yolov5n,JpgLossy,T1,FHD
13,40,RSU-0001,Local,1769291378928386,1769291378927718,1769291378931435,1769291379557054,,1769291378948628,1769291379557053,,1769291379564915,636529,629336,,,,608425,65739,17,yolov5n,JpgLossy,T1,FHD
17,52,RSU-0000,Local,1769291379334898,1769291379340396,1769291379348894,1769291379912501,,1769291379362447,1769291379912500,,1769291379917207,582309,572105,,,,550053,65901,16,yolov5n,JpgLossy,T1,FHD
