sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1769296199242264,1769296199249885,1769296199250087,1769296199801311,,1769296199300361,1769296199801310,,1769296199800308,558044,551426,,,,500949,28714,15,yolov5n,JpgLossy,T1,Letterbox
0,1,RSU-0001,Local,1769296199242264,1769296199244982,1769296199245398,1769296199817058,,1769296199305050,1769296199817057,,1769296199821201,578937,572076,,,,512007,28714,15,yolov5n,JpgLossy,T1,Letterbox
0,1,RSU-0002,Local,1769296199242264,1769296199248776,1769296199249091,1769296199820257,,1769296199306892,1769296199820256,,1769296199821259,578995,571481,,,,513364,28714,15,yolov5n,JpgLossy,T1,Letterbox
8,17,RSU-0000,Local,1769296199784160,1769296199791339,1769296199793266,1769296200282317,,1769296199801412,1769296200282316,,1769296200281262,497102,490978,,,,480904,27575,16,yolov5n,JpgLossy,T1,Letterbox
8,17,RSU-0002,Local,1769296199784179,1769296199791356,1769296199793131,1769296200308199,,1769296199820395,1769296200308198,,1769296200312414,528235,516843,,,,487803,27575,16,yolov5n,JpgLossy,T1,Letterbox
8,17,RSU-0001,Local,1769296199784178,1769296199787241,1769296199789647,1769296200332961,,1769296199817173,1769296200332960,,1769296200338468,554290,545720,,,,515787,27575,16,yolov5n,JpgLossy,T1,Letterbox
15,31,RSU-0000,Local,1769296200259696,1769296200270462,1769296200271018,1769296200756519,,1769296200282470,1769296200756518,,1769296200755789,496093,486057,,,,474048,27529,13,yolov5n,JpgLossy,T1,Letterbox
15,31,RSU-0002,Local,1769296200259712,1769296200266950,1769296200267540,1769296200784408,,1769296200308341,1769296200784407,,1769296200785801,526089,517458,,,,476066,27529,13,yolov5n,JpgLossy,T1,Letterbox
15,31,RSU-0001,Local,1769296200259712,1769296200263295,1769296200263474,1769296200842655,,1769296200333045,1769296200842654,,1769296200846693,586981,579360,,,,509609,27529,13,yolov5n,JpgLossy,T1,Letterbox
22,45,RSU-0000,Local,1769296200736071,1769296200746547,1769296200749387,1769296201232180,,1769296200756636,1769296201232179,,1769296201231387,495316,485633,,,,475543,27693,14,yolov5n,JpgLossy,T1,Letterbox
22,45,RSU-0002,Local,1769296200736091,1769296200742256,1769296200746120,1769296201259040,,1769296200784524,1769296201259040,,1769296201263432,527341,516784,,,,474516,27693,14,yolov5n,JpgLossy,T1,Letterbox
23,47,RSU-0001,Local,1769296200804235,1769296200808949,1769296200811586,1769296201351781,,1769296200842803,1769296201351780,,1769296201357154,552919,542832,,,,508977,27668,14,yolov5n,JpgLossy,T1,Letterbox
29,59,RSU-0000,Local,1769296201211427,1769296201222638,1769296201225268,1769296201708938,,1769296201232325,1769296201708937,,1769296201707874,496447,486300,,,,476612,27770,15,yolov5n,JpgLossy,T1,Letterbox
29,59,RSU-0002,Local,1769296201211443,1769296201216830,1769296201217683,1769296201728979,,1769296201259154,1769296201728978,,1769296201733407,521964,512149,,,,469824,27770,15,yolov5n,JpgLossy,T1,Letterbox
30,61,RSU-0001,Local,1769296201279002,1769296201282344,1769296201282517,1769296201861727,,1769296201351921,1769296201861726,,1769296201869018,590016,579383,,,,509805,27784,14,yolov5n,JpgLossy,T1,Letterbox
36,73,RSU-0000,Local,1769296201687521,1769296201697323,1769296201697888,1769296202185463,,1769296201709075,1769296202185462,,1769296202184657,497136,488140,,,,476387,27917,15,yolov5n,JpgLossy,T1,Letterbox
36,73,RSU-0002,Local,1769296201687540,1769296201694471,1769296201694923,1769296202205239,,1769296201729129,1769296202205238,,1769296202311681,624141,510768,,,,476109,27917,15,yolov5n,JpgLossy,T1,Letterbox
38,77,RSU-0001,Local,1769296201823644,1769296201828257,1769296201830816,1769296202371052,,1769296201861879,1769296202371051,,1769296202376186,552542,542795,,,,509172,27893,14,yolov5n,JpgLossy,T1,Letterbox
43,87,RSU-0000,Local,1769296202163059,1769296202174158,1769296202176889,1769296202662499,,1769296202185606,1769296202662498,,1769296202661495,498436,488341,,,,476892,28006,17,yolov5n,JpgLossy,T1,Letterbox
