sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Local,1769287901598015,1769287901604440,1769287901604881,1769287902238026,,1769287901662276,1769287902238025,,1769287902240247,642232,633586,,,,575749,60995,14,yolov5n,JpgLossy,T3,HD
0,1,RSU-0000,Local,1769287901598015,1769287901600297,1769287901600786,1769287902237600,,1769287901658520,1769287902237599,,1769287902243077,645062,637303,,,,579079,60995,14,yolov5n,JpgLossy,T3,HD
0,1,RSU-0001,Local,1769287901598015,1769287901605976,1769287901606374,1769287902287846,,1769287901669652,1769287902287846,,1769287902289836,691821,681870,,,,618194,60995,14,yolov5n,JpgLossy,T3,HD
3,19,RSU-0002,Local,1769287902202278,1769287902210339,1769287902213828,1769287902775459,,1769287902238175,1769287902775458,,1769287902780141,577863,565120,,,,537283,56047,17,yolov5n,JpgLossy,T3,HD
3,19,RSU-0000,Local,1769287902202263,1769287902205702,1769287902210534,1769287902791122,,1769287902237705,1769287902791121,,1769287902800467,598204,585420,,,,553416,56047,17,yolov5n,JpgLossy,T3,HD
3,19,RSU-0001,Local,1769287902202277,1769287902207352,1769287902209918,1769287902868398,,1769287902287993,1769287902868397,,1769287902873059,670782,661046,,,,580404,56047,17,yolov5n,JpgLossy,T3,HD
5,31,RSU-0002,Local,1769287902605137,1769287902611036,1769287902611289,1769287903315820,,1769287902775558,1769287903315819,,1769287903321338,716201,704784,,,,540261,56120,17,yolov5n,JpgLossy,T3,HD
5,31,RSU-0000,Local,1769287902605122,1769287902608896,1769287902609113,1769287903335813,,1769287902791265,1769287903335812,,1769287903344459,739337,726917,,,,544547,56120,17,yolov5n,JpgLossy,T3,HD
6,37,RSU-0001,Local,1769287902805706,1769287902810826,1769287902813139,1769287903442135,,1769287902868547,1769287903442134,,1769287903444707,639001,631309,,,,573587,56189,18,yolov5n,JpgLossy,T3,HD
8,49,RSU-0002,Local,1769287903209546,1769287903213562,1769287903216405,1769287903846994,,1769287903315956,1769287903846993,,1769287903849357,639811,633432,,,,531037,56333,14,yolov5n,JpgLossy,T3,HD
8,49,RSU-0000,Local,1769287903209533,1769287903208170,1769287903214589,1769287903880673,,1769287903335952,1769287903880672,,1769287903889321,679788,672503,,,,544720,56333,14,yolov5n,JpgLossy,T3,HD
9,55,RSU-0001,Local,1769287903410755,1769287903416410,1769287903419448,1769287904014698,,1769287903442285,1769287904014697,,1769287904020334,609579,598288,,,,572412,56712,16,yolov5n,JpgLossy,T3,HD
11,67,RSU-0002,Local,1769287903813257,1769287903820853,1769287903825105,1769287904385060,,1769287903847096,1769287904385059,,1769287904390279,577022,564207,,,,537963,56799,14,yolov5n,JpgLossy,T3,HD
11,67,RSU-0000,Local,1769287903813192,1769287903815938,1769287903818657,1769287904426157,,1769287903880807,1769287904426156,,1769287904431847,618655,610219,,,,545349,56799,14,yolov5n,JpgLossy,T3,HD
