sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Local,1769285690645944,1769285690651219,1769285690661496,1769285691350790,,1769285690712055,1769285691350789,,1769285691357902,711958,699571,,,,638734,1321370,16,yolov5n,PngLossless,T1,FHD
0,1,RSU-0000,Local,1769285690645944,1769285690645835,1769285690773276,1769285691387455,,1769285690773342,1769285691387454,,1769285691397339,751395,741620,,,,614112,1321370,16,yolov5n,PngLossless,T1,FHD
0,1,RSU-0001,Local,1769285690645944,1769285690651056,1769285690653517,1769285691397772,,1769285690711637,1769285691397771,,1769285691406335,760391,746716,,,,686134,1321370,16,yolov5n,PngLossless,T1,FHD
1,31,RSU-0000,Local,1769285691647125,1769285691647911,1769285691675101,1769285692271563,,1769285691675211,1769285692271562,,1769285692281773,634648,623652,,,,596351,789208,15,yolov5n,PngLossless,T1,FHD
1,31,RSU-0001,Local,1769285691647141,1769285691649379,1769285691650040,1769285692317422,,1769285691650164,1769285692317422,,1769285692326385,679244,668043,,,,667258,789208,15,yolov5n,PngLossless,T1,FHD
1,31,RSU-0002,Local,1769285691647142,1769285691650310,1769285691656704,1769285692345907,,1769285691656823,1769285692345906,,1769285692354254,707112,695597,,,,689083,789208,15,yolov5n,PngLossless,T1,FHD
2,61,RSU-0001,Local,1769285692648070,1769285692649977,1769285692650664,1769285693295841,,1769285692650762,1769285693295840,,1769285693304634,656564,645864,,,,645078,802335,16,yolov5n,PngLossless,T1,FHD
2,61,RSU-0000,Local,1769285692648057,1769285692649507,1769285692727185,1769285693313996,,1769285692727275,1769285693313996,,1769285693324647,676590,664489,,,,586721,802335,16,yolov5n,PngLossless,T1,FHD
2,61,RSU-0002,Local,1769285692648071,1769285692650082,1769285692656371,1769285693329474,,1769285692656487,1769285693329474,,1769285693336913,688842,679392,,,,672987,802335,16,yolov5n,PngLossless,T1,FHD
3,91,RSU-0000,Local,1769285693648685,1769285693648090,1769285693670151,1769285694258257,,1769285693670241,1769285694258256,,1769285694268561,619876,610167,,,,588015,811791,18,yolov5n,PngLossless,T1,FHD
3,91,RSU-0001,Local,1769285693648703,1769285693651617,1769285693652351,1769285694296451,,1769285693652439,1769285694296450,,1769285694305553,656850,644834,,,,644011,811791,18,yolov5n,PngLossless,T1,FHD
3,91,RSU-0002,Local,1769285693648704,1769285693651464,1769285693657432,1769285694325392,,1769285693657607,1769285694325392,,1769285694332648,683944,673928,,,,667785,811791,18,yolov5n,PngLossless,T1,FHD
4,121,RSU-0001,Local,1769285694650650,1769285694651715,1769285694652436,1769285695295584,,1769285694652526,1769285695295583,,1769285695304786,654136,643869,,,,643057,814761,17,yolov5n,PngLossless,T1,FHD
4,121,RSU-0000,Local,1769285694650632,1769285694652109,1769285694725603,1769285695311136,,1769285694725707,1769285695311135,,1769285695321945,671313,659027,,,,585428,814761,17,yolov5n,PngLossless,T1,FHD
4,121,RSU-0002,Local,1769285694650651,1769285694653473,1769285694659532,1769285695333747,,1769285694659645,1769285695333746,,1769285695341991,691340,680274,,,,674101,814761,17,yolov5n,PngLossless,T1,FHD
5,151,RSU-0001,Local,1769285695651748,1769285695655940,1769285695656628,1769285696299282,,1769285695656723,1769285696299281,,1769285696308375,656627,643342,,,,642558,821595,19,yolov5n,PngLossless,T1,FHD
5,151,RSU-0000,Local,1769285695651733,1769285695652370,1769285695730147,1769285696318469,,1769285695730237,1769285696318468,,1769285696328889,677156,666099,,,,588231,821595,19,yolov5n,PngLossless,T1,FHD
5,151,RSU-0002,Local,1769285695651749,1769285695653832,1769285695660193,1769285696334697,,1769285695660285,1769285696334696,,1769285696342003,690254,680865,,,,674411,821595,19,yolov5n,PngLossless,T1,FHD
6,181,RSU-0000,Local,1769285696652910,1769285696653470,1769285696697961,1769285697283468,,1769285696698057,1769285697283467,,1769285697293358,640448,629998,,,,585410,813352,17,yolov5n,PngLossless,T1,FHD
6,181,RSU-0001,Local,1769285696652927,1769285696656266,1769285696656961,1769285697300546,,1769285696657057,1769285697300546,,1769285697309681,656754,644280,,,,643489,813352,17,yolov5n,PngLossless,T1,FHD
6,181,RSU-0002,Local,1769285696652929,1769285696654896,1769285696661233,1769285697339759,,1769285696661348,1769285697339758,,1769285697346941,694012,684863,,,,678410,813352,17,yolov5n,PngLossless,T1,FHD
7,211,RSU-0001,Local,1769285697654527,1769285697655448,1769285697656206,1769285698295638,,1769285697656295,1769285698295637,,1769285698306919,652392,640190,,,,639342,817848,15,yolov5n,PngLossless,T1,FHD
7,211,RSU-0000,Local,1769285697654511,1769285697654954,1769285697715158,1769285698303083,,1769285697715269,1769285698303082,,1769285698313414,658903,648129,,,,587813,817848,15,yolov5n,PngLossless,T1,FHD
7,211,RSU-0002,Local,1769285697654528,1769285697658582,1769285697664693,1769285698337038,,1769285697664782,1769285698337037,,1769285698344895,690367,678456,,,,672255,817848,15,yolov5n,PngLossless,T1,FHD
8,241,RSU-0000,Local,1769285698655631,1769285698655575,1769285698692943,1769285699278200,,1769285698693040,1769285699278199,,1769285699288306,632675,622625,,,,585159,814960,16,yolov5n,PngLossless,T1,FHD
8,241,RSU-0001,Local,1769285698655653,1769285698656664,1769285698657337,1769285699298024,,1769285698657436,1769285699298023,,1769285699307088,651435,641360,,,,640587,814960,16,yolov5n,PngLossless,T1,FHD
8,241,RSU-0002,Local,1769285698655654,1769285698659326,1769285698665592,1769285699340270,,1769285698665714,1769285699340269,,1769285699348345,692691,680944,,,,674555,814960,16,yolov5n,PngLossless,T1,FHD
9,271,RSU-0001,Local,1769285699657427,1769285699658500,1769285699659201,1769285700302164,,1769285699659297,1769285700302163,,1769285700310964,653537,643664,,,,642866,824874,17,yolov5n,PngLossless,T1,FHD
9,271,RSU-0000,Local,1769285699657414,1769285699657955,1769285699737490,1769285700325531,,1769285699737599,1769285700325530,,1769285700334807,677393,667576,,,,587931,824874,17,yolov5n,PngLossless,T1,FHD
9,271,RSU-0002,Local,1769285699657427,1769285699661682,1769285699667806,1769285700336481,,1769285699667922,1769285700336480,,1769285700344705,687278,674799,,,,668558,824874,17,yolov5n,PngLossless,T1,FHD
10,301,RSU-0001,Local,1769285700659562,1769285700661125,1769285700661788,1769285701302767,,1769285700661881,1769285701302766,,1769285701311843,652281,641642,,,,640885,808224,14,yolov5n,PngLossless,T1,FHD
10,301,RSU-0000,Local,1769285700659536,1769285700660662,1769285700740713,1769285701325918,,1769285700740805,1769285701325917,,1769285701335323,675787,665256,,,,585112,808224,14,yolov5n,PngLossless,T1,FHD
10,301,RSU-0002,Local,1769285700659563,1769285700664672,1769285700670721,1769285701345488,,1769285700670821,1769285701345488,,1769285701354006,694443,680816,,,,674667,808224,14,yolov5n,PngLossless,T1,FHD
11,331,RSU-0001,Local,1769285701660915,1769285701661867,1769285701662525,1769285702305739,,1769285701662618,1769285702305738,,1769285702314576,653661,643872,,,,643120,802482,17,yolov5n,PngLossless,T1,FHD
11,331,RSU-0000,Local,1769285701660885,1769285701661310,1769285701736793,1769285702325361,,1769285701736902,1769285702325360,,1769285702334803,673918,664051,,,,588458,802482,17,yolov5n,PngLossless,T1,FHD
11,331,RSU-0002,Local,1769285701660916,1769285701664522,1769285701670486,1769285702345085,,1769285701670556,1769285702345084,,1769285702353277,692361,680563,,,,674528,802482,17,yolov5n,PngLossless,T1,FHD
12,361,RSU-0000,Local,1769285702662358,1769285702661800,1769285702706907,1769285703291932,,1769285702706999,1769285703291931,,1769285703301431,639073,630132,,,,584932,804472,18,yolov5n,PngLossless,T1,FHD
12,361,RSU-0001,Local,1769285702662373,1769285702664112,1769285702664774,1769285703304861,,1769285702664872,1769285703304860,,1769285703314006,651633,640749,,,,639988,804472,18,yolov5n,PngLossless,T1,FHD
12,361,RSU-0002,Local,1769285702662374,1769285702665936,1769285702671776,1769285703346508,,1769285702671876,1769285703346507,,1769285703354354,691980,680572,,,,674631,804472,18,yolov5n,PngLossless,T1,FHD
13,391,RSU-0000,Local,1769285703664386,1769285703664695,1769285703706666,1769285704294754,,1769285703706776,1769285704294753,,1769285704305334,640948,630059,,,,587977,802494,19,yolov5n,PngLossless,T1,FHD
13,391,RSU-0001,Local,1769285703664402,1769285703665247,1769285703665915,1769285704312840,,1769285703666011,1769285704312839,,1769285704321681,657279,647593,,,,646828,802494,19,yolov5n,PngLossless,T1,FHD
13,391,RSU-0002,Local,1769285703664403,1769285703667305,1769285703673283,1769285704349024,,1769285703673380,1769285704349023,,1769285704357367,692964,681719,,,,675643,802494,19,yolov5n,PngLossless,T1,FHD
14,421,RSU-0001,Local,1769285704665953,1769285704667015,1769285704667688,1769285705307484,,1769285704667785,1769285705307483,,1769285705316644,650691,640469,,,,639698,803635,16,yolov5n,PngLossless,T1,FHD
