sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1769298997662493,1769298997668121,1769298997669853,1769298998230216,,1769298997716125,1769298998230215,,1769298998233483,570990,562095,,,,514090,284818,14,yolov5n,PngLossless,T1,Letterbox
0,1,RSU-0002,Local,1769298997662494,1769298997671141,1769298997671571,1769298998237452,,1769298997722766,1769298998237451,,1769298998238757,576263,566311,,,,514685,284818,14,yolov5n,PngLossless,T1,Letterbox
0,1,RSU-0001,Local,1769298997662494,1769298997666974,1769298997668955,1769298998296149,,1769298997732304,1769298998296148,,1769298998299563,637069,629175,,,,563844,284818,14,yolov5n,PngLossless,T1,Letterbox
8,17,RSU-0002,Local,1769298998205136,1769298998213702,1769298998217001,1769298998717670,,1769298998237650,1769298998717669,,1769298998722230,517094,503968,,,,480019,257758,14,yolov5n,PngLossless,T1,Letterbox
8,17,RSU-0000,Local,1769298998205118,1769298998209635,1769298998217679,1769298998717350,,1769298998230355,1769298998717349,,1769298998723660,518542,507715,,,,486994,257758,14,yolov5n,PngLossless,T1,Letterbox
9,19,RSU-0001,Local,1769298998273275,1769298998276309,1769298998284060,1769298998845082,,1769298998296294,1769298998845081,,1769298998848440,575165,568773,,,,548787,259764,14,yolov5n,PngLossless,T1,Letterbox
15,31,RSU-0002,Local,1769298998680890,1769298998687222,1769298998688193,1769298999198414,,1769298998717796,1769298999198413,,1769298999203118,522228,511192,,,,480617,259095,13,yolov5n,PngLossless,T1,Letterbox
15,31,RSU-0000,Local,1769298998680874,1769298998685960,1769298998687915,1769298999200039,,1769298998717488,1769298999200038,,1769298999206329,525455,514079,,,,482550,259095,13,yolov5n,PngLossless,T1,Letterbox
17,35,RSU-0001,Local,1769298998816785,1769298998822086,1769298998838029,1769298999384463,,1769298998845244,1769298999384462,,1769298999387989,571204,562377,,,,539218,260669,14,yolov5n,PngLossless,T1,Letterbox
22,45,RSU-0002,Local,1769298999156724,1769298999164645,1769298999168403,1769298999674262,,1769298999198567,1769298999674261,,1769298999678875,522151,509617,,,,475694,261560,15,yolov5n,PngLossless,T1,Letterbox
22,45,RSU-0000,Local,1769298999156708,1769298999165856,1769298999177139,1769298999681028,,1769298999200173,1769298999681027,,1769298999687209,530501,515172,,,,480854,261560,15,yolov5n,PngLossless,T1,Letterbox
25,51,RSU-0001,Local,1769298999361606,1769298999366811,1769298999379066,1769298999921623,,1769298999384606,1769298999921623,,1769298999924878,563272,554812,,,,537017,262471,15,yolov5n,PngLossless,T1,Letterbox
29,59,RSU-0002,Local,1769298999634015,1769298999642336,1769298999646745,1769299000157124,,1769298999674620,1769299000157123,,1769299000161927,527912,514788,,,,482503,262299,14,yolov5n,PngLossless,T1,Letterbox
29,59,RSU-0000,Local,1769298999633996,1769298999638362,1769298999663918,1769299000160638,,1769298999681182,1769299000160637,,1769299000166365,532369,522276,,,,479455,262299,14,yolov5n,PngLossless,T1,Letterbox
