sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Local,1769289950136013,1769289950140796,1769289950147408,1769289950783165,,1769289950189675,1769289950783164,,1769289950789529,653516,642369,,,,593489,860853,16,yolov5n,PngLossless,T2,HD
0,1,RSU-0000,Local,1769289950136012,1769289950141283,1769289950142080,1769289950785885,,1769289950195057,1769289950785885,,1769289950815549,679537,644602,,,,590828,860853,16,yolov5n,PngLossless,T2,HD
0,1,RSU-0001,Local,1769289950136013,1769289950138719,1769289950140063,1769289950831351,,1769289950202606,1769289950831350,,1769289950836200,700187,692632,,,,628744,860853,16,yolov5n,PngLossless,T2,HD
2,13,RSU-0000,Local,1769289950538376,1769289950542729,1769289950560169,1769289951337215,,1769289950786018,1769289951337214,,1769289951344415,806039,794486,,,,551196,639911,15,yolov5n,PngLossless,T2,HD
3,19,RSU-0002,Local,1769289950740260,1769289950743582,1769289950752134,1769289951349035,,1769289950783275,1769289951349034,,1769289951358788,618528,605453,,,,565759,639352,17,yolov5n,PngLossless,T2,HD
3,19,RSU-0001,Local,1769289950740259,1769289950742577,1769289950743282,1769289951428923,,1769289950831509,1769289951428922,,1769289951436573,696314,686346,,,,597413,639352,17,yolov5n,PngLossless,T2,HD
5,31,RSU-0000,Local,1769289951142772,1769289951146022,1769289951147055,1769289951881931,,1769289951337372,1769289951881930,,1769289951888780,746008,735909,,,,544558,639821,15,yolov5n,PngLossless,T2,HD
5,31,RSU-0002,Local,1769289951142791,1769289951144206,1769289951149769,1769289951908894,,1769289951349163,1769289951908894,,1769289951918044,775253,764688,,,,559731,639821,15,yolov5n,PngLossless,T2,HD
6,37,RSU-0001,Local,1769289951344441,1769289951346550,1769289951347355,1769289952020491,,1769289951429029,1769289952020490,,1769289952027874,683433,673941,,,,591461,640171,17,yolov5n,PngLossless,T2,HD
8,49,RSU-0000,Local,1769289951747086,1769289951750300,1769289951768057,1769289952426279,,1769289951882075,1769289952426278,,1769289952433200,686114,675979,,,,544203,641152,15,yolov5n,PngLossless,T2,HD
