sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1769292879529353,1769292879532139,1769292879551738,1769292880103433,,1769292879585457,1769292880103432,,1769292880110421,581068,571294,,,,517975,187358,14,yolov5n,WebpLossy,T1,Letterbox
0,1,RSU-0002,Local,1769292879529353,1769292879535470,1769292879538823,1769292880105545,,1769292879581905,1769292880105544,,1769292880110442,581089,570075,,,,523639,187358,14,yolov5n,WebpLossy,T1,Letterbox
0,1,RSU-0001,Local,1769292879529353,1769292879535834,1769292879541404,1769292880161719,,1769292879596976,1769292880161718,,1769292880167494,638141,625885,,,,564742,187358,14,yolov5n,WebpLossy,T1,Letterbox
5,16,RSU-0002,Local,1769292880035468,1769292880042694,1769292880044856,1769292880605473,,1769292880105675,1769292880605472,,1769292880608630,573162,562779,,,,499797,165034,13,yolov5n,WebpLossy,T1,Letterbox
5,16,RSU-0000,Local,1769292880035453,1769292880038210,1769292880057541,1769292880605104,,1769292880103584,1769292880605103,,1769292880611805,576352,566894,,,,501519,165034,13,yolov5n,WebpLossy,T1,Letterbox
6,19,RSU-0001,Local,1769292880137170,1769292880140746,1769292880146379,1769292880778919,,1769292880161855,1769292880778918,,1769292880787771,650601,638173,,,,617063,165118,14,yolov5n,WebpLossy,T1,Letterbox
10,31,RSU-0002,Local,1769292880540834,1769292880548027,1769292880549455,1769292881091472,,1769292880605640,1769292881091471,,1769292881095606,554772,543445,,,,485831,165294,13,yolov5n,WebpLossy,T1,Letterbox
10,31,RSU-0000,Local,1769292880540818,1769292880545744,1769292880567179,1769292881100683,,1769292880605212,1769292881100682,,1769292881107774,566956,554939,,,,495470,165294,13,yolov5n,WebpLossy,T1,Letterbox
12,37,RSU-0001,Local,1769292880742956,1769292880745760,1769292880752102,1769292881388383,,1769292880779075,1769292881388382,,1769292881397355,654399,642623,,,,609307,165492,14,yolov5n,WebpLossy,T1,Letterbox
15,46,RSU-0002,Local,1769292881045677,1769292881054297,1769292881059745,1769292881578836,,1769292881091615,1769292881578835,,1769292881579956,534279,524539,,,,487220,165644,15,yolov5n,WebpLossy,T1,Letterbox
15,46,RSU-0000,Local,1769292881045661,1769292881049120,1769292881054059,1769292881595581,,1769292881100811,1769292881595581,,1769292881601686,556025,546461,,,,494770,165644,15,yolov5n,WebpLossy,T1,Letterbox
18,55,RSU-0001,Local,1769292881349409,1769292881352765,1769292881359583,1769292881997415,,1769292881388538,1769292881997414,,1769292882006321,656912,644650,,,,608876,166358,15,yolov5n,WebpLossy,T1,Letterbox
20,61,RSU-0002,Local,1769292881552278,1769292881560405,1769292881564398,1769292882060881,,1769292881578979,1769292882060880,,1769292882064350,512072,500476,,,,481901,166078,15,yolov5n,WebpLossy,T1,Letterbox
20,61,RSU-0000,Local,1769292881552268,1769292881555656,1769292881567813,1769292882090428,,1769292881595723,1769292882090427,,1769292882094841,542573,534772,,,,494704,166078,15,yolov5n,WebpLossy,T1,Letterbox
24,73,RSU-0002,Local,1769292881957189,1769292881962915,1769292881964291,1769292882544022,,1769292882061030,1769292882544021,,1769292882548194,591005,581107,,,,482991,165852,14,yolov5n,WebpLossy,T1,Letterbox
25,76,RSU-0000,Local,1769292882057803,1769292882061145,1769292882068770,1769292882587176,,1769292882090553,1769292882587175,,1769292882591159,533356,526031,,,,496622,167512,13,yolov5n,WebpLossy,T1,Letterbox
24,73,RSU-0001,Local,1769292881957187,1769292881962004,1769292881968368,1769292882627513,,1769292881997866,1769292882627512,,1769292882636412,679225,665509,,,,629646,165852,14,yolov5n,WebpLossy,T1,Letterbox
29,88,RSU-0002,Local,1769292882462848,1769292882468693,1769292882470602,1769292883030399,,1769292882544159,1769292883030399,,1769292883034485,571637,561706,,,,486240,168222,14,yolov5n,WebpLossy,T1,Letterbox
30,91,RSU-0000,Local,1769292882564568,1769292882568454,1769292882575485,1769292883083399,,1769292882587326,1769292883083398,,1769292883089079,524511,514945,,,,496072,168150,16,yolov5n,WebpLossy,T1,Letterbox
30,91,RSU-0001,Local,1769292882564584,1769292882566314,1769292882572378,1769292883243408,,1769292882627993,1769292883243407,,1769292883252189,687605,677094,,,,615414,168150,16,yolov5n,WebpLossy,T1,Letterbox
34,103,RSU-0002,Local,1769292882969633,1769292882975661,1769292882978236,1769292883515253,,1769292883030530,1769292883515253,,1769292883516240,546607,539592,,,,484723,167518,15,yolov5n,WebpLossy,T1,Letterbox
34,103,RSU-0000,Local,1769292882969614,1769292882972800,1769292882984162,1769292883578564,,1769292883083528,1769292883578563,,1769292883584808,615194,605764,,,,495035,167518,15,yolov5n,WebpLossy,T1,Letterbox
36,109,RSU-0001,Local,1769292883171749,1769292883170413,1769292883175473,1769292883849586,,1769292883243540,1769292883849585,,1769292883858094,686345,679173,,,,606045,167352,14,yolov5n,WebpLossy,T1,Letterbox
39,118,RSU-0002,Local,1769292883477558,1769292883487503,1769292883493184,1769292884005896,,1769292883515399,1769292884005895,,1769292884006886,529328,518393,,,,490496,167680,16,yolov5n,WebpLossy,T1,Letterbox
39,118,RSU-0000,Local,1769292883477538,1769292883480808,1769292883485935,1769292884074500,,1769292883578704,1769292884074499,,1769292884080943,603405,593692,,,,495795,167680,16,yolov5n,WebpLossy,T1,Letterbox
42,127,RSU-0001,Local,1769292883782264,1769292883785244,1769292883800315,1769292884456933,,1769292883849718,1769292884456932,,1769292884465698,683434,671689,,,,607214,167776,16,yolov5n,WebpLossy,T1,Letterbox
44,133,RSU-0002,Local,1769292883985283,1769292883993004,1769292883996684,1769292884490182,,1769292884006055,1769292884490182,,1769292884494596,509313,497178,,,,484127,168112,17,yolov5n,WebpLossy,T1,Letterbox
44,133,RSU-0000,Local,1769292883985267,1769292883987627,1769292883992854,1769292884571397,,1769292884074635,1769292884571396,,1769292884577582,592315,583770,,,,496761,168112,17,yolov5n,WebpLossy,T1,Letterbox
48,145,RSU-0002,Local,1769292884389855,1769292884396532,1769292884398163,1769292884976218,,1769292884490308,1769292884976217,,1769292884979628,589773,579686,,,,485909,167204,16,yolov5n,WebpLossy,T1,Letterbox
48,145,RSU-0001,Local,1769292884389853,1769292884391564,1769292884400696,1769292885064775,,1769292884457074,1769292885064774,,1769292885073462,683609,673211,,,,607700,167204,16,yolov5n,WebpLossy,T1,Letterbox
