sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Local,1769285292516095,1769285292524445,1769285292532061,1769285293228120,,1769285292573336,1769285293228119,,1769285293232546,716451,703675,,,,654783,953250,16,yolov5n,WebpLossy,T3,FHD
0,1,RSU-0000,Local,1769285292516095,1769285292519503,1769285292613201,1769285293267799,,1769285292613295,1769285293267798,,1769285293276979,760884,748296,,,,654503,953250,16,yolov5n,WebpLossy,T3,FHD
0,1,RSU-0001,Local,1769285292516095,1769285292519285,1769285292520533,1769285293298605,,1769285292577615,1769285293298604,,1769285293306046,789951,779320,,,,720989,953250,16,yolov5n,WebpLossy,T3,FHD
1,31,RSU-0002,Local,1769285293516846,1769285293520761,1769285293525692,1769285294146810,,1769285293525762,1769285294146809,,1769285294154887,638041,626049,,,,621047,516964,15,yolov5n,WebpLossy,T3,FHD
1,31,RSU-0000,Local,1769285293516829,1769285293518552,1769285293566730,1769285294184683,,1769285293566819,1769285294184682,,1769285294192954,676125,666131,,,,617863,516964,15,yolov5n,WebpLossy,T3,FHD
1,31,RSU-0001,Local,1769285293516845,1769285293518959,1769285293519401,1769285294196175,,1769285293519493,1769285294196174,,1769285294203548,686703,677216,,,,676681,516964,15,yolov5n,WebpLossy,T3,FHD
2,61,RSU-0002,Local,1769285294518118,1769285294522040,1769285294527030,1769285295137289,,1769285294527100,1769285295137288,,1769285295144610,626492,615249,,,,610188,526500,16,yolov5n,WebpLossy,T3,FHD
2,61,RSU-0000,Local,1769285294518107,1769285294519861,1769285294570138,1769285295169230,,1769285294570222,1769285295169229,,1769285295175291,657184,649369,,,,599007,526500,16,yolov5n,WebpLossy,T3,FHD
2,61,RSU-0001,Local,1769285294518117,1769285294520114,1769285294520551,1769285295182620,,1769285294520635,1769285295182619,,1769285295187158,669041,662506,,,,661984,526500,16,yolov5n,WebpLossy,T3,FHD
3,91,RSU-0002,Local,1769285295519125,1769285295521482,1769285295526212,1769285296123272,,1769285295526277,1769285296123271,,1769285296131133,612008,601790,,,,596994,532332,18,yolov5n,WebpLossy,T3,FHD
3,91,RSU-0000,Local,1769285295519106,1769285295522029,1769285295535522,1769285296132332,,1769285295535581,1769285296132331,,1769285296141596,622490,610303,,,,596750,532332,18,yolov5n,WebpLossy,T3,FHD
3,91,RSU-0001,Local,1769285295519123,1769285295522318,1769285295522764,1769285296178185,,1769285295522853,1769285296178184,,1769285296183416,664293,655867,,,,655331,532332,18,yolov5n,WebpLossy,T3,FHD
4,121,RSU-0002,Local,1769285296520398,1769285296523321,1769285296528294,1769285297124528,,1769285296528377,1769285297124527,,1769285297132367,611969,601207,,,,596150,534050,17,yolov5n,WebpLossy,T3,FHD
4,121,RSU-0000,Local,1769285296520380,1769285296521061,1769285296567839,1769285297172414,,1769285296567941,1769285297172413,,1769285297181335,660955,651353,,,,604472,534050,17,yolov5n,WebpLossy,T3,FHD
4,121,RSU-0001,Local,1769285296520396,1769285296524039,1769285296524497,1769285297183956,,1769285296524575,1769285297183955,,1769285297191887,671491,659917,,,,659380,534050,17,yolov5n,WebpLossy,T3,FHD
