sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Local,1769289130718886,1769289130722828,1769289130723480,1769289131371025,,1769289130770121,1769289131371024,,1769289131375984,657098,648197,,,,600903,599474,16,yolov5n,WebpLossy,T3,HD
0,1,RSU-0000,Local,1769289130718885,1769289130721272,1769289130721909,1769289131378140,,1769289130771496,1769289131378140,,1769289131385341,666456,656868,,,,606644,599474,16,yolov5n,WebpLossy,T3,HD
0,1,RSU-0001,Local,1769289130718885,1769289130721603,1769289130722589,1769289131443239,,1769289130787799,1769289131443239,,1769289131450753,731868,721636,,,,655440,599474,16,yolov5n,WebpLossy,T3,HD
3,19,RSU-0002,Local,1769289131324716,1769289131330038,1769289131338581,1769289131943239,,1769289131371184,1769289131943238,,1769289131948531,623815,613201,,,,572054,441104,17,yolov5n,WebpLossy,T3,HD
3,19,RSU-0000,Local,1769289131324697,1769289131329462,1769289131343155,1769289131944499,,1769289131378289,1769289131944498,,1769289131954759,630062,615037,,,,566209,441104,17,yolov5n,WebpLossy,T3,HD
3,19,RSU-0001,Local,1769289131324715,1769289131327522,1769289131339547,1769289132056221,,1769289131443380,1769289132056221,,1769289132063647,738932,728699,,,,612841,441104,17,yolov5n,WebpLossy,T3,HD
5,31,RSU-0000,Local,1769289131727146,1769289131729675,1769289131730312,1769289132505643,,1769289131944635,1769289132505643,,1769289132512841,785695,775968,,,,561008,440038,15,yolov5n,WebpLossy,T3,HD
6,37,RSU-0002,Local,1769289131928137,1769289131931562,1769289131938095,1769289132512874,,1769289131943351,1769289132512873,,1769289132520935,592798,581312,,,,569522,440636,17,yolov5n,WebpLossy,T3,HD
6,37,RSU-0001,Local,1769289131928136,1769289131933336,1769289131945280,1769289132661841,,1769289132056355,1769289132661840,,1769289132669278,741142,728505,,,,605485,440636,17,yolov5n,WebpLossy,T3,HD
8,49,RSU-0000,Local,1769289132330157,1769289132332990,1769289132345101,1769289133068024,,1769289132505758,1769289133068024,,1769289133075079,744922,735034,,,,562266,441970,15,yolov5n,WebpLossy,T3,HD
8,49,RSU-0002,Local,1769289132330176,1769289132332986,1769289132337754,1769289133075764,,1769289132513019,1769289133075763,,1769289133083572,753396,742778,,,,562744,441970,15,yolov5n,WebpLossy,T3,HD
9,55,RSU-0001,Local,1769289132531253,1769289132534369,1769289132547355,1769289133268225,,1769289132661957,1769289133268224,,1769289133272437,741184,733856,,,,606267,445676,15,yolov5n,WebpLossy,T3,HD
11,67,RSU-0000,Local,1769289132932951,1769289132937058,1769289132981251,1769289133630356,,1769289133068174,1769289133630355,,1769289133637666,704715,693298,,,,562181,446494,14,yolov5n,WebpLossy,T3,HD
11,67,RSU-0002,Local,1769289132932975,1769289132937626,1769289132944025,1769289133643655,,1769289133075915,1769289133643654,,1769289133651499,718524,706029,,,,567739,446494,14,yolov5n,WebpLossy,T3,HD
12,73,RSU-0001,Local,1769289133134073,1769289133137133,1769289133148924,1769289133875057,,1769289133268362,1769289133875056,,1769289133882546,748473,737924,,,,606694,443562,14,yolov5n,WebpLossy,T3,HD
14,85,RSU-0000,Local,1769289133535713,1769289133539069,1769289133551376,1769289134192011,,1769289133630501,1769289134192010,,1769289134195934,660221,652942,,,,561509,448954,17,yolov5n,WebpLossy,T3,HD
14,85,RSU-0002,Local,1769289133535729,1769289133539510,1769289133544259,1769289134207541,,1769289133643798,1769289134207540,,1769289134215058,679329,668031,,,,563742,448954,17,yolov5n,WebpLossy,T3,HD
15,91,RSU-0001,Local,1769289133737522,1769289133740757,1769289133741753,1769289134482141,,1769289133875206,1769289134482140,,1769289134489494,751972,741384,,,,606934,450314,17,yolov5n,WebpLossy,T3,HD
17,103,RSU-0000,Local,1769289134140167,1769289134145174,1769289134158606,1769289134751308,,1769289134192147,1769289134751307,,1769289134755385,615218,606134,,,,559160,450554,16,yolov5n,WebpLossy,T3,HD
17,103,RSU-0002,Local,1769289134140193,1769289134143120,1769289134147669,1769289134778925,,1769289134207654,1769289134778924,,1769289134787425,647232,635805,,,,571270,450554,16,yolov5n,WebpLossy,T3,HD
18,109,RSU-0001,Local,1769289134340897,1769289134343815,1769289134356972,1769289135088193,,1769289134482292,1769289135088192,,1769289135095358,754461,744378,,,,605900,450588,16,yolov5n,WebpLossy,T3,HD
20,121,RSU-0000,Local,1769289134743653,1769289134748036,1769289134748854,1769289135315633,,1769289134751448,1769289135315632,,1769289135322897,579244,567597,,,,564184,448390,17,yolov5n,WebpLossy,T3,HD
20,121,RSU-0002,Local,1769289134743671,1769289134748617,1769289134750116,1769289135343946,,1769289134779084,1769289135343945,,1769289135352133,608462,595329,,,,564861,448390,17,yolov5n,WebpLossy,T3,HD
21,127,RSU-0001,Local,1769289134945382,1769289134948299,1769289134985858,1769289135696467,,1769289135088335,1769289135696466,,1769289135704313,758931,748168,,,,608131,451008,18,yolov5n,WebpLossy,T3,HD
22,133,RSU-0000,Local,1769289135146760,1769289135149541,1769289135194804,1769289135877661,,1769289135315802,1769289135877660,,1769289135884796,738036,728120,,,,561858,450488,17,yolov5n,WebpLossy,T3,HD
22,133,RSU-0002,Local,1769289135146777,1769289135150929,1769289135155638,1769289135915748,,1769289135344094,1769289135915747,,1769289135923337,776560,764819,,,,571653,450488,17,yolov5n,WebpLossy,T3,HD
24,145,RSU-0001,Local,1769289135549957,1769289135553269,1769289135565155,1769289136305479,,1769289135696627,1769289136305478,,1769289136312863,762906,752210,,,,608851,449542,19,yolov5n,WebpLossy,T3,HD
25,151,RSU-0000,Local,1769289135750805,1769289135753845,1769289135755652,1769289136439037,,1769289135877817,1769289136439036,,1769289136443186,692381,685192,,,,561219,451656,19,yolov5n,WebpLossy,T3,HD
