sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Local,1769305872832145,1769305872838373,1769305872839008,1769305874321059,,1769305872932223,1769305874321058,,1769305874325443,1493298,1482686,,,,1388835,137185,17,yolov5s,JpgLossy,T1,FHD
0,1,RSU-0000,Local,1769305872832144,1769305872839655,1769305872840192,1769305874363968,,1769305872935264,1769305874363966,,1769305874368821,1536677,1524313,,,,1428702,137185,17,yolov5s,JpgLossy,T1,FHD
0,1,RSU-0001,Local,1769305872832144,1769305872839021,1769305872839324,1769305874429956,,1769305872900295,1769305874429956,,1769305874435794,1603650,1590935,,,,1529661,137185,17,yolov5s,JpgLossy,T1,FHD
7,43,RSU-0002,Local,1769305874242158,1769305874249889,1769305874250481,1769305875696948,,1769305874321199,1769305875696947,,1769305875701376,1459218,1447059,,,,1375748,65872,20,yolov5s,JpgLossy,T1,FHD
7,43,RSU-0000,Local,1769305874242141,1769305874248666,1769305874248957,1769305875888804,,1769305874364088,1769305875888803,,1769305875893150,1651009,1640138,,,,1524715,65872,20,yolov5s,JpgLossy,T1,FHD
7,43,RSU-0001,Local,1769305874242156,1769305874246470,1769305874246776,1769305876006037,,1769305874430116,1769305876006036,,1769305876011990,1769834,1759567,,,,1575920,65872,20,yolov5s,JpgLossy,T1,FHD
14,85,RSU-0002,Local,1769305875649038,1769305875655679,1769305875655933,1769305877056869,,1769305875697094,1769305877056868,,1769305877061361,1412323,1401190,,,,1359774,66534,19,yolov5s,JpgLossy,T1,FHD
15,91,RSU-0000,Local,1769305875849958,1769305875857064,1769305875857717,1769305877413153,,1769305875888892,1769305877413152,,1769305877417610,1567652,1556089,,,,1524260,66924,22,yolov5s,JpgLossy,T1,FHD
15,91,RSU-0001,Local,1769305875849975,1769305875854477,1769305875854692,1769305877515369,,1769305876006189,1769305877515368,,1769305877521325,1671350,1660892,,,,1509179,66924,22,yolov5s,JpgLossy,T1,FHD
20,121,RSU-0002,Local,1769305876859249,1769305876865113,1769305876865355,1769305878413448,,1769305877057025,1769305878413447,,1769305878417908,1558659,1548335,,,,1356422,67065,19,yolov5s,JpgLossy,T1,FHD
22,133,RSU-0000,Local,1769305877260946,1769305877268445,1769305877268741,1769305878939564,,1769305877413282,1769305878939563,,1769305878943381,1682435,1671119,,,,1526281,67180,20,yolov5s,JpgLossy,T1,FHD
23,139,RSU-0001,Local,1769305877462126,1769305877466593,1769305877469264,1769305879023323,,1769305877515535,1769305879023322,,1769305879029108,1566982,1556730,,,,1507787,67323,21,yolov5s,JpgLossy,T1,FHD
27,163,RSU-0002,Local,1769305878266651,1769305878273440,1769305878273779,1769305879779479,,1769305878413618,1769305879779478,,1769305879783915,1517264,1506039,,,,1365860,66652,20,yolov5s,JpgLossy,T1,FHD
30,181,RSU-0000,Local,1769305878870183,1769305878878074,1769305878878294,1769305880459757,,1769305878939731,1769305880459756,,1769305880464309,1594126,1581683,,,,1520025,66515,19,yolov5s,JpgLossy,T1,FHD
30,181,RSU-0001,Local,1769305878870201,1769305878875583,1769305878875821,1769305880530436,,1769305879023484,1769305880530435,,1769305880536039,1665838,1654853,,,,1506951,66515,19,yolov5s,JpgLossy,T1,FHD
34,205,RSU-0002,Local,1769305879677850,1769305879683504,1769305879683817,1769305881153746,,1769305879779619,1769305881153746,,1769305881158115,1480265,1470242,,,,1374127,67137,19,yolov5s,JpgLossy,T1,FHD
37,223,RSU-0000,Local,1769305880281943,1769305880288616,1769305880288970,1769305881983217,,1769305880459889,1769305881983216,,1769305881987078,1705135,1694601,,,,1523327,66870,18,yolov5s,JpgLossy,T1,FHD
38,229,RSU-0001,Local,1769305880483727,1769305880489293,1769305880489557,1769305882038128,,1769305880530588,1769305882038127,,1769305882043931,1560204,1548835,,,,1507539,66932,19,yolov5s,JpgLossy,T1,FHD
41,247,RSU-0002,Local,1769305881088624,1769305881095459,1769305881095721,1769305882519776,,1769305881153880,1769305882519775,,1769305882521095,1432471,1424317,,,,1365895,67195,18,yolov5s,JpgLossy,T1,FHD
45,271,RSU-0000,Local,1769305881893357,1769305881898990,1769305881899226,1769305883505447,,1769305881983359,1769305883505446,,1769305883509950,1616593,1606457,,,,1522087,67331,19,yolov5s,JpgLossy,T1,FHD
45,271,RSU-0001,Local,1769305881893373,1769305881898627,1769305881898935,1769305883546624,,1769305882038280,1769305883546623,,1769305883552425,1659052,1647997,,,,1508343,67331,19,yolov5s,JpgLossy,T1,FHD
48,289,RSU-0002,Local,1769305882497197,1769305882503927,1769305882504692,1769305883882868,,1769305882519928,1769305883882868,,1769305883886266,1389069,1378941,,,,1362940,66561,18,yolov5s,JpgLossy,T1,FHD
52,313,RSU-0000,Local,1769305883302516,1769305883310418,1769305883311520,1769305885028110,,1769305883505532,1769305885028109,,1769305885031532,1729016,1717692,,,,1522577,65949,19,yolov5s,JpgLossy,T1,FHD
53,319,RSU-0001,Local,1769305883504360,1769305883510410,1769305883511616,1769305885053071,,1769305883546773,1769305885053070,,1769305885059311,1554951,1542661,,,,1506297,66301,20,yolov5s,JpgLossy,T1,FHD
54,325,RSU-0002,Local,1769305883705064,1769305883711197,1769305883711468,1769305885241497,,1769305883883018,1769305885241496,,1769305885245749,1540685,1530300,,,,1358478,66191,18,yolov5s,JpgLossy,T1,FHD
60,361,RSU-0000,Local,1769305884915633,1769305884922299,1769305884922550,1769305886548382,,1769305885028226,1769305886548381,,1769305886549713,1634080,1626083,,,,1520155,65975,19,yolov5s,JpgLossy,T1,FHD
60,361,RSU-0001,Local,1769305884915644,1769305884920253,1769305884920491,1769305886561131,,1769305885053222,1769305886561130,,1769305886564038,1648394,1640878,,,,1507908,65975,19,yolov5s,JpgLossy,T1,FHD
61,367,RSU-0002,Local,1769305885117232,1769305885123034,1769305885123336,1769305886604368,,1769305885241673,1769305886604367,,1769305886608997,1491765,1481334,,,,1362694,65750,18,yolov5s,JpgLossy,T1,FHD
68,409,RSU-0002,Local,1769305886526520,1769305886533285,1769305886533742,1769305887966515,,1769305886604525,1769305887966514,,1769305887968035,1441515,1433230,,,,1361989,65886,17,yolov5s,JpgLossy,T1,FHD
68,409,RSU-0000,Local,1769305886526505,1769305886535097,1769305886535499,1769305888069434,,1769305886548512,1769305888069433,,1769305888074001,1547496,1534337,,,,1520921,65886,17,yolov5s,JpgLossy,T1,FHD
68,409,RSU-0001,Local,1769305886526519,1769305886532200,1769305886532868,1769305888068974,,1769305886561278,1769305888068973,,1769305888074073,1547554,1536774,,,,1507695,65886,17,yolov5s,JpgLossy,T1,FHD
75,451,RSU-0002,Local,1769305887935174,1769305887943298,1769305887944003,1769305889331435,,1769305887966659,1769305889331435,,1769305889335760,1400586,1388137,,,,1364776,66013,16,yolov5s,JpgLossy,T1,FHD
75,451,RSU-0001,Local,1769305887935172,1769305887939611,1769305887940052,1769305889574784,,1769305888069076,1769305889574783,,1769305889577458,1642286,1635173,,,,1505707,66013,16,yolov5s,JpgLossy,T1,FHD
75,451,RSU-0000,Local,1769305887935147,1769305887942951,1769305887943304,1769305889594389,,1769305888069559,1769305889594388,,1769305889600562,1665415,1651438,,,,1524829,66013,16,yolov5s,JpgLossy,T1,FHD
81,487,RSU-0002,Local,1769305889142390,1769305889150414,1769305889150694,1769305890691162,,1769305889331586,1769305890691161,,1769305890695443,1553053,1540748,,,,1359575,66022,15,yolov5s,JpgLossy,T1,FHD
83,499,RSU-0001,Local,1769305889545091,1769305889550360,1769305889550943,1769305891081245,,1769305889574936,1769305891081244,,1769305891086846,1541755,1530885,,,,1506308,66115,16,yolov5s,JpgLossy,T1,FHD
83,499,RSU-0000,Local,1769305889545074,1769305889552868,1769305889553575,1769305891116117,,1769305889594535,1769305891116116,,1769305891119775,1574701,1563249,,,,1521581,66115,16,yolov5s,JpgLossy,T1,FHD
88,529,RSU-0002,Local,1769305890552496,1769305890558278,1769305890558556,1769305892049678,,1769305890691320,1769305892049677,,1769305892054104,1501608,1491400,,,,1358357,66545,17,yolov5s,JpgLossy,T1,FHD
90,541,RSU-0001,Local,1769305890955121,1769305890959705,1769305890959986,1769305892589772,,1769305891081350,1769305892589771,,1769305892592263,1637142,1630067,,,,1508421,66082,18,yolov5s,JpgLossy,T1,FHD
90,541,RSU-0000,Local,1769305890955103,1769305890961654,1769305890961886,1769305892640730,,1769305891116240,1769305892640729,,1769305892645204,1690101,1679076,,,,1524489,66082,18,yolov5s,JpgLossy,T1,FHD
95,571,RSU-0002,Local,1769305891962611,1769305891968601,1769305891968968,1769305893406786,,1769305892049812,1769305893406785,,1769305893407782,1445171,1438185,,,,1356973,65712,19,yolov5s,JpgLossy,T1,FHD
98,589,RSU-0001,Local,1769305892568502,1769305892573997,1769305892574530,1769305894097450,,1769305892589875,1769305894097449,,1769305894102825,1534323,1523453,,,,1507574,66379,17,yolov5s,JpgLossy,T1,FHD
98,589,RSU-0000,Local,1769305892568487,1769305892574044,1769305892574304,1769305894168133,,1769305892640866,1769305894168132,,1769305894172827,1604340,1594089,,,,1527266,66379,17,yolov5s,JpgLossy,T1,FHD
102,613,RSU-0002,Local,1769305893372830,1769305893379862,1769305893381221,1769305894766065,,1769305893406892,1769305894766064,,1769305894770340,1397510,1386203,,,,1359172,67903,18,yolov5s,JpgLossy,T1,FHD
105,631,RSU-0001,Local,1769305893977704,1769305893982123,1769305893982359,1769305895605773,,1769305894097556,1769305895605772,,1769305895608442,1630738,1623650,,,,1508216,67431,20,yolov5s,JpgLossy,T1,FHD
105,631,RSU-0000,Local,1769305893977688,1769305893983381,1769305893983633,1769305895692905,,1769305894168268,1769305895692904,,1769305895697382,1719694,1709524,,,,1524636,67431,20,yolov5s,JpgLossy,T1,FHD
108,649,RSU-0002,Local,1769305894582434,1769305894588308,1769305894588638,1769305896132955,,1769305894766218,1769305896132954,,1769305896137404,1554970,1544647,,,,1366736,68274,19,yolov5s,JpgLossy,T1,FHD
113,679,RSU-0001,Local,1769305895591077,1769305895597193,1769305895598012,1769305897112949,,1769305895605922,1769305897112948,,1769305897119091,1528014,1515756,,,,1507026,67892,21,yolov5s,JpgLossy,T1,FHD
113,679,RSU-0000,Local,1769305895591059,1769305895597841,1769305895598133,1769305897219129,,1769305895693050,1769305897219128,,1769305897220625,1629566,1621288,,,,1526078,67892,21,yolov5s,JpgLossy,T1,FHD
115,691,RSU-0002,Local,1769305895992845,1769305895998494,1769305895998767,1769305897492609,,1769305896133116,1769305897492608,,1769305897496373,1503528,1494115,,,,1359492,67778,22,yolov5s,JpgLossy,T1,FHD
120,721,RSU-0001,Local,1769305896998755,1769305897004008,1769305897004232,1769305898621135,,1769305897113097,1769305898621134,,1769305898623852,1625097,1617127,,,,1508037,67539,21,yolov5s,JpgLossy,T1,FHD
121,727,RSU-0000,Local,1769305897199721,1769305897206893,1769305897207315,1769305898739683,,1769305897219254,1769305898739682,,1769305898744386,1544665,1532790,,,,1520428,67557,21,yolov5s,JpgLossy,T1,FHD
122,733,RSU-0002,Local,1769305897401460,1769305897404357,1769305897405197,1769305898856313,,1769305897492756,1769305898856313,,1769305898860783,1459323,1451956,,,,1363557,67868,20,yolov5s,JpgLossy,T1,FHD
128,769,RSU-0001,Local,1769305898608182,1769305898617515,1769305898618153,1769305900129197,,1769305898621285,1769305900129196,,1769305900134906,1526724,1511682,,,,1507911,68290,19,yolov5s,JpgLossy,T1,FHD
129,775,RSU-0002,Local,1769305898809112,1769305898816518,1769305898818375,1769305900216423,,1769305898856468,1769305900216423,,1769305900220906,1411794,1399905,,,,1359955,68582,19,yolov5s,JpgLossy,T1,FHD
128,769,RSU-0000,Local,1769305898608167,1769305898615645,1769305898616011,1769305900263180,,1769305898739857,1769305900263179,,1769305900267850,1659683,1647535,,,,1523322,68290,19,yolov5s,JpgLossy,T1,FHD
135,811,RSU-0002,Local,1769305900015950,1769305900023377,1769305900023617,1769305901576721,,1769305900216581,1769305901576720,,1769305901581407,1565457,1553344,,,,1360139,67298,17,yolov5s,JpgLossy,T1,FHD
135,811,RSU-0001,Local,1769305900015949,1769305900021146,1769305900021363,1769305901638026,,1769305900129348,1769305901638026,,1769305901641076,1625127,1616880,,,,1508678,67298,17,yolov5s,JpgLossy,T1,FHD
136,817,RSU-0000,Local,1769305900216701,1769305900223065,1769305900224027,1769305901783764,,1769305900263297,1769305901783764,,1769305901787938,1571237,1560699,,,,1520467,67427,17,yolov5s,JpgLossy,T1,FHD
142,853,RSU-0002,Local,1769305901425417,1769305901433088,1769305901433358,1769305902936666,,1769305901576861,1769305902936665,,1769305902940269,1514852,1503578,,,,1359804,67847,20,yolov5s,JpgLossy,T1,FHD
143,859,RSU-0001,Local,1769305901626943,1769305901633319,1769305901633781,1769305903147348,,1769305901638173,1769305903147347,,1769305903153621,1526678,1514029,,,,1509174,68572,21,yolov5s,JpgLossy,T1,FHD
143,859,RSU-0000,Local,1769305901626928,1769305901632346,1769305901632677,1769305903309110,,1769305901783882,1769305903309109,,1769305903312784,1685856,1676764,,,,1525227,68572,21,yolov5s,JpgLossy,T1,FHD
149,895,RSU-0002,Local,1769305902836575,1769305902843245,1769305902843562,1769305904300447,,1769305902936928,1769305904300446,,1769305904304367,1467792,1457202,,,,1363518,68350,19,yolov5s,JpgLossy,T1,FHD
150,901,RSU-0001,Local,1769305903037961,1769305903042599,1769305903042818,1769305904653957,,1769305903147491,1769305904653957,,1769305904659369,1621408,1611358,,,,1506466,67574,19,yolov5s,JpgLossy,T1,FHD
151,907,RSU-0000,Local,1769305903239494,1769305903245032,1769305903245290,1769305904833108,,1769305903309249,1769305904833107,,1769305904837525,1598031,1588076,,,,1523858,66455,20,yolov5s,JpgLossy,T1,FHD
156,937,RSU-0002,Local,1769305904247958,1769305904253668,1769305904253928,1769305905660418,,1769305904300587,1769305905660418,,1769305905662496,1414538,1406750,,,,1359831,64820,18,yolov5s,JpgLossy,T1,FHD
157,943,RSU-0001,Local,1769305904449269,1769305904450955,1769305904451223,1769305906161252,,1769305904654100,1769305906161251,,1769305906166823,1717554,1710297,,,,1507151,64404,19,yolov5s,JpgLossy,T1,FHD
158,949,RSU-0000,Local,1769305904650009,1769305904658844,1769305904659234,1769305906355945,,1769305904833245,1769305906355944,,1769305906359486,1709477,1697101,,,,1522699,64292,17,yolov5s,JpgLossy,T1,FHD
162,973,RSU-0002,Local,1769305905455087,1769305905460236,1769305905460552,1769305907019524,,1769305905660567,1769305907019523,,1769305907023882,1568795,1559288,,,,1358956,65073,18,yolov5s,JpgLossy,T1,FHD
165,991,RSU-0001,Local,1769305906058319,1769305906063910,1769305906064138,1769305907668066,,1769305906161414,1769305907668065,,1769305907673901,1615582,1604156,,,,1506651,64889,16,yolov5s,JpgLossy,T1,FHD
166,997,RSU-0000,Local,1769305906259366,1769305906266331,1769305906266623,1769305907878232,,1769305906356076,1769305907878231,,1769305907879419,1620053,1611901,,,,1522155,64141,16,yolov5s,JpgLossy,T1,FHD
169,1015,RSU-0002,Local,1769305906863160,1769305906869238,1769305906869592,1769305908386175,,1769305907019673,1769305908386174,,1769305908390552,1527392,1516937,,,,1366501,64423,14,yolov5s,JpgLossy,T1,FHD
172,1033,RSU-0001,Local,1769305907465634,1769305907470178,1769305907470461,1769305909173774,,1769305907668206,1769305909173774,,1769305909179440,1713806,1703596,,,,1505568,64764,15,yolov5s,JpgLossy,T1,FHD
174,1045,RSU-0000,Local,1769305907869520,1769305907875526,1769305907876298,1769305909400410,,1769305907878341,1769305909400409,,1769305909404018,1534498,1524884,,,,1522068,64225,15,yolov5s,JpgLossy,T1,FHD
176,1057,RSU-0002,Local,1769305908272035,1769305908277943,1769305908278243,1769305909745817,,1769305908386320,1769305909745816,,1769305909750526,1478491,1467874,,,,1359496,64107,13,yolov5s,JpgLossy,T1,FHD
180,1081,RSU-0001,Local,1769305909076958,1769305909081864,1769305909082299,1769305910679687,,1769305909173937,1769305910679686,,1769305910685504,1608546,1597823,,,,1505749,64236,13,yolov5s,JpgLossy,T1,FHD
181,1087,RSU-0000,Local,1769305909277888,1769305909283724,1769305909284011,1769305910931411,,1769305909400531,1769305910931410,,1769305910935748,1657860,1647687,,,,1530879,64390,13,yolov5s,JpgLossy,T1,FHD
183,1099,RSU-0002,Local,1769305909681198,1769305909687022,1769305909687278,1769305911112208,,1769305909745928,1769305911112208,,1769305911113550,1432352,1425186,,,,1366280,64548,13,yolov5s,JpgLossy,T1,FHD
187,1123,RSU-0001,Local,1769305910486010,1769305910489951,1769305910490248,1769305912184953,,1769305910679838,1769305912184952,,1769305912190720,1704710,1695002,,,,1505114,63914,13,yolov5s,JpgLossy,T1,FHD
189,1135,RSU-0000,Local,1769305910888719,1769305910896404,1769305910897296,1769305912456853,,1769305910931549,1769305912456852,,1769305912458243,1569524,1560449,,,,1525303,64945,13,yolov5s,JpgLossy,T1,FHD
190,1141,RSU-0002,Local,1769305911090090,1769305911099744,1769305911100566,1769305912469543,,1769305911112360,1769305912469542,,1769305912473934,1383844,1369799,,,,1357182,64778,13,yolov5s,JpgLossy,T1,FHD
195,1171,RSU-0001,Local,1769305912094709,1769305912099316,1769305912099546,1769305913691432,,1769305912185113,1769305913691431,,1769305913697403,1602694,1592116,,,,1506318,64165,13,yolov5s,JpgLossy,T1,FHD
196,1177,RSU-0002,Local,1769305912296115,1769305912302876,1769305912303202,1769305913827641,,1769305912469661,1769305913827640,,1769305913832061,1535946,1524765,,,,1357979,64272,13,yolov5s,JpgLossy,T1,FHD
196,1177,RSU-0000,Local,1769305912296099,1769305912301788,1769305912302077,1769305913980523,,1769305912456987,1769305913980522,,1769305913985122,1689023,1678735,,,,1523535,64272,13,yolov5s,JpgLossy,T1,FHD
203,1219,RSU-0002,Local,1769305913705707,1769305913712275,1769305913712629,1769305915189901,,1769305913827793,1769305915189901,,1769305915194294,1488587,1477626,,,,1362108,64095,12,yolov5s,JpgLossy,T1,FHD
202,1213,RSU-0001,Local,1769305913504716,1769305913509372,1769305913509656,1769305915195685,,1769305913691584,1769305915195684,,1769305915201273,1696557,1686313,,,,1504100,64244,12,yolov5s,JpgLossy,T1,FHD
204,1225,RSU-0000,Local,1769305913907551,1769305913913186,1769305913913439,1769305915508512,,1769305913980648,1769305915508511,,1769305915513070,1605519,1595326,,,,1527863,64328,12,yolov5s,JpgLossy,T1,FHD
