sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1769302445559385,1769302445566700,1769302445568264,1769302446917135,,1769302445647464,1769302446917135,,1769302446919162,1359777,1350435,,,,1269671,28714,16,yolov5s,JpgLossy,T1,Letterbox
0,1,RSU-0002,Local,1769302445559386,1769302445570191,1769302445570705,1769302446992389,,1769302445689349,1769302446992388,,1769302446997760,1438374,1422198,,,,1303039,28714,16,yolov5s,JpgLossy,T1,Letterbox
0,1,RSU-0001,Local,1769302445559386,1769302445564947,1769302445566749,1769302447083831,,1769302445667019,1769302447083830,,1769302447094121,1534735,1518884,,,,1416811,28714,16,yolov5s,JpgLossy,T1,Letterbox
1,31,RSU-0000,Local,1769302446560930,1769302446568808,1769302446569032,1769302448164323,,1769302446917250,1769302448164322,,1769302448166790,1605860,1595515,,,,1247072,27529,16,yolov5s,JpgLossy,T1,Letterbox
1,31,RSU-0002,Local,1769302446560956,1769302446567529,1769302446567792,1769302448241008,,1769302446992877,1769302448241007,,1769302448246453,1685497,1673479,,,,1248130,27529,16,yolov5s,JpgLossy,T1,Letterbox
1,31,RSU-0001,Local,1769302446560955,1769302446564697,1769302446564927,1769302448500489,,1769302447083997,1769302448500488,,1769302448506550,1945595,1935792,,,,1416491,27529,16,yolov5s,JpgLossy,T1,Letterbox
2,61,RSU-0000,Local,1769302447561975,1769302447570908,1769302447571141,1769302449397662,,1769302448164466,1769302449397661,,1769302449400004,1838029,1826754,,,,1233195,27784,16,yolov5s,JpgLossy,T1,Letterbox
2,61,RSU-0002,Local,1769302447561992,1769302447569015,1769302447569260,1769302449471233,,1769302448241152,1769302449471232,,1769302449476843,1914851,1902218,,,,1230080,27784,16,yolov5s,JpgLossy,T1,Letterbox
2,61,RSU-0001,Local,1769302447561991,1769302447566074,1769302447566303,1769302449901365,,1769302448500641,1769302449901364,,1769302449907557,2345566,2335291,,,,1400723,27784,16,yolov5s,JpgLossy,T1,Letterbox
3,91,RSU-0000,Local,1769302448563343,1769302448572123,1769302448572365,1769302450632681,,1769302449397763,1769302450632680,,1769302450634722,2071379,2060558,,,,1234917,28009,17,yolov5s,JpgLossy,T1,Letterbox
3,91,RSU-0002,Local,1769302448563361,1769302448569641,1769302448570340,1769302450701037,,1769302449471380,1769302450701036,,1769302450703143,2139782,2131396,,,,1229656,28009,17,yolov5s,JpgLossy,T1,Letterbox
4,121,RSU-0001,Local,1769302449564623,1769302449569465,1769302449569695,1769302451301413,,1769302449901515,1769302451301412,,1769302451307573,1742950,1731948,,,,1399897,28063,19,yolov5s,JpgLossy,T1,Letterbox
5,151,RSU-0000,Local,1769302450566497,1769302450574118,1769302450574328,1769302451865824,,1769302450632825,1769302451865823,,1769302451868319,1301822,1291706,,,,1232998,28072,18,yolov5s,JpgLossy,T1,Letterbox
5,151,RSU-0002,Local,1769302450566514,1769302450571337,1769302450571584,1769302451934449,,1769302450701184,1769302451934448,,1769302451939927,1373413,1363112,,,,1233264,28072,18,yolov5s,JpgLossy,T1,Letterbox
5,151,RSU-0001,Local,1769302450566514,1769302450572140,1769302450572392,1769302452701546,,1769302451301560,1769302452701545,,1769302452707676,2141162,2129406,,,,1399985,28072,18,yolov5s,JpgLossy,T1,Letterbox
6,181,RSU-0000,Local,1769302451568239,1769302451578770,1769302451579158,1769302453100332,,1769302451865981,1769302453100332,,1769302453102877,1534638,1521562,,,,1234351,27944,19,yolov5s,JpgLossy,T1,Letterbox
6,181,RSU-0002,Local,1769302451568255,1769302451573849,1769302451574506,1769302453165120,,1769302451934607,1769302453165119,,1769302453174632,1606377,1591271,,,,1230512,27944,19,yolov5s,JpgLossy,T1,Letterbox
7,211,RSU-0001,Local,1769302452569134,1769302452573149,1769302452573381,1769302454101431,,1769302452701699,1769302454101430,,1769302454107797,1538663,1528282,,,,1399731,28029,22,yolov5s,JpgLossy,T1,Letterbox
7,211,RSU-0000,Local,1769302452569123,1769302452579270,1769302452579522,1769302454333890,,1769302453100489,1769302454333890,,1769302454336372,1767249,1754620,,,,1233401,28029,22,yolov5s,JpgLossy,T1,Letterbox
7,211,RSU-0002,Local,1769302452569135,1769302452575192,1769302452575442,1769302454397641,,1769302453165657,1769302454397640,,1769302454403251,1834116,1822449,,,,1231983,28029,22,yolov5s,JpgLossy,T1,Letterbox
8,241,RSU-0001,Local,1769302453570243,1769302453574943,1769302453575192,1769302455502281,,1769302454101534,1769302455502280,,1769302455508511,1938268,1927338,,,,1400746,27949,19,yolov5s,JpgLossy,T1,Letterbox
8,241,RSU-0000,Local,1769302453570232,1769302453580298,1769302453580540,1769302455569299,,1769302454334032,1769302455569298,,1769302455571687,2001455,1989001,,,,1235266,27949,19,yolov5s,JpgLossy,T1,Letterbox
8,241,RSU-0002,Local,1769302453570244,1769302453575229,1769302453575467,1769302455634578,,1769302454398163,1769302455634577,,1769302455639132,2068888,2059349,,,,1236414,27949,19,yolov5s,JpgLossy,T1,Letterbox
9,271,RSU-0000,Local,1769302454570954,1769302454582387,1769302454582753,1769302456804039,,1769302455569445,1769302456804038,,1769302456806245,2235291,2221652,,,,1234593,28028,19,yolov5s,JpgLossy,T1,Letterbox
10,301,RSU-0002,Local,1769302455571718,1769302455577142,1769302455577350,1769302456866606,,1769302455634930,1769302456866605,,1769302456871035,1299317,1289464,,,,1231675,27769,17,yolov5s,JpgLossy,T1,Letterbox
9,271,RSU-0001,Local,1769302454570973,1769302454574993,1769302454575226,1769302456903404,,1769302455502438,1769302456903403,,1769302456909660,2338687,2328411,,,,1400965,28028,19,yolov5s,JpgLossy,T1,Letterbox
11,331,RSU-0000,Local,1769302456573632,1769302456582854,1769302456583813,1769302458036688,,1769302456804180,1769302458036687,,1769302458039250,1465618,1453834,,,,1232507,27638,16,yolov5s,JpgLossy,T1,Letterbox
11,331,RSU-0002,Local,1769302456573647,1769302456581706,1769302456581944,1769302458094850,,1769302456866720,1769302458094849,,1769302458099533,1525886,1513144,,,,1228129,27638,16,yolov5s,JpgLossy,T1,Letterbox
11,331,RSU-0001,Local,1769302456573646,1769302456577651,1769302456577872,1769302458305460,,1769302456903563,1769302458305459,,1769302458311755,1738109,1727809,,,,1401896,27638,16,yolov5s,JpgLossy,T1,Letterbox
12,361,RSU-0000,Local,1769302457574625,1769302457584339,1769302457584568,1769302459271466,,1769302458036843,1769302459271465,,1769302459273965,1699340,1687127,,,,1234622,27868,17,yolov5s,JpgLossy,T1,Letterbox
12,361,RSU-0002,Local,1769302457574640,1769302457580525,1769302457580791,1769302459323558,,1769302458094976,1769302459323557,,1769302459328805,1754165,1743033,,,,1228581,27868,17,yolov5s,JpgLossy,T1,Letterbox
12,361,RSU-0001,Local,1769302457574639,1769302457578618,1769302457578855,1769302459705464,,1769302458305564,1769302459705463,,1769302459708372,2133733,2126846,,,,1399899,27868,17,yolov5s,JpgLossy,T1,Letterbox
13,391,RSU-0000,Local,1769302458576296,1769302458585157,1769302458585387,1769302460504829,,1769302459271623,1769302460504828,,1769302460507051,1930755,1919672,,,,1233205,27850,18,yolov5s,JpgLossy,T1,Letterbox
13,391,RSU-0002,Local,1769302458576306,1769302458581355,1769302458581683,1769302460551559,,1769302459323705,1769302460551558,,1769302460556833,1980527,1970204,,,,1227853,27850,18,yolov5s,JpgLossy,T1,Letterbox
14,421,RSU-0001,Local,1769302459576647,1769302459581190,1769302459581429,1769302461103694,,1769302459705625,1769302461103693,,1769302461109970,1533323,1522504,,,,1398068,27853,17,yolov5s,JpgLossy,T1,Letterbox
14,421,RSU-0000,Local,1769302459576632,1769302459587363,1769302459587618,1769302461740744,,1769302460504970,1769302461740743,,1769302461739841,2163209,2153381,,,,1235773,27853,17,yolov5s,JpgLossy,T1,Letterbox
14,421,RSU-0002,Local,1769302459576648,1769302459583709,1769302459584863,1769302461779862,,1769302460551705,1769302461779862,,1769302461785051,2208403,2196153,,,,1228157,27853,17,yolov5s,JpgLossy,T1,Letterbox
15,451,RSU-0001,Local,1769302460578177,1769302460582091,1769302460582335,1769302462503230,,1769302461103845,1769302462503230,,1769302462509927,1931750,1921139,,,,1399385,27677,16,yolov5s,JpgLossy,T1,Letterbox
16,481,RSU-0000,Local,1769302461579084,1769302461589166,1769302461589430,1769302462980062,,1769302461740907,1769302462980061,,1769302462982569,1403485,1390896,,,,1239154,27740,14,yolov5s,JpgLossy,T1,Letterbox
16,481,RSU-0002,Local,1769302461579103,1769302461584824,1769302461585083,1769302463013752,,1769302461780021,1769302463013750,,1769302463022380,1443277,1428928,,,,1233729,27740,14,yolov5s,JpgLossy,T1,Letterbox
16,481,RSU-0001,Local,1769302461579102,1769302461582962,1769302461583198,1769302463903228,,1769302462503382,1769302463903228,,1769302463909335,2330233,2320266,,,,1399846,27740,14,yolov5s,JpgLossy,T1,Letterbox
17,511,RSU-0000,Local,1769302462580582,1769302462591385,1769302462591988,1769302464213651,,1769302462980202,1769302464213650,,1769302464215942,1635360,1622266,,,,1233448,27870,14,yolov5s,JpgLossy,T1,Letterbox
17,511,RSU-0002,Local,1769302462580598,1769302462584940,1769302462585161,1769302464246755,,1769302463013898,1769302464246754,,1769302464250964,1670366,1661815,,,,1232856,27870,14,yolov5s,JpgLossy,T1,Letterbox
18,541,RSU-0001,Local,1769302463582685,1769302463586959,1769302463587167,1769302465302318,,1769302463903379,1769302465302317,,1769302465308441,1725756,1715359,,,,1398938,27833,18,yolov5s,JpgLossy,T1,Letterbox
18,541,RSU-0000,Local,1769302463582666,1769302463592878,1769302463593138,1769302465449371,,1769302464213792,1769302465449370,,1769302465451742,1869076,1856493,,,,1235578,27833,18,yolov5s,JpgLossy,T1,Letterbox
18,541,RSU-0002,Local,1769302463582686,1769302463588753,1769302463589016,1769302465485691,,1769302464246882,1769302465485690,,1769302465490084,1907398,1896938,,,,1238808,27833,18,yolov5s,JpgLossy,T1,Letterbox
19,571,RSU-0000,Local,1769302464584666,1769302464592625,1769302464592868,1769302466683757,,1769302465449527,1769302466683756,,1769302466685817,2101151,2091132,,,,1234229,27687,17,yolov5s,JpgLossy,T1,Letterbox
19,571,RSU-0001,Local,1769302464584679,1769302464589531,1769302464589755,1769302466702536,,1769302465302482,1769302466702535,,1769302466709102,2124423,2113005,,,,1400053,27687,17,yolov5s,JpgLossy,T1,Letterbox
19,571,RSU-0002,Local,1769302464584680,1769302464592130,1769302464592343,1769302466724617,,1769302465486221,1769302466724615,,1769302466729767,2145087,2132487,,,,1238394,27687,17,yolov5s,JpgLossy,T1,Letterbox
21,631,RSU-0000,Local,1769302466588503,1769302466598264,1769302466598469,1769302467916104,,1769302466683903,1769302467916103,,1769302467918307,1329804,1317840,,,,1232200,28478,20,yolov5s,JpgLossy,T1,Letterbox
21,631,RSU-0002,Local,1769302466588519,1769302466594577,1769302466594827,1769302467960225,,1769302466724767,1769302467960224,,1769302467965506,1376987,1365648,,,,1235457,28478,20,yolov5s,JpgLossy,T1,Letterbox
21,631,RSU-0001,Local,1769302466588518,1769302466592377,1769302466592585,1769302468103311,,1769302466702696,1769302468103310,,1769302468110014,1521496,1510934,,,,1400614,28478,20,yolov5s,JpgLossy,T1,Letterbox
