sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1769306425471807,1769306425483406,1769306425483980,1769306426945314,,1769306425579145,1769306426945312,,1769306426949459,1477652,1461908,,,,1366167,84671,17,yolov5s,JpgLossy,T2,HD
0,1,RSU-0002,Local,1769306425471808,1769306425480227,1769306425480805,1769306427003670,,1769306425606113,1769306427003670,,1769306427008327,1536519,1523443,,,,1397557,84671,17,yolov5s,JpgLossy,T2,HD
0,1,RSU-0001,Local,1769306425471808,1769306425480118,1769306425480750,1769306427121594,,1769306425588563,1769306427121593,,1769306427126945,1655137,1641476,,,,1533030,84671,17,yolov5s,JpgLossy,T2,HD
7,43,RSU-0000,Local,1769306426880994,1769306426889280,1769306426893901,1769306428266179,,1769306426945425,1769306428266179,,1769306428270704,1389710,1376899,,,,1320754,76419,20,yolov5s,JpgLossy,T2,HD
7,43,RSU-0002,Local,1769306426881014,1769306426887816,1769306426890771,1769306428477158,,1769306427003827,1769306428477157,,1769306428482052,1601038,1589342,,,,1473330,76419,20,yolov5s,JpgLossy,T2,HD
8,49,RSU-0001,Local,1769306427081954,1769306427087648,1769306427091644,1769306428712015,,1769306427121697,1769306428712014,,1769306428714353,1632399,1624367,,,,1590317,76475,19,yolov5s,JpgLossy,T2,HD
13,79,RSU-0000,Local,1769306428090101,1769306428097335,1769306428107113,1769306429573249,,1769306428266548,1769306429573248,,1769306429577535,1487434,1475914,,,,1306700,77411,18,yolov5s,JpgLossy,T2,HD
14,85,RSU-0002,Local,1769306428291691,1769306428298281,1769306428302011,1769306429952261,,1769306428477304,1769306429952260,,1769306429956996,1665305,1653980,,,,1474956,77370,20,yolov5s,JpgLossy,T2,HD
16,97,RSU-0001,Local,1769306428695248,1769306428700951,1769306428708482,1769306430291809,,1769306428712119,1769306430291808,,1769306430297311,1602063,1590858,,,,1579689,77452,21,yolov5s,JpgLossy,T2,HD
20,121,RSU-0000,Local,1769306429500712,1769306429508798,1769306429509483,1769306430879730,,1769306429573396,1769306430879729,,1769306430884130,1383418,1370932,,,,1306333,77668,20,yolov5s,JpgLossy,T2,HD
22,133,RSU-0002,Local,1769306429902897,1769306429909829,1769306429913928,1769306431411056,,1769306429952577,1769306431411055,,1769306431415758,1512861,1501227,,,,1458478,77779,20,yolov5s,JpgLossy,T2,HD
23,139,RSU-0001,Local,1769306430104578,1769306430109635,1769306430112637,1769306431868136,,1769306430291987,1769306431868135,,1769306431873563,1768985,1758501,,,,1576148,78064,20,yolov5s,JpgLossy,T2,HD
26,157,RSU-0000,Local,1769306430709096,1769306430715322,1769306430719923,1769306432178970,,1769306430879870,1769306432178969,,1769306432183579,1474483,1463648,,,,1299099,77540,22,yolov5s,JpgLossy,T2,HD
29,175,RSU-0002,Local,1769306431312684,1769306431318627,1769306431322055,1769306432881941,,1769306431411213,1769306432881940,,1769306432886447,1573763,1563314,,,,1470727,77041,21,yolov5s,JpgLossy,T2,HD
31,187,RSU-0001,Local,1769306431716061,1769306431720976,1769306431723966,1769306433440150,,1769306431868286,1769306433440149,,1769306433445575,1729514,1719174,,,,1571863,77029,19,yolov5s,JpgLossy,T2,HD
33,199,RSU-0000,Local,1769306432118538,1769306432125666,1769306432128475,1769306433484616,,1769306432179108,1769306433484615,,1769306433488749,1370211,1358950,,,,1305507,77241,20,yolov5s,JpgLossy,T2,HD
36,217,RSU-0002,Local,1769306432722602,1769306432728439,1769306432731594,1769306434336087,,1769306432882101,1769306434336086,,1769306434340830,1618228,1607648,,,,1453985,77136,20,yolov5s,JpgLossy,T2,HD
39,235,RSU-0000,Local,1769306433327357,1769306433333466,1769306433338047,1769306434788481,,1769306433484766,1769306434788480,,1769306434792675,1465318,1455015,,,,1303714,77423,20,yolov5s,JpgLossy,T2,HD
39,235,RSU-0001,Local,1769306433327368,1769306433333020,1769306433335898,1769306435021541,,1769306433440292,1769306435021541,,1769306435027098,1699730,1688521,,,,1581249,77423,20,yolov5s,JpgLossy,T2,HD
43,259,RSU-0002,Local,1769306434132911,1769306434141861,1769306434144723,1769306435803334,,1769306434336611,1769306435803334,,1769306435808350,1675439,1661473,,,,1466723,77782,19,yolov5s,JpgLossy,T2,HD
46,277,RSU-0000,Local,1769306434736764,1769306434743831,1769306434746675,1769306436095069,,1769306434788625,1769306436095069,,1769306436099279,1362515,1351238,,,,1306444,77436,19,yolov5s,JpgLossy,T2,HD
47,283,RSU-0001,Local,1769306434938278,1769306434943165,1769306434946117,1769306436595049,,1769306435021693,1769306436595048,,1769306436600604,1662326,1651884,,,,1573355,77497,17,yolov5s,JpgLossy,T2,HD
51,307,RSU-0002,Local,1769306435742083,1769306435747958,1769306435750723,1769306437262104,,1769306435803482,1769306437262103,,1769306437266807,1524724,1514146,,,,1458621,76523,17,yolov5s,JpgLossy,T2,HD
52,313,RSU-0000,Local,1769306435943116,1769306435949130,1769306435952045,1769306437402067,,1769306436095226,1769306437402066,,1769306437406304,1463188,1452937,,,,1306840,76442,19,yolov5s,JpgLossy,T2,HD
55,331,RSU-0001,Local,1769306436548361,1769306436553173,1769306436553390,1769306438172396,,1769306436595200,1769306438172395,,1769306438174482,1626121,1619223,,,,1577195,76382,18,yolov5s,JpgLossy,T2,HD
59,355,RSU-0000,Local,1769306437354665,1769306437361597,1769306437375622,1769306438708470,,1769306437402221,1769306438708469,,1769306438711747,1357082,1346873,,,,1306248,76489,18,yolov5s,JpgLossy,T2,HD
58,349,RSU-0002,Local,1769306437153179,1769306437158974,1769306437161853,1769306438722822,,1769306437262250,1769306438722821,,1769306438727416,1574237,1563848,,,,1460571,76574,18,yolov5s,JpgLossy,T2,HD
