sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1769308634568669,1769308634577313,1769308634580074,1769308635992430,,1769308634667594,1769308635992429,,1769308636008454,1439785,1415117,,,,1324835,284818,17,yolov5s,PngLossless,T1,Letterbox
0,1,RSU-0002,Local,1769308634568669,1769308634576461,1769308634577266,1769308636018862,,1769308634712798,1769308636018861,,1769308636023599,1454930,1442401,,,,1306063,284818,17,yolov5s,PngLossless,T1,Letterbox
0,1,RSU-0001,Local,1769308634568669,1769308634568472,1769308634569107,1769308636200129,,1769308634711381,1769308636200128,,1769308636207763,1639094,1631657,,,,1488747,284818,17,yolov5s,PngLossless,T1,Letterbox
7,43,RSU-0002,Local,1769308635977925,1769308635983963,1769308635990969,1769308637287445,,1769308636018967,1769308637287444,,1769308637292050,1314125,1303482,,,,1268477,260407,18,yolov5s,PngLossless,T1,Letterbox
6,37,RSU-0000,Local,1769308635777138,1769308635785657,1769308635793727,1769308637407594,,1769308635992565,1769308637407593,,1769308637422767,1645629,1621937,,,,1415028,259671,18,yolov5s,PngLossless,T1,Letterbox
8,49,RSU-0001,Local,1769308636178990,1769308636179179,1769308636189267,1769308637655826,,1769308636200288,1769308637655825,,1769308637666567,1487577,1476647,,,,1455537,260521,20,yolov5s,PngLossless,T1,Letterbox
13,79,RSU-0002,Local,1769308637186086,1769308637191349,1769308637195188,1769308638539673,,1769308637287593,1769308638539672,,1769308638544484,1358398,1348324,,,,1252079,263851,19,yolov5s,PngLossless,T1,Letterbox
13,79,RSU-0000,Local,1769308637186072,1769308637192970,1769308637200757,1769308638815429,,1769308637407776,1769308638815428,,1769308638831895,1645823,1622459,,,,1407652,263851,19,yolov5s,PngLossless,T1,Letterbox
15,91,RSU-0001,Local,1769308637588349,1769308637588672,1769308637589321,1769308639095929,,1769308637656014,1769308639095928,,1769308639106515,1518166,1507257,,,,1439914,265925,19,yolov5s,PngLossless,T1,Letterbox
19,115,RSU-0002,Local,1769308638392551,1769308638397852,1769308638401854,1769308639792439,,1769308638539821,1769308639792438,,1769308639796162,1403611,1394587,,,,1252617,266084,20,yolov5s,PngLossless,T1,Letterbox
20,121,RSU-0000,Local,1769308638594094,1769308638600211,1769308638600632,1769308640219396,,1769308638815578,1769308640219395,,1769308640242566,1648472,1619185,,,,1403817,263432,20,yolov5s,PngLossless,T1,Letterbox
22,133,RSU-0001,Local,1769308638996636,1769308638996073,1769308639004465,1769308640535597,,1769308639096084,1769308640535596,,1769308640546332,1549696,1539524,,,,1439512,265426,21,yolov5s,PngLossless,T1,Letterbox
25,151,RSU-0002,Local,1769308639600716,1769308639603610,1769308639603879,1769308641038404,,1769308639792786,1769308641038403,,1769308641040108,1439392,1434794,,,,1245617,264798,20,yolov5s,PngLossless,T1,Letterbox
27,163,RSU-0000,Local,1769308640004642,1769308640010654,1769308640040631,1769308641624374,,1769308640219533,1769308641624373,,1769308641625184,1620542,1613720,,,,1404840,263167,18,yolov5s,PngLossless,T1,Letterbox
29,175,RSU-0001,Local,1769308640408360,1769308640407780,1769308640415374,1769308641975158,,1769308640535762,1769308641975157,,1769308641985699,1577339,1567378,,,,1439395,263703,18,yolov5s,PngLossless,T1,Letterbox
32,193,RSU-0002,Local,1769308641011041,1769308641020511,1769308641025947,1769308642286211,,1769308641038545,1769308642286211,,1769308642290954,1279913,1265700,,,,1247666,262923,20,yolov5s,PngLossless,T1,Letterbox
35,211,RSU-0000,Local,1769308641614337,1769308641623662,1769308641624261,1769308643031168,,1769308641624551,1769308643031167,,1769308643032379,1418042,1407506,,,,1406616,264005,20,yolov5s,PngLossless,T1,Letterbox
36,217,RSU-0001,Local,1769308641814934,1769308641815254,1769308641822615,1769308643417383,,1769308641975308,1769308643417382,,1769308643427849,1612915,1602129,,,,1442074,261816,20,yolov5s,PngLossless,T1,Letterbox
