sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Local,1769305012878448,1769305012894176,1769305012903129,1769305014412580,,1769305012984118,1769305014412580,,1769305014417476,1539028,1518404,,,,1428462,1352865,17,yolov5s,PngLossless,T2,FHD
0,1,RSU-0000,Local,1769305012878447,1769305012886769,1769305012890183,1769305014439425,,1769305012990562,1769305014439424,,1769305014444986,1566539,1552656,,,,1448862,1352865,17,yolov5s,PngLossless,T2,FHD
0,1,RSU-0001,Local,1769305012878448,1769305012884101,1769305012965228,1769305014614568,,1769305013017077,1769305014614567,,1769305014622058,1743610,1730467,,,,1597490,1352865,17,yolov5s,PngLossless,T2,FHD
1,31,RSU-0002,Local,1769305013880709,1769305013888247,1769305013895565,1769305015798412,,1769305014412724,1769305015798411,,1769305015803010,1922301,1910165,,,,1385687,792254,19,yolov5s,PngLossless,T2,FHD
1,31,RSU-0000,Local,1769305013880695,1769305013886430,1769305013887327,1769305015991585,,1769305014439565,1769305015991584,,1769305015996900,2116205,2105155,,,,1552019,792254,19,yolov5s,PngLossless,T2,FHD
1,31,RSU-0001,Local,1769305013880708,1769305013883304,1769305013884132,1769305016319160,,1769305014614726,1769305016319158,,1769305016326820,2446112,2435856,,,,1704432,792254,19,yolov5s,PngLossless,T2,FHD
2,61,RSU-0002,Local,1769305014882572,1769305014889639,1769305014897070,1769305017180757,,1769305015798542,1769305017180757,,1769305017184629,2302057,2291118,,,,1382215,805414,20,yolov5s,PngLossless,T2,FHD
3,91,RSU-0000,Local,1769305015883861,1769305015889483,1769305015890296,1769305017530421,,1769305015991766,1769305017530420,,1769305017535979,1652118,1640938,,,,1538654,815037,22,yolov5s,PngLossless,T2,FHD
3,91,RSU-0001,Local,1769305015883875,1769305015886743,1769305015887517,1769305018002256,,1769305016319324,1769305018002255,,1769305018009516,2125641,2115513,,,,1682931,815037,22,yolov5s,PngLossless,T2,FHD
4,121,RSU-0002,Local,1769305016884954,1769305016892800,1769305016901338,1769305018555146,,1769305017181123,1769305018555145,,1769305018559762,1674808,1662346,,,,1374022,817754,20,yolov5s,PngLossless,T2,FHD
4,121,RSU-0000,Local,1769305016884941,1769305016892021,1769305016893017,1769305019073297,,1769305017530894,1769305019073296,,1769305019078353,2193412,2181276,,,,1542402,817754,20,yolov5s,PngLossless,T2,FHD
5,151,RSU-0001,Local,1769305017886092,1769305017888656,1769305017889436,1769305019688778,,1769305018002407,1769305019688777,,1769305019695739,1809647,1800122,,,,1686370,824744,21,yolov5s,PngLossless,T2,FHD
5,151,RSU-0002,Local,1769305017886093,1769305017892615,1769305017899374,1769305019932399,,1769305018555253,1769305019932398,,1769305019936982,2050889,2039784,,,,1377145,824744,21,yolov5s,PngLossless,T2,FHD
6,181,RSU-0000,Local,1769305018887585,1769305018893552,1769305018896050,1769305020614439,,1769305019073409,1769305020614438,,1769305020619783,1732198,1720887,,,,1541029,816473,19,yolov5s,PngLossless,T2,FHD
7,211,RSU-0002,Local,1769305019889189,1769305019896115,1769305019906088,1769305021309421,,1769305019932537,1769305021309421,,1769305021314407,1425218,1413306,,,,1376884,821040,19,yolov5s,PngLossless,T2,FHD
6,181,RSU-0001,Local,1769305018887603,1769305018891067,1769305018892045,1769305021373361,,1769305019688895,1769305021373360,,1769305021380889,2493286,2482294,,,,1684465,816473,19,yolov5s,PngLossless,T2,FHD
7,211,RSU-0000,Local,1769305019889172,1769305019895131,1769305019896219,1769305022162769,,1769305020614585,1769305022162768,,1769305022168067,2278895,2267638,,,,1548183,821040,19,yolov5s,PngLossless,T2,FHD
8,241,RSU-0002,Local,1769305020890605,1769305020898268,1769305020904942,1769305022688489,,1769305021309585,1769305022688488,,1769305022693165,1802560,1790221,,,,1378903,817944,19,yolov5s,PngLossless,T2,FHD
8,241,RSU-0001,Local,1769305020890604,1769305020893385,1769305020995306,1769305023055989,,1769305021373520,1769305023055988,,1769305023064013,2173409,2162604,,,,1682468,817944,19,yolov5s,PngLossless,T2,FHD
9,271,RSU-0000,Local,1769305021891941,1769305021896855,1769305021897889,1769305023705664,,1769305022162927,1769305023705664,,1769305023707782,1815841,1808809,,,,1542737,828027,20,yolov5s,PngLossless,T2,FHD
9,271,RSU-0002,Local,1769305021891954,1769305021899084,1769305021905463,1769305024067591,,1769305022688620,1769305024067590,,1769305024072152,2180198,2168507,,,,1378970,828027,20,yolov5s,PngLossless,T2,FHD
10,301,RSU-0001,Local,1769305022892914,1769305022895571,1769305022916742,1769305024740830,,1769305023056095,1769305024740829,,1769305024745539,1852625,1845259,,,,1684734,811407,18,yolov5s,PngLossless,T2,FHD
10,301,RSU-0000,Local,1769305022892899,1769305022898794,1769305022899754,1769305025251120,,1769305023705805,1769305025251119,,1769305025256203,2363304,2352326,,,,1545314,811407,18,yolov5s,PngLossless,T2,FHD
11,331,RSU-0002,Local,1769305023894558,1769305023900295,1769305023907288,1769305025438162,,1769305024067738,1769305025438161,,1769305025443065,1548507,1537867,,,,1370423,805392,18,yolov5s,PngLossless,T2,FHD
11,331,RSU-0001,Local,1769305023894557,1769305023898413,1769305023920824,1769305026424491,,1769305024740966,1769305026424491,,1769305026431743,2537186,2526078,,,,1683525,805392,18,yolov5s,PngLossless,T2,FHD
12,361,RSU-0000,Local,1769305024896317,1769305024902830,1769305024904420,1769305026795311,,1769305025251274,1769305026795310,,1769305026797449,1901132,1892481,,,,1544036,807660,19,yolov5s,PngLossless,T2,FHD
12,361,RSU-0002,Local,1769305024896333,1769305024904040,1769305024910818,1769305026808703,,1769305025438284,1769305026808703,,1769305026813290,1916957,1904663,,,,1370419,807660,19,yolov5s,PngLossless,T2,FHD
13,391,RSU-0001,Local,1769305025896902,1769305025899602,1769305025900543,1769305028105888,,1769305026424620,1769305028105888,,1769305028113399,2216497,2206286,,,,1681268,805638,18,yolov5s,PngLossless,T2,FHD
13,391,RSU-0002,Local,1769305025896902,1769305025904175,1769305025910770,1769305028176483,,1769305026808834,1769305028176482,,1769305028181173,2284271,2272308,,,,1367648,805638,18,yolov5s,PngLossless,T2,FHD
13,391,RSU-0000,Local,1769305025896890,1769305025902904,1769305025904078,1769305028338149,,1769305026795451,1769305028338148,,1769305028343308,2446418,2435245,,,,1542697,805638,18,yolov5s,PngLossless,T2,FHD
15,451,RSU-0002,Local,1769305027899504,1769305027907236,1769305027913958,1769305029550275,,1769305028176842,1769305029550274,,1769305029555129,1655625,1643039,,,,1373432,806445,16,yolov5s,PngLossless,T2,FHD
15,451,RSU-0001,Local,1769305027899503,1769305027902518,1769305027906639,1769305029785719,,1769305028106051,1769305029785719,,1769305029793419,1893916,1883201,,,,1679668,806445,16,yolov5s,PngLossless,T2,FHD
15,451,RSU-0000,Local,1769305027899487,1769305027905250,1769305027906253,1769305029887007,,1769305028338290,1769305029887006,,1769305029892280,1992793,1981757,,,,1548716,806445,16,yolov5s,PngLossless,T2,FHD
16,481,RSU-0002,Local,1769305028901239,1769305028907672,1769305028914277,1769305030927896,,1769305029550766,1769305030927895,,1769305030929542,2028303,2020224,,,,1377129,799057,16,yolov5s,PngLossless,T2,FHD
16,481,RSU-0000,Local,1769305028901196,1769305028906860,1769305028909135,1769305031427668,,1769305029887151,1769305031427668,,1769305031432656,2531460,2520808,,,,1540517,799057,16,yolov5s,PngLossless,T2,FHD
16,481,RSU-0001,Local,1769305028901238,1769305028906035,1769305028906839,1769305031470496,,1769305029785863,1769305031470496,,1769305031478000,2576762,2564461,,,,1684633,799057,16,yolov5s,PngLossless,T2,FHD
18,541,RSU-0002,Local,1769305030904258,1769305030912063,1769305030919245,1769305032298362,,1769305030928224,1769305032298361,,1769305032302910,1398652,1386299,,,,1370137,804759,18,yolov5s,PngLossless,T2,FHD
18,541,RSU-0000,Local,1769305030904192,1769305030911478,1769305030912497,1769305032972779,,1769305031427834,1769305032972778,,1769305032977941,2073749,2061301,,,,1544944,804759,18,yolov5s,PngLossless,T2,FHD
18,541,RSU-0001,Local,1769305030904257,1769305030907078,1769305030908084,1769305033150502,,1769305031470659,1769305033150501,,1769305033157982,2253725,2243424,,,,1679842,804759,18,yolov5s,PngLossless,T2,FHD
19,571,RSU-0002,Local,1769305031905011,1769305031911537,1769305031919573,1769305033673735,,1769305032298448,1769305033673735,,1769305033678592,1773581,1762198,,,,1375287,804322,19,yolov5s,PngLossless,T2,FHD
20,601,RSU-0000,Local,1769305032906205,1769305032912099,1769305032912866,1769305034514215,,1769305032972880,1769305034514214,,1769305034519384,1613179,1602116,,,,1541334,824765,18,yolov5s,PngLossless,T2,FHD
20,601,RSU-0001,Local,1769305032906269,1769305032908998,1769305032909926,1769305034832949,,1769305033150643,1769305034832948,,1769305034839871,1933602,1923951,,,,1682305,824765,18,yolov5s,PngLossless,T2,FHD
20,601,RSU-0002,Local,1769305032906269,1769305032914089,1769305032921040,1769305035054026,,1769305033673908,1769305035054025,,1769305035058512,2152243,2139937,,,,1380117,824765,18,yolov5s,PngLossless,T2,FHD
21,631,RSU-0000,Local,1769305033907118,1769305033913041,1769305033914035,1769305036060043,,1769305034514360,1769305036060042,,1769305036065058,2157940,2147002,,,,1545682,821076,20,yolov5s,PngLossless,T2,FHD
22,661,RSU-0002,Local,1769305034908259,1769305034913686,1769305034920214,1769305036435917,,1769305035054136,1769305036435916,,1769305036440831,1532572,1522231,,,,1381780,833109,21,yolov5s,PngLossless,T2,FHD
21,631,RSU-0001,Local,1769305033907130,1769305033909965,1769305033910941,1769305036514506,,1769305034833041,1769305036514505,,1769305036522394,2615264,2604541,,,,1681464,821076,20,yolov5s,PngLossless,T2,FHD
23,691,RSU-0000,Local,1769305035908917,1769305035914575,1769305035915437,1769305037603758,,1769305036060182,1769305037603757,,1769305037608947,1700030,1689183,,,,1543575,831455,21,yolov5s,PngLossless,T2,FHD
23,691,RSU-0002,Local,1769305035908933,1769305035916633,1769305035923372,1769305037805771,,1769305036436050,1769305037805770,,1769305037810318,1901385,1889138,,,,1369720,831455,21,yolov5s,PngLossless,T2,FHD
23,691,RSU-0001,Local,1769305035908932,1769305035911567,1769305035913516,1769305038199955,,1769305036514652,1769305038199954,,1769305038207522,2298590,2288388,,,,1685302,831455,21,yolov5s,PngLossless,T2,FHD
