sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
1,3,RSU-0002,Local,1769319113008789,1769319113012782,1769319113018225,1769319114466152,,1769319113053583,1769319114466151,,1769319114469708,1460919,1453370,,,,1412568,962753,17,yolov5s,PngLossless,T2,HD
0,1,RSU-0000,Local,1769319112941289,1769319112957157,1769319112960423,1769319114459874,,1769319113065887,1769319114459873,,1769319114514032,1572743,1502717,,,,1393986,860853,17,yolov5s,PngLossless,T2,HD
0,1,RSU-0001,Local,1769319112941289,1769319112937251,1769319112938110,1769319114513129,,1769319112955971,1769319114513128,,1769319114532835,1591546,1575878,,,,1557157,860853,17,yolov5s,PngLossless,T2,HD
21,43,RSU-0000,Local,1769319114370007,1769319114387106,1769319114454449,1769319115873941,,1769319114459975,1769319115873940,,1769319115868675,1498668,1486835,,,,1413965,639923,20,yolov5s,PngLossless,T2,HD
22,45,RSU-0002,Local,1769319114437694,1769319114441863,1769319114446901,1769319115863638,,1769319114466297,1769319115863637,,1769319115870234,1432540,1421775,,,,1397340,642847,20,yolov5s,PngLossless,T2,HD
22,45,RSU-0001,Local,1769319114437693,1769319114433773,1769319114457608,1769319116044320,,1769319114513224,1769319116044320,,1769319116058612,1620919,1610547,,,,1531096,642847,20,yolov5s,PngLossless,T2,HD
42,85,RSU-0002,Local,1769319115796430,1769319115801353,1769319115805197,1769319117246798,,1769319115863796,1769319117246797,,1769319117249964,1453534,1445445,,,,1383001,651268,20,yolov5s,PngLossless,T2,HD
42,85,RSU-0000,Local,1769319115796415,1769319115812709,1769319115830111,1769319117276628,,1769319115874083,1769319117276627,,1769319117271383,1474968,1463919,,,,1402544,651268,20,yolov5s,PngLossless,T2,HD
45,91,RSU-0001,Local,1769319116000003,1769319115995714,1769319116018250,1769319117566582,,1769319116044464,1769319117566581,,1769319117590297,1590294,1570868,,,,1522117,654547,21,yolov5s,PngLossless,T2,HD
63,127,RSU-0002,Local,1769319117225739,1769319117232020,1769319117240050,1769319118623936,,1769319117246896,1769319118623935,,1769319118630345,1404606,1391916,,,,1377039,656119,21,yolov5s,PngLossless,T2,HD
