sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1769307115860134,1769307115869144,1769307115870867,1769307117394051,,1769307115960828,1769307117394050,,1769307117395350,1535216,1524907,,,,1433222,737694,17,yolov5s,WebpLossy,T1,FHD
0,1,RSU-0002,Local,1769307115860135,1769307115865669,1769307115868606,1769307117435742,,1769307115976300,1769307117435741,,1769307117441027,1580892,1570073,,,,1459441,737694,17,yolov5s,WebpLossy,T1,FHD
0,1,RSU-0001,Local,1769307115860134,1769307115867081,1769307115868064,1769307117630665,,1769307116001024,1769307117630664,,1769307117639443,1779309,1763584,,,,1629640,737694,17,yolov5s,WebpLossy,T1,FHD
7,43,RSU-0000,Local,1769307117268593,1769307117276425,1769307117319943,1769307118777207,,1769307117394188,1769307118777206,,1769307118780485,1511892,1500782,,,,1383018,417226,19,yolov5s,WebpLossy,T1,FHD
7,43,RSU-0002,Local,1769307117268611,1769307117273686,1769307117278575,1769307118842138,,1769307117435886,1769307118842137,,1769307118847876,1579265,1568452,,,,1406251,417226,19,yolov5s,WebpLossy,T1,FHD
8,49,RSU-0001,Local,1769307117470438,1769307117472268,1769307117483969,1769307119276897,,1769307117630819,1769307119276896,,1769307119286367,1815929,1804629,,,,1646077,418450,19,yolov5s,WebpLossy,T1,FHD
14,85,RSU-0000,Local,1769307118678383,1769307118685220,1769307118708083,1769307120151831,,1769307118777308,1769307120151830,,1769307120157293,1478910,1466611,,,,1374522,426592,19,yolov5s,WebpLossy,T1,FHD
14,85,RSU-0002,Local,1769307118678393,1769307118684330,1769307118689247,1769307120231518,,1769307118842281,1769307120231517,,1769307120236586,1558193,1547188,,,,1389236,426592,19,yolov5s,WebpLossy,T1,FHD
16,97,RSU-0001,Local,1769307119081177,1769307119082734,1769307119122342,1769307120909895,,1769307119276999,1769307120909894,,1769307120915166,1833989,1827161,,,,1632895,424386,21,yolov5s,WebpLossy,T1,FHD
21,127,RSU-0000,Local,1769307120089208,1769307120095867,1769307120141038,1769307121524108,,1769307120151967,1769307121524107,,1769307121529550,1440342,1428241,,,,1372140,432222,23,yolov5s,WebpLossy,T1,FHD
21,127,RSU-0002,Local,1769307120089283,1769307120094011,1769307120099933,1769307121620507,,1769307120231661,1769307121620506,,1769307121625944,1536661,1526496,,,,1388845,432222,23,yolov5s,WebpLossy,T1,FHD
25,151,RSU-0001,Local,1769307120892648,1769307120894513,1769307120894998,1769307122545864,,1769307120910246,1769307122545863,,1769307122554887,1662239,1651351,,,,1635617,434196,21,yolov5s,WebpLossy,T1,FHD
27,163,RSU-0000,Local,1769307121294857,1769307121300619,1769307121344045,1769307122896674,,1769307121524233,1769307122896673,,1769307122900511,1605654,1596055,,,,1372440,429320,20,yolov5s,WebpLossy,T1,FHD
28,169,RSU-0002,Local,1769307121495634,1769307121501543,1769307121506357,1769307123014038,,1769307121620665,1769307123014037,,1769307123019384,1523750,1512495,,,,1393372,426266,20,yolov5s,WebpLossy,T1,FHD
33,199,RSU-0001,Local,1769307122503882,1769307122506606,1769307122522784,1769307124180868,,1769307122546016,1769307124180867,,1769307124189693,1685811,1674262,,,,1634851,431824,20,yolov5s,WebpLossy,T1,FHD
34,205,RSU-0000,Local,1769307122705795,1769307122712817,1769307122750231,1769307124267563,,1769307122896817,1769307124267562,,1769307124271747,1565952,1554746,,,,1370745,430778,19,yolov5s,WebpLossy,T1,FHD
35,211,RSU-0002,Local,1769307122906756,1769307122911342,1769307122911879,1769307124400662,,1769307123014182,1769307124400661,,1769307124405804,1499048,1489320,,,,1386479,431278,19,yolov5s,WebpLossy,T1,FHD
41,247,RSU-0000,Local,1769307124113092,1769307124121158,1769307124164258,1769307125638347,,1769307124267737,1769307125638346,,1769307125641611,1528519,1517189,,,,1370609,432360,18,yolov5s,WebpLossy,T1,FHD
42,253,RSU-0002,Local,1769307124314547,1769307124320463,1769307124325677,1769307125789165,,1769307124400805,1769307125789164,,1769307125794379,1479832,1468702,,,,1388359,433146,18,yolov5s,WebpLossy,T1,FHD
41,247,RSU-0001,Local,1769307124113107,1769307124114539,1769307124126130,1769307125813902,,1769307124181007,1769307125813902,,1769307125822752,1709645,1699363,,,,1632895,432360,18,yolov5s,WebpLossy,T1,FHD
48,289,RSU-0000,Local,1769307125521865,1769307125530214,1769307125574134,1769307127009999,,1769307125638490,1769307127009998,,1769307127013957,1492092,1479785,,,,1371508,428412,19,yolov5s,WebpLossy,T1,FHD
49,295,RSU-0002,Local,1769307125723597,1769307125728743,1769307125733759,1769307127181800,,1769307125789323,1769307127181800,,1769307127187111,1463514,1453057,,,,1392477,428694,17,yolov5s,WebpLossy,T1,FHD
49,295,RSU-0001,Local,1769307125723596,1769307125726148,1769307125738899,1769307127449200,,1769307125814056,1769307127449199,,1769307127454675,1731079,1723052,,,,1635143,428694,17,yolov5s,WebpLossy,T1,FHD
55,331,RSU-0000,Local,1769307126932512,1769307126940651,1769307126941286,1769307128381177,,1769307127010140,1769307128381176,,1769307128385366,1452854,1440526,,,,1371036,424148,18,yolov5s,WebpLossy,T1,FHD
56,337,RSU-0002,Local,1769307127134684,1769307127139629,1769307127147529,1769307128570301,,1769307127181939,1769307128570300,,1769307128572343,1437659,1430672,,,,1388361,424994,19,yolov5s,WebpLossy,T1,FHD
57,343,RSU-0001,Local,1769307127336049,1769307127336648,1769307127348440,1769307129084822,,1769307127449343,1769307129084821,,1769307129093125,1757076,1748174,,,,1635478,426356,19,yolov5s,WebpLossy,T1,FHD
62,373,RSU-0000,Local,1769307128341734,1769307128351041,1769307128366698,1769307129749030,,1769307128381316,1769307129749029,,1769307129752419,1410685,1397989,,,,1367713,421686,18,yolov5s,WebpLossy,T1,FHD
63,379,RSU-0002,Local,1769307128542974,1769307128549186,1769307128556782,1769307129969539,,1769307128570459,1769307129969538,,1769307129971700,1428726,1420353,,,,1399079,421758,18,yolov5s,WebpLossy,T1,FHD
65,391,RSU-0001,Local,1769307128945315,1769307128947025,1769307128947566,1769307130722283,,1769307129084966,1769307130722282,,1769307130731084,1785769,1775258,,,,1637316,422498,18,yolov5s,WebpLossy,T1,FHD
68,409,RSU-0000,Local,1769307129548936,1769307129556213,1769307129584674,1769307131117155,,1769307129749170,1769307131117154,,1769307131121145,1572209,1560942,,,,1367984,421020,17,yolov5s,WebpLossy,T1,FHD
70,421,RSU-0002,Local,1769307129952193,1769307129958938,1769307129960374,1769307131355514,,1769307129969671,1769307131355513,,1769307131361029,1408836,1396576,,,,1385842,423364,18,yolov5s,WebpLossy,T1,FHD
73,439,RSU-0001,Local,1769307130557266,1769307130559118,1769307130571357,1769307132357189,,1769307130722451,1769307132357188,,1769307132365178,1807912,1798071,,,,1634737,422126,16,yolov5s,WebpLossy,T1,FHD
75,451,RSU-0000,Local,1769307130959588,1769307130965341,1769307130965900,1769307132492349,,1769307131117255,1769307132492348,,1769307132496377,1536789,1527008,,,,1375093,422914,16,yolov5s,WebpLossy,T1,FHD
76,457,RSU-0002,Local,1769307131160608,1769307131166550,1769307131171830,1769307132746166,,1769307131355655,1769307132746166,,1769307132751702,1591094,1579616,,,,1390511,420370,17,yolov5s,WebpLossy,T1,FHD
82,493,RSU-0000,Local,1769307132368532,1769307132376838,1769307132419611,1769307133861424,,1769307132492487,1769307133861423,,1769307133864733,1496201,1484586,,,,1368936,422082,15,yolov5s,WebpLossy,T1,FHD
81,487,RSU-0001,Local,1769307132166458,1769307132168901,1769307132180649,1769307133993596,,1769307132357290,1769307133993595,,1769307133999203,1832745,1824695,,,,1636305,421794,15,yolov5s,WebpLossy,T1,FHD
83,499,RSU-0002,Local,1769307132570119,1769307132575299,1769307132580412,1769307134133801,,1769307132746320,1769307134133800,,1769307134138738,1568619,1558502,,,,1387480,422896,17,yolov5s,WebpLossy,T1,FHD
89,535,RSU-0000,Local,1769307133776296,1769307133784163,1769307133803408,1769307135231503,,1769307133861525,1769307135231503,,1769307135235608,1459312,1447340,,,,1369978,424492,17,yolov5s,WebpLossy,T1,FHD
90,541,RSU-0002,Local,1769307133977342,1769307133984876,1769307133985342,1769307135534754,,1769307134133944,1769307135534753,,1769307135539811,1562469,1549878,,,,1400809,420552,18,yolov5s,WebpLossy,T1,FHD
90,541,RSU-0001,Local,1769307133977340,1769307133980558,1769307133981203,1769307135635313,,1769307133993735,1769307135635312,,1769307135644203,1666863,1654755,,,,1641577,420552,18,yolov5s,WebpLossy,T1,FHD
96,577,RSU-0000,Local,1769307135183996,1769307135191089,1769307135208898,1769307136603439,,1769307135231654,1769307136603438,,1769307136649287,1465291,1412350,,,,1371784,423060,18,yolov5s,WebpLossy,T1,FHD
97,583,RSU-0002,Local,1769307135385247,1769307135390224,1769307135395426,1769307136936384,,1769307135534896,1769307136936382,,1769307136941713,1556466,1546160,,,,1401486,425074,17,yolov5s,WebpLossy,T1,FHD
98,589,RSU-0001,Local,1769307135586044,1769307135588739,1769307135603050,1769307137268385,,1769307135635486,1769307137268384,,1769307137277122,1691078,1679646,,,,1632898,424342,17,yolov5s,WebpLossy,T1,FHD
102,613,RSU-0000,Local,1769307136389922,1769307136396934,1769307136409198,1769307137975943,,1769307136603563,1769307137975942,,1769307137979185,1589263,1579009,,,,1372379,434696,18,yolov5s,WebpLossy,T1,FHD
104,625,RSU-0002,Local,1769307136791781,1769307136797964,1769307136802498,1769307138323817,,1769307136936525,1769307138323817,,1769307138329023,1537242,1525853,,,,1387292,431478,19,yolov5s,WebpLossy,T1,FHD
106,637,RSU-0001,Local,1769307137193876,1769307137195327,1769307137206841,1769307138904182,,1769307137268525,1769307138904181,,1769307138912927,1719051,1708855,,,,1635656,433974,19,yolov5s,WebpLossy,T1,FHD
109,655,RSU-0000,Local,1769307137796897,1769307137805411,1769307137849618,1769307139344434,,1769307137976073,1769307139344433,,1769307139348569,1551672,1539023,,,,1368360,435298,19,yolov5s,WebpLossy,T1,FHD
111,667,RSU-0002,Local,1769307138200526,1769307138206418,1769307138211504,1769307139711016,,1769307138323961,1769307139711015,,1769307139716128,1515602,1504598,,,,1387054,437698,21,yolov5s,WebpLossy,T1,FHD
114,685,RSU-0001,Local,1769307138806172,1769307138808471,1769307138820295,1769307140537479,,1769307138904315,1769307140537478,,1769307140546022,1739850,1729008,,,,1633163,439032,21,yolov5s,WebpLossy,T1,FHD
116,697,RSU-0000,Local,1769307139209052,1769307139214979,1769307139258332,1769307140715954,,1769307139344584,1769307140715953,,1769307140720140,1511088,1500975,,,,1371369,436424,21,yolov5s,WebpLossy,T1,FHD
118,709,RSU-0002,Local,1769307139611030,1769307139616040,1769307139620798,1769307141099131,,1769307139711131,1769307141099130,,1769307141104319,1493289,1483091,,,,1387999,431496,20,yolov5s,WebpLossy,T1,FHD
123,739,RSU-0000,Local,1769307140615683,1769307140621537,1769307140639908,1769307142087232,,1769307140716089,1769307142087232,,1769307142090363,1474680,1465695,,,,1371143,442266,19,yolov5s,WebpLossy,T1,FHD
122,733,RSU-0001,Local,1769307140415063,1769307140416565,1769307140460947,1769307142173943,,1769307140537624,1769307142173942,,1769307142182763,1767700,1757378,,,,1636318,438316,20,yolov5s,WebpLossy,T1,FHD
125,751,RSU-0002,Local,1769307141019634,1769307141024627,1769307141025255,1769307142486923,,1769307141099274,1769307142486922,,1769307142492078,1472444,1462296,,,,1387648,445082,21,yolov5s,WebpLossy,T1,FHD
130,781,RSU-0000,Local,1769307142025816,1769307142032702,1769307142033189,1769307143456933,,1769307142087383,1769307143456932,,1769307143491331,1465515,1424231,,,,1369549,447466,20,yolov5s,WebpLossy,T1,FHD
130,781,RSU-0001,Local,1769307142025831,1769307142027513,1769307142028096,1769307143803665,,1769307142174090,1769307143803664,,1769307143812434,1786603,1776152,,,,1629574,447466,20,yolov5s,WebpLossy,T1,FHD
132,793,RSU-0002,Local,1769307142428004,1769307142432803,1769307142437882,1769307143876698,,1769307142487020,1769307143876697,,1769307143881962,1453958,1443895,,,,1389677,445216,19,yolov5s,WebpLossy,T1,FHD
136,817,RSU-0000,Local,1769307143233071,1769307143238380,1769307143279548,1769307144828415,,1769307143457065,1769307144828414,,1769307144832604,1599533,1590035,,,,1371349,439962,17,yolov5s,WebpLossy,T1,FHD
139,835,RSU-0002,Local,1769307143835838,1769307143842332,1769307143850178,1769307145264366,,1769307143876853,1769307145264365,,1769307145266599,1430761,1422034,,,,1387512,446266,18,yolov5s,WebpLossy,T1,FHD
138,829,RSU-0001,Local,1769307143635345,1769307143636919,1769307143649243,1769307145435600,,1769307143803827,1769307145435599,,1769307145444423,1809078,1798681,,,,1631772,445336,18,yolov5s,WebpLossy,T1,FHD
