sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Local,1769308080578255,1769308080588782,1769308080590196,1769308082061410,,1769308080661090,1769308082061409,,1769308082066735,1488480,1472628,,,,1400319,599474,17,yolov5s,WebpLossy,T3,HD
0,1,RSU-0000,Local,1769308080578254,1769308080586378,1769308080587382,1769308082081241,,1769308080682869,1769308082081241,,1769308082084900,1506646,1494863,,,,1398372,599474,17,yolov5s,WebpLossy,T3,HD
0,1,RSU-0001,Local,1769308080578255,1769308080583189,1769308080584361,1769308082254454,,1769308080687906,1769308082254454,,1769308082265515,1687260,1671265,,,,1566548,599474,17,yolov5s,WebpLossy,T3,HD
7,43,RSU-0000,Local,1769308081987925,1769308081995760,1769308082011185,1769308083425438,,1769308082081345,1769308083425437,,1769308083426186,1438261,1429678,,,,1344092,441108,20,yolov5s,WebpLossy,T3,HD
7,43,RSU-0002,Local,1769308081987941,1769308081992715,1769308081998052,1769308083492063,,1769308082061579,1769308083492062,,1769308083496790,1508849,1499348,,,,1430483,441108,20,yolov5s,WebpLossy,T3,HD
8,49,RSU-0001,Local,1769308082189600,1769308082191400,1769308082203342,1769308083881744,,1769308082254617,1769308083881743,,1769308083892766,1703166,1690344,,,,1627126,441970,19,yolov5s,WebpLossy,T3,HD
14,85,RSU-0000,Local,1769308083398088,1769308083407158,1769308083420702,1769308084753069,,1769308083425593,1769308084753068,,1769308084756515,1358427,1345911,,,,1327475,448954,20,yolov5s,WebpLossy,T3,HD
14,85,RSU-0002,Local,1769308083398100,1769308083404047,1769308083408830,1769308084911141,,1769308083492210,1769308084911140,,1769308084916366,1518266,1507094,,,,1418930,448954,20,yolov5s,WebpLossy,T3,HD
16,97,RSU-0001,Local,1769308083799787,1769308083799116,1769308083812917,1769308085499551,,1769308083881850,1769308085499550,,1769308085510341,1710554,1700435,,,,1617700,447404,21,yolov5s,WebpLossy,T3,HD
20,121,RSU-0000,Local,1769308084605610,1769308084611937,1769308084612507,1769308086082418,,1769308084753171,1769308086082417,,1769308086086281,1480671,1470481,,,,1329246,448390,19,yolov5s,WebpLossy,T3,HD
21,127,RSU-0002,Local,1769308084807323,1769308084813033,1769308084817772,1769308086333820,,1769308084911289,1769308086333819,,1769308086339314,1531991,1520787,,,,1422530,451008,21,yolov5s,WebpLossy,T3,HD
24,145,RSU-0001,Local,1769308085411545,1769308085411063,1769308085423924,1769308087106100,,1769308085499713,1769308087106099,,1769308087116830,1705285,1695037,,,,1606386,449542,20,yolov5s,WebpLossy,T3,HD
27,163,RSU-0000,Local,1769308086014792,1769308086020999,1769308086032748,1769308087409006,,1769308086082560,1769308087409005,,1769308087412775,1397983,1388007,,,,1326445,447506,20,yolov5s,WebpLossy,T3,HD
28,169,RSU-0002,Local,1769308086215867,1769308086220554,1769308086225476,1769308087761128,,1769308086333970,1769308087761128,,1769308087765878,1550011,1540574,,,,1427158,444164,20,yolov5s,WebpLossy,T3,HD
32,193,RSU-0001,Local,1769308087022682,1769308087024756,1769308087038275,1769308088720966,,1769308087106252,1769308088720965,,1769308088731927,1709245,1696210,,,,1614713,447690,18,yolov5s,WebpLossy,T3,HD
33,199,RSU-0000,Local,1769308087224380,1769308087232647,1769308087248429,1769308088733882,,1769308087409146,1769308088733881,,1769308088737529,1513149,1501235,,,,1324735,448772,20,yolov5s,WebpLossy,T3,HD
35,211,RSU-0002,Local,1769308087626999,1769308087632449,1769308087632924,1769308089182920,,1769308087761265,1769308089182919,,1769308089185326,1558327,1550471,,,,1421654,449108,19,yolov5s,WebpLossy,T3,HD
