sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Local,1769308219034921,1769308219046105,1769308219046863,1769308220423121,,1769308219122717,1769308220423120,,1769308220428421,1393500,1377016,,,,1300403,227146,17,yolov5s,WebpLossy,T3,Letterbox
0,1,RSU-0000,Local,1769308219034920,1769308219043422,1769308219044161,1769308220453786,,1769308219135441,1769308220453785,,1769308220458886,1423966,1410364,,,,1318344,227146,17,yolov5s,WebpLossy,T3,Letterbox
0,1,RSU-0001,Local,1769308219034920,1769308219034150,1769308219038058,1769308220562527,,1769308219119440,1769308220562526,,1769308220573524,1538604,1528377,,,,1443086,227146,17,yolov5s,WebpLossy,T3,Letterbox
6,37,RSU-0002,Local,1769308220242796,1769308220249763,1769308220253340,1769308221703230,,1769308220423266,1769308221703229,,1769308221708382,1465586,1453467,,,,1279963,202820,18,yolov5s,WebpLossy,T3,Letterbox
6,37,RSU-0000,Local,1769308220242778,1769308220250227,1769308220270426,1769308221841306,,1769308220453915,1769308221841305,,1769308221844870,1602092,1591079,,,,1387390,202820,18,yolov5s,WebpLossy,T3,Letterbox
7,43,RSU-0001,Local,1769308220443621,1769308220442648,1769308220448669,1769308222040423,,1769308220562684,1769308222040422,,1769308222051365,1607744,1597775,,,,1477738,202596,18,yolov5s,WebpLossy,T3,Letterbox
13,79,RSU-0002,Local,1769308221653572,1769308221658329,1769308221661888,1769308222965993,,1769308221703331,1769308222965992,,1769308222971393,1317821,1307664,,,,1262661,204436,19,yolov5s,WebpLossy,T3,Letterbox
13,79,RSU-0000,Local,1769308221653553,1769308221663256,1769308221670229,1769308223216159,,1769308221841407,1769308223216158,,1769308223221039,1567486,1552903,,,,1374751,204436,19,yolov5s,WebpLossy,T3,Letterbox
14,85,RSU-0001,Local,1769308221855345,1769308221854384,1769308221860487,1769308223505422,,1769308222040566,1769308223505421,,1769308223515301,1659956,1651038,,,,1464855,204758,20,yolov5s,WebpLossy,T3,Letterbox
19,115,RSU-0002,Local,1769308222863137,1769308222868240,1769308222871916,1769308224232959,,1769308222966142,1769308224232958,,1769308224238165,1375028,1364719,,,,1266816,205518,20,yolov5s,WebpLossy,T3,Letterbox
20,121,RSU-0000,Local,1769308223063921,1769308223070513,1769308223070773,1769308224591958,,1769308223216299,1769308224591957,,1769308224595409,1531488,1521445,,,,1375658,204350,20,yolov5s,WebpLossy,T3,Letterbox
22,133,RSU-0001,Local,1769308223466114,1769308223465338,1769308223473224,1769308224970386,,1769308223505569,1769308224970385,,1769308224981510,1515396,1505048,,,,1464816,205380,21,yolov5s,WebpLossy,T3,Letterbox
25,151,RSU-0002,Local,1769308224070326,1769308224075288,1769308224075594,1769308225500783,,1769308224233101,1769308225500782,,1769308225502997,1432671,1425495,,,,1267681,205726,20,yolov5s,WebpLossy,T3,Letterbox
27,163,RSU-0000,Local,1769308224472798,1769308224479347,1769308224501133,1769308225969665,,1769308224592101,1769308225969665,,1769308225973277,1500479,1490318,,,,1377564,204736,18,yolov5s,WebpLossy,T3,Letterbox
29,175,RSU-0001,Local,1769308224875559,1769308224874863,1769308224891215,1769308226434035,,1769308224970534,1769308226434035,,1769308226445143,1569584,1559172,,,,1463501,204740,18,yolov5s,WebpLossy,T3,Letterbox
32,193,RSU-0002,Local,1769308225480957,1769308225489068,1769308225494161,1769308226763920,,1769308225500925,1769308226763919,,1769308226769149,1288192,1274852,,,,1262994,204718,20,yolov5s,WebpLossy,T3,Letterbox
34,205,RSU-0000,Local,1769308225883727,1769308225890202,1769308225896153,1769308227346208,,1769308225969767,1769308227346207,,1769308227349799,1466072,1456006,,,,1376440,204784,19,yolov5s,WebpLossy,T3,Letterbox
36,217,RSU-0001,Local,1769308226285682,1769308226284771,1769308226291101,1769308227902984,,1769308226434203,1769308227902983,,1769308227912751,1627069,1618213,,,,1468780,204090,20,yolov5s,WebpLossy,T3,Letterbox
38,229,RSU-0002,Local,1769308226688410,1769308226694651,1769308226699719,1769308228028219,,1769308226764078,1769308228028219,,1769308228033663,1345253,1333568,,,,1264141,204998,17,yolov5s,WebpLossy,T3,Letterbox
41,247,RSU-0000,Local,1769308227292464,1769308227298950,1769308227304800,1769308228718161,,1769308227346358,1769308228718161,,1769308228719176,1426712,1419211,,,,1371803,204980,19,yolov5s,WebpLossy,T3,Letterbox
44,265,RSU-0002,Local,1769308227897997,1769308227903749,1769308227907295,1769308229292875,,1769308228028370,1769308229292874,,1769308229295298,1397301,1389126,,,,1264504,204802,19,yolov5s,WebpLossy,T3,Letterbox
43,259,RSU-0001,Local,1769308227696442,1769308227695816,1769308227701987,1769308229367974,,1769308227903131,1769308229367973,,1769308229379079,1682637,1672158,,,,1464842,205406,19,yolov5s,WebpLossy,T3,Letterbox
47,283,RSU-0000,Local,1769308228502562,1769308228508999,1769308228529098,1769308230094904,,1769308228718292,1769308230094903,,1769308230098431,1595869,1585905,,,,1376611,204922,16,yolov5s,WebpLossy,T3,Letterbox
