sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769322539851007,1769322539842138,1769322539842405,1769322539842405,1769322539889961,1769322539889962,1769322540630198,1769322540630198,1769322540635054,784047,267,43537,740237,6,740236,137185,17,yolov5m,JpgLossy,T1,FHD
0,1,RSU-0002,Offload,1769322539851008,1769322539853021,1769322539853281,1769322539853281,1769322540630487,1769322540630488,1769322541386891,1769322541386891,1769322541391332,1540324,260,783654,756404,6,756403,137185,17,yolov5m,JpgLossy,T1,FHD
1,31,RSU-0000,Offload,1769322540852428,1769322540845821,1769322540845992,1769322540845993,1769322541386936,1769322541386936,1769322542138913,1769322542138913,1769322542143325,1290897,172,36765,751977,501983,751977,65476,19,yolov5m,JpgLossy,T1,FHD
1,31,RSU-0001,Offload,1769322540852443,1769322540863531,1769322540863722,1769322540863722,1769322542138946,1769322542138947,1769322542895059,1769322542895059,1769322542899493,2047050,191,24917,756113,1265829,756112,65476,19,yolov5m,JpgLossy,T1,FHD
1,31,RSU-0002,Offload,1769322540852444,1769322540857046,1769322540857213,1769322540857213,1769322542895097,1769322542895097,1769322543647145,1769322543647146,1769322543651580,2799136,167,36629,752049,2010291,752048,65476,19,yolov5m,JpgLossy,T1,FHD
3,91,RSU-0000,Offload,1769322542856502,1769322542849898,1769322542850098,1769322542850098,1769322543647191,1769322543647192,1769322544403731,1769322544403731,1769322544408391,1551889,200,28124,756540,767025,756539,66924,23,yolov5m,JpgLossy,T1,FHD
3,91,RSU-0001,Offload,1769322542856521,1769322542866373,1769322542866561,1769322542866561,1769322544403765,1769322544403765,1769322545160308,1769322545160308,1769322545164703,2308182,188,34295,756543,1517156,756543,66924,23,yolov5m,JpgLossy,T1,FHD
3,91,RSU-0002,Offload,1769322542856523,1769322542862657,1769322542862819,1769322542862819,1769322545160343,1769322545160343,1769322545926082,1769322545926082,1769322545930343,3073820,162,33977,765739,2273942,765739,66924,23,yolov5m,JpgLossy,T1,FHD
6,181,RSU-0000,Offload,1769322545860990,1769322545856106,1769322545856321,1769322545856321,1769322545926124,1769322545926125,1769322546684054,1769322546684054,1769322546688499,827509,215,35727,757930,33637,757929,66515,23,yolov5m,JpgLossy,T1,FHD
6,181,RSU-0001,Offload,1769322545861005,1769322545871108,1769322545871269,1769322545871270,1769322546684092,1769322546684092,1769322547444012,1769322547444012,1769322547448566,1587561,162,31177,759920,796302,759920,66515,23,yolov5m,JpgLossy,T1,FHD
6,181,RSU-0002,Offload,1769322545861006,1769322545864616,1769322545864808,1769322545864808,1769322547444045,1769322547444046,1769322548204232,1769322548204232,1769322548208629,2347623,192,30548,760187,1556696,760186,66515,23,yolov5m,JpgLossy,T1,FHD
8,241,RSU-0000,Offload,1769322547863428,1769322547859229,1769322547859436,1769322547859437,1769322548204280,1769322548204281,1769322548964998,1769322548964998,1769322548969463,1106035,208,34975,760718,310134,760717,66824,24,yolov5m,JpgLossy,T1,FHD
8,241,RSU-0001,Offload,1769322547863454,1769322547872223,1769322547872420,1769322547872420,1769322548965031,1769322548965031,1769322549724222,1769322549724222,1769322549728343,1864889,197,29233,759191,1076268,759191,66824,24,yolov5m,JpgLossy,T1,FHD
8,241,RSU-0002,Offload,1769322547863455,1769322547868353,1769322547868518,1769322547868518,1769322549724255,1769322549724255,1769322550484011,1769322550484012,1769322550488485,2625030,165,30029,759757,1835079,759756,66824,24,yolov5m,JpgLossy,T1,FHD
10,301,RSU-0000,Offload,1769322549866007,1769322549861356,1769322549861543,1769322549861543,1769322550484050,1769322550484050,1769322551245196,1769322551245196,1769322551249689,1383682,187,35228,761146,587121,761146,66315,20,yolov5m,JpgLossy,T1,FHD
10,301,RSU-0001,Offload,1769322549866021,1769322549875194,1769322549875388,1769322549875388,1769322551245231,1769322551245231,1769322552006004,1769322552006004,1769322552010481,2144460,194,34910,760773,1348583,760773,66315,20,yolov5m,JpgLossy,T1,FHD
10,301,RSU-0002,Offload,1769322549866022,1769322549874524,1769322549874712,1769322549874713,1769322552006038,1769322552006039,1769322552767816,1769322552767816,1769322552772177,2906155,189,35098,761778,2109090,761777,66315,20,yolov5m,JpgLossy,T1,FHD
12,361,RSU-0000,Offload,1769322551868990,1769322551862259,1769322551862463,1769322551862463,1769322552767861,1769322552767861,1769322553530587,1769322553530588,1769322553534914,1665924,204,27856,762727,875137,762726,65975,20,yolov5m,JpgLossy,T1,FHD
12,361,RSU-0001,Offload,1769322551869004,1769322551878888,1769322551879085,1769322551879085,1769322553530624,1769322553530624,1769322554293758,1769322554293758,1769322554298027,2429023,197,27465,763134,1638227,763134,65975,20,yolov5m,JpgLossy,T1,FHD
