sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769337273905089,1769337273909572,1769337273909770,1769337273909771,1769337274028015,1769337274028015,1769337274751017,1769337274751017,1769337274749048,843959,199,120748,723002,10,723002,84671,19,yolov5m,JpgLossy,T2,HD
0,1,RSU-0002,Offload,1769337273905089,1769337273907418,1769337273907620,1769337273907620,1769337274751252,1769337274751252,1769337275548109,1769337275548109,1769337275545272,1640183,202,843098,796857,26,796857,84671,19,yolov5m,JpgLossy,T2,HD
23,47,RSU-0000,Offload,1769337275471488,1769337275476117,1769337275476322,1769337275476323,1769337275548173,1769337275548174,1769337276301893,1769337276301893,1769337276302853,831365,206,21170,753720,56269,753719,76697,23,yolov5m,JpgLossy,T2,HD
23,47,RSU-0001,Offload,1769337275471512,1769337275474985,1769337275475195,1769337275475195,1769337276301930,1769337276301930,1769337277059189,1769337277059189,1769337277057594,1586082,210,25583,757259,803030,757259,76697,23,yolov5m,JpgLossy,T2,HD
23,47,RSU-0002,Offload,1769337275471514,1769337275475255,1769337275475465,1769337275475465,1769337277059214,1769337277059215,1769337277818983,1769337277818984,1769337277816136,2344622,210,17558,759770,1567084,759768,76697,23,yolov5m,JpgLossy,T2,HD
57,115,RSU-0000,Offload,1769337277782477,1769337277788133,1769337277788338,1769337277788338,1769337277819024,1769337277819024,1769337278577845,1769337278577845,1769337278574690,792213,205,21987,758821,11200,758821,77815,24,yolov5m,JpgLossy,T2,HD
57,115,RSU-0001,Offload,1769337277782488,1769337277784453,1769337277784659,1769337277784659,1769337278577878,1769337278577879,1769337279338517,1769337279338517,1769337279335516,1553028,206,20165,760639,772018,760638,77815,24,yolov5m,JpgLossy,T2,HD
57,115,RSU-0002,Offload,1769337277782489,1769337277786725,1769337277786936,1769337277786936,1769337279338554,1769337279338554,1769337280099943,1769337280099943,1769337280096808,2314319,211,16744,761389,1535975,761389,77815,24,yolov5m,JpgLossy,T2,HD
90,181,RSU-0000,Offload,1769337280028304,1769337280035976,1769337280036192,1769337280036192,1769337280099989,1769337280099989,1769337280860343,1769337280860343,1769337280864822,836518,216,30215,760354,45733,760354,77102,24,yolov5m,JpgLossy,T2,HD
90,181,RSU-0001,Offload,1769337280028318,1769337280031002,1769337280031204,1769337280031204,1769337280860381,1769337280860381,1769337281622932,1769337281622932,1769337281620043,1591725,202,22970,762551,806002,762551,77102,24,yolov5m,JpgLossy,T2,HD
90,181,RSU-0002,Offload,1769337280028319,1769337280031777,1769337280031984,1769337280031985,1769337281622969,1769337281622969,1769337282384804,1769337282384804,1769337282381776,2353457,208,21544,761835,1569870,761835,77102,24,yolov5m,JpgLossy,T2,HD
124,249,RSU-0000,Offload,1769337282339984,1769337282348017,1769337282348233,1769337282348233,1769337282384839,1769337282384839,1769337283150527,1769337283150527,1769337283147683,807699,216,21604,765688,20191,765688,77534,24,yolov5m,JpgLossy,T2,HD
124,249,RSU-0001,Offload,1769337282340000,1769337282343895,1769337282344112,1769337282344112,1769337283150563,1769337283150564,1769337283917337,1769337283917337,1769337283916347,1576347,217,26391,766774,782965,766773,77534,24,yolov5m,JpgLossy,T2,HD
124,249,RSU-0002,Offload,1769337282340001,1769337282343129,1769337282343335,1769337282343335,1769337283917370,1769337283917370,1769337284699189,1769337284699189,1769337284696044,2356043,206,20464,781819,1553554,781819,77534,24,yolov5m,JpgLossy,T2,HD
158,317,RSU-0000,Offload,1769337284652337,1769337284660282,1769337284660485,1769337284660485,1769337284699230,1769337284699230,1769337285463746,1769337285463746,1769337285460741,808404,203,21781,764516,21904,764516,76735,21,yolov5m,JpgLossy,T2,HD
158,317,RSU-0001,Offload,1769337284652352,1769337284654796,1769337284655008,1769337284655008,1769337285463780,1769337285463780,1769337286229539,1769337286229539,1769337286233380,1581028,212,28427,765759,786630,765759,76735,21,yolov5m,JpgLossy,T2,HD
158,317,RSU-0002,Offload,1769337284652353,1769337284655457,1769337284655665,1769337284655665,1769337286229575,1769337286229575,1769337286993722,1769337286993722,1769337286990618,2338265,208,22694,764147,1551216,764147,76735,21,yolov5m,JpgLossy,T2,HD
192,385,RSU-0000,Offload,1769337286964022,1769337286971332,1769337286971523,1769337286971523,1769337286993769,1769337286993769,1769337287758310,1769337287758310,1769337287755414,791392,191,24995,764541,1665,764541,76377,22,yolov5m,JpgLossy,T2,HD
192,385,RSU-0001,Offload,1769337286964036,1769337286969186,1769337286969384,1769337286969384,1769337287758343,1769337287758343,1769337288524340,1769337288524340,1769337288521386,1557350,198,24068,765997,767087,765997,76377,22,yolov5m,JpgLossy,T2,HD
192,385,RSU-0002,Offload,1769337286964036,1769337286967156,1769337286967341,1769337286967341,1769337288524377,1769337288524377,1769337289290865,1769337289290865,1769337289295337,2331301,185,31750,766488,1532878,766488,76377,22,yolov5m,JpgLossy,T2,HD
225,451,RSU-0000,Offload,1769337289205156,1769337289212019,1769337289212229,1769337289212230,1769337289290904,1769337289290905,1769337290057309,1769337290057309,1769337290054575,849419,211,21247,766405,61556,766404,76625,21,yolov5m,JpgLossy,T2,HD
225,451,RSU-0001,Offload,1769337289205179,1769337289207203,1769337289207415,1769337289207415,1769337290057343,1769337290057343,1769337290823478,1769337290823478,1769337290820550,1615371,212,20683,766135,828341,766135,76625,21,yolov5m,JpgLossy,T2,HD
225,451,RSU-0002,Offload,1769337289205180,1769337289208138,1769337289208354,1769337289208354,1769337290823511,1769337290823511,1769337291590972,1769337291590972,1769337291589243,2384063,216,24366,767461,1592020,767461,76625,21,yolov5m,JpgLossy,T2,HD
259,519,RSU-0000,Offload,1769337291517991,1769337291524017,1769337291524218,1769337291524219,1769337291591011,1769337291591011,1769337292359144,1769337292359144,1769337292356365,838374,202,28163,768133,41876,768133,76784,21,yolov5m,JpgLossy,T2,HD
259,519,RSU-0001,Offload,1769337291518007,1769337291522122,1769337291522315,1769337291522315,1769337292359178,1769337292359178,1769337293123279,1769337293123279,1769337293120291,1602284,193,16612,764101,821378,764101,76784,21,yolov5m,JpgLossy,T2,HD
259,519,RSU-0002,Offload,1769337291518009,1769337291521868,1769337291522049,1769337291522049,1769337293123314,1769337293123315,1769337293889156,1769337293889156,1769337293886285,2368276,181,23515,765842,1578738,765841,76784,21,yolov5m,JpgLossy,T2,HD
293,587,RSU-0000,Offload,1769337293830454,1769337293837200,1769337293837415,1769337293837415,1769337293889201,1769337293889201,1769337294656606,1769337294656606,1769337294664428,833974,215,31894,767405,34460,767405,76616,19,yolov5m,JpgLossy,T2,HD
293,587,RSU-0001,Offload,1769337293830469,1769337293833254,1769337293833459,1769337293833459,1769337294656641,1769337294656641,1769337295423444,1769337295423444,1769337295420748,1590279,205,26542,766803,796729,766803,76616,19,yolov5m,JpgLossy,T2,HD
293,587,RSU-0002,Offload,1769337293830469,1769337293832924,1769337293833122,1769337293833122,1769337295423482,1769337295423482,1769337296191202,1769337296191202,1769337296188201,2357732,198,21225,767720,1568589,767720,76616,19,yolov5m,JpgLossy,T2,HD
327,655,RSU-0000,Offload,1769337296142310,1769337296147607,1769337296147838,1769337296147839,1769337296191246,1769337296191246,1769337296958729,1769337296958730,1769337296955823,813513,232,25004,767484,20793,767483,78492,25,yolov5m,JpgLossy,T2,HD
327,655,RSU-0001,Offload,1769337296142326,1769337296144591,1769337296144795,1769337296144795,1769337296958759,1769337296958759,1769337297725102,1769337297725102,1769337297729780,1587454,204,32360,766343,788547,766343,78492,25,yolov5m,JpgLossy,T2,HD
327,655,RSU-0002,Offload,1769337296142327,1769337296146450,1769337296146652,1769337296146652,1769337297725140,1769337297725141,1769337298494314,1769337298494314,1769337298491355,2349028,202,20116,769174,1559536,769173,78492,25,yolov5m,JpgLossy,T2,HD
361,723,RSU-0000,Offload,1769337298456324,1769337298461647,1769337298461864,1769337298461864,1769337298494360,1769337298494360,1769337299260133,1769337299260133,1769337299257202,800878,217,23150,765773,11738,765773,78333,26,yolov5m,JpgLossy,T2,HD
361,723,RSU-0001,Offload,1769337298456339,1769337298458815,1769337298459030,1769337298459030,1769337299260172,1769337299260172,1769337300028671,1769337300028671,1769337300026311,1569972,215,25266,768499,775992,768499,78333,26,yolov5m,JpgLossy,T2,HD
361,723,RSU-0002,Offload,1769337298456340,1769337298460202,1769337298460428,1769337298460428,1769337300028710,1769337300028710,1769337300849887,1769337300849887,1769337300847263,2390923,226,23708,821177,1545812,821177,78333,26,yolov5m,JpgLossy,T2,HD
395,791,RSU-0000,Offload,1769337300769766,1769337300774574,1769337300774784,1769337300774785,1769337300849937,1769337300849937,1769337301649209,1769337301649209,1769337301646169,876403,211,24241,799272,52679,799272,79177,23,yolov5m,JpgLossy,T2,HD
395,791,RSU-0001,Offload,1769337300769784,1769337300772038,1769337300772248,1769337300772248,1769337301649245,1769337301649245,1769337302439359,1769337302439359,1769337302436488,1666704,210,21575,790114,854805,790114,79177,23,yolov5m,JpgLossy,T2,HD
395,791,RSU-0002,Offload,1769337300769785,1769337300773020,1769337300773223,1769337300773223,1769337302439400,1769337302439400,1769337303204762,1769337303204762,1769337303201980,2432195,203,21941,765362,1644689,765362,79177,23,yolov5m,JpgLossy,T2,HD
430,861,RSU-0000,Offload,1769337303152553,1769337303160583,1769337303160804,1769337303160804,1769337303204811,1769337303204811,1769337303968589,1769337303968589,1769337303965633,813080,221,24467,763778,24614,763778,80101,22,yolov5m,JpgLossy,T2,HD
