sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769323252765012,1769323252764194,1769323252764335,1769323252764335,1769323252863082,1769323252863083,1769323253566553,1769323253566553,1769323253571173,806161,141,102542,703471,7,703470,28714,17,yolov5m,JpgLossy,T2,Letterbox
0,1,RSU-0001,Offload,1769323252765012,1769323252771938,1769323252772076,1769323252772077,1769323253566685,1769323253566685,1769323254299772,1769323254299772,1769323254303276,1538264,139,805031,733087,7,733087,28714,17,yolov5m,JpgLossy,T2,Letterbox
1,31,RSU-0000,Offload,1769323253765822,1769323253766675,1769323253766819,1769323253766819,1769323254299809,1769323254299809,1769323255029137,1769323255029137,1769323255032324,1266502,144,125924,729328,411106,729328,27529,17,yolov5m,JpgLossy,T2,Letterbox
1,31,RSU-0001,Offload,1769323253765841,1769323253774931,1769323253775056,1769323253775057,1769323255029172,1769323255029172,1769323255758094,1769323255758094,1769323255761493,1995652,126,127977,728922,1138627,728922,27529,17,yolov5m,JpgLossy,T2,Letterbox
1,31,RSU-0002,Offload,1769323253765841,1769323253772879,1769323253773023,1769323253773023,1769323255758127,1769323255758128,1769323256488787,1769323256488787,1769323256492265,2726424,144,128259,730660,1867361,730659,27529,17,yolov5m,JpgLossy,T2,Letterbox
3,91,RSU-0000,Offload,1769323255767844,1769323255771385,1769323255771533,1769323255771533,1769323256488823,1769323256488824,1769323257219049,1769323257219049,1769323257222538,1454694,148,28726,730226,695594,730225,28009,22,yolov5m,JpgLossy,T2,Letterbox
3,91,RSU-0001,Offload,1769323255767859,1769323255776151,1769323255776295,1769323255776295,1769323257219082,1769323257219082,1769323257950672,1769323257950672,1769323257954112,2186253,144,18508,731590,1436011,731590,28009,22,yolov5m,JpgLossy,T2,Letterbox
3,91,RSU-0002,Offload,1769323255767860,1769323255773893,1769323255774038,1769323255774039,1769323257950706,1769323257950707,1769323258682919,1769323258682919,1769323258686134,2918274,146,21626,732213,2164289,732212,28009,22,yolov5m,JpgLossy,T2,Letterbox
5,151,RSU-0000,Offload,1769323257770916,1769323257773883,1769323257774022,1769323257774022,1769323258682955,1769323258682955,1769323259416690,1769323259416690,1769323259420113,1649197,139,20338,733735,894985,733735,28072,22,yolov5m,JpgLossy,T2,Letterbox
5,151,RSU-0001,Offload,1769323257770935,1769323257779989,1769323257780141,1769323257780142,1769323259416726,1769323259416727,1769323260156323,1769323260156323,1769323260159944,2389009,153,19953,739597,1629306,739596,28072,22,yolov5m,JpgLossy,T2,Letterbox
