sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1769329434827706,1769329434829598,1769329434831953,1769329434831953,1769329435168558,1769329435168558,1769329435919387,1769329435919387,1769329435922336,1094630,2355,341329,750829,117,750829,1352865,17,yolov5m,PngLossless,T2,FHD
0,1,RSU-0002,Offload,1769329434827706,1769329434832111,1769329434833236,1769329434833236,1769329435922071,1769329435922071,1769329436756893,1769329436756894,1769329436780263,1952557,1125,1116444,834823,165,834822,1352865,17,yolov5m,PngLossless,T2,FHD
1,7,RSU-0000,Offload,1769329435029367,1769329435036799,1769329435037796,1769329435037797,1769329436756939,1769329436756939,1769329437593241,1769329437593241,1769329437628030,2598663,998,1616778,836302,144585,836302,1147699,18,yolov5m,PngLossless,T2,FHD
7,43,RSU-0001,Offload,1769329436237018,1769329436238189,1769329436239552,1769329436239553,1769329437593274,1769329437593275,1769329438427492,1769329438427492,1769329438445559,2208541,1364,492245,834218,880714,834217,794071,22,yolov5m,PngLossless,T2,FHD
5,31,RSU-0002,Offload,1769329435834604,1769329435838853,1769329435839510,1769329435839510,1769329438427521,1769329438427521,1769329439259995,1769329439259995,1769329439266859,3432255,657,902657,832474,1696467,832474,792254,19,yolov5m,PngLossless,T2,FHD
16,97,RSU-0000,Offload,1769329438050183,1769329438060569,1769329438061494,1769329438061494,1769329439260035,1769329439260035,1769329440092569,1769329440092569,1769329440205148,2154965,925,1266855,832534,54651,832534,809509,21,yolov5m,PngLossless,T2,FHD
21,127,RSU-0001,Offload,1769329439057677,1769329439065498,1769329439066129,1769329439066130,1769329440092600,1769329440092600,1769329440913627,1769329440913628,1769329440931616,1873939,632,173071,821028,879208,821027,825337,23,yolov5m,PngLossless,T2,FHD
21,127,RSU-0002,Offload,1769329439057678,1769329439065796,1769329439066536,1769329439066537,1769329440913669,1769329440913669,1769329441723447,1769329441723447,1769329441752244,2694566,741,159502,809778,1724545,809778,825337,23,yolov5m,PngLossless,T2,FHD
33,199,RSU-0000,Offload,1769329441474335,1769329441481392,1769329441482248,1769329441482248,1769329441723483,1769329441723483,1769329442534548,1769329442534549,1769329442648702,1174367,856,269071,811066,93374,811065,819808,23,yolov5m,PngLossless,T2,FHD
33,199,RSU-0001,Offload,1769329441474354,1769329441477367,1769329441477987,1769329441477987,1769329442534578,1769329442534578,1769329443350005,1769329443350005,1769329443407305,1932951,620,196688,815427,920216,815427,819808,23,yolov5m,PngLossless,T2,FHD
33,199,RSU-0002,Offload,1769329441474355,1769329441477833,1769329441478619,1769329441478620,1769329443350036,1769329443350036,1769329444164711,1769329444164711,1769329444264955,2790600,787,226435,814675,1748703,814675,819808,23,yolov5m,PngLossless,T2,FHD
45,271,RSU-0000,Offload,1769329443890759,1769329443893569,1769329443894300,1769329443894300,1769329444164754,1769329444164754,1769329444973835,1769329444973836,1769329445057775,1167016,731,236026,809082,121177,809081,828027,23,yolov5m,PngLossless,T2,FHD
45,271,RSU-0001,Offload,1769329443890778,1769329443890103,1769329443890826,1769329443890827,1769329444973868,1769329444973868,1769329445786028,1769329445786029,1769329445852465,1961687,724,222884,812161,925918,812160,828027,23,yolov5m,PngLossless,T2,FHD
45,271,RSU-0002,Offload,1769329443890779,1769329443891502,1769329443892255,1769329443892255,1769329445786080,1769329445786080,1769329446591479,1769329446591479,1769329446668305,2777526,753,222892,805399,1748482,805399,828027,23,yolov5m,PngLossless,T2,FHD
57,343,RSU-0000,Offload,1769329446306933,1769329446312337,1769329446313166,1769329446313166,1769329446591532,1769329446591532,1769329447396766,1769329447396766,1769329447467394,1160461,829,185971,805234,168427,805234,814058,19,yolov5m,PngLossless,T2,FHD
57,343,RSU-0001,Offload,1769329446306945,1769329446309299,1769329446309952,1769329446309953,1769329447396795,1769329447396795,1769329448202556,1769329448202556,1769329448272747,1965802,654,178210,805761,981177,805761,814058,19,yolov5m,PngLossless,T2,FHD
57,343,RSU-0002,Offload,1769329446306946,1769329446309786,1769329446310576,1769329446310576,1769329448202591,1769329448202591,1769329449011666,1769329449011667,1769329449078298,2771352,790,223168,809076,1738318,809075,814058,19,yolov5m,PngLossless,T2,FHD
69,415,RSU-0000,Offload,1769329448722995,1769329448725207,1769329448725999,1769329448726000,1769329449011712,1769329449011712,1769329449820105,1769329449820105,1769329449851360,1128365,793,173214,808393,145965,808393,805887,18,yolov5m,PngLossless,T2,FHD
69,415,RSU-0001,Offload,1769329448723004,1769329448722339,1769329448722987,1769329448722988,1769329449820133,1769329449820134,1769329450625957,1769329450625957,1769329450688406,1965402,649,159003,805824,999926,805823,805887,18,yolov5m,PngLossless,T2,FHD
69,415,RSU-0002,Offload,1769329448723005,1769329448725077,1769329448725892,1769329448725893,1769329450625985,1769329450625985,1769329451430466,1769329451430467,1769329451509747,2786742,816,210357,804482,1771087,804481,805887,18,yolov5m,PngLossless,T2,FHD
81,487,RSU-0000,Offload,1769329451140445,1769329451144854,1769329451145661,1769329451145662,1769329451430507,1769329451430508,1769329452236268,1769329452236268,1769329452303480,1163035,808,220624,805761,135842,805760,800572,19,yolov5m,PngLossless,T2,FHD
81,487,RSU-0001,Offload,1769329451140463,1769329451143509,1769329451144243,1769329451144243,1769329452236304,1769329452236304,1769329453044166,1769329453044166,1769329453102513,1962050,734,186096,807862,967358,807862,800572,19,yolov5m,PngLossless,T2,FHD
81,487,RSU-0002,Offload,1769329451140464,1769329451142499,1769329451143264,1769329451143265,1769329453044204,1769329453044204,1769329453854819,1769329453854819,1769329453907343,2766879,766,205300,810615,1750198,810615,800572,19,yolov5m,PngLossless,T2,FHD
93,559,RSU-0000,Offload,1769329453556014,1769329453562903,1769329453563665,1769329453563666,1769329453854859,1769329453854859,1769329454659819,1769329454659819,1769329454662828,1106814,763,156840,804960,144251,804960,802671,20,yolov5m,PngLossless,T2,FHD
