sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1769340265443413,1769340265453547,1769340265454238,1769340265454238,1769340265674427,1769340265674428,1769340266415291,1769340266415291,1769340266418060,974647,691,232983,740864,109,740863,860853,17,yolov5m,PngLossless,T2,HD
0,1,RSU-0000,Offload,1769340265443413,1769340265450054,1769340265450822,1769340265450822,1769340266418975,1769340266418975,1769340267238228,1769340267238228,1769340267290343,1846930,768,1025382,819253,1527,819253,860853,17,yolov5m,PngLossless,T2,HD
1,3,RSU-0001,Offload,1769340265511257,1769340265506565,1769340265507406,1769340265507406,1769340267238259,1769340267238259,1769340268058779,1769340268058779,1769340268099197,2587940,841,947162,820520,819417,820520,962753,17,yolov5m,PngLossless,T2,HD
1,3,RSU-0002,Offload,1769340265511258,1769340265525568,1769340265526547,1769340265526547,1769340268058809,1769340268058809,1769340268875775,1769340268875775,1769340268976009,3464751,979,1004710,816966,1642096,816966,962753,17,yolov5m,PngLossless,T2,HD
12,25,RSU-0000,Offload,1769340266258275,1769340266264927,1769340266265513,1769340266265513,1769340268875825,1769340268875825,1769340269691625,1769340269691625,1769340269825833,3567558,586,2660571,815800,90601,815800,634737,18,yolov5m,PngLossless,T2,HD
22,45,RSU-0001,Offload,1769340266939260,1769340266937338,1769340266937881,1769340266937882,1769340269691664,1769340269691664,1769340270506699,1769340270506700,1769340270722043,3782783,544,2113637,815036,853566,815035,642847,23,yolov5m,PngLossless,T2,HD
20,41,RSU-0002,Offload,1769340266802934,1769340266811535,1769340266812199,1769340266812200,1769340270506731,1769340270506731,1769340271316076,1769340271316076,1769340271542521,4739587,665,2250860,809345,1678717,809345,634135,22,yolov5m,PngLossless,T2,HD
26,53,RSU-0000,Offload,1769340267211545,1769340267227115,1769340267228379,1769340267228379,1769340271316114,1769340271316114,1769340272133332,1769340272133332,1769340272219662,5008117,1264,4070255,817218,119380,817218,643636,24,yolov5m,PngLossless,T2,HD
43,87,RSU-0001,Offload,1769340268368162,1769340268369087,1769340268369913,1769340268369914,1769340272133367,1769340272133368,1769340272952773,1769340272952773,1769340273086485,4718323,827,3063750,819406,834340,819405,653862,23,yolov5m,PngLossless,T2,HD
39,79,RSU-0002,Offload,1769340268095146,1769340268115568,1769340268116269,1769340268116269,1769340272952799,1769340272952799,1769340273771615,1769340273771615,1769340274092841,5997695,701,3518002,818816,1660176,818816,647903,22,yolov5m,PngLossless,T2,HD
43,87,RSU-0000,Offload,1769340268368146,1769340268376826,1769340268378017,1769340268378018,1769340273771666,1769340273771666,1769340274590154,1769340274590154,1769340274696382,6328236,1192,5445782,818488,62774,818488,653862,23,yolov5m,PngLossless,T2,HD
63,127,RSU-0001,Offload,1769340269730139,1769340269743892,1769340269744508,1769340269744508,1769340274590183,1769340274590183,1769340275408388,1769340275408389,1769340275606520,5876381,616,4205006,818206,852553,818205,656119,23,yolov5m,PngLossless,T2,HD
57,115,RSU-0002,Offload,1769340269321010,1769340269339800,1769340269340399,1769340269340399,1769340275408424,1769340275408424,1769340276216123,1769340276216123,1769340276518562,7197552,599,4723711,807699,1665543,807699,655239,24,yolov5m,PngLossless,T2,HD
60,121,RSU-0000,Offload,1769340269526122,1769340269535661,1769340269536214,1769340269536215,1769340276216153,1769340276216154,1769340277027291,1769340277027291,1769340277384539,7858417,554,7045952,811138,773,811137,651125,22,yolov5m,PngLossless,T2,HD
83,167,RSU-0001,Offload,1769340271089913,1769340271096791,1769340271098001,1769340271098001,1769340277027325,1769340277027325,1769340277846960,1769340277846960,1769340278097098,7007185,1210,5286541,819635,899799,819635,649744,23,yolov5m,PngLossless,T2,HD
74,149,RSU-0002,Offload,1769340270477319,1769340270498139,1769340270498775,1769340270498776,1769340277846988,1769340277846988,1769340278662417,1769340278662417,1769340279201229,8723910,637,6210131,815429,1697713,815429,659148,23,yolov5m,PngLossless,T2,HD
75,151,RSU-0000,Offload,1769340270544862,1769340270556411,1769340270557546,1769340270557546,1769340278662457,1769340278662457,1769340279473598,1769340279473598,1769340279616307,9071445,1135,8156494,811141,102675,811141,657687,24,yolov5m,PngLossless,T2,HD
101,203,RSU-0001,Offload,1769340272313883,1769340272316332,1769340272316926,1769340272316927,1769340279473632,1769340279473632,1769340280291565,1769340280291565,1769340280340489,8026606,595,6190557,817933,1017521,817933,651908,23,yolov5m,PngLossless,T2,HD
94,189,RSU-0002,Offload,1769340271837790,1769340271850939,1769340271852101,1769340271852101,1769340280291599,1769340280291599,1769340281112432,1769340281112432,1769340281551693,9713903,1162,7120924,820833,1770984,820833,652276,22,yolov5m,PngLossless,T2,HD
92,185,RSU-0000,Offload,1769340271702627,1769340271714058,1769340271714757,1769340271714758,1769340281112474,1769340281112474,1769340281918357,1769340281918357,1769340282565030,10862403,700,9943533,805883,112287,805883,645429,22,yolov5m,PngLossless,T2,HD
121,243,RSU-0001,Offload,1769340273678672,1769340273696543,1769340273697158,1769340273697158,1769340281918388,1769340281918389,1769340282709955,1769340282709955,1769340283328753,9650081,615,7941091,791567,916808,791566,651813,22,yolov5m,PngLossless,T2,HD
112,225,RSU-0002,Offload,1769340273064544,1769340273075708,1769340273076845,1769340273076846,1769340282709986,1769340282709986,1769340283516589,1769340283516589,1769340284110565,11046021,1138,8540255,806603,1698025,806603,648021,21,yolov5m,PngLossless,T2,HD
107,215,RSU-0000,Offload,1769340272723085,1769340272766926,1769340272767987,1769340272767988,1769340283516627,1769340283516627,1769340284323941,1769340284323941,1769340284766171,12043086,1062,11088909,807314,145801,807314,652923,22,yolov5m,PngLossless,T2,HD
136,273,RSU-0001,Offload,1769340274698760,1769340274717944,1769340274718535,1769340274718535,1769340284323972,1769340284323972,1769340285141919,1769340285141920,1769340285171877,10473117,591,8809857,817948,844721,817947,653983,22,yolov5m,PngLossless,T2,HD
125,251,RSU-0002,Offload,1769340273950674,1769340273964049,1769340273965124,1769340273965124,1769340285141948,1769340285141948,1769340285958921,1769340285958921,1769340286544553,12593879,1075,10030159,816973,1745672,816973,653499,21,yolov5m,PngLossless,T2,HD
124,249,RSU-0000,Offload,1769340273882060,1769340275213588,1769340275214633,1769340275214634,1769340285958964,1769340285958965,1769340286755534,1769340286755534,1769340287105117,13223057,1046,12186527,796570,238914,796569,648557,22,yolov5m,PngLossless,T2,HD
153,307,RSU-0001,Offload,1769340275855996,1769340276518383,1769340276519226,1769340276519227,1769340286755564,1769340286755564,1769340287571179,1769340287571179,1769340287950706,12094710,844,10474395,815615,803856,815615,645983,21,yolov5m,PngLossless,T2,HD
143,287,RSU-0002,Offload,1769340275175746,1769340275928073,1769340275928966,1769340275928967,1769340287571208,1769340287571208,1769340288392245,1769340288392245,1769340288626196,13450450,894,10925106,821037,1703413,821037,653006,20,yolov5m,PngLossless,T2,HD
144,289,RSU-0000,Offload,1769340275244349,1769340278578526,1769340278579593,1769340278579593,1769340288392278,1769340288392279,1769340289212739,1769340289212739,1769340289352808,14108459,1067,13216815,820461,70116,820460,649727,20,yolov5m,PngLossless,T2,HD
171,343,RSU-0001,Offload,1769340277079708,1769340278569455,1769340278570373,1769340278570374,1769340289212769,1769340289212769,1769340289998158,1769340289998158,1769340291059369,13979661,919,12333061,785389,860292,785389,644610,21,yolov5m,PngLossless,T2,HD
158,317,RSU-0002,Offload,1769340276195782,1769340277940255,1769340277941157,1769340277941158,1769340289998189,1769340289998189,1769340290734467,1769340290734467,1769340291059406,14863624,903,12004955,736278,2121488,736278,645882,21,yolov5m,PngLossless,T2,HD
158,317,RSU-0000,Offload,1769340276195759,1769340280397002,1769340280397654,1769340280397655,1769340290734509,1769340290734509,1769340291525697,1769340291525697,1769340292585409,16389650,653,14798366,791188,799443,791188,645882,21,yolov5m,PngLossless,T2,HD
182,365,RSU-0001,Offload,1769340277825854,1769340280267345,1769340280268297,1769340280268298,1769340291525728,1769340291525728,1769340292290265,1769340292290265,1769340293024658,15198804,953,12684840,764537,1748474,764537,645002,18,yolov5m,PngLossless,T2,HD
167,335,RSU-0002,Offload,1769340276808475,1769340279243770,1769340279244857,1769340279244857,1769340292290302,1769340292290302,1769340293079543,1769340293079544,1769340293355313,16546838,1087,13241607,789242,2514902,789241,647695,19,yolov5m,PngLossless,T2,HD
168,337,RSU-0000,Offload,1769340276875993,1769340282371742,1769340282372907,1769340282372907,1769340293079584,1769340293079584,1769340293869017,1769340293869017,1769340294353799,17477806,1165,16505411,789433,181797,789433,643277,19,yolov5m,PngLossless,T2,HD
194,389,RSU-0001,Offload,1769340278642835,1769340281590441,1769340281591390,1769340281591390,1769340293869060,1769340293869061,1769340294659058,1769340294659058,1769340295208580,16565745,949,14795595,789998,979203,789997,641710,19,yolov5m,PngLossless,T2,HD
179,359,RSU-0002,Offload,1769340277622470,1769340280914307,1769340280915259,1769340280915259,1769340294659086,1769340294659086,1769340295444603,1769340295444603,1769340296178619,18556149,952,16092162,785517,1677518,785517,646486,19,yolov5m,PngLossless,T2,HD
186,373,RSU-0000,Offload,1769340278098318,1769340285167868,1769340285168865,1769340285168865,1769340295444640,1769340295444640,1769340296218222,1769340296218222,1769340296227968,18129650,997,17350026,773582,5045,773582,642903,19,yolov5m,PngLossless,T2,HD
212,425,RSU-0001,Offload,1769340279869549,1769340284740604,1769340284741483,1769340284741483,1769340296218253,1769340296218253,1769340297003873,1769340297003873,1769340297070002,17200453,879,15636971,785620,776983,785620,634597,20,yolov5m,PngLossless,T2,HD
194,389,RSU-0002,Offload,1769340278642836,1769340283544808,1769340283545908,1769340283545908,1769340297003901,1769340297003902,1769340297787220,1769340297787221,1769340298246457,19603621,1100,16898790,783320,1920411,783318,641710,19,yolov5m,PngLossless,T2,HD
198,397,RSU-0000,Offload,1769340278915951,1769340286669648,1769340286670399,1769340286670400,1769340297787256,1769340297787256,1769340298578351,1769340298578351,1769340298967883,20051932,752,19109086,791095,150999,791095,641785,17,yolov5m,PngLossless,T2,HD
225,451,RSU-0001,Offload,1769340280752785,1769340286609169,1769340286609956,1769340286609958,1769340298578383,1769340298578383,1769340299373049,1769340299373049,1769340299579262,18826477,789,17100077,794666,930945,794666,641009,21,yolov5m,PngLossless,T2,HD
