sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769329717454511,1769329717458485,1769329717458764,1769329717458764,1769329717607690,1769329717607690,1769329718324164,1769329718324164,1769329718327158,872647,279,155887,716474,7,716474,289689,17,yolov5m,PngLossless,T2,Letterbox
3,19,RSU-0000,Offload,1769329718058862,1769329718064678,1769329718064976,1769329718064977,1769329718326047,1769329718326047,1769329719092554,1769329719092554,1769329719097427,1038565,299,271749,766507,10,766507,265635,16,yolov5m,PngLossless,T2,Letterbox
0,1,RSU-0001,Offload,1769329717454512,1769329717455684,1769329717456015,1769329717456015,1769329719092592,1769329719092592,1769329719831627,1769329719831627,1769329719835004,2380492,331,873667,739035,767459,739035,289689,17,yolov5m,PngLossless,T2,Letterbox
0,1,RSU-0002,Offload,1769329717454512,1769329717458831,1769329717459123,1769329717459123,1769329719831677,1769329719831677,1769329720577792,1769329720577792,1769329720580636,3126124,292,873054,746115,1506663,746115,289689,17,yolov5m,PngLossless,T2,Letterbox
15,91,RSU-0000,Offload,1769329720479601,1769329720485116,1769329720485444,1769329720485444,1769329720577826,1769329720577826,1769329721317488,1769329721317488,1769329721332514,852913,328,68740,739662,44183,739662,271917,21,yolov5m,PngLossless,T2,Letterbox
15,91,RSU-0001,Offload,1769329720479618,1769329720484023,1769329720484295,1769329720484295,1769329721317524,1769329721317524,1769329722059157,1769329722059157,1769329722062206,1582588,272,69949,741633,770734,741633,271917,21,yolov5m,PngLossless,T2,Letterbox
15,91,RSU-0002,Offload,1769329720479619,1769329720483670,1769329720483984,1769329720483984,1769329722059192,1769329722059192,1769329722804345,1769329722804345,1769329722807340,2327721,314,64771,745153,1517483,745153,271917,21,yolov5m,PngLossless,T2,Letterbox
26,157,RSU-0000,Offload,1769329722696459,1769329722700928,1769329722701267,1769329722701267,1769329722804386,1769329722804386,1769329723549441,1769329723549441,1769329723559272,862813,339,68333,745055,49086,745055,269646,22,yolov5m,PngLossless,T2,Letterbox
26,157,RSU-0001,Offload,1769329722696478,1769329722699807,1769329722700144,1769329722700145,1769329723549472,1769329723549472,1769329724290885,1769329724290886,1769329724293969,1597491,338,53269,741414,802470,741413,269646,22,yolov5m,PngLossless,T2,Letterbox
26,157,RSU-0002,Offload,1769329722696479,1769329722702085,1769329722702429,1769329722702429,1769329724290919,1769329724290920,1769329725036781,1769329725036781,1769329725039781,2343302,344,61967,745862,1535129,745861,269646,22,yolov5m,PngLossless,T2,Letterbox
