sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1769332852517504,1769332852520852,1769332852521301,1769332852521301,1769332852855611,1769332852855611,1769332853597343,1769332853597343,1769332853612950,1095446,449,353224,741732,41,741732,519002,17,yolov5m,WebpLossy,T2,HD
0,1,RSU-0000,Offload,1769332852517503,1769332852521251,1769332852521716,1769332852521716,1769332853598152,1769332853598152,1769332854401240,1769332854401240,1769332854517628,2000125,465,1196472,803088,100,803088,519002,17,yolov5m,WebpLossy,T2,HD
5,16,RSU-0000,Offload,1769332853023639,1769332853024400,1769332853024770,1769332853024770,1769332854401274,1769332854401274,1769332855190462,1769332855190462,1769332855229555,2205916,370,1313730,789188,102628,789188,385276,17,yolov5m,WebpLossy,T2,HD
5,16,RSU-0001,Offload,1769332853023655,1769332853026982,1769332853027522,1769332853027522,1769332855190491,1769332855190491,1769332855973273,1769332855973274,1769332856047336,3023681,540,1379031,782783,861327,782782,385276,17,yolov5m,WebpLossy,T2,HD
7,22,RSU-0002,Offload,1769332853227073,1769332853229745,1769332853230075,1769332853230076,1769332855973304,1769332855973304,1769332856767146,1769332856767146,1769332856788481,3561408,331,1106416,793842,1660819,793842,383184,17,yolov5m,WebpLossy,T2,HD
24,73,RSU-0000,Offload,1769332854949345,1769332854953479,1769332854953904,1769332854953905,1769332856767193,1769332856767193,1769332857563214,1769332857563215,1769332857698132,2748787,426,1870914,796022,81425,796021,385936,24,yolov5m,WebpLossy,T2,HD
24,73,RSU-0001,Offload,1769332854949361,1769332854953061,1769332854953429,1769332854953430,1769332857563250,1769332857563250,1769332858362647,1769332858362647,1769332858552497,3603136,369,2001550,799397,801820,799397,385936,24,yolov5m,WebpLossy,T2,HD
30,91,RSU-0002,Offload,1769332855556510,1769332855559549,1769332855559910,1769332855559910,1769332858362689,1769332858362689,1769332859163163,1769332859163164,1769332859367363,3810853,361,1407678,800475,1602339,800474,392658,23,yolov5m,WebpLossy,T2,HD
43,130,RSU-0000,Offload,1769332856873995,1769332856938920,1769332856939296,1769332856939296,1769332859163210,1769332859163210,1769332859963483,1769332859963483,1769332860067597,3193602,376,2321139,800273,71814,800273,392496,23,yolov5m,WebpLossy,T2,HD
50,151,RSU-0001,Offload,1769332857583618,1769332857591605,1769332857592013,1769332857592014,1769332859963512,1769332859963513,1769332860774686,1769332860774687,1769332860884263,3300645,409,1681499,811175,807562,811173,395392,24,yolov5m,WebpLossy,T2,HD
55,166,RSU-0002,Offload,1769332858091150,1769332858093525,1769332858093929,1769332858093929,1769332860774718,1769332860774718,1769332861595089,1769332861595089,1769332861674351,3583201,404,1110132,820371,1652294,820371,391254,21,yolov5m,WebpLossy,T2,HD
62,187,RSU-0000,Offload,1769332858799035,1769332858806662,1769332858807113,1769332858807113,1769332861595128,1769332861595128,1769332862420962,1769332862420962,1769332862731933,3932898,451,3087415,825834,19198,825834,389534,21,yolov5m,WebpLossy,T2,HD
78,235,RSU-0001,Offload,1769332860421124,1769332860425286,1769332860425673,1769332860425674,1769332862420990,1769332862420990,1769332863246508,1769332863246508,1769332863579103,3157979,388,1401851,825518,930222,825518,391746,23,yolov5m,WebpLossy,T2,HD
84,253,RSU-0002,Offload,1769332861028488,1769332861045091,1769332861045447,1769332861045447,1769332863246541,1769332863246541,1769332864074595,1769332864074596,1769332864241404,3212916,356,726302,828055,1658203,828054,392658,22,yolov5m,WebpLossy,T2,HD
85,256,RSU-0000,Offload,1769332861130147,1769332861140675,1769332861141080,1769332861141080,1769332864074632,1769332864074632,1769332864905907,1769332864905907,1769332865040297,3910150,405,2987311,831275,91159,831275,393714,20,yolov5m,WebpLossy,T2,HD
111,334,RSU-0001,Offload,1769332863764260,1769332863776133,1769332863776545,1769332863776546,1769332864905938,1769332864905938,1769332865739739,1769332865739740,1769332865795158,2030898,413,324472,833802,872211,833801,387958,20,yolov5m,WebpLossy,T2,HD
113,340,RSU-0002,Offload,1769332863967204,1769332863976312,1769332863976734,1769332863976734,1769332865739775,1769332865739775,1769332866568975,1769332866568975,1769332866596456,2629252,422,125412,829200,1674218,829200,387104,19,yolov5m,WebpLossy,T2,HD
130,391,RSU-0000,Offload,1769332865689478,1769332865695184,1769332865695729,1769332865695730,1769332866569013,1769332866569014,1769332867401095,1769332867401095,1769332867516486,1827008,546,946583,832082,47797,832081,386370,20,yolov5m,WebpLossy,T2,HD
137,412,RSU-0001,Offload,1769332866400082,1769332866411535,1769332866411953,1769332866411954,1769332867401124,1769332867401124,1769332868212366,1769332868212366,1769332868228292,1828210,419,109810,811242,906739,811242,387442,20,yolov5m,WebpLossy,T2,HD
137,412,RSU-0002,Offload,1769332866400083,1769332866412257,1769332866412655,1769332866412656,1769332868212395,1769332868212395,1769332869018533,1769332869018533,1769332869034265,2634182,399,112392,806138,1715253,806138,387442,20,yolov5m,WebpLossy,T2,HD
162,487,RSU-0000,Offload,1769332868933452,1769332868935540,1769332868935959,1769332868935959,1769332869018566,1769332869018566,1769332869828049,1769332869828049,1769332869843737,910285,419,73059,809483,27324,809483,386758,19,yolov5m,WebpLossy,T2,HD
162,487,RSU-0001,Offload,1769332868933478,1769332868932589,1769332868932955,1769332868932955,1769332869828077,1769332869828077,1769332870636002,1769332870636002,1769332870651772,1718294,366,59564,807925,850439,807925,386758,19,yolov5m,WebpLossy,T2,HD
162,487,RSU-0002,Offload,1769332868933480,1769332868935168,1769332868935547,1769332868935547,1769332870636032,1769332870636032,1769332871444175,1769332871444175,1769332871459858,2526378,379,74269,808143,1643587,808143,386758,19,yolov5m,WebpLossy,T2,HD
186,559,RSU-0000,Offload,1769332871365915,1769332871367038,1769332871367436,1769332871367437,1769332871444209,1769332871444209,1769332872252840,1769332872252841,1769332872268459,902544,399,69756,808632,23757,808631,387472,20,yolov5m,WebpLossy,T2,HD
186,559,RSU-0001,Offload,1769332871365931,1769332871364096,1769332871364490,1769332871364490,1769332872252868,1769332872252868,1769332873065382,1769332873065382,1769332873081025,1715094,394,58986,812514,843200,812514,387472,20,yolov5m,WebpLossy,T2,HD
186,559,RSU-0002,Offload,1769332871365932,1769332871369430,1769332871369838,1769332871369838,1769332873065413,1769332873065414,1769332873874047,1769332873874047,1769332873890931,2524999,408,78113,808634,1637844,808633,387472,20,yolov5m,WebpLossy,T2,HD
210,631,RSU-0000,Offload,1769332873798150,1769332873800593,1769332873801014,1769332873801014,1769332873874085,1769332873874085,1769332874690426,1769332874690426,1769332874705982,907832,421,77577,816341,13493,816341,396010,23,yolov5m,WebpLossy,T2,HD
210,631,RSU-0001,Offload,1769332873798164,1769332873796393,1769332873796742,1769332873796742,1769332874690458,1769332874690459,1769332875504525,1769332875504525,1769332875520285,1722121,349,40094,814067,867611,814066,396010,23,yolov5m,WebpLossy,T2,HD
210,631,RSU-0002,Offload,1769332873798164,1769332873801226,1769332873801636,1769332873801636,1769332875504553,1769332875504554,1769332876313344,1769332876313344,1769332876330485,2532321,410,79757,808791,1643363,808790,396010,23,yolov5m,WebpLossy,T2,HD
234,703,RSU-0000,Offload,1769332876233329,1769332876235261,1769332876235661,1769332876235661,1769332876313383,1769332876313384,1769332877124854,1769332877124854,1769332877140557,907228,400,76567,811471,18790,811470,399076,25,yolov5m,WebpLossy,T2,HD
234,703,RSU-0001,Offload,1769332876233338,1769332876235262,1769332876235653,1769332876235653,1769332877124884,1769332877124885,1769332877941887,1769332877941887,1769332877957559,1724221,391,73245,817003,833582,817002,399076,25,yolov5m,WebpLossy,T2,HD
234,703,RSU-0002,Offload,1769332876233339,1769332876238551,1769332876238953,1769332876238953,1769332877941914,1769332877941914,1769332878759384,1769332878759384,1769332878842752,2609413,402,125099,817470,1666442,817470,399076,25,yolov5m,WebpLossy,T2,HD
258,775,RSU-0000,Offload,1769332878662842,1769332878665275,1769332878665635,1769332878665635,1769332878759423,1769332878759423,1769332879566509,1769332879566509,1769332879582903,920061,360,87735,807086,24880,807086,403630,23,yolov5m,WebpLossy,T2,HD
258,775,RSU-0001,Offload,1769332878662861,1769332878661787,1769332878662135,1769332878662136,1769332879566542,1769332879566542,1769332880382605,1769332880382605,1769332880407887,1745026,349,64583,816063,864031,816063,403630,23,yolov5m,WebpLossy,T2,HD
258,775,RSU-0002,Offload,1769332878662862,1769332878665033,1769332878665406,1769332878665406,1769332880382637,1769332880382637,1769332881200103,1769332881200103,1769332881217905,2555043,373,57993,817466,1679211,817466,403630,23,yolov5m,WebpLossy,T2,HD
282,847,RSU-0000,Offload,1769332881095544,1769332881096135,1769332881096552,1769332881096552,1769332881200144,1769332881200144,1769332882007115,1769332882007115,1769332882089453,993909,417,132767,806971,53754,806971,405766,22,yolov5m,WebpLossy,T2,HD
