sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1769324671226725,1769324671230049,1769324671230846,1769324671230846,1769324671463192,1769324671463192,1769324672223574,1769324672223574,1769324672225015,998290,797,237104,760382,7,760382,953250,17,yolov5m,WebpLossy,T3,FHD
0,1,RSU-0002,Offload,1769324671226725,1769324671232785,1769324671233731,1769324671233732,1769324672246288,1769324672246289,1769324673021926,1769324673021926,1769324673023193,1796468,947,1019831,775638,52,775637,953250,17,yolov5m,WebpLossy,T3,FHD
1,31,RSU-0001,Offload,1769324672228187,1769324672234028,1769324672234500,1769324672234500,1769324673022789,1769324673022789,1769324673796231,1769324673796231,1769324673797501,1569314,472,795390,773442,10,773442,516964,19,yolov5m,WebpLossy,T3,FHD
2,61,RSU-0000,Offload,1769324673228973,1769324673235805,1769324673236258,1769324673236259,1769324673796269,1769324673796269,1769324674569238,1769324674569238,1769324674570590,1341617,454,129389,772969,438805,772969,526500,22,yolov5m,WebpLossy,T3,FHD
2,61,RSU-0001,Offload,1769324673228990,1769324673236444,1769324673236904,1769324673236904,1769324674569273,1769324674569273,1769324675344089,1769324675344089,1769324675355862,2126872,460,109337,774816,1242259,774816,526500,22,yolov5m,WebpLossy,T3,FHD
2,61,RSU-0002,Offload,1769324673228990,1769324673234256,1769324673234702,1769324673234702,1769324675344122,1769324675344122,1769324676111342,1769324676111342,1769324676112672,2883682,446,135630,767220,1980386,767220,526500,22,yolov5m,WebpLossy,T3,FHD
4,121,RSU-0000,Offload,1769324675232623,1769324675237768,1769324675238220,1769324675238220,1769324676111388,1769324676111388,1769324676886795,1769324676886796,1769324676888179,1655556,452,143160,775408,736536,775407,534050,22,yolov5m,WebpLossy,T3,FHD
4,121,RSU-0001,Offload,1769324675232638,1769324675235820,1769324675236366,1769324675236366,1769324676886828,1769324676886828,1769324677663363,1769324677663363,1769324677664673,2432035,546,105995,776535,1548959,776535,534050,22,yolov5m,WebpLossy,T3,FHD
4,121,RSU-0002,Offload,1769324675232639,1769324675235170,1769324675235614,1769324675235614,1769324677663397,1769324677663398,1769324678442372,1769324678442372,1769324678443717,3211078,444,122175,778975,2309484,778974,534050,22,yolov5m,WebpLossy,T3,FHD
7,211,RSU-0000,Offload,1769324678235867,1769324678242731,1769324678243192,1769324678243192,1769324678442409,1769324678442410,1769324679211644,1769324679211645,1769324679212955,977088,461,121871,769236,85520,769234,536874,23,yolov5m,WebpLossy,T3,FHD
7,211,RSU-0001,Offload,1769324678235883,1769324678241341,1769324678241792,1769324678241792,1769324679211690,1769324679211690,1769324679988286,1769324679988286,1769324679989634,1753751,451,120851,776596,855853,776596,536874,23,yolov5m,WebpLossy,T3,FHD
7,211,RSU-0002,Offload,1769324678235884,1769324678243633,1769324678244038,1769324678244038,1769324679988320,1769324679988321,1769324680766804,1769324680766804,1769324680768191,2532307,405,129885,778484,1623533,778483,536874,23,yolov5m,WebpLossy,T3,FHD
9,271,RSU-0000,Offload,1769324680239407,1769324680244527,1769324680244981,1769324680244981,1769324680766841,1769324680766841,1769324681544747,1769324681544748,1769324681545945,1306538,454,128658,777907,399519,777906,539206,23,yolov5m,WebpLossy,T3,FHD
9,271,RSU-0001,Offload,1769324680239426,1769324680241726,1769324680242155,1769324680242156,1769324681544781,1769324681544781,1769324682319704,1769324682319704,1769324682324150,2084724,430,119040,774923,1190331,774923,539206,23,yolov5m,WebpLossy,T3,FHD
9,271,RSU-0002,Offload,1769324680239427,1769324680242754,1769324680243244,1769324680243244,1769324682319736,1769324682319736,1769324683097940,1769324683097941,1769324683099248,2859821,490,129549,778205,1951577,778204,539206,23,yolov5m,WebpLossy,T3,FHD
11,331,RSU-0000,Offload,1769324682242264,1769324682248975,1769324682249429,1769324682249430,1769324683097996,1769324683097996,1769324683892652,1769324683892652,1769324683893890,1651626,455,126031,794656,730484,794656,526078,21,yolov5m,WebpLossy,T3,FHD
11,331,RSU-0001,Offload,1769324682242281,1769324682247850,1769324682248321,1769324682248321,1769324683892703,1769324683892703,1769324684672640,1769324684672640,1769324684673937,2431656,471,116290,779937,1534958,779937,526078,21,yolov5m,WebpLossy,T3,FHD
11,331,RSU-0002,Offload,1769324682242282,1769324682249486,1769324682249963,1769324682249964,1769324684672691,1769324684672691,1769324685455339,1769324685455339,1769324685456500,3214218,478,133650,782648,2297442,782648,526078,21,yolov5m,WebpLossy,T3,FHD
14,421,RSU-0000,Offload,1769324685245151,1769324685247791,1769324685248255,1769324685248256,1769324685455377,1769324685455377,1769324686225120,1769324686225121,1769324686226289,981138,465,114195,769744,96734,769743,526434,19,yolov5m,WebpLossy,T3,FHD
14,421,RSU-0001,Offload,1769324685245168,1769324685248056,1769324685248489,1769324685248490,1769324686225159,1769324686225160,1769324687003785,1769324687003785,1769324687005132,1759964,434,105153,778626,875751,778625,526434,19,yolov5m,WebpLossy,T3,FHD
14,421,RSU-0002,Offload,1769324685245170,1769324685249383,1769324685249880,1769324685249880,1769324687003818,1769324687003818,1769324687784797,1769324687784797,1769324687786054,2540884,497,127567,780979,1631841,780979,526434,19,yolov5m,WebpLossy,T3,FHD
16,481,RSU-0000,Offload,1769324687248020,1769324687256131,1769324687256593,1769324687256593,1769324687784838,1769324687784838,1769324688565569,1769324688565569,1769324688566776,1318756,462,125433,780731,412130,780731,522430,18,yolov5m,WebpLossy,T3,FHD
16,481,RSU-0001,Offload,1769324687248036,1769324687254263,1769324687254709,1769324687254709,1769324688565605,1769324688565605,1769324689346438,1769324689346438,1769324689349255,2101219,446,121466,780833,1198474,780833,522430,18,yolov5m,WebpLossy,T3,FHD
16,481,RSU-0002,Offload,1769324687248037,1769324687253550,1769324687253976,1769324687253976,1769324689346497,1769324689346497,1769324690119354,1769324690119355,1769324690120757,2872720,426,121247,772858,1978189,772857,522430,18,yolov5m,WebpLossy,T3,FHD
18,541,RSU-0000,Offload,1769324689250016,1769324689254764,1769324689255218,1769324689255218,1769324690119395,1769324690119395,1769324690899111,1769324690899111,1769324690900470,1650454,454,118797,779716,751487,779716,526154,22,yolov5m,WebpLossy,T3,FHD
18,541,RSU-0001,Offload,1769324689250032,1769324689252268,1769324689252726,1769324689252726,1769324690899146,1769324690899147,1769324691680293,1769324691680294,1769324691681624,2431592,458,97483,781148,1552503,781146,526154,22,yolov5m,WebpLossy,T3,FHD
18,541,RSU-0002,Offload,1769324689250033,1769324689253359,1769324689253802,1769324689253802,1769324691680328,1769324691680328,1769324692462551,1769324692462551,1769324692463949,3213916,443,130046,782223,2301204,782223,526154,22,yolov5m,WebpLossy,T3,FHD
21,631,RSU-0000,Offload,1769324692254802,1769324692260568,1769324692261082,1769324692261082,1769324692462589,1769324692462589,1769324693235156,1769324693235157,1769324693236405,981603,514,124192,772568,84329,772567,535632,23,yolov5m,WebpLossy,T3,FHD
