sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769339282302191,1769339282311138,1769339282311363,1769339282311364,1769339282529250,1769339282529251,1769339283257211,1769339283257211,1769339283258167,955976,226,227769,727961,20,727960,227146,17,yolov5m,WebpLossy,T3,Letterbox
0,1,RSU-0002,Offload,1769339282302191,1769339282311883,1769339282312146,1769339282312146,1769339283257756,1769339283257756,1769339284085838,1769339284085838,1769339284094308,1792117,263,963739,828082,33,828082,227146,17,yolov5m,WebpLossy,T3,Letterbox
22,45,RSU-0000,Offload,1769339283797445,1769339283808511,1769339283808749,1769339283808749,1769339284085884,1769339284085884,1769339284866757,1769339284866757,1769339284879858,1082413,238,281923,780873,19379,780873,203060,20,yolov5m,WebpLossy,T3,Letterbox
18,37,RSU-0001,Offload,1769339283525671,1769339283524029,1769339283524294,1769339283524295,1769339284866787,1769339284866787,1769339285617302,1769339285617302,1769339285672195,2146524,266,569282,750515,826461,750515,202820,18,yolov5m,WebpLossy,T3,Letterbox
10,21,RSU-0002,Offload,1769339282981796,1769339282991190,1769339282991608,1769339282991608,1769339285617333,1769339285617333,1769339286388505,1769339286388505,1769339286395267,3413471,418,1088653,771172,1553228,771172,202562,17,yolov5m,WebpLossy,T3,Letterbox
57,115,RSU-0000,Offload,1769339286178960,1769339286202196,1769339286202443,1769339286202443,1769339286388549,1769339286388549,1769339287132188,1769339287132188,1769339287282804,1103844,247,338185,743639,21773,743639,205518,23,yolov5m,WebpLossy,T3,Letterbox
43,87,RSU-0001,Offload,1769339285226682,1769339285234106,1769339285234318,1769339285234318,1769339287132217,1769339287132218,1769339287860635,1769339287860635,1769339288206379,2979697,212,1423953,728418,827114,728417,205392,21,yolov5m,WebpLossy,T3,Letterbox
45,91,RSU-0002,Offload,1769339285361710,1769339285373514,1769339285373806,1769339285373806,1769339287860679,1769339287860680,1769339288621502,1769339288621502,1769339288636251,3274541,292,1040693,760823,1472733,760822,205088,21,yolov5m,WebpLossy,T3,Letterbox
74,149,RSU-0000,Offload,1769339287335985,1769339287348117,1769339287348335,1769339287348335,1769339288621538,1769339288621539,1769339289412442,1769339289412442,1769339289418036,2082051,218,1276639,790904,14290,790903,205378,21,yolov5m,WebpLossy,T3,Letterbox
49,99,RSU-0001,Offload,1769339285633610,1769339285640758,1769339285640995,1769339285640995,1769339289412477,1769339289412477,1769339290205397,1769339290205397,1769339290209622,4576012,237,2909067,792920,873788,792920,205124,21,yolov5m,WebpLossy,T3,Letterbox
70,141,RSU-0002,Offload,1769339287064379,1769339287082749,1769339287083007,1769339287083007,1769339290205426,1769339290205426,1769339291011006,1769339291011006,1769339291011818,3947439,258,1543863,805580,1597738,805580,205420,24,yolov5m,WebpLossy,T3,Letterbox
127,255,RSU-0000,Offload,1769339290940366,1769339290948627,1769339290948886,1769339290948886,1769339291011039,1769339291011039,1769339291814001,1769339291814001,1769339291814717,874351,259,51640,802962,19490,802962,205498,20,yolov5m,WebpLossy,T3,Letterbox
79,159,RSU-0001,Offload,1769339287676023,1769339287678151,1769339287678386,1769339287678386,1769339291814027,1769339291814027,1769339292604567,1769339292604567,1769339292622190,4946167,235,3346362,790540,809030,790540,205720,20,yolov5m,WebpLossy,T3,Letterbox
127,255,RSU-0002,Offload,1769339290940382,1769339290953974,1769339290954235,1769339290954235,1769339292604600,1769339292604600,1769339293406208,1769339293406208,1769339293406904,2466522,261,43828,801608,1620825,801608,205498,20,yolov5m,WebpLossy,T3,Letterbox
162,325,RSU-0000,Offload,1769339293321152,1769339293325677,1769339293325932,1769339293325932,1769339293406253,1769339293406253,1769339294201242,1769339294201242,1769339294202284,881132,255,51346,794989,34542,794989,203464,19,yolov5m,WebpLossy,T3,Letterbox
140,281,RSU-0001,Offload,1769339291823150,1769339291824222,1769339291824495,1769339291824496,1769339294201271,1769339294201271,1769339294988208,1769339294988208,1769339295090938,3267788,274,1677921,786937,802656,786937,204172,20,yolov5m,WebpLossy,T3,Letterbox
162,325,RSU-0002,Offload,1769339293321166,1769339293330483,1769339293330732,1769339293330732,1769339294988238,1769339294988238,1769339295748381,1769339295748381,1769339296048468,2727302,249,350782,760143,1616128,760143,203464,19,yolov5m,WebpLossy,T3,Letterbox
194,389,RSU-0000,Offload,1769339295498431,1769339295509563,1769339295509802,1769339295509802,1769339295748416,1769339295748416,1769339296499934,1769339296499934,1769339296500930,1002499,239,244330,751518,6412,751518,203354,20,yolov5m,WebpLossy,T3,Letterbox
177,355,RSU-0001,Offload,1769339294341400,1769339294346054,1769339294346312,1769339294346312,1769339296499961,1769339296499962,1769339297301305,1769339297301306,1769339297308801,2967401,258,1284805,801345,880993,801343,203818,19,yolov5m,WebpLossy,T3,Letterbox
