sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769287014583305,1769287014582272,1769287014582556,1769287014582556,1769287014632866,1769287014632866,1769287014764410,1769287014764410,1769287014767204,183899,284,52065,131544,6,131544,137185,16,yolov5n,JpgLossy,T1,FHD
0,1,RSU-0002,Offload,1769287014583306,1769287014590309,1769287014590625,1769287014590625,1769287014764643,1769287014764643,1769287014895829,1769287014895830,1769287014898650,315344,316,183834,131187,7,131186,137185,16,yolov5n,JpgLossy,T1,FHD
1,7,RSU-0000,Offload,1769287014783843,1769287014783645,1769287014783936,1769287014783937,1769287014895863,1769287014895863,1769287015023480,1769287015023480,1769287015026285,242442,292,29280,127617,85253,127617,107692,16,yolov5n,JpgLossy,T1,FHD
1,7,RSU-0001,Offload,1769287014783859,1769287014784154,1769287014784400,1769287014784400,1769287015023513,1769287015023513,1769287015146073,1769287015146073,1769287015149147,365288,246,27487,122560,214995,122560,107692,16,yolov5n,JpgLossy,T1,FHD
1,7,RSU-0002,Offload,1769287014783860,1769287014786711,1769287014786968,1769287014786968,1769287015146104,1769287015146104,1769287015272956,1769287015272956,1769287015276284,492424,257,27532,126852,337783,126852,107692,16,yolov5n,JpgLossy,T1,FHD
3,19,RSU-0000,Offload,1769287015186656,1769287015186541,1769287015186743,1769287015186743,1769287015272995,1769287015272995,1769287015394679,1769287015394679,1769287015398021,211365,202,22671,121684,66808,121684,65642,17,yolov5n,JpgLossy,T1,FHD
3,19,RSU-0001,Offload,1769287015186672,1769287015187566,1769287015187747,1769287015187747,1769287015394708,1769287015394708,1769287015518348,1769287015518348,1769287015521473,334801,181,20757,123640,190223,123640,65642,17,yolov5n,JpgLossy,T1,FHD
3,19,RSU-0002,Offload,1769287015186673,1769287015189533,1769287015189734,1769287015189734,1769287015518377,1769287015518377,1769287015642347,1769287015642347,1769287015645156,458483,201,19417,123970,314895,123970,65642,17,yolov5n,JpgLossy,T1,FHD
5,31,RSU-0000,Offload,1769287015588893,1769287015587248,1769287015587450,1769287015587450,1769287015642388,1769287015642388,1769287015763586,1769287015763587,1769287015766309,177416,202,19866,121199,36149,121198,65476,15,yolov5n,JpgLossy,T1,FHD
5,31,RSU-0001,Offload,1769287015588908,1769287015589481,1769287015589647,1769287015589648,1769287015763615,1769287015763616,1769287015887721,1769287015887721,1769287015890929,302021,167,23305,124106,154443,124105,65476,15,yolov5n,JpgLossy,T1,FHD
5,31,RSU-0002,Offload,1769287015588908,1769287015588781,1769287015588953,1769287015588953,1769287015887749,1769287015887749,1769287016008898,1769287016008898,1769287016017299,428391,172,24794,121149,282276,121149,65476,15,yolov5n,JpgLossy,T1,FHD
6,37,RSU-0000,Offload,1769287015790488,1769287015788819,1769287015789027,1769287015789027,1769287016008931,1769287016008932,1769287016132015,1769287016132016,1769287016135207,344719,208,20942,123085,200484,123083,65600,16,yolov5n,JpgLossy,T1,FHD
6,37,RSU-0001,Offload,1769287015790501,1769287015791006,1769287015791193,1769287015791193,1769287016132042,1769287016132042,1769287016257328,1769287016257328,1769287016260541,470040,187,23138,125286,321429,125286,65600,16,yolov5n,JpgLossy,T1,FHD
