sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1769283494724617,1769283494726262,1769283494726471,1769283494726471,1769283494756676,1769283494756676,1769283494876637,1769283494876638,1769283494878192,153575,209,33393,119962,11,119961,84671,15,yolov5n,JpgLossy,T1,HD
0,1,RSU-0002,Offload,1769283494724617,1769283494727483,1769283494727756,1769283494727756,1769283494876860,1769283494876860,1769283494994872,1769283494994872,1769283494996198,271581,273,153290,118012,6,118012,84671,15,yolov5n,JpgLossy,T1,HD
0,1,RSU-0000,Offload,1769283494724616,1769283494731665,1769283494731909,1769283494731909,1769283494994909,1769283494994909,1769283495111005,1769283495111005,1769283495112573,387957,244,169087,116096,102530,116096,84671,15,yolov5n,JpgLossy,T1,HD
1,31,RSU-0002,Offload,1769283495726423,1769283495730364,1769283495730561,1769283495730561,1769283495764281,1769283495764281,1769283495878485,1769283495878485,1769283495879947,153524,197,39117,114204,6,114204,76181,17,yolov5n,JpgLossy,T1,HD
1,31,RSU-0000,Offload,1769283495726409,1769283495731136,1769283495731342,1769283495731342,1769283495878518,1769283495878518,1769283495992231,1769283495992231,1769283495993912,267503,206,39431,113713,114153,113713,76181,17,yolov5n,JpgLossy,T1,HD
1,31,RSU-0001,Offload,1769283495726422,1769283495729408,1769283495729610,1769283495729610,1769283495992260,1769283495992260,1769283496107940,1769283496107940,1769283496109343,382921,202,44223,115680,222816,115680,76181,17,yolov5n,JpgLossy,T1,HD
2,61,RSU-0002,Offload,1769283496728530,1769283496732201,1769283496732408,1769283496732408,1769283496757801,1769283496757801,1769283496877362,1769283496877362,1769283496878875,150345,207,30573,119561,4,119561,76981,15,yolov5n,JpgLossy,T1,HD
2,61,RSU-0000,Offload,1769283496728514,1769283496734554,1769283496734762,1769283496734762,1769283496877406,1769283496877406,1769283496991218,1769283496991218,1769283496992757,264243,208,35667,113812,114556,113812,76981,15,yolov5n,JpgLossy,T1,HD
2,61,RSU-0001,Offload,1769283496728530,1769283496731522,1769283496731723,1769283496731723,1769283496991248,1769283496991248,1769283497109474,1769283497109474,1769283497111178,382648,201,35637,118226,228584,118226,76981,15,yolov5n,JpgLossy,T1,HD
3,91,RSU-0002,Offload,1769283497730680,1769283497734656,1769283497734851,1769283497734851,1769283497762153,1769283497762153,1769283497873950,1769283497873950,1769283497875450,144770,195,32773,111797,5,111797,77644,17,yolov5n,JpgLossy,T1,HD
3,91,RSU-0001,Offload,1769283497730679,1769283497735896,1769283497736088,1769283497736088,1769283497874128,1769283497874128,1769283497985436,1769283497985436,1769283497986899,256220,192,144714,111308,6,111308,77644,17,yolov5n,JpgLossy,T1,HD
3,91,RSU-0000,Offload,1769283497730652,1769283497734421,1769283497734631,1769283497734631,1769283497985469,1769283497985469,1769283498098968,1769283498098968,1769283498100378,369726,210,144785,113499,111232,113499,77644,17,yolov5n,JpgLossy,T1,HD
4,121,RSU-0000,Offload,1769283498732637,1769283498736295,1769283498736504,1769283498736504,1769283498759937,1769283498759937,1769283498874078,1769283498874078,1769283498875491,142854,209,28497,114141,7,114141,77668,17,yolov5n,JpgLossy,T1,HD
4,121,RSU-0002,Offload,1769283498732657,1769283498737071,1769283498737276,1769283498737277,1769283498874249,1769283498874249,1769283498988159,1769283498988159,1769283498989557,256900,206,142779,113910,5,113910,77668,17,yolov5n,JpgLossy,T1,HD
4,121,RSU-0001,Offload,1769283498732656,1769283498736414,1769283498736615,1769283498736616,1769283498988191,1769283498988191,1769283499104573,1769283499104573,1769283499106078,373422,202,143024,116382,113814,116382,77668,17,yolov5n,JpgLossy,T1,HD
5,151,RSU-0001,Offload,1769283499734149,1769283499737192,1769283499737393,1769283499737393,1769283499766576,1769283499766576,1769283499880382,1769283499880382,1769283499882091,147942,201,33930,113806,5,113806,78196,18,yolov5n,JpgLossy,T1,HD
5,151,RSU-0000,Offload,1769283499734134,1769283499738850,1769283499739059,1769283499739059,1769283499880562,1769283499880562,1769283499994322,1769283499994322,1769283499995742,261608,209,147634,113760,5,113760,78196,18,yolov5n,JpgLossy,T1,HD
5,151,RSU-0002,Offload,1769283499734150,1769283499739078,1769283499739272,1769283499739273,1769283499994353,1769283499994353,1769283500110480,1769283500110480,1769283500111981,377831,195,147932,116127,113577,116127,78196,18,yolov5n,JpgLossy,T1,HD
6,181,RSU-0001,Offload,1769283500735061,1769283500738576,1769283500738747,1769283500738747,1769283500757482,1769283500757482,1769283500869612,1769283500869612,1769283500870956,135895,171,23588,112130,6,112130,77102,17,yolov5n,JpgLossy,T1,HD
6,181,RSU-0000,Offload,1769283500735046,1769283500741446,1769283500741660,1769283500741660,1769283500869807,1769283500869807,1769283500981722,1769283500981722,1769283500983343,248297,214,136162,111915,6,111915,77102,17,yolov5n,JpgLossy,T1,HD
6,181,RSU-0002,Offload,1769283500735062,1769283500739582,1769283500739784,1769283500739784,1769283500981762,1769283500981762,1769283501095767,1769283501095767,1769283501097234,362172,202,136199,114005,111766,114005,77102,17,yolov5n,JpgLossy,T1,HD
7,211,RSU-0002,Offload,1769283501736318,1769283501740276,1769283501740469,1769283501740469,1769283501762466,1769283501762467,1769283501878843,1769283501878843,1769283501880353,144035,193,27460,116377,5,116376,77293,15,yolov5n,JpgLossy,T1,HD
7,211,RSU-0001,Offload,1769283501736317,1769283501739739,1769283501739952,1769283501739953,1769283501879020,1769283501879020,1769283501992761,1769283501992761,1769283501994319,258002,214,144042,113741,5,113741,77293,15,yolov5n,JpgLossy,T1,HD
7,211,RSU-0000,Offload,1769283501736301,1769283501741861,1769283501742072,1769283501742072,1769283501992791,1769283501992791,1769283502109741,1769283502109741,1769283502111319,375018,211,144089,116950,113768,116950,77293,15,yolov5n,JpgLossy,T1,HD
8,241,RSU-0000,Offload,1769283502737570,1769283502742315,1769283502742522,1769283502742522,1769283502766042,1769283502766042,1769283502879186,1769283502879186,1769283502880546,142976,207,29619,113144,6,113144,77337,16,yolov5n,JpgLossy,T1,HD
8,241,RSU-0002,Offload,1769283502737586,1769283502742634,1769283502742863,1769283502742863,1769283502879362,1769283502879362,1769283502990736,1769283502990736,1769283502992426,254840,229,143232,111374,5,111374,77337,16,yolov5n,JpgLossy,T1,HD
