sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769296268416113,1769296268421744,1769296268421871,1769296268421871,1769296268429510,1769296268429510,1769296268532385,1769296268532385,1769296268535002,118889,127,15883,102875,4,102875,28714,15,yolov5n,JpgLossy,T1,Letterbox
0,1,RSU-0001,Offload,1769296268416113,1769296268420163,1769296268420299,1769296268420299,1769296268532494,1769296268532495,1769296268634377,1769296268634377,1769296268637130,221017,136,118993,101883,5,101882,28714,15,yolov5n,JpgLossy,T1,Letterbox
2,5,RSU-0000,Offload,1769296268552240,1769296268555909,1769296268556037,1769296268556037,1769296268634416,1769296268634416,1769296268732475,1769296268732475,1769296268735395,183155,128,7877,98059,77091,98059,28777,14,yolov5n,JpgLossy,T1,Letterbox
2,5,RSU-0001,Offload,1769296268552255,1769296268551432,1769296268551584,1769296268551585,1769296268732503,1769296268732503,1769296268831196,1769296268831196,1769296268833744,281489,153,12087,98693,170556,98693,28777,14,yolov5n,JpgLossy,T1,Letterbox
2,5,RSU-0002,Offload,1769296268552256,1769296268555080,1769296268555224,1769296268555224,1769296268831229,1769296268831230,1769296268932786,1769296268932786,1769296268935432,383176,144,11639,101557,269836,101556,28777,14,yolov5n,JpgLossy,T1,Letterbox
7,15,RSU-0000,Offload,1769296268891082,1769296268898701,1769296268898838,1769296268898838,1769296268932824,1769296268932824,1769296269031882,1769296269031882,1769296269035115,144033,137,12477,99058,32361,99058,27616,13,yolov5n,JpgLossy,T1,Letterbox
7,15,RSU-0001,Offload,1769296268891101,1769296268894404,1769296268894544,1769296268894544,1769296269031925,1769296269031926,1769296269133211,1769296269133211,1769296269135661,244560,140,16291,101286,126843,101285,27616,13,yolov5n,JpgLossy,T1,Letterbox
7,15,RSU-0002,Offload,1769296268891103,1769296268897389,1769296268897564,1769296268897564,1769296269133239,1769296269133239,1769296269233248,1769296269233248,1769296269235876,344773,175,15848,100009,228741,100009,27616,13,yolov5n,JpgLossy,T1,Letterbox
11,23,RSU-0000,Offload,1769296269163061,1769296269170625,1769296269170773,1769296269170773,1769296269233285,1769296269233285,1769296269334452,1769296269334452,1769296269337163,174102,148,13458,101167,59329,101167,27509,14,yolov5n,JpgLossy,T1,Letterbox
11,23,RSU-0001,Offload,1769296269163089,1769296269166480,1769296269166624,1769296269166624,1769296269334480,1769296269334481,1769296269433699,1769296269433699,1769296269436339,273250,144,15780,99219,158107,99218,27509,14,yolov5n,JpgLossy,T1,Letterbox
11,23,RSU-0002,Offload,1769296269163090,1769296269169816,1769296269169958,1769296269169958,1769296269433727,1769296269433727,1769296269533588,1769296269533588,1769296269536257,373167,142,13148,99861,260016,99861,27509,14,yolov5n,JpgLossy,T1,Letterbox
16,33,RSU-0000,Offload,1769296269504126,1769296269512997,1769296269513134,1769296269513134,1769296269533631,1769296269533631,1769296269633027,1769296269633027,1769296269635732,131606,137,16501,99396,15572,99396,27584,14,yolov5n,JpgLossy,T1,Letterbox
16,33,RSU-0001,Offload,1769296269504142,1769296269507086,1769296269507234,1769296269507234,1769296269633055,1769296269633056,1769296269734331,1769296269734331,1769296269736719,232577,148,16257,101276,114896,101275,27584,14,yolov5n,JpgLossy,T1,Letterbox
16,33,RSU-0002,Offload,1769296269504143,1769296269509574,1769296269509719,1769296269509719,1769296269734366,1769296269734366,1769296269834248,1769296269834248,1769296269837032,332889,145,11894,99882,220968,99882,27584,14,yolov5n,JpgLossy,T1,Letterbox
20,41,RSU-0000,Offload,1769296269775249,1769296269784376,1769296269784509,1769296269784509,1769296269834290,1769296269834290,1769296269934247,1769296269934247,1769296269936904,161655,133,12140,99957,49425,99957,27572,16,yolov5n,JpgLossy,T1,Letterbox
20,41,RSU-0001,Offload,1769296269775265,1769296269778383,1769296269778522,1769296269778522,1769296269934277,1769296269934278,1769296270035956,1769296270035956,1769296270038931,263666,139,16297,101679,145551,101678,27572,16,yolov5n,JpgLossy,T1,Letterbox
20,41,RSU-0002,Offload,1769296269775266,1769296269780742,1769296269780885,1769296269780885,1769296270035986,1769296270035986,1769296270136592,1769296270136592,1769296270139305,364039,143,15436,100606,247854,100606,27572,16,yolov5n,JpgLossy,T1,Letterbox
25,51,RSU-0000,Offload,1769296270114902,1769296270122749,1769296270122887,1769296270122887,1769296270136634,1769296270136634,1769296270238136,1769296270238136,1769296270240969,126067,138,16131,101502,8296,101502,27725,15,yolov5n,JpgLossy,T1,Letterbox
25,51,RSU-0001,Offload,1769296270114916,1769296270119716,1769296270119881,1769296270119881,1769296270238166,1769296270238166,1769296270340458,1769296270340458,1769296270343247,228331,165,15623,102292,110251,102292,27725,15,yolov5n,JpgLossy,T1,Letterbox
25,51,RSU-0002,Offload,1769296270114917,1769296270120513,1769296270120655,1769296270120655,1769296270340490,1769296270340490,1769296270442387,1769296270442387,1769296270444928,330011,142,11543,101897,216429,101897,27725,15,yolov5n,JpgLossy,T1,Letterbox
29,59,RSU-0000,Offload,1769296270386483,1769296270394391,1769296270394526,1769296270394526,1769296270442424,1769296270442424,1769296270544431,1769296270544431,1769296270547135,160652,135,15709,102007,42801,102007,27770,15,yolov5n,JpgLossy,T1,Letterbox
29,59,RSU-0001,Offload,1769296270386499,1769296270390076,1769296270390226,1769296270390227,1769296270544465,1769296270544465,1769296270647097,1769296270647097,1769296270650036,263537,151,22031,102632,138723,102632,27770,15,yolov5n,JpgLossy,T1,Letterbox
29,59,RSU-0002,Offload,1769296270386501,1769296270393345,1769296270393484,1769296270393484,1769296270647132,1769296270647132,1769296270749901,1769296270749901,1769296270752407,365906,139,14111,102769,248887,102769,27770,15,yolov5n,JpgLossy,T1,Letterbox
