sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769294283721869,1769294283726727,1769294283727027,1769294283727027,1769294283789638,1769294283789638,1769294283895934,1769294283895934,1769294283899174,177305,300,70703,106296,6,106296,284818,14,yolov5n,PngLossless,T1,Letterbox
0,1,RSU-0001,Offload,1769294283721869,1769294283723944,1769294283724252,1769294283724253,1769294283896557,1769294283896557,1769294284013946,1769294284013947,1769294284016517,294648,309,176907,117390,42,117389,284818,14,yolov5n,PngLossless,T1,Letterbox
2,7,RSU-0000,Offload,1769294283925586,1769294283928936,1769294283929259,1769294283929259,1769294284013985,1769294284013985,1769294284120854,1769294284120854,1769294284123458,197872,323,46793,106869,43887,106869,277101,14,yolov5n,PngLossless,T1,Letterbox
2,7,RSU-0001,Offload,1769294283925602,1769294283926804,1769294283927207,1769294283927207,1769294284120882,1769294284120882,1769294284227415,1769294284227415,1769294284229886,304284,403,67607,106533,129741,106533,277101,14,yolov5n,PngLossless,T1,Letterbox
2,7,RSU-0002,Offload,1769294283925603,1769294283933003,1769294283933349,1769294283933349,1769294284227444,1769294284227445,1769294284335332,1769294284335332,1769294284341727,416124,346,66868,107888,241022,107887,277101,14,yolov5n,PngLossless,T1,Letterbox
5,16,RSU-0000,Offload,1769294284229413,1769294284233768,1769294284234064,1769294284234064,1769294284335373,1769294284335373,1769294284441476,1769294284441476,1769294284443951,214538,296,61337,106103,46802,106103,260522,13,yolov5n,PngLossless,T1,Letterbox
5,16,RSU-0001,Offload,1769294284229423,1769294284229783,1769294284230072,1769294284230073,1769294284441508,1769294284441508,1769294284546773,1769294284546773,1769294284550150,320727,290,50287,105265,164885,105265,260522,13,yolov5n,PngLossless,T1,Letterbox
5,16,RSU-0002,Offload,1769294284229423,1769294284240387,1769294284240676,1769294284240676,1769294284546801,1769294284546801,1769294284653684,1769294284653684,1769294284682943,453520,289,89906,106883,256442,106883,260522,13,yolov5n,PngLossless,T1,Letterbox
8,25,RSU-0000,Offload,1769294284535700,1769294284542791,1769294284543095,1769294284543095,1769294284653718,1769294284653718,1769294284759853,1769294284759854,1769294284764807,229107,304,60243,106136,62424,106135,256803,14,yolov5n,PngLossless,T1,Letterbox
8,25,RSU-0001,Offload,1769294284535718,1769294284536316,1769294284536617,1769294284536617,1769294284759885,1769294284759885,1769294284866686,1769294284866686,1769294284893823,358105,301,86956,106801,164047,106801,256803,14,yolov5n,PngLossless,T1,Letterbox
8,25,RSU-0002,Offload,1769294284535719,1769294284545872,1769294284546180,1769294284546180,1769294284866714,1769294284866715,1769294284972437,1769294284972437,1769294284995157,459438,308,69247,105723,284160,105722,256803,14,yolov5n,PngLossless,T1,Letterbox
11,34,RSU-0000,Offload,1769294284840330,1769294284845285,1769294284845602,1769294284845602,1769294284972473,1769294284972473,1769294285078393,1769294285078393,1769294285084756,244426,317,64681,105920,73508,105920,259123,15,yolov5n,PngLossless,T1,Letterbox
11,34,RSU-0001,Offload,1769294284840348,1769294284842137,1769294284842434,1769294284842435,1769294285078422,1769294285078422,1769294285183547,1769294285183547,1769294285198586,358238,298,65988,105125,186827,105125,259123,15,yolov5n,PngLossless,T1,Letterbox
