sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769299889851901,1769299889854877,1769299889863599,1769299889863600,1769299890982411,1769299890982411,1769299891107843,1769299891107843,1769299891112094,1260193,8723,1125525,125432,513,125432,8296178,16,yolov5n,PngLossless,T3,FHD
1,3,RSU-0000,Offload,1769299889920489,1769299889919379,1769299890523165,1769299890523165,1769299892034081,1769299892034082,1769299892165368,1769299892165368,1769299892240140,2319651,603786,1583992,131287,586,131286,8296178,16,yolov5n,PngLossless,T3,FHD
0,1,RSU-0001,Offload,1769299889851901,1769299889858244,1769299889876062,1769299889876063,1769299892326240,1769299892326240,1769299892452772,1769299892452772,1769299892470813,2618912,17819,2474056,126532,505,126532,8296178,16,yolov5n,PngLossless,T3,FHD
0,1,RSU-0002,Offload,1769299889851902,1769299889858172,1769299889905235,1769299889905236,1769299892472004,1769299892472005,1769299892602108,1769299892602109,1769299892706492,2854590,47064,2676763,130105,658,130103,8296178,16,yolov5n,PngLossless,T3,FHD
2,5,RSU-0000,Offload,1769299889988078,1769299890523321,1769299890820716,1769299890820717,1769299893392095,1769299893392095,1769299893521714,1769299893521715,1769299893525644,3537566,297396,3107208,129620,3342,129619,8296178,16,yolov5n,PngLossless,T3,FHD
1,3,RSU-0001,Offload,1769299889920505,1769299889926962,1769299890113930,1769299890113931,1769299894011216,1769299894011217,1769299894133678,1769299894133678,1769299894210306,4289801,186969,3979801,122462,569,122461,8296178,16,yolov5n,PngLossless,T3,FHD
1,3,RSU-0002,Offload,1769299889920507,1769299889925391,1769299889962127,1769299889962127,1769299894453261,1769299894453262,1769299894582257,1769299894582257,1769299894586235,4665728,36736,4496656,128996,3340,128995,8296178,16,yolov5n,PngLossless,T3,FHD
3,7,RSU-0000,Offload,1769299890055904,1769299890820838,1769299891134701,1769299891134701,1769299894754579,1769299894754579,1769299894879178,1769299894879178,1769299894999871,4943967,313863,4505019,124599,486,124599,8296178,16,yolov5n,PngLossless,T3,FHD
2,5,RSU-0001,Offload,1769299889988089,1769299890114011,1769299890427139,1769299890427139,1769299896206254,1769299896206254,1769299896328954,1769299896328955,1769299896439655,6451566,313128,6015248,122701,489,122700,8296178,16,yolov5n,PngLossless,T3,FHD
4,9,RSU-0000,Offload,1769299890124760,1769299891134813,1769299891538399,1769299891538399,1769299896346336,1769299896346336,1769299896475890,1769299896475890,1769299896659893,6535133,403586,6001287,129554,706,129554,8296178,17,yolov5n,PngLossless,T3,FHD
2,5,RSU-0002,Offload,1769299889988090,1769299889992575,1769299890030010,1769299890030010,1769299896548460,1769299896548460,1769299896670434,1769299896670434,1769299896954323,6966233,37435,6806329,121974,495,121974,8296178,16,yolov5n,PngLossless,T3,FHD
5,11,RSU-0000,Offload,1769299890193418,1769299891538504,1769299892290655,1769299892290656,1769299897488645,1769299897488645,1769299897617134,1769299897617134,1769299897626439,7433021,752152,6549069,128489,3311,128489,8296178,16,yolov5n,PngLossless,T3,FHD
3,7,RSU-0001,Offload,1769299890055919,1769299890427245,1769299890696359,1769299890696359,1769299898047651,1769299898047651,1769299898172989,1769299898172989,1769299898258126,8202207,269114,7807289,125338,466,125338,8296178,16,yolov5n,PngLossless,T3,FHD
3,7,RSU-0002,Offload,1769299890055920,1769299890057534,1769299890099618,1769299890099618,1769299898425773,1769299898425773,1769299898548079,1769299898548079,1769299898652329,8596409,42084,8431489,122306,530,122306,8296178,16,yolov5n,PngLossless,T3,FHD
6,13,RSU-0000,Offload,1769299890261279,1769299892290779,1769299892390528,1769299892390528,1769299898795681,1769299898795681,1769299898918647,1769299898918647,1769299899108098,8846819,99749,8623614,122966,490,122966,8296178,16,yolov5n,PngLossless,T3,FHD
4,9,RSU-0001,Offload,1769299890124775,1769299890696513,1769299890883239,1769299890883240,1769299900004526,1769299900004526,1769299900132467,1769299900132468,1769299900243777,10119002,186727,9801390,127942,2943,127941,8296178,17,yolov5n,PngLossless,T3,FHD
7,15,RSU-0000,Offload,1769299890328836,1769299892390633,1769299892580157,1769299892580157,1769299900154120,1769299900154120,1769299900289719,1769299900289719,1769299900322196,9993360,189524,9664187,135599,4050,135599,8296178,18,yolov5n,PngLossless,T3,FHD
4,9,RSU-0002,Offload,1769299890124776,1769299890134933,1769299890177588,1769299890177588,1769299900481645,1769299900481646,1769299900607412,1769299900607412,1769299900785112,10660336,42655,10491381,125767,533,125766,8296178,17,yolov5n,PngLossless,T3,FHD
8,17,RSU-0000,Offload,1769299890397348,1769299892580247,1769299893086222,1769299893086222,1769299901297757,1769299901297757,1769299901419098,1769299901419099,1769299901677111,11279763,505975,10651934,121342,512,121341,8296178,16,yolov5n,PngLossless,T3,FHD
5,11,RSU-0001,Offload,1769299890193431,1769299890883366,1769299891070752,1769299891070753,1769299901786625,1769299901786626,1769299901907498,1769299901907498,1769299902308022,12114591,187387,11805841,120873,490,120872,8296178,16,yolov5n,PngLossless,T3,FHD
5,11,RSU-0002,Offload,1769299890193432,1769299890199016,1769299890242934,1769299890242934,1769299902655676,1769299902655677,1769299902777974,1769299902777974,1769299902934086,12740654,43918,12573953,122298,485,122297,8296178,16,yolov5n,PngLossless,T3,FHD
9,19,RSU-0000,Offload,1769299890464878,1769299893086345,1769299893092012,1769299893092013,1769299902797838,1769299902797839,1769299902923919,1769299902923919,1769299903435088,12970210,5668,12837778,126081,683,126080,8296178,17,yolov5n,PngLossless,T3,FHD
6,13,RSU-0001,Offload,1769299890261290,1769299891070842,1769299891272860,1769299891272861,1769299903616326,1769299903616326,1769299903745493,1769299903745494,1769299904090936,13829646,202019,13495386,129168,3073,129167,8296178,16,yolov5n,PngLossless,T3,FHD
10,21,RSU-0000,Offload,1769299890533347,1769299893092135,1769299893562065,1769299893562065,1769299904217123,1769299904217124,1769299904347230,1769299904347230,1769299904731308,14197961,469930,13594534,130107,3390,130106,8296178,16,yolov5n,PngLossless,T3,FHD
6,13,RSU-0002,Offload,1769299890261291,1769299890266672,1769299890308191,1769299890308192,1769299904774995,1769299904774996,1769299904897820,1769299904897820,1769299905428401,15167110,41520,15002251,122825,514,122824,8296178,16,yolov5n,PngLossless,T3,FHD
7,15,RSU-0001,Offload,1769299890328848,1769299891272958,1769299891462043,1769299891462043,1769299905581303,1769299905581303,1769299905703061,1769299905703061,1769299906035376,15706528,189085,15395183,121758,502,121758,8296178,18,yolov5n,PngLossless,T3,FHD
11,23,RSU-0000,Offload,1769299890600781,1769299893562154,1769299893800910,1769299893800910,1769299905728902,1769299905728902,1769299905867268,1769299905867268,1769299906425911,15825130,238756,15444469,138366,3539,138366,8296178,15,yolov5n,PngLossless,T3,FHD
7,15,RSU-0002,Offload,1769299890328849,1769299890333219,1769299890375949,1769299890375950,1769299906549680,1769299906549680,1769299906673998,1769299906673998,1769299906751781,16422932,42731,16255360,124318,523,124318,8296178,18,yolov5n,PngLossless,T3,FHD
8,17,RSU-0001,Offload,1769299890397362,1769299891462132,1769299891650267,1769299891650268,1769299907040030,1769299907040031,1769299907164201,1769299907164201,1769299907485278,17087916,188136,16775134,124171,475,124170,8296178,16,yolov5n,PngLossless,T3,FHD
12,25,RSU-0000,Offload,1769299890669548,1769299893800993,1769299893813487,1769299893813488,1769299907439134,1769299907439134,1769299907560300,1769299907560300,1769299907776173,17106625,12495,16972423,121166,541,121166,8296178,16,yolov5n,PngLossless,T3,FHD
8,17,RSU-0002,Offload,1769299890397364,1769299890397377,1769299890440782,1769299890440782,1769299908119913,1769299908119913,1769299908242898,1769299908242898,1769299908338449,17941085,43405,17774205,122985,490,122985,8296178,16,yolov5n,PngLossless,T3,FHD
13,27,RSU-0000,Offload,1769299890737202,1769299893813577,1769299894219575,1769299894219576,1769299908816536,1769299908816536,1769299908938843,1769299908938843,1769299909200322,18463120,405999,17934332,122307,482,122307,8296178,16,yolov5n,PngLossless,T3,FHD
9,19,RSU-0001,Offload,1769299890464904,1769299891650355,1769299891837748,1769299891837748,1769299909049221,1769299909049222,1769299909171570,1769299909171570,1769299909567351,19102447,187393,18792241,122349,464,122348,8296178,17,yolov5n,PngLossless,T3,FHD
9,19,RSU-0002,Offload,1769299890464905,1769299890467405,1769299890510538,1769299890510539,1769299909804838,1769299909804838,1769299909925158,1769299909925158,1769299910466527,20001622,43134,19837644,120320,524,120320,8296178,17,yolov5n,PngLossless,T3,FHD
10,21,RSU-0001,Offload,1769299890533363,1769299891837879,1769299892023936,1769299892023936,1769299910952864,1769299910952864,1769299911080759,1769299911080759,1769299911237950,20704587,186057,20387270,127895,3365,127895,8296178,16,yolov5n,PngLossless,T3,FHD
14,29,RSU-0000,Offload,1769299890804966,1769299894219659,1769299894411843,1769299894411843,1769299911097234,1769299911097235,1769299911223541,1769299911223541,1769299912239661,21434695,192184,21115581,126307,623,126306,8296178,17,yolov5n,PngLossless,T3,FHD
10,21,RSU-0002,Offload,1769299890533364,1769299890535504,1769299890579164,1769299890579165,1769299912054163,1769299912054164,1769299912180360,1769299912180361,1769299912317606,21784242,43661,21611129,126198,3254,126196,8296178,16,yolov5n,PngLossless,T3,FHD
11,23,RSU-0001,Offload,1769299890600793,1769299892024053,1769299892214101,1769299892214102,1769299913074044,1769299913074044,1769299913198552,1769299913198552,1769299913333776,22732983,190049,22417930,124508,496,124508,8296178,15,yolov5n,PngLossless,T3,FHD
15,31,RSU-0000,Offload,1769299890873551,1769299894411929,1769299894425786,1769299894425787,1769299913558214,1769299913558214,1769299913679742,1769299913679742,1769299913764194,22890643,13858,22754774,121528,483,121528,8296178,15,yolov5n,PngLossless,T3,FHD
11,23,RSU-0002,Offload,1769299890600794,1769299890604012,1769299890648535,1769299890648536,1769299913785404,1769299913785404,1769299913906468,1769299913906468,1769299914460670,23859876,44524,23693800,121064,488,121064,8296178,15,yolov5n,PngLossless,T3,FHD
12,25,RSU-0001,Offload,1769299890669557,1769299892214230,1769299892403296,1769299892403296,1769299915115711,1769299915115712,1769299915244487,1769299915244487,1769299915604174,24934617,189066,24613695,128776,3080,128775,8296178,16,yolov5n,PngLossless,T3,FHD
16,33,RSU-0000,Offload,1769299890941208,1769299894425917,1769299894817994,1769299894817995,1769299915370882,1769299915370882,1769299915498472,1769299915498472,1769299916371314,25430106,392078,24907151,127590,3287,127590,8296178,17,yolov5n,PngLossless,T3,FHD
12,25,RSU-0002,Offload,1769299890669558,1769299890674245,1769299890715865,1769299890715865,1769299915665527,1769299915665527,1769299915789851,1769299915789851,1769299916971045,26301487,41620,26135054,124324,489,124324,8296178,16,yolov5n,PngLossless,T3,FHD
13,27,RSU-0001,Offload,1769299890737246,1769299892403396,1769299892590971,1769299892590971,1769299917378627,1769299917378627,1769299917503487,1769299917503487,1769299918275892,27538646,187575,27222938,124860,3273,124860,8296178,16,yolov5n,PngLossless,T3,FHD
13,27,RSU-0002,Offload,1769299890737300,1769299890742411,1769299890779286,1769299890779287,1769299918058515,1769299918058515,1769299918184569,1769299918184569,1769299918786424,28049124,36876,27883227,126054,2967,126054,8296178,16,yolov5n,PngLossless,T3,FHD
17,35,RSU-0000,Offload,1769299891009016,1769299894818081,1769299895174265,1769299895174266,1769299918380618,1769299918380618,1769299918501374,1769299918501374,1769299918914058,27905042,356185,27427625,120756,476,120756,8296178,16,yolov5n,PngLossless,T3,FHD
14,29,RSU-0001,Offload,1769299890804983,1769299892591055,1769299892779539,1769299892779539,1769299919348154,1769299919348155,1769299919473161,1769299919473161,1769299919519998,28715015,188484,28401042,125007,482,125006,8296178,17,yolov5n,PngLossless,T3,FHD
14,29,RSU-0002,Offload,1769299890804984,1769299890810766,1769299890855531,1769299890855532,1769299919690555,1769299919690556,1769299919811622,1769299919811622,1769299920280359,29475375,44766,29309060,121067,482,121066,8296178,17,yolov5n,PngLossless,T3,FHD
18,37,RSU-0000,Offload,1769299891076711,1769299895174350,1769299895186244,1769299895186244,1769299919968810,1769299919968810,1769299920101092,1769299920101092,1769299921030139,29953428,11894,29805952,132282,3300,132282,8296178,16,yolov5n,PngLossless,T3,FHD
15,31,RSU-0002,Offload,1769299890873568,1769299890878439,1769299890921972,1769299890921973,1769299921277351,1769299921277351,1769299921400798,1769299921400798,1769299921544318,30670750,43534,30503276,123447,493,123447,8296178,15,yolov5n,PngLossless,T3,FHD
15,31,RSU-0001,Offload,1769299890873567,1769299892779625,1769299892855555,1769299892855556,1769299921501554,1769299921501554,1769299921622998,1769299921622998,1769299921631109,30757542,75931,30559667,121444,500,121444,8296178,15,yolov5n,PngLossless,T3,FHD
19,39,RSU-0000,Offload,1769299891144797,1769299895186353,1769299895496694,1769299895496694,1769299922004267,1769299922004268,1769299922125278,1769299922125279,1769299922498387,31353590,310341,30921777,121012,460,121010,8296178,17,yolov5n,PngLossless,T3,FHD
16,33,RSU-0002,Offload,1769299890941252,1769299890950426,1769299890994896,1769299890994897,1769299922919548,1769299922919548,1769299923048493,1769299923048493,1769299923381890,32440638,44471,32263969,128945,3253,128945,8296178,17,yolov5n,PngLossless,T3,FHD
16,33,RSU-0001,Offload,1769299890941250,1769299892855643,1769299893042738,1769299893042738,1769299923261287,1769299923261287,1769299923391164,1769299923391165,1769299923396305,32455055,187095,32135014,129878,3068,129877,8296178,17,yolov5n,PngLossless,T3,FHD
20,41,RSU-0000,Offload,1769299891213459,1769299895496779,1769299895762617,1769299895762618,1769299924014943,1769299924014943,1769299924137473,1769299924137473,1769299924282171,33068712,265839,32679821,122530,522,122530,8296178,15,yolov5n,PngLossless,T3,FHD
