sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1769286744656641,1769286744659022,1769286744662195,1769286744662195,1769286745410904,1769286745410905,1769286745530992,1769286745530992,1769286745534470,877829,3173,754553,120088,15,120087,3687468,16,yolov5n,PngLossless,T3,HD
0,1,RSU-0000,Offload,1769286744656641,1769286744654635,1769286744657863,1769286744657864,1769286745538329,1769286745538330,1769286745652956,1769286745652956,1769286745656411,999770,3229,881904,114627,10,114626,3687468,16,yolov5n,PngLossless,T3,HD
0,1,RSU-0001,Offload,1769286744656641,1769286744655886,1769286744658644,1769286744658645,1769286745652997,1769286745652997,1769286745771350,1769286745771350,1769286745814701,1158060,2759,948551,118353,88397,118353,3687468,16,yolov5n,PngLossless,T3,HD
1,31,RSU-0001,Offload,1769286745657645,1769286745658847,1769286745661711,1769286745661711,1769286746371715,1769286746371715,1769286746486388,1769286746486388,1769286746490155,832510,2864,714960,114673,13,114673,3687468,15,yolov5n,PngLossless,T3,HD
1,31,RSU-0002,Offload,1769286745657646,1769286745659361,1769286745662347,1769286745662347,1769286746493643,1769286746493643,1769286746600720,1769286746600720,1769286746604291,946645,2986,836569,107077,13,107077,3687468,15,yolov5n,PngLossless,T3,HD
1,31,RSU-0000,Offload,1769286745657634,1769286745653015,1769286745655967,1769286745655968,1769286746600751,1769286746600751,1769286746717418,1769286746717419,1769286746726543,1068909,2953,842860,116668,106428,116667,3687468,15,yolov5n,PngLossless,T3,HD
2,61,RSU-0002,Offload,1769286746658955,1769286746661866,1769286746664840,1769286746664840,1769286747358763,1769286747358763,1769286747476286,1769286747476286,1769286747481595,822640,2974,702134,117523,9,117523,3687468,15,yolov5n,PngLossless,T3,HD
2,61,RSU-0000,Offload,1769286746658943,1769286746655488,1769286746658625,1769286746658626,1769286747476337,1769286747476337,1769286747583641,1769286747583641,1769286747587296,928353,3138,707770,107304,110141,107304,3687468,15,yolov5n,PngLossless,T3,HD
2,61,RSU-0001,Offload,1769286746658954,1769286746658114,1769286746660872,1769286746660873,1769286747583680,1769286747583680,1769286747693289,1769286747693290,1769286747700298,1041344,2759,779388,109610,149587,109609,3687468,15,yolov5n,PngLossless,T3,HD
3,91,RSU-0002,Offload,1769286747660151,1769286747661978,1769286747664712,1769286747664712,1769286748357806,1769286748357806,1769286748468495,1769286748468495,1769286748471963,811812,2734,698376,110689,13,110689,3687468,17,yolov5n,PngLossless,T3,HD
3,91,RSU-0001,Offload,1769286747660150,1769286747661273,1769286747663704,1769286747663704,1769286748474662,1769286748474662,1769286748582554,1769286748582554,1769286748586046,925896,2431,815555,107892,18,107892,3687468,17,yolov5n,PngLossless,T3,HD
3,91,RSU-0000,Offload,1769286747660132,1769286747655613,1769286747658763,1769286747658764,1769286748582584,1769286748582585,1769286748693058,1769286748693058,1769286748727724,1067592,3151,846418,110474,107549,110473,3687468,17,yolov5n,PngLossless,T3,HD
4,121,RSU-0000,Offload,1769286748661105,1769286748658723,1769286748661834,1769286748661834,1769286749352772,1769286749352772,1769286749472179,1769286749472179,1769286749477647,816542,3111,694011,119407,13,119407,3687468,17,yolov5n,PngLossless,T3,HD
4,121,RSU-0001,Offload,1769286748661120,1769286748661180,1769286748664245,1769286748664245,1769286749477795,1769286749477795,1769286749584631,1769286749584631,1769286749588424,927304,3065,817388,106836,15,106836,3687468,17,yolov5n,PngLossless,T3,HD
4,121,RSU-0002,Offload,1769286748661121,1769286748662215,1769286748664645,1769286748664645,1769286749584686,1769286749584687,1769286749693293,1769286749693293,1769286749700347,1039226,2430,821924,108607,106265,108606,3687468,17,yolov5n,PngLossless,T3,HD
5,151,RSU-0000,Offload,1769286749662120,1769286749660363,1769286749663045,1769286749663046,1769286750336604,1769286750336604,1769286750453896,1769286750453896,1769286750457613,795493,2683,675506,117292,12,117292,3687468,19,yolov5n,PngLossless,T3,HD
5,151,RSU-0001,Offload,1769286749662137,1769286749661432,1769286749664016,1769286749664017,1769286750453933,1769286750453933,1769286750561204,1769286750561204,1769286750564908,902771,2585,748527,107271,44388,107271,3687468,19,yolov5n,PngLossless,T3,HD
5,151,RSU-0002,Offload,1769286749662139,1769286749664233,1769286749667342,1769286749667343,1769286750561236,1769286750561237,1769286750668353,1769286750668353,1769286750671723,1009584,3110,734255,107117,165102,107116,3687468,19,yolov5n,PngLossless,T3,HD
6,181,RSU-0002,Offload,1769286750663728,1769286750665009,1769286750668173,1769286750668174,1769286751447694,1769286751447695,1769286751558627,1769286751558627,1769286751562159,898431,3165,784321,110933,12,110932,3687468,17,yolov5n,PngLossless,T3,HD
6,181,RSU-0000,Offload,1769286750663707,1769286750661241,1769286750664002,1769286750664003,1769286751564582,1769286751564582,1769286751673120,1769286751673121,1769286751676691,1012984,2762,901671,108539,12,108538,3687468,17,yolov5n,PngLossless,T3,HD
6,181,RSU-0001,Offload,1769286750663727,1769286750663961,1769286750666536,1769286750666537,1769286751673161,1769286751673161,1769286751795292,1769286751795292,1769286751844684,1180957,2576,948132,122131,108118,122131,3687468,17,yolov5n,PngLossless,T3,HD
7,211,RSU-0001,Offload,1769286751664775,1769286751665769,1769286751668411,1769286751668411,1769286752462158,1769286752462158,1769286752572065,1769286752572065,1769286752577085,912310,2642,799748,109907,13,109907,3687468,15,yolov5n,PngLossless,T3,HD
7,211,RSU-0002,Offload,1769286751664776,1769286751665905,1769286751668669,1769286751668670,1769286752576819,1769286752576820,1769286752684733,1769286752684734,1769286752688942,1024166,2765,913471,107915,15,107913,3687468,15,yolov5n,PngLossless,T3,HD
7,211,RSU-0000,Offload,1769286751664759,1769286751661250,1769286751664148,1769286751664148,1769286752684778,1769286752684778,1769286752806939,1769286752806940,1769286752937615,1272856,2898,1042743,122162,105053,122161,3687468,15,yolov5n,PngLossless,T3,HD
8,241,RSU-0002,Offload,1769286752665815,1769286752669226,1769286752672731,1769286752672732,1769286753345529,1769286753345530,1769286753462792,1769286753462792,1769286753466072,800257,3506,679475,117263,13,117262,3687468,16,yolov5n,PngLossless,T3,HD
