sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1769288653734950,1769288653742368,1769288653743161,1769288653743162,1769288653892321,1769288653892321,1769288654051964,1769288654051964,1769288654058911,323961,794,163516,159643,8,159643,747136,16,yolov5n,WebpLossy,T2,FHD
0,1,RSU-0000,Offload,1769288653734950,1769288653738860,1769288653739502,1769288653739502,1769288654053031,1769288654053031,1769288654220817,1769288654220818,1769288654223690,488740,642,320224,167787,87,167786,747136,16,yolov5n,WebpLossy,T2,FHD
2,13,RSU-0000,Offload,1769288654137569,1769288654139262,1769288654139656,1769288654139656,1769288654220852,1769288654220852,1769288654366866,1769288654366866,1769288654369126,231557,394,83104,146014,2045,146014,415966,16,yolov5n,WebpLossy,T2,FHD
1,7,RSU-0001,Offload,1769288653936146,1769288653940245,1769288653940767,1769288653940768,1769288654366895,1769288654366895,1769288654523695,1769288654523695,1769288654525696,589550,523,192164,156800,240063,156800,633352,16,yolov5n,WebpLossy,T2,FHD
1,7,RSU-0002,Offload,1769288653936147,1769288653941327,1769288653941998,1769288653941998,1769288654523722,1769288654523722,1769288654683910,1769288654683910,1769288654686017,749870,671,161567,160188,427444,160188,633352,16,yolov5n,WebpLossy,T2,FHD
4,25,RSU-0000,Offload,1769288654541027,1769288654544066,1769288654544501,1769288654544502,1769288654683948,1769288654683948,1769288654838972,1769288654838973,1769288654841258,300231,436,89639,155025,55131,155024,410986,16,yolov5n,WebpLossy,T2,FHD
4,25,RSU-0001,Offload,1769288654541038,1769288654546866,1769288654547266,1769288654547266,1769288654839003,1769288654839004,1769288654988005,1769288654988005,1769288655001382,460344,400,109280,149002,201662,149001,410986,16,yolov5n,WebpLossy,T2,FHD
4,25,RSU-0002,Offload,1769288654541039,1769288654544599,1769288654545026,1769288654545026,1769288654988035,1769288654988035,1769288655139573,1769288655139573,1769288655141807,600768,427,78377,151538,370426,151538,410986,16,yolov5n,WebpLossy,T2,FHD
6,37,RSU-0000,Offload,1769288654942938,1769288654947133,1769288654947501,1769288654947501,1769288655139606,1769288655139606,1769288655293333,1769288655293333,1769288655295655,352717,368,85463,153727,113159,153727,413952,16,yolov5n,WebpLossy,T2,FHD
6,37,RSU-0001,Offload,1769288654942957,1769288654947932,1769288654948333,1769288654948334,1769288655293362,1769288655293363,1769288655449052,1769288655449052,1769288655451132,508175,402,95680,155690,256403,155689,413952,16,yolov5n,WebpLossy,T2,FHD
6,37,RSU-0002,Offload,1769288654942958,1769288654943138,1769288654943507,1769288654943507,1769288655449080,1769288655449080,1769288655598168,1769288655598168,1769288655630015,687057,369,114427,149088,423173,149088,413952,16,yolov5n,WebpLossy,T2,FHD
8,49,RSU-0000,Offload,1769288655346074,1769288655350502,1769288655350850,1769288655350850,1769288655598203,1769288655598203,1769288655748134,1769288655748134,1769288655750139,404065,348,86280,149931,167506,149931,414564,16,yolov5n,WebpLossy,T2,FHD
8,49,RSU-0001,Offload,1769288655346086,1769288655350999,1769288655351380,1769288655351381,1769288655748163,1769288655748163,1769288655904440,1769288655904441,1769288655906422,560336,382,91082,156278,312594,156277,414564,16,yolov5n,WebpLossy,T2,FHD
8,49,RSU-0002,Offload,1769288655346086,1769288655349840,1769288655350220,1769288655350220,1769288655904472,1769288655904473,1769288656061490,1769288656061490,1769288656063663,717577,380,86974,157018,473205,157017,414564,16,yolov5n,WebpLossy,T2,FHD
11,67,RSU-0000,Offload,1769288655950130,1769288655952280,1769288655952704,1769288655952704,1769288656061524,1769288656061524,1769288656211272,1769288656211272,1769288656236543,286413,424,105465,149748,30776,149748,422790,14,yolov5n,WebpLossy,T2,FHD
11,67,RSU-0001,Offload,1769288655950147,1769288655956358,1769288655956724,1769288655956725,1769288656211304,1769288656211304,1769288656359034,1769288656359034,1769288656361083,410936,367,98175,147730,164664,147730,422790,14,yolov5n,WebpLossy,T2,FHD
11,67,RSU-0002,Offload,1769288655950148,1769288655954531,1769288655954919,1769288655954919,1769288656359062,1769288656359062,1769288656514734,1769288656514734,1769288656516758,566610,388,83376,155672,327174,155672,422790,14,yolov5n,WebpLossy,T2,FHD
13,79,RSU-0000,Offload,1769288656353586,1769288656356596,1769288656357008,1769288656357008,1769288656514776,1769288656514776,1769288656670202,1769288656670202,1769288656672483,318897,412,73092,155426,89967,155426,423028,17,yolov5n,WebpLossy,T2,FHD
13,79,RSU-0001,Offload,1769288656353604,1769288656357526,1769288656357881,1769288656357881,1769288656670232,1769288656670232,1769288656817562,1769288656817562,1769288656842731,489127,355,108060,147330,233382,147330,423028,17,yolov5n,WebpLossy,T2,FHD
13,79,RSU-0002,Offload,1769288656353605,1769288656359508,1769288656359970,1769288656359970,1769288656817591,1769288656817591,1769288656965865,1769288656965865,1769288656968092,614487,462,86143,148274,379608,148274,423028,17,yolov5n,WebpLossy,T2,FHD
15,91,RSU-0000,Offload,1769288656756346,1769288656758489,1769288656758863,1769288656758863,1769288656965904,1769288656965904,1769288657119382,1769288657119382,1769288657121723,365377,374,85409,153478,126116,153478,424556,18,yolov5n,WebpLossy,T2,FHD
15,91,RSU-0001,Offload,1769288656756366,1769288656762595,1769288656762985,1769288656762985,1769288657119413,1769288657119413,1769288657277623,1769288657277623,1769288657279882,523516,390,84275,158210,280641,158210,424556,18,yolov5n,WebpLossy,T2,FHD
15,91,RSU-0002,Offload,1769288656756367,1769288656760752,1769288656761174,1769288656761175,1769288657277654,1769288657277654,1769288657427642,1769288657427642,1769288657435730,679363,423,98105,149988,430847,149988,424556,18,yolov5n,WebpLossy,T2,FHD
17,103,RSU-0000,Offload,1769288657159339,1769288657162401,1769288657162798,1769288657162798,1769288657427694,1769288657427694,1769288657575915,1769288657575915,1769288657579478,420139,397,74744,148221,196777,148221,427044,15,yolov5n,WebpLossy,T2,FHD
17,103,RSU-0001,Offload,1769288657159355,1769288657165383,1769288657165777,1769288657165778,1769288657575944,1769288657575944,1769288657729971,1769288657729971,1769288657732171,572816,395,92175,154027,326219,154027,427044,15,yolov5n,WebpLossy,T2,FHD
17,103,RSU-0002,Offload,1769288657159356,1769288657162890,1769288657163293,1769288657163293,1769288657730001,1769288657730001,1769288657884301,1769288657884301,1769288657886430,727074,403,56488,154300,515883,154300,427044,15,yolov5n,WebpLossy,T2,FHD
20,121,RSU-0000,Offload,1769288657763630,1769288657765767,1769288657766182,1769288657766182,1769288657884346,1769288657884346,1769288658034368,1769288658034368,1769288658045559,281929,415,78487,150022,53005,150022,426484,17,yolov5n,WebpLossy,T2,FHD
20,121,RSU-0001,Offload,1769288657763646,1769288657768497,1769288657768878,1769288657768879,1769288658034401,1769288658034401,1769288658182312,1769288658182312,1769288658185571,421925,382,87709,147911,185923,147911,426484,17,yolov5n,WebpLossy,T2,FHD
20,121,RSU-0002,Offload,1769288657763648,1769288657768959,1769288657769338,1769288657769338,1769288658182341,1769288658182341,1769288658337201,1769288658337201,1769288658339207,575559,379,71072,154860,349248,154860,426484,17,yolov5n,WebpLossy,T2,FHD
22,133,RSU-0000,Offload,1769288658166159,1769288658168212,1769288658168612,1769288658168613,1769288658337243,1769288658337244,1769288658494123,1769288658494123,1769288658496426,330267,401,77764,156880,95222,156879,427986,18,yolov5n,WebpLossy,T2,FHD
22,133,RSU-0001,Offload,1769288658166173,1769288658170903,1769288658171298,1769288658171299,1769288658494151,1769288658494151,1769288658647481,1769288658647481,1769288658655487,489314,396,83953,153330,251635,153330,427986,18,yolov5n,WebpLossy,T2,FHD
