sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1769289199926453,1769289199929388,1769289199929946,1769289199929947,1769289200101090,1769289200101090,1769289200238455,1769289200238455,1769289200242685,316232,559,178299,137365,9,137365,599474,16,yolov5n,WebpLossy,T3,HD
1,7,RSU-0001,Offload,1769289200128349,1769289200130356,1769289200144102,1769289200144103,1769289200239368,1769289200239368,1769289200381406,1769289200381406,1769289200385574,257225,13747,101431,142038,9,142038,536172,16,yolov5n,WebpLossy,T3,HD
1,7,RSU-0000,Offload,1769289200128334,1769289200128960,1769289200129481,1769289200129482,1769289200381447,1769289200381447,1769289200511911,1769289200511912,1769289200514743,386409,522,144363,130465,111059,130464,536172,16,yolov5n,WebpLossy,T3,HD
1,7,RSU-0002,Offload,1769289200128349,1769289200126768,1769289200127211,1769289200127211,1769289200511939,1769289200511940,1769289200650725,1769289200650725,1769289200653497,525148,443,181601,138786,204318,138785,536172,16,yolov5n,WebpLossy,T3,HD
3,19,RSU-0000,Offload,1769289200530372,1769289200533121,1769289200533511,1769289200533511,1769289200650756,1769289200650757,1769289200774169,1769289200774170,1769289200776832,246460,390,97013,123414,25643,123412,441104,17,yolov5n,WebpLossy,T3,HD
3,19,RSU-0001,Offload,1769289200530399,1769289200534625,1769289200545965,1769289200545965,1769289200774199,1769289200774199,1769289200905238,1769289200905238,1769289200907980,377581,11340,87506,131039,147696,131039,441104,17,yolov5n,WebpLossy,T3,HD
3,19,RSU-0002,Offload,1769289200530400,1769289200532651,1769289200533014,1769289200533014,1769289200905265,1769289200905265,1769289201040356,1769289201040356,1769289201042942,512542,363,90624,135091,286464,135091,441104,17,yolov5n,WebpLossy,T3,HD
5,31,RSU-0000,Offload,1769289200933394,1769289200937684,1769289200938119,1769289200938120,1769289201040388,1769289201040388,1769289201166074,1769289201166075,1769289201191723,258329,436,96399,125687,35807,125686,440038,15,yolov5n,WebpLossy,T3,HD
5,31,RSU-0001,Offload,1769289200933423,1769289200938600,1769289200938957,1769289200938958,1769289201166104,1769289201166104,1769289201297942,1769289201297942,1769289201300853,367430,358,92534,131838,142700,131838,440038,15,yolov5n,WebpLossy,T3,HD
5,31,RSU-0002,Offload,1769289200933424,1769289200936631,1769289200937039,1769289200937040,1769289201297972,1769289201297972,1769289201432324,1769289201432324,1769289201435129,501705,409,85960,134352,280984,134352,440038,15,yolov5n,WebpLossy,T3,HD
